Metric,Step,Value
test_mse_171100060102,0,0.006432183086872101
test_mse_171100060102,1,0.06910639256238937
test_mse_171100060102,2,0.0577399805188179
test_mse_171100060102,3,0.048036202788352966
test_mse_171100060102,4,0.0346921868622303
test_mse_171100060102,5,0.038784150034189224
test_mse_171100060102,6,0.05366140604019165
test_mse_171100060102,7,0.009043678641319275
test_mse_171100060102,8,0.010121838189661503
test_mse_171100060102,9,0.01719856821000576
test_mse_171100060102,10,0.029342463240027428
test_mse_171100060102,11,0.08070548623800278
test_mse_171100060102,12,0.03539342060685158
test_mse_171100060102,13,0.06789124011993408
test_mse_171100060102,14,0.015154535882174969
test_mse_171100060102,15,0.009530757553875446
test_mse_171100060102,16,0.08160154521465302
test_mse_171100060102,17,0.04032113030552864
test_mse_171100060102,18,0.06108707934617996
test_mse_171100060102,19,0.04031646251678467
test_mse_171100060102,20,0.005965054500848055
test_mse_171100060102,21,0.0628957524895668
test_mse_171100060102,22,0.056307218968868256
test_mse_171100060102,23,0.005385358352214098
test_mse_171100060102,24,0.030741306021809578
test_mse_171100060102,25,0.046640072017908096
test_mse_171100060102,26,0.01012994721531868
test_mse_171100060102,27,0.019730163738131523
test_mse_171100060102,28,0.051399342715740204
test_mse_171100060102,29,0.009768580086529255
test_r2_170200110306,0,-0.28626298904418945
test_r2_170200110306,1,0.889279305934906
test_r2_170200110306,2,0.7269552946090698
test_r2_170200110306,3,0.8571487069129944
test_r2_170200110306,4,0.8034170866012573
test_r2_170200110306,5,0.7157868146896362
test_r2_170200110306,6,0.7354710102081299
test_r2_170200110306,7,0.09601569175720215
test_r2_170200110306,8,0.021883785724639893
test_r2_170200110306,9,0.5571904182434082
test_r2_170200110306,10,0.8626768589019775
test_r2_170200110306,11,0.9489177465438843
test_r2_170200110306,12,0.8437930345535278
test_r2_170200110306,13,0.9010305404663086
test_r2_170200110306,14,0.4622125029563904
test_r2_170200110306,15,0.5123213529586792
test_r2_170200110306,16,0.9389677047729492
test_r2_170200110306,17,0.8905144929885864
test_r2_170200110306,18,0.8916379809379578
test_r2_170200110306,19,0.8892192244529724
test_r2_170200110306,20,0.0595855712890625
test_r2_170200110306,21,0.9229127168655396
test_r2_170200110306,22,0.9462504982948303
test_r2_170200110306,23,0.12941360473632812
test_r2_170200110306,24,0.8594029545783997
test_r2_170200110306,25,0.8864872455596924
test_r2_170200110306,26,0.5508493185043335
test_r2_170200110306,27,0.6596716642379761
test_r2_170200110306,28,0.8918163180351257
test_r2_170200110306,29,-0.10797834396362305
test_mse_171100050704,0,0.047685541212558746
test_mse_171100050704,1,0.021842818707227707
test_mse_171100050704,2,0.02232062816619873
test_mse_171100050704,3,0.021054072305560112
test_mse_171100050704,4,0.015337345190346241
test_mse_171100050704,5,0.0169510617852211
test_mse_171100050704,6,0.01843435876071453
test_mse_171100050704,7,0.021776828914880753
test_mse_171100050704,8,0.022304296493530273
test_mse_171100050704,9,0.015058460645377636
test_mse_171100050704,10,0.01322266273200512
test_mse_171100050704,11,0.021515317261219025
test_mse_171100050704,12,0.015325590968132019
test_mse_171100050704,13,0.027004502713680267
test_mse_171100050704,14,0.01253444328904152
test_mse_171100050704,15,0.009395289234817028
test_mse_171100050704,16,0.019414957612752914
test_mse_171100050704,17,0.007763787638396025
test_mse_171100050704,18,0.01916337199509144
test_mse_171100050704,19,0.015558796934783459
test_mse_171100050704,20,0.02125159278512001
test_mse_171100050704,21,0.02118740603327751
test_mse_171100050704,22,0.02117515355348587
test_mse_171100050704,23,0.013692137785255909
test_mse_171100050704,24,0.016626741737127304
test_mse_171100050704,25,0.012518233619630337
test_mse_171100050704,26,0.011081861332058907
test_mse_171100050704,27,0.010369804687798023
test_mse_171100050704,28,0.020802972838282585
test_mse_171100050704,29,0.02336132526397705
test_kge_171100050904,0,0.39482123308477834
test_kge_171100050904,1,0.679716575526145
test_kge_171100050904,2,0.6596753439954174
test_kge_171100050904,3,0.7237656964726706
test_kge_171100050904,4,0.8041434682953471
test_kge_171100050904,5,0.7735034984707164
test_kge_171100050904,6,0.6926766371113364
test_kge_171100050904,7,0.618698977493942
test_kge_171100050904,8,0.6704096575564478
test_kge_171100050904,9,0.7895840822116975
test_kge_171100050904,10,0.8155744638327045
test_kge_171100050904,11,0.4613277358887028
test_kge_171100050904,12,0.7664488142177202
test_kge_171100050904,13,0.5483115454737137
test_kge_171100050904,14,0.8455573663128503
test_kge_171100050904,15,0.8502323089428815
test_kge_171100050904,16,0.4533333683799896
test_kge_171100050904,17,0.7504486446753517
test_kge_171100050904,18,0.6052920685720005
test_kge_171100050904,19,0.6082129521230835
test_kge_171100050904,20,0.6228543641407649
test_kge_171100050904,21,0.5080964739020044
test_kge_171100050904,22,0.5202630622720512
test_kge_171100050904,23,0.7596353583723934
test_kge_171100050904,24,0.7661038147554311
test_kge_171100050904,25,0.6810771428506949
test_kge_171100050904,26,0.8284030989941723
test_kge_171100050904,27,0.8264759453675954
test_kge_171100050904,28,0.6236766189997203
test_kge_171100050904,29,0.49218382824674756
test_mse_170300020303,0,0.05480318143963814
test_mse_170300020303,1,0.004337516147643328
test_mse_170300020303,2,0.006683593150228262
test_mse_170300020303,3,0.007027071435004473
test_mse_170300020303,4,0.004610665142536163
test_mse_170300020303,5,0.007585786283016205
test_mse_170300020303,6,0.00795865710824728
test_mse_170300020303,7,0.034369830042123795
test_mse_170300020303,8,0.035157982259988785
test_mse_170300020303,9,0.0165532436221838
test_mse_170300020303,10,0.0057146321050822735
test_mse_170300020303,11,0.005964269861578941
test_mse_170300020303,12,0.0032297882717102766
test_mse_170300020303,13,0.012939419597387314
test_mse_170300020303,14,0.022085018455982208
test_mse_170300020303,15,0.01770024187862873
test_mse_170300020303,16,0.007436483167111874
test_mse_170300020303,17,0.005791010335087776
test_mse_170300020303,18,0.0028718707617372274
test_mse_170300020303,19,0.00589157547801733
test_mse_170300020303,20,0.04168425127863884
test_mse_170300020303,21,0.008337254635989666
test_mse_170300020303,22,0.004576411563903093
test_mse_170300020303,23,0.03673967719078064
test_mse_170300020303,24,0.0033244588412344456
test_mse_170300020303,25,0.0048331525176763535
test_mse_170300020303,26,0.01975139044225216
test_mse_170300020303,27,0.010554985143244267
test_mse_170300020303,28,0.0023832437582314014
test_mse_170300020303,29,0.05513489618897438
test_mse_170200110104,0,0.010514036752283573
test_mse_170200110104,1,0.05307450518012047
test_mse_170200110104,2,0.03460479900240898
test_mse_170200110104,3,0.03993606939911842
test_mse_170200110104,4,0.02923615090548992
test_mse_170200110104,5,0.023963091894984245
test_mse_170200110104,6,0.028664175420999527
test_mse_170200110104,7,0.005903303157538176
test_mse_170200110104,8,0.005331728141754866
test_mse_170200110104,9,0.015767380595207214
test_mse_170200110104,10,0.03151335194706917
test_mse_170200110104,11,0.056631121784448624
test_mse_170200110104,12,0.03223450481891632
test_mse_170200110104,13,0.07263441383838654
test_mse_170200110104,14,0.008180975914001465
test_mse_170200110104,15,0.00852894689887762
test_mse_170200110104,16,0.0595347099006176
test_mse_170200110104,17,0.03249642625451088
test_mse_170200110104,18,0.04201551526784897
test_mse_170200110104,19,0.034166645258665085
test_mse_170200110104,20,0.0054686772637069225
test_mse_170200110104,21,0.05097656324505806
test_mse_170200110104,22,0.048947304487228394
test_mse_170200110104,23,0.0048196581192314625
test_mse_170200110104,24,0.03155232593417168
test_mse_170200110104,25,0.03244348615407944
test_mse_170200110104,26,0.009593835100531578
test_mse_170200110104,27,0.01432447787374258
test_mse_170200110104,28,0.04591401293873787
test_mse_170200110104,29,0.00815577618777752
test_r2_170200110104,0,0.93672776222229
test_r2_170200110104,1,0.6806037425994873
test_r2_170200110104,2,0.7917523384094238
test_r2_170200110104,3,0.7596693634986877
test_r2_170200110104,4,0.8240602016448975
test_r2_170200110104,5,0.8557928800582886
test_r2_170200110104,6,0.8275023102760315
test_r2_170200110104,7,0.964474618434906
test_r2_170200110104,8,0.9679142832756042
test_r2_170200110104,9,0.9051137566566467
test_r2_170200110104,10,0.8103562593460083
test_r2_170200110104,11,0.6592004895210266
test_r2_170200110104,12,0.8060165047645569
test_r2_170200110104,13,0.5628945231437683
test_r2_170200110104,14,0.9507678151130676
test_r2_170200110104,15,0.9486737847328186
test_r2_170200110104,16,0.6417270302772522
test_r2_170200110104,17,0.8044402599334717
test_r2_170200110104,18,0.747155487537384
test_r2_170200110104,19,0.7943891286849976
test_r2_170200110104,20,0.9670901298522949
test_r2_170200110104,21,0.6932289600372314
test_r2_170200110104,22,0.7054407596588135
test_r2_170200110104,23,0.9709958434104919
test_r2_170200110104,24,0.8101217746734619
test_r2_170200110104,25,0.8047589063644409
test_r2_170200110104,26,0.9422653913497925
test_r2_170200110104,27,0.9137969613075256
test_r2_170200110104,28,0.7236948013305664
test_r2_170200110104,29,0.950919508934021
test_r2_170200100202,0,0.6192397475242615
test_r2_170200100202,1,0.899709165096283
test_r2_170200100202,2,0.9384129643440247
test_r2_170200100202,3,0.9230056405067444
test_r2_170200100202,4,0.9435175657272339
test_r2_170200100202,5,0.9584904313087463
test_r2_170200100202,6,0.9501407742500305
test_r2_170200100202,7,0.8089058995246887
test_r2_170200100202,8,0.7876337766647339
test_r2_170200100202,9,0.932120144367218
test_r2_170200100202,10,0.95034259557724
test_r2_170200100202,11,0.8819285035133362
test_r2_170200100202,12,0.9563001990318298
test_r2_170200100202,13,0.7386199235916138
test_r2_170200100202,14,0.9154489040374756
test_r2_170200100202,15,0.9156533479690552
test_r2_170200100202,16,0.8580389618873596
test_r2_170200100202,17,0.9173666834831238
test_r2_170200100202,18,0.9364286661148071
test_r2_170200100202,19,0.9437506794929504
test_r2_170200100202,20,0.7659392356872559
test_r2_170200100202,21,0.8691245317459106
test_r2_170200100202,22,0.8988866806030273
test_r2_170200100202,23,0.7935473322868347
test_r2_170200100202,24,0.944923460483551
test_r2_170200100202,25,0.9485908150672913
test_r2_170200100202,26,0.9201195240020752
test_r2_170200100202,27,0.9459013938903809
test_r2_170200100202,28,0.9106674194335938
test_r2_170200100202,29,0.7049410343170166
test_mae_171100051007,0,0.12350539863109589
test_mae_171100051007,1,0.04873870685696602
test_mae_171100051007,2,0.04865352436900139
test_mae_171100051007,3,0.05953716114163399
test_mae_171100051007,4,0.046890564262866974
test_mae_171100051007,5,0.039065051823854446
test_mae_171100051007,6,0.04590635746717453
test_mae_171100051007,7,0.08232730627059937
test_mae_171100051007,8,0.07663793861865997
test_mae_171100051007,9,0.044885601848363876
test_mae_171100051007,10,0.054111119359731674
test_mae_171100051007,11,0.05414886027574539
test_mae_171100051007,12,0.0344683863222599
test_mae_171100051007,13,0.056366465985774994
test_mae_171100051007,14,0.047440044581890106
test_mae_171100051007,15,0.0314997062087059
test_mae_171100051007,16,0.05163225904107094
test_mae_171100051007,17,0.032752931118011475
test_mae_171100051007,18,0.045028310269117355
test_mae_171100051007,19,0.0437815822660923
test_mae_171100051007,20,0.07947614043951035
test_mae_171100051007,21,0.0566217377781868
test_mae_171100051007,22,0.05339530110359192
test_mae_171100051007,23,0.04509943351149559
test_mae_171100051007,24,0.037492867559194565
test_mae_171100051007,25,0.03864087536931038
test_mae_171100051007,26,0.03670523688197136
test_mae_171100051007,27,0.03149116784334183
test_mae_171100051007,28,0.04406256601214409
test_mae_171100051007,29,0.07294269651174545
test_mae_170200110304,0,0.12130747735500336
test_mae_170200110304,1,0.07406336069107056
test_mae_170200110304,2,0.06895197182893753
test_mae_170200110304,3,0.06060133874416351
test_mae_170200110304,4,0.05418223887681961
test_mae_170200110304,5,0.05614140257239342
test_mae_170200110304,6,0.05891091004014015
test_mae_170200110304,7,0.10018151253461838
test_mae_170200110304,8,0.09163400530815125
test_mae_170200110304,9,0.06543366611003876
test_mae_170200110304,10,0.04723801463842392
test_mae_170200110304,11,0.07460731267929077
test_mae_170200110304,12,0.06046862527728081
test_mae_170200110304,13,0.10035313665866852
test_mae_170200110304,14,0.0726967379450798
test_mae_170200110304,15,0.06056391820311546
test_mae_170200110304,16,0.0782105028629303
test_mae_170200110304,17,0.049346666783094406
test_mae_170200110304,18,0.05933414772152901
test_mae_170200110304,19,0.05768463760614395
test_mae_170200110304,20,0.11558155715465546
test_mae_170200110304,21,0.07126111537218094
test_mae_170200110304,22,0.0680074691772461
test_mae_170200110304,23,0.10390542447566986
test_mae_170200110304,24,0.06520770490169525
test_mae_170200110304,25,0.051379524171352386
test_mae_170200110304,26,0.0696272999048233
test_mae_170200110304,27,0.05983993411064148
test_mae_170200110304,28,0.07451134920120239
test_mae_170200110304,29,0.12125134468078613
test_mae_171100080101,0,0.17432309687137604
test_mae_171100080101,1,0.05420882627367973
test_mae_171100080101,2,0.039715275168418884
test_mae_171100080101,3,0.09315833449363708
test_mae_171100080101,4,0.07943447679281235
test_mae_171100080101,5,0.06431056559085846
test_mae_171100080101,6,0.05148222669959068
test_mae_171100080101,7,0.14576901495456696
test_mae_171100080101,8,0.12374933809041977
test_mae_171100080101,9,0.08875591307878494
test_mae_171100080101,10,0.10133461654186249
test_mae_171100080101,11,0.02382640540599823
test_mae_171100080101,12,0.06161268800497055
test_mae_171100080101,13,0.024446049705147743
test_mae_171100080101,14,0.0898977667093277
test_mae_171100080101,15,0.06941763311624527
test_mae_171100080101,16,0.02564166486263275
test_mae_171100080101,17,0.04760802164673805
test_mae_171100080101,18,0.030803188681602478
test_mae_171100080101,19,0.028578441590070724
test_mae_171100080101,20,0.13336704671382904
test_mae_171100080101,21,0.021434688940644264
test_mae_171100080101,22,0.02282888814806938
test_mae_171100080101,23,0.09195206314325333
test_mae_171100080101,24,0.04217669740319252
test_mae_171100080101,25,0.04881612956523895
test_mae_171100080101,26,0.07016296684741974
test_mae_171100080101,27,0.05350462347269058
test_mae_171100080101,28,0.0296695064753294
test_mae_171100080101,29,0.12529528141021729
test_mae_170200110301,0,0.11576971411705017
test_mae_170200110301,1,0.11947260051965714
test_mae_170200110301,2,0.0702776163816452
test_mae_170200110301,3,0.1066012904047966
test_mae_170200110301,4,0.07811848819255829
test_mae_170200110301,5,0.05966154485940933
test_mae_170200110301,6,0.07141705602407455
test_mae_170200110301,7,0.08280075341463089
test_mae_170200110301,8,0.06631994992494583
test_mae_170200110301,9,0.05301478132605553
test_mae_170200110301,10,0.07779668271541595
test_mae_170200110301,11,0.11290082335472107
test_mae_170200110301,12,0.06558918207883835
test_mae_170200110301,13,0.13770510256290436
test_mae_170200110301,14,0.063673235476017
test_mae_170200110301,15,0.04935366287827492
test_mae_170200110301,16,0.1224256232380867
test_mae_170200110301,17,0.08440563082695007
test_mae_170200110301,18,0.07534775882959366
test_mae_170200110301,19,0.060746729373931885
test_mae_170200110301,20,0.1099555641412735
test_mae_170200110301,21,0.09585924446582794
test_mae_170200110301,22,0.08450958877801895
test_mae_170200110301,23,0.09706682711839676
test_mae_170200110301,24,0.05269746109843254
test_mae_170200110301,25,0.06335313618183136
test_mae_170200110301,26,0.06007988005876541
test_mae_170200110301,27,0.040557242929935455
test_mae_170200110301,28,0.07167501747608185
test_mae_170200110301,29,0.1312304139137268
test_mse_170300010301,0,0.053735800087451935
test_mse_170300010301,1,0.012584331445395947
test_mse_170300010301,2,0.010779104195535183
test_mse_170300010301,3,0.009931089356541634
test_mse_170300010301,4,0.008060568012297153
test_mse_170300010301,5,0.006728543434292078
test_mse_170300010301,6,0.009021146222949028
test_mse_170300010301,7,0.025641582906246185
test_mse_170300010301,8,0.020233144983649254
test_mse_170300010301,9,0.010599789209663868
test_mse_170300010301,10,0.010251346975564957
test_mse_170300010301,11,0.018120381981134415
test_mse_170300010301,12,0.005342844408005476
test_mse_170300010301,13,0.013277063146233559
test_mse_170300010301,14,0.012039581313729286
test_mse_170300010301,15,0.010337300598621368
test_mse_170300010301,16,0.019770130515098572
test_mse_170300010301,17,0.008379809558391571
test_mse_170300010301,18,0.010701745748519897
test_mse_170300010301,19,0.006867525167763233
test_mse_170300010301,20,0.03231499344110489
test_mse_170300010301,21,0.014110076241195202
test_mse_170300010301,22,0.009812181815505028
test_mse_170300010301,23,0.02486242912709713
test_mse_170300010301,24,0.005768130999058485
test_mse_170300010301,25,0.008549991995096207
test_mse_170300010301,26,0.012437054887413979
test_mse_170300010301,27,0.0061310771852731705
test_mse_170300010301,28,0.007879268378019333
test_mse_170300010301,29,0.047775719314813614
test_r2_170300010301,0,0.5392142534255981
test_r2_170300010301,1,0.8920890688896179
test_r2_170300010301,2,0.9075689315795898
test_r2_170300010301,3,0.9148406982421875
test_r2_170300010301,4,0.9308804273605347
test_r2_170300010301,5,0.9423025846481323
test_r2_170300010301,6,0.9226434826850891
test_r2_170300010301,7,0.7801228761672974
test_r2_170300010301,8,0.8265002965927124
test_r2_170300010301,9,0.9091065526008606
test_r2_170300010301,10,0.9120944738388062
