Metric,Step,Value
train_mse_171100050401,0,0.029660912230610847
train_mse_171100050401,1,0.014854705892503262
train_mse_171100050401,2,0.012552693486213684
train_mse_171100050401,3,0.01224744226783514
train_mse_171100050401,4,0.007691193837672472
test_mse_171100050401,0,0.024444371461868286
test_mse_171100050401,1,0.01121252030134201
test_mse_171100050401,2,0.007519714068621397
test_mse_171100050401,3,0.007383344229310751
test_mse_171100050401,4,0.0033028984908014536
test_kge_171100050402,2,0.8592324523631417
test_kge_171100050402,0,0.5557223492488824
test_kge_171100050402,1,0.82393311767271
test_kge_171100050402,3,0.866409810489813
test_kge_171100050402,4,0.9177197470981517
test_kge_171100050405,4,0.9259835297007003
test_kge_171100050405,1,0.8874160028002267
test_kge_171100050405,3,0.9050653021002424
test_kge_171100050405,0,0.6703559227502248
test_kge_171100050405,2,0.7610037617114941
train_kge_171100050401,0,0.5306732388310884
train_kge_171100050401,1,0.8410674837278413
train_kge_171100050401,2,0.803908922111522
train_kge_171100050401,3,0.7669356043381546
train_kge_171100050401,4,0.8537421174942548
test_kge_171100050401,0,0.5815268906705977
test_kge_171100050401,1,0.8493007888015727
test_kge_171100050401,2,0.8829705829279825
test_kge_171100050401,3,0.8369729732558377
test_kge_171100050401,4,0.9582802493663747
train_mse_171100050403,0,0.0313849076628685
train_mse_171100050403,1,0.024635443463921547
train_mse_171100050403,2,0.017577510327100754
train_mse_171100050403,3,0.013874820433557034
train_mse_171100050403,4,0.011835631914436817
test_kge_171100050403,0,0.6582189288861111
test_kge_171100050403,1,0.7207546718146376
test_kge_171100050403,2,0.7852434223201399
test_kge_171100050403,3,0.8152102917951487
test_kge_171100050403,4,0.9056531020288642
train_mse_171100050501,0,0.04084487631917
train_mse_171100050501,1,0.03800693899393082
train_mse_171100050501,2,0.05455491319298744
train_mse_171100050501,3,0.029202500358223915
train_mse_171100050501,4,0.028956973925232887
test_mse_171100050501,0,0.03330165520310402
test_mse_171100050501,1,0.03419399634003639
test_mse_171100050501,2,0.04636368155479431
test_mse_171100050501,3,0.02552049793303013
test_mse_171100050501,4,0.020065581426024437
test_mse_171100050402,2,0.023670269176363945
test_mse_171100050402,0,0.06867636740207672
test_mse_171100050402,1,0.027936212718486786
test_mse_171100050402,3,0.024109704419970512
test_mse_171100050402,4,0.0163346566259861
test_kge_171100050502,0,0.8008671030733265
test_kge_171100050502,1,0.5592324968057669
test_kge_171100050502,2,0.8679920523791738
test_kge_171100050502,3,0.9043626285501872
test_kge_171100050502,4,0.885340431532519
train_mse_171100050601,0,0.12698480486869812
train_mse_171100050601,1,0.0651935338973999
train_mse_171100050601,2,0.05075504630804062
train_mse_171100050601,3,0.03708629310131073
train_mse_171100050601,4,0.03283902257680893
test_kge_171100050504,0,0.5004375603042506
test_kge_171100050504,1,0.7847303456037314
test_kge_171100050504,2,0.7100735776236548
test_kge_171100050504,3,0.8334550038789224
test_kge_171100050504,4,0.9165678836707001
test_kge_171100050601,0,0.4485757633465034
test_kge_171100050601,1,0.6564775734652726
test_kge_171100050601,2,0.6537773687694908
test_kge_171100050601,3,0.8098585228307853
test_kge_171100050601,4,0.8349799968927735
test_kge_171100050503,0,0.5108606911125955
test_kge_171100050503,1,0.8620583327323241
test_kge_171100050503,2,0.8369252604943525
test_kge_171100050503,3,0.8919325443966426
test_kge_171100050503,4,0.85790290232894
train_mse_171100050602,0,0.025648165494203568
train_mse_171100050602,1,0.010260551236569881
train_mse_171100050602,2,0.008896908722817898
train_mse_171100050602,3,0.00809707585722208
train_mse_171100050602,4,0.004103311337530613
train_kge_171100050602,0,0.4901162963577683
train_kge_171100050602,1,0.8111964792711857
train_kge_171100050602,2,0.8245306354194525
train_kge_171100050602,3,0.781659259236438
train_kge_171100050602,4,0.9497589904274782
train_kge_171100050501,0,0.8130867734079075
train_kge_171100050501,1,0.7803186816808569
train_kge_171100050501,2,0.6862923573235605
train_kge_171100050501,3,0.8435941314194955
train_kge_171100050501,4,0.8646079388182711
test_mse_171100050403,0,0.031219087541103363
test_mse_171100050403,1,0.024000555276870728
test_mse_171100050403,2,0.016253860667347908
test_mse_171100050403,3,0.01210200134664774
test_mse_171100050403,4,0.00900588184595108
test_mse_171100050505,0,0.02879866398870945
test_mse_171100050505,1,0.023046599701046944
test_mse_171100050505,2,0.012926708906888962
test_mse_171100050505,3,0.021905187517404556
test_mse_171100050505,4,0.009270151145756245
train_mse_171100050404,0,0.06713240593671799
train_mse_171100050404,2,0.026718778535723686
train_mse_171100050404,3,0.02259783074259758
train_mse_171100050404,1,0.03399263322353363
train_mse_171100050404,4,0.02034161239862442
train_mse_171100050402,2,0.029929136857390404
train_mse_171100050402,0,0.06847074627876282
train_mse_171100050402,1,0.03349142149090767
train_mse_171100050402,3,0.03026995249092579
train_mse_171100050402,4,0.017652515321969986
train_mse_171100050502,0,0.027340196073055267
train_mse_171100050502,1,0.04210085794329643
train_mse_171100050502,2,0.017796097323298454
train_mse_171100050502,3,0.013608296401798725
train_mse_171100050502,4,0.011616291478276253
test_mse_171100050404,3,0.01961771585047245
test_mse_171100050404,0,0.06961119920015335
test_mse_171100050404,2,0.02566581778228283
test_mse_171100050404,1,0.036009933799505234
test_mse_171100050404,4,0.016693200916051865
test_kge_171100050404,3,0.8743215406558897
test_kge_171100050404,0,0.4293505043645197
test_kge_171100050404,1,0.633148820544222
test_kge_171100050404,2,0.780274209427315
test_kge_171100050404,4,0.8698716892014067
test_kge_171100050505,0,0.8383704216889776
test_kge_171100050505,1,0.8609420246115085
test_kge_171100050505,2,0.9179476021437892
test_kge_171100050505,3,0.7939411934630494
test_kge_171100050505,4,0.9317617879027572
train_mse_171100050503,0,0.09406902641057968
train_mse_171100050503,1,0.039181265980005264
train_mse_171100050503,2,0.03863144665956497
train_mse_171100050503,3,0.02996928244829178
train_mse_171100050503,4,0.02339712344110012
train_mse_171100050504,0,0.06375767290592194
train_mse_171100050504,1,0.029252707958221436
train_mse_171100050504,2,0.03688123822212219
train_mse_171100050504,3,0.02540453150868416
train_mse_171100050504,4,0.01569654420018196
train_kge_171100050601,0,0.4984929107769479
train_kge_171100050601,1,0.7663317087328909
train_kge_171100050601,2,0.7689838259800825
train_kge_171100050601,3,0.8848135446155913
train_kge_171100050601,4,0.8704995345857349
test_mse_171100050602,0,0.0211726576089859
test_mse_171100050602,1,0.007419639267027378
test_mse_171100050602,2,0.0055151451379060745
test_mse_171100050602,3,0.00684936111792922
test_mse_171100050602,4,0.003612574888393283
test_kge_171100050602,0,0.5295335292036867
test_kge_171100050602,1,0.8863429261397319
test_kge_171100050602,2,0.9139044461883242
test_kge_171100050602,3,0.660220019042993
test_kge_171100050602,4,0.8186670149909253
train_mse_171100050603,0,0.034012820571660995
train_mse_171100050603,1,0.014834387227892876
train_mse_171100050603,2,0.014354519546031952
train_mse_171100050603,3,0.01180424913764
train_mse_171100050603,4,0.00806692149490118
train_kge_171100050404,4,0.8595100843970153
train_kge_171100050404,1,0.6772794456686704
train_kge_171100050404,3,0.861757063497987
train_kge_171100050404,2,0.8152159568914195
train_kge_171100050404,0,0.43438547525628946
test_mse_171100050601,0,0.1599903404712677
test_mse_171100050601,1,0.08283041417598724
test_mse_171100050601,2,0.06776472181081772
test_mse_171100050601,3,0.041597701609134674
test_mse_171100050601,4,0.026396170258522034
train_mse_171100050405,3,0.00846151728183031
train_mse_171100050405,4,0.006247096695005894
train_mse_171100050405,0,0.017335914075374603
train_mse_171100050405,2,0.014020608738064766
train_mse_171100050405,1,0.01289653405547142
train_kge_171100050402,1,0.8339987246360258
train_kge_171100050402,2,0.8625934920520054
train_kge_171100050402,3,0.8125976218662994
train_kge_171100050402,0,0.558919644927002
train_kge_171100050402,4,0.8990708919272812
test_mse_171100050405,4,0.0026512150652706623
test_mse_171100050405,0,0.014198540709912777
test_mse_171100050405,2,0.011181988753378391
test_mse_171100050405,3,0.005599500611424446
test_mse_171100050405,1,0.010035054758191109
train_kge_171100050405,4,0.8199863505787588
train_kge_171100050405,0,0.6469097548663068
train_kge_171100050405,1,0.8635769791262179
train_kge_171100050405,2,0.7269406996446912
train_kge_171100050405,3,0.867903384557177
train_kge_171100050403,0,0.6652121869166183
train_kge_171100050403,1,0.7352540595356134
train_kge_171100050403,2,0.8211834482085312
train_kge_171100050403,3,0.8036056551650547
train_kge_171100050403,4,0.8894257957346491
train_kge_171100050502,0,0.7671786622759931
train_kge_171100050502,1,0.5319787853448003
train_kge_171100050502,2,0.828683814261499
train_kge_171100050502,3,0.8732630511491459
train_kge_171100050502,4,0.8544765628530979
test_mse_171100050502,0,0.02223353274166584
test_mse_171100050502,1,0.036798037588596344
test_mse_171100050502,2,0.013101817108690739
test_mse_171100050502,3,0.009996306151151657
test_mse_171100050502,4,0.007506352383643389
train_mse_171100050505,0,0.03442159667611122
train_mse_171100050505,1,0.0257436390966177
train_mse_171100050505,2,0.01618316024541855
train_mse_171100050505,3,0.025272732600569725
train_mse_171100050505,4,0.011833094991743565
test_kge_171100050501,0,0.8293774326756925
test_kge_171100050501,1,0.7835239712754251
test_kge_171100050501,2,0.7368710696120427
test_kge_171100050501,3,0.8708532505870257
test_kge_171100050501,4,0.897786714993223
test_mse_171100050503,0,0.07643681764602661
test_mse_171100050503,1,0.029193276539444923
test_mse_171100050503,2,0.02839074470102787
test_mse_171100050503,3,0.021134139969944954
test_mse_171100050503,4,0.02084301970899105
train_kge_171100050503,0,0.4549808961321158
train_kge_171100050503,1,0.8102495236132181
train_kge_171100050503,2,0.7704616063553524
train_kge_171100050503,3,0.8094234128637032
train_kge_171100050503,4,0.7501205191669585
test_mse_171100050504,0,0.05570962652564049
test_mse_171100050504,1,0.02552814595401287
test_mse_171100050504,2,0.034909069538116455
test_mse_171100050504,3,0.02409391850233078
test_mse_171100050504,4,0.011459308676421642
train_kge_171100050504,0,0.4598252764576849
train_kge_171100050504,1,0.7565073839086538
train_kge_171100050504,2,0.6865665924313306
train_kge_171100050504,3,0.8381134328505195
train_kge_171100050504,4,0.9073222061644335
test_mse_171100050603,0,0.03910104185342789
test_mse_171100050603,1,0.017348313704133034
test_mse_171100050603,2,0.01628655195236206
test_mse_171100050603,3,0.013702630065381527
test_mse_171100050603,4,0.009074622765183449
train_kge_171100050505,0,0.8173186044324208
train_kge_171100050505,1,0.8474429688002668
train_kge_171100050505,2,0.8997967909845438
train_kge_171100050505,3,0.7982033376215131
train_kge_171100050505,4,0.8933609271846523
test_kge_171100050603,0,0.46104922370397594
test_kge_171100050603,1,0.6902470230169201
test_kge_171100050603,2,0.7386885736278332
test_kge_171100050603,3,0.7509601586886296
test_kge_171100050603,4,0.7835825676399204
train_kge_171100050603,0,0.5022460750876094
