Metric,Step,Value
test_mse_170200110402,0,0.01827370934188366
test_mse_170200110402,1,0.01699359342455864
test_mse_170200110402,2,0.016072813421487808
test_mse_170200110402,3,0.015987813472747803
test_mse_170200110402,4,0.01598729006946087
test_mse_170200110402,5,0.015393968671560287
test_mse_170200110402,6,0.018066007643938065
test_mse_170200110402,7,0.017016414552927017
test_mse_170200110402,8,0.014448259025812149
test_mse_170200110402,9,0.016985246911644936
test_kge_170200110402,0,0.8835163760623534
test_kge_170200110402,1,0.888687008642349
test_kge_170200110402,2,0.907487335694458
test_kge_170200110402,3,0.9253192914109114
test_kge_170200110402,4,0.936133344693971
test_kge_170200110402,5,0.922235834831237
test_kge_170200110402,6,0.8671066281593003
test_kge_170200110402,7,0.877573828687378
test_kge_170200110402,8,0.9312395889337257
test_kge_170200110402,9,0.8887311635189372
test_r2_170200110402,0,0.9065263271331787
test_r2_170200110402,1,0.9130743741989136
test_r2_170200110402,2,0.9177843332290649
test_r2_170200110402,3,0.9182191491127014
test_r2_170200110402,4,0.9182218313217163
test_r2_170200110402,5,0.9212567806243896
test_r2_170200110402,6,0.9075887799263
test_r2_170200110402,7,0.9129576086997986
test_r2_170200110402,8,0.9260942339897156
test_r2_170200110402,9,0.9131170511245728
test_mse_170200110403,0,0.012529619969427586
test_mse_170200110403,1,0.012952462770044804
test_mse_170200110403,2,0.010730686597526073
test_mse_170200110403,3,0.012782254256308079
test_mse_170200110403,4,0.015098006464540958
test_mse_170200110403,5,0.01172392163425684
test_mse_170200110403,6,0.012140359729528427
test_mse_170200110403,7,0.013070816174149513
test_mse_170200110403,8,0.012285042554140091
test_mse_170200110403,9,0.012655926868319511
test_mae_170200110402,0,0.08330100774765015
test_mae_170200110402,1,0.08125049620866776
test_mae_170200110402,2,0.07780690491199493
test_mae_170200110402,3,0.07707317173480988
test_mae_170200110402,4,0.07927917689085007
test_mae_170200110402,5,0.07649989426136017
test_mae_170200110402,6,0.08417528122663498
test_mae_170200110402,7,0.08131840825080872
test_mae_170200110402,8,0.07249565422534943
test_mae_170200110402,9,0.07935230433940887
test_kge_170200110404,0,0.8918985981496761
