Metric,Step,Value
test_mse_170200110104,0,0.016145871952176094
test_mse_170200110104,1,0.018543614074587822
test_mse_170200110104,2,0.01811489649116993
test_mse_170200110104,3,0.017563072964549065
test_mse_170200110104,4,0.01703733019530773
test_mse_170200110104,5,0.01688750647008419
test_mse_170200110104,6,0.017185436561703682
test_mse_170200110104,7,0.016620660200715065
test_mse_170200110104,8,0.014995938166975975
test_mse_170200110104,9,0.016925456002354622
test_mae_170200110104,0,0.08182793855667114
test_mae_170200110104,1,0.08792367577552795
test_mae_170200110104,2,0.08851449191570282
test_mae_170200110104,3,0.0839892104268074
test_mae_170200110104,4,0.08262951672077179
test_mae_170200110104,5,0.08321450650691986
test_mae_170200110104,6,0.08377223461866379
test_mae_170200110104,7,0.08280950784683228
test_mae_170200110104,8,0.07883381098508835
test_mae_170200110104,9,0.08512993901968002
train_r2_170200110104,0,0.9703039526939392
train_r2_170200110104,1,0.9652239680290222
train_r2_170200110104,2,0.9648215770721436
train_r2_170200110104,3,0.9680371284484863
train_r2_170200110104,4,0.9687913656234741
train_r2_170200110104,5,0.9701469540596008
train_r2_170200110104,6,0.9696186184883118
train_r2_170200110104,7,0.9702306985855103
train_r2_170200110104,8,0.971962571144104
train_r2_170200110104,9,0.9685916304588318
test_kge_170200110104,0,0.9222674075408775
test_kge_170200110104,1,0.8704284055775795
test_kge_170200110104,2,0.8861681915826385
test_kge_170200110104,3,0.9131781639138999
test_kge_170200110104,4,0.9025149248928603
test_kge_170200110104,5,0.9039165531987696
test_kge_170200110104,6,0.8945880011105217
test_kge_170200110104,7,0.9249755262709969
test_kge_170200110104,8,0.9430649036793378
test_kge_170200110104,9,0.908872202233699
train_mae_170200110104,0,0.040125131607055664
train_mae_170200110104,1,0.04434722661972046
train_mae_170200110104,2,0.04323974996805191
train_mae_170200110104,3,0.04042334854602814
train_mae_170200110104,4,0.039430808275938034
train_mae_170200110104,5,0.03887428343296051
train_mae_170200110104,6,0.03899271786212921
train_mae_170200110104,7,0.038219619542360306
train_mae_170200110104,8,0.03838861733675003
train_mae_170200110104,9,0.03882826492190361
train_mse_170200110104,0,0.0047035180032253265
train_mse_170200110104,1,0.005508131813257933
train_mse_170200110104,2,0.0055718692019581795
train_mse_170200110104,3,0.005062561482191086
train_mse_170200110104,4,0.0049430979415774345
train_mse_170200110104,5,0.004728385247290134
train_mse_170200110104,6,0.004812067374587059
train_mse_170200110104,7,0.004715119022876024
train_mse_170200110104,8,0.004440812394022942
train_mse_170200110104,9,0.00497473543509841
test_r2_170200110104,0,0.9059697389602661
test_r2_170200110104,1,0.8920057415962219
test_r2_170200110104,2,0.8945025205612183
test_r2_170200110104,3,0.897716224193573
test_r2_170200110104,4,0.90077805519104
test_r2_170200110104,5,0.901650607585907
test_r2_170200110104,6,0.8999155163764954
test_r2_170200110104,7,0.9032046794891357
test_r2_170200110104,8,0.9126666784286499
test_r2_170200110104,9,0.9014295935630798
train_kge_170200110104,0,0.9752312668314002
train_kge_170200110104,1,0.9379655058419761
train_kge_170200110104,2,0.9412848230541341
train_kge_170200110104,3,0.9684699578231818
train_kge_170200110104,4,0.9624056321520641
train_kge_170200110104,5,0.9711838901198121
train_kge_170200110104,6,0.9556316892762508
train_kge_170200110104,7,0.9751053203699249
train_kge_170200110104,8,0.9842648030854788
train_kge_170200110104,9,0.9680176432294337
test_mse_170200110105,0,0.0047181821428239346
test_mse_170200110105,1,0.005106234457343817
test_mse_170200110105,2,0.005409944802522659
test_mse_170200110105,3,0.005801742430776358
test_mse_170200110105,4,0.005121655762195587
test_mse_170200110105,5,0.00577204767614603
test_mse_170200110105,6,0.004621937405318022
test_mse_170200110105,7,0.0048417565412819386
test_mse_170200110105,8,0.006095254328101873
test_mse_170200110105,9,0.004786800593137741
test_r2_170200110105,0,0.8681647181510925
test_r2_170200110105,1,0.8573217391967773
test_r2_170200110105,2,0.8488355278968811
test_r2_170200110105,3,0.8378878831863403
test_r2_170200110105,4,0.856890857219696
test_r2_170200110105,5,0.8387176394462585
test_r2_170200110105,6,0.8708539605140686
test_r2_170200110105,7,0.8647118210792542
test_r2_170200110105,8,0.8296866416931152
test_r2_170200110105,9,0.8662474155426025
train_mae_170200110106,0,0.06851746141910553
train_mae_170200110106,1,0.05556583032011986
train_mae_170200110106,2,0.054712846875190735
train_mae_170200110106,3,0.05254283919930458
train_mae_170200110106,4,0.05236967280507088
train_mae_170200110106,5,0.04918903112411499
train_mae_170200110106,6,0.05103132128715515
train_mae_170200110106,7,0.047373272478580475
train_mae_170200110106,8,0.04627731069922447
train_mae_170200110106,9,0.04752557352185249
train_mse_170200110105,0,0.002071644878014922
train_mse_170200110105,1,0.0017876741476356983
train_mse_170200110105,2,0.001694610808044672
train_mse_170200110105,3,0.0016807219944894314
train_mse_170200110105,4,0.0015576151199638844
train_mse_170200110105,5,0.0015613886062055826
train_mse_170200110105,6,0.0017278394661843777
train_mse_170200110105,7,0.0014554543886333704
train_mse_170200110105,8,0.0013547934358939528
train_mse_170200110105,9,0.0016397485742345452
train_r2_170200110105,0,0.922909140586853
train_r2_170200110105,1,0.9334763288497925
train_r2_170200110105,2,0.9369394779205322
train_r2_170200110105,3,0.9374563097953796
train_r2_170200110105,4,0.9420374035835266
train_r2_170200110105,5,0.9418969750404358
train_r2_170200110105,6,0.935702919960022
train_r2_170200110105,7,0.9458390474319458
train_r2_170200110105,8,0.9495849013328552
train_r2_170200110105,9,0.9389809966087341
train_mse_170200110106,0,0.01211930625140667
train_mse_170200110106,1,0.008632686920464039
train_mse_170200110106,2,0.00894004013389349
train_mse_170200110106,3,0.008376129902899265
train_mse_170200110106,4,0.008098828606307507
train_mse_170200110106,5,0.007511903066188097
train_mse_170200110106,6,0.00809589121490717
train_mse_170200110106,7,0.0073366970755159855
train_mse_170200110106,8,0.006864144932478666
train_mse_170200110106,9,0.007512530777603388
test_kge_170200110105,0,0.8067111401721251
test_kge_170200110105,1,0.7647645459182568
test_kge_170200110105,2,0.7239507866659695
test_kge_170200110105,3,0.7601029299893506
test_kge_170200110105,4,0.7885465779665497
test_kge_170200110105,5,0.741686499208948
test_kge_170200110105,6,0.8317701362338041
test_kge_170200110105,7,0.7820218941150784
test_kge_170200110105,8,0.7045421146724933
test_kge_170200110105,9,0.8247838459881264
test_mae_170200110106,0,0.09924843162298203
test_mae_170200110106,1,0.09066199511289597
test_mae_170200110106,2,0.09230285882949829
test_mae_170200110106,3,0.09008211642503738
test_mae_170200110106,4,0.09176382422447205
test_mae_170200110106,5,0.09090645611286163
test_mae_170200110106,6,0.09624572098255157
test_mae_170200110106,7,0.0927591398358345
test_mae_170200110106,8,0.09186559170484543
test_mae_170200110106,9,0.0946546345949173
test_mae_170200110105,0,0.03639277070760727
test_mae_170200110105,1,0.035594649612903595
test_mae_170200110105,2,0.037916868925094604
test_mae_170200110105,3,0.03877177834510803
test_mae_170200110105,4,0.03671776503324509
test_mae_170200110105,5,0.03889643773436546
test_mae_170200110105,6,0.03697638958692551
test_mae_170200110105,7,0.03661814332008362
test_mae_170200110105,8,0.03897028788924217
test_mae_170200110105,9,0.03701836243271828
train_mae_170200110105,0,0.02566489391028881
train_mae_170200110105,1,0.02422875538468361
train_mae_170200110105,2,0.02275952510535717
train_mae_170200110105,3,0.02310873568058014
train_mae_170200110105,4,0.021784944459795952
train_mae_170200110105,5,0.021768417209386826
train_mae_170200110105,6,0.02242642641067505
train_mae_170200110105,7,0.02044052630662918
train_mae_170200110105,8,0.020136848092079163
train_mae_170200110105,9,0.021565692499279976
train_kge_170200110105,0,0.9361248949724562
train_kge_170200110105,1,0.9660354910914444
train_kge_170200110105,2,0.9563269468717551
train_kge_170200110105,3,0.9647744292675995
train_kge_170200110105,4,0.9569723448068449
train_kge_170200110105,5,0.9612691627621902
train_kge_170200110105,6,0.9148823711626483
train_kge_170200110105,7,0.9569467461223882
train_kge_170200110105,8,0.9602073116541283
train_kge_170200110105,9,0.9175105606936493
test_kge_170200110106,0,0.88701530215751
test_kge_170200110106,1,0.9178615538123377
test_kge_170200110106,2,0.9080699999277626
