Metric,Step,Value
train_mae_170200090102,0,0.08252207189798355
train_mae_170200090102,1,0.07822927832603455
train_mae_170200090102,2,0.08605412393808365
train_mae_170200090102,3,0.06669752299785614
train_mae_170200090102,4,0.07012913376092911
train_mae_170200090102,5,0.06670475751161575
train_mae_170200090102,6,0.06437045335769653
train_mae_170200090102,7,0.060647349804639816
train_mae_170200090102,8,0.06744500249624252
train_mae_170200090102,9,0.06519084423780441
test_mae_170200090103,0,0.05038869008421898
test_mae_170200090103,1,0.054219577461481094
test_mae_170200090103,2,0.05193497613072395
test_mae_170200090103,3,0.054101090878248215
test_mae_170200090103,4,0.05790518596768379
test_mae_170200090103,5,0.060948409140110016
test_mae_170200090103,6,0.057147059589624405
test_mae_170200090103,7,0.06178116798400879
test_mae_170200090103,8,0.058399152010679245
test_mae_170200090103,9,0.05941956117749214
train_mse_170200090105,0,0.008719494566321373
train_mse_170200090105,1,0.008122237399220467
train_mse_170200090105,2,0.009084229357540607
train_mse_170200090105,3,0.0077753616496920586
train_mse_170200090105,4,0.007971348240971565
train_mse_170200090105,5,0.008125795051455498
train_mse_170200090105,6,0.009412920102477074
train_mse_170200090105,7,0.008515901863574982
train_mse_170200090105,8,0.008151527494192123
train_mse_170200090105,9,0.0095165790989995
train_kge_170200090105,0,0.9728003247628839
train_kge_170200090105,1,0.9423993543844846
train_kge_170200090105,2,0.9699623936329487
train_kge_170200090105,3,0.9713917575853108
train_kge_170200090105,4,0.9712512897692606
train_kge_170200090105,5,0.9773148220373338
train_kge_170200090105,6,0.9535283873115477
train_kge_170200090105,7,0.9696537000382714
train_kge_170200090105,8,0.9654957707396293
train_kge_170200090105,9,0.9537901447056687
train_mae_170200090101,0,0.25996360182762146
train_mae_170200090101,1,0.2933054268360138
train_mae_170200090101,2,0.21028287708759308
train_mae_170200090101,3,0.12758305668830872
train_mae_170200090101,4,0.12000223994255066
train_mae_170200090101,5,0.10606946796178818
train_mae_170200090101,6,0.09795176982879639
train_mae_170200090101,7,0.09920614212751389
train_mae_170200090101,8,0.09229173511266708
train_mae_170200090101,9,0.09425249695777893
test_kge_170200090102,0,0.9332402368099902
test_kge_170200090102,1,0.9157413146186205
test_kge_170200090102,2,0.9067335627712038
test_kge_170200090102,3,0.932535743772506
test_kge_170200090102,4,0.9329755984436056
test_kge_170200090102,5,0.8812918946341036
test_kge_170200090102,6,0.8866105337814248
test_kge_170200090102,7,0.8983620639759875
test_kge_170200090102,8,0.8623371146857017
test_kge_170200090102,9,0.892341289265367
test_r2_170200090105,0,0.9409403800964355
test_r2_170200090105,1,0.9480806589126587
test_r2_170200090105,2,0.9546070694923401
test_r2_170200090105,3,0.9484364986419678
test_r2_170200090105,4,0.9447553753852844
test_r2_170200090105,5,0.946071445941925
test_r2_170200090105,6,0.9447085857391357
test_r2_170200090105,7,0.9459622502326965
test_r2_170200090105,8,0.9428411722183228
test_r2_170200090105,9,0.9415547847747803
train_mae_170200090105,0,0.06172370910644531
train_mae_170200090105,1,0.0609542578458786
train_mae_170200090105,2,0.06419682502746582
train_mae_170200090105,3,0.059508129954338074
train_mae_170200090105,4,0.05941994488239288
train_mae_170200090105,5,0.05938193202018738
train_mae_170200090105,6,0.06443915516138077
train_mae_170200090105,7,0.06152025982737541
train_mae_170200090105,8,0.05958539620041847
train_mae_170200090105,9,0.0636494979262352
train_kge_170200090103,0,0.9453493836364496
train_kge_170200090103,1,0.9447463291696405
train_kge_170200090103,2,0.9786254266481185
train_kge_170200090103,3,0.957725832219335
train_kge_170200090103,4,0.9473573784670982
train_kge_170200090103,5,0.9320262454095933
train_kge_170200090103,6,0.9785243213209742
train_kge_170200090103,7,0.9380714518443173
train_kge_170200090103,8,0.9354991474991793
train_kge_170200090103,9,0.9515855218493249
test_mse_170200090101,0,0.08549327403306961
test_mse_170200090101,1,0.1889323890209198
test_mse_170200090101,2,0.07092131674289703
test_mse_170200090101,3,0.026940884068608284
test_mse_170200090101,4,0.02328389324247837
test_mse_170200090101,5,0.019377758726477623
test_mse_170200090101,6,0.02191673219203949
test_mse_170200090101,7,0.02372950315475464
test_mse_170200090101,8,0.016536414623260498
test_mse_170200090101,9,0.019417159259319305
train_mse_170200090102,0,0.016833798959851265
train_mse_170200090102,1,0.016221093013882637
train_mse_170200090102,2,0.017487455159425735
train_mse_170200090102,3,0.010400949977338314
train_mse_170200090102,4,0.010825722478330135
train_mse_170200090102,5,0.01106094941496849
train_mse_170200090102,6,0.010288511402904987
train_mse_170200090102,7,0.009027854539453983
train_mse_170200090102,8,0.01096500176936388
train_mse_170200090102,9,0.009617270901799202
test_kge_170200090103,0,0.9592646729284612
test_kge_170200090103,1,0.9542928757749584
test_kge_170200090103,2,0.9673507678742869
test_kge_170200090103,3,0.9474902123637226
test_kge_170200090103,4,0.924334270623283
test_kge_170200090103,5,0.9390137708113783
test_kge_170200090103,6,0.9583130355164943
test_kge_170200090103,7,0.921769436839822
test_kge_170200090103,8,0.919120817632345
test_kge_170200090103,9,0.9388269795835354
test_mse_170200090105,0,0.01386821735650301
test_mse_170200090105,1,0.01219156477600336
test_mse_170200090105,2,0.010659038089215755
test_mse_170200090105,3,0.012108007445931435
test_mse_170200090105,4,0.012972387485206127
test_mse_170200090105,5,0.012663357891142368
test_mse_170200090105,6,0.012983376160264015
test_mse_170200090105,7,0.012688997201621532
test_mse_170200090105,8,0.013421877287328243
test_mse_170200090105,9,0.013723942451179028
test_mse_170200090103,0,0.006093116942793131
test_mse_170200090103,1,0.0067158835008740425
test_mse_170200090103,2,0.0064653055742383
test_mse_170200090103,3,0.007484655361622572
test_mse_170200090103,4,0.008298869244754314
test_mse_170200090103,5,0.008358025923371315
test_mse_170200090103,6,0.007901719771325588
test_mse_170200090103,7,0.010330379009246826
test_mse_170200090103,8,0.0088881840929389
test_mse_170200090103,9,0.009565574117004871
train_r2_170200090103,0,0.9546623826026917
train_r2_170200090103,1,0.9578680396080017
train_r2_170200090103,2,0.9667609930038452
train_r2_170200090103,3,0.9581692218780518
train_r2_170200090103,4,0.9638071060180664
train_r2_170200090103,5,0.9571263194084167
train_r2_170200090103,6,0.9745071530342102
train_r2_170200090103,7,0.9584502577781677
train_r2_170200090103,8,0.9663228988647461
train_r2_170200090103,9,0.970580518245697
train_mse_170200090101,0,0.10287688672542572
train_mse_170200090101,1,0.20055663585662842
train_mse_170200090101,2,0.08483750373125076
train_mse_170200090101,3,0.040660589933395386
train_mse_170200090101,4,0.03699718415737152
train_mse_170200090101,5,0.028081698343157768
train_mse_170200090101,6,0.0250474251806736
train_mse_170200090101,7,0.025002751499414444
train_mse_170200090101,8,0.021924937143921852
train_mse_170200090101,9,0.02311403676867485
test_r2_170200090104,0,0.9388126134872437
test_r2_170200090104,1,0.9342918395996094
test_r2_170200090104,2,0.937703013420105
test_r2_170200090104,3,0.9371441602706909
test_r2_170200090104,4,0.9398505091667175
test_r2_170200090104,5,0.9329711198806763
test_r2_170200090104,6,0.93267422914505
test_r2_170200090104,7,0.9385806918144226
test_r2_170200090104,8,0.9298282265663147
test_r2_170200090104,9,0.9376398324966431
train_mae_170200090104,0,0.05760129168629646
train_mae_170200090104,1,0.05741501227021217
train_mae_170200090104,2,0.055486083030700684
train_mae_170200090104,3,0.05275990068912506
train_mae_170200090104,4,0.052582308650016785
train_mae_170200090104,5,0.05654522031545639
train_mae_170200090104,6,0.055382125079631805
train_mae_170200090104,7,0.05224449932575226
train_mae_170200090104,8,0.05378160998225212
train_mae_170200090104,9,0.04883332550525665
test_r2_170200090102,0,0.9124220609664917
test_r2_170200090102,1,0.9197877645492554
test_r2_170200090102,2,0.908902645111084
test_r2_170200090102,3,0.9300002455711365
test_r2_170200090102,4,0.9284033179283142
test_r2_170200090102,5,0.9205823540687561
test_r2_170200090102,6,0.9267217516899109
test_r2_170200090102,7,0.930313229560852
test_r2_170200090102,8,0.919691801071167
test_r2_170200090102,9,0.9119802117347717
train_kge_170200090102,0,0.8956302242618872
train_kge_170200090102,1,0.9530950573811506
train_kge_170200090102,2,0.8835941932463507
train_kge_170200090102,3,0.9568466546374963
train_kge_170200090102,4,0.9316100697851951
train_kge_170200090102,5,0.9246947218863739
train_kge_170200090102,6,0.931537247203645
train_kge_170200090102,7,0.9358448423273242
train_kge_170200090102,8,0.9016987797809335
train_kge_170200090102,9,0.946021527644367
train_mse_170200090104,0,0.007505612447857857
train_mse_170200090104,1,0.007861857302486897
train_mse_170200090104,2,0.007558709476143122
train_mse_170200090104,3,0.0067795501090586185
train_mse_170200090104,4,0.006812801118940115
train_mse_170200090104,5,0.0078534334897995
train_mse_170200090104,6,0.007181959226727486
train_mse_170200090104,7,0.006441442295908928
train_mse_170200090104,8,0.006845348048955202
train_mse_170200090104,9,0.005774988327175379
test_mae_170200090101,0,0.2387533187866211
test_mae_170200090101,1,0.2894148528575897
test_mae_170200090101,2,0.1905669867992401
test_mae_170200090101,3,0.1052052453160286
test_mae_170200090101,4,0.09801764786243439
test_mae_170200090101,5,0.08871186524629593
test_mae_170200090101,6,0.09081878513097763
test_mae_170200090101,7,0.10297924280166626
test_mae_170200090101,8,0.07951795309782028
test_mae_170200090101,9,0.08460968732833862
train_r2_170200090105,0,0.9646636247634888
train_r2_170200090105,1,0.9670840501785278
train_r2_170200090105,2,0.9631855487823486
train_r2_170200090105,3,0.9684897661209106
train_r2_170200090105,4,0.9676955342292786
train_r2_170200090105,5,0.9670696258544922
train_r2_170200090105,6,0.9618535041809082
train_r2_170200090105,7,0.9654887318611145
train_r2_170200090105,8,0.96696537733078
train_r2_170200090105,9,0.9614334106445312
test_mae_170200090104,0,0.06550680100917816
test_mae_170200090104,1,0.06800256669521332
test_mae_170200090104,2,0.06774237006902695
test_mae_170200090104,3,0.06821505725383759
test_mae_170200090104,4,0.06409379094839096
test_mae_170200090104,5,0.0716743990778923
test_mae_170200090104,6,0.06778940558433533
test_mae_170200090104,7,0.06481504440307617
test_mae_170200090104,8,0.07230054587125778
test_mae_170200090104,9,0.06644349545240402
test_mse_170200090104,0,0.011011121794581413
test_mse_170200090104,1,0.011824673973023891
test_mse_170200090104,2,0.011210803873836994
test_mse_170200090104,3,0.011311372742056847
test_mse_170200090104,4,0.010824342258274555
test_mse_170200090104,5,0.012062348425388336
test_mse_170200090104,6,0.012115774676203728
test_mse_170200090104,7,0.011052863672375679
test_mse_170200090104,8,0.012627934105694294
test_mse_170200090104,9,0.011222170665860176
train_kge_170200090104,0,0.9633496629063938
train_kge_170200090104,1,0.9245260493395724
train_kge_170200090104,2,0.9256811562922006
train_kge_170200090104,3,0.9380620461850859
train_kge_170200090104,4,0.9431259569714311
train_kge_170200090104,5,0.9756070811632455
train_kge_170200090104,6,0.9316833690177474
train_kge_170200090104,7,0.9831267101356603
train_kge_170200090104,8,0.9482561640057925
train_kge_170200090104,9,0.9834371298982241
test_kge_170200090104,0,0.9638386077570187
test_kge_170200090104,1,0.9312076086287543
test_kge_170200090104,2,0.9289993059161195
test_kge_170200090104,3,0.9313876523756903
test_kge_170200090104,4,0.9467207535819961
test_kge_170200090104,5,0.9450633065414966
test_kge_170200090104,6,0.9241634366163852
test_kge_170200090104,7,0.9592965319577045
test_kge_170200090104,8,0.9158266747023301
test_kge_170200090104,9,0.9578925801067517
test_kge_170200090101,0,0.6435280685947541
test_kge_170200090101,1,0.24284387499829985
test_kge_170200090101,2,0.7331835750838341
test_kge_170200090101,3,0.8995178553772818
test_kge_170200090101,4,0.9198870957489813
test_kge_170200090101,5,0.9404698126041395
test_kge_170200090101,6,0.9230625852816465
test_kge_170200090101,7,0.860380454284965
test_kge_170200090101,8,0.9248536471977254
test_kge_170200090101,9,0.8964464040929808
test_r2_170200090101,0,0.5009589791297913
test_r2_170200090101,1,-0.10283541679382324
test_r2_170200090101,2,0.5860183238983154
test_r2_170200090101,3,0.8427407741546631
test_r2_170200090101,4,0.8640873432159424
test_r2_170200090101,5,0.8868882060050964
test_r2_170200090101,6,0.8720677495002747
test_r2_170200090101,7,0.8614862561225891
test_r2_170200090101,8,0.9034737348556519
test_r2_170200090101,9,0.886658251285553
test_mae_170200090105,0,0.07787192612886429
test_mae_170200090105,1,0.07092757523059845
test_mae_170200090105,2,0.06568455696105957
test_mae_170200090105,3,0.07080970704555511
test_mae_170200090105,4,0.07415065914392471
test_mae_170200090105,5,0.06911064684391022
test_mae_170200090105,6,0.07182161509990692
test_mae_170200090105,7,0.06792214512825012
test_mae_170200090105,8,0.07185299694538116
test_mae_170200090105,9,0.07224779576063156
test_mse_170200090102,0,0.014325106516480446
test_mse_170200090102,1,0.013120305724442005
test_mse_170200090102,2,0.014900783076882362
test_mse_170200090102,3,0.011449848301708698
test_mse_170200090102,4,0.0117110600695014
test_mse_170200090102,5,0.012990331277251244
test_mse_170200090102,6,0.011986110359430313
test_mse_170200090102,7,0.01139865256845951
test_mse_170200090102,8,0.013136003166437149
test_mse_170200090102,9,0.01439738366752863
test_mae_170200090102,0,0.07710044831037521
test_mae_170200090102,1,0.0743546187877655
test_mae_170200090102,2,0.07740924507379532
test_mae_170200090102,3,0.07168466597795486
test_mae_170200090102,4,0.07105164229869843
test_mae_170200090102,5,0.0759614035487175
test_mae_170200090102,6,0.06956242769956589
test_mae_170200090102,7,0.0683053731918335
test_mae_170200090102,8,0.07569998502731323
test_mae_170200090102,9,0.0759342685341835
train_r2_170200090102,0,0.9087498784065247
train_r2_170200090102,1,0.912071168422699
train_r2_170200090102,2,0.9052066802978516
train_r2_170200090102,3,0.9436200857162476
train_r2_170200090102,4,0.9413175582885742
train_r2_170200090102,5,0.9400424957275391
train_r2_170200090102,6,0.9442296028137207
train_r2_170200090102,7,0.9510631561279297
train_r2_170200090102,8,0.9405626058578491
train_r2_170200090102,9,0.9478681683540344
train_mse_170200090103,0,0.006368875503540039
train_mse_170200090103,1,0.005918548908084631
train_mse_170200090103,2,0.004669304005801678
train_mse_170200090103,3,0.005876247305423021
train_mse_170200090103,4,0.005084250587970018
train_mse_170200090103,5,0.006022746209055185
train_mse_170200090103,6,0.003581151133403182
train_mse_170200090103,7,0.0058367629535496235
train_mse_170200090103,8,0.004730846732854843
train_mse_170200090103,9,0.004132749978452921
train_kge_170200090101,0,0.5934631945706551
train_kge_170200090101,1,0.22294224483127312
train_kge_170200090101,2,0.6885974901986811
train_kge_170200090101,3,0.8679548141286906
train_kge_170200090101,4,0.8857781139937133
train_kge_170200090101,5,0.9185107464503368
train_kge_170200090101,6,0.925106931529358
train_kge_170200090101,7,0.8969348074377057
train_kge_170200090101,8,0.8838136278722645
train_kge_170200090101,9,0.8609125433743635
train_r2_170200090104,0,0.9608781933784485
train_r2_170200090104,1,0.959021270275116
train_r2_170200090104,2,0.9606013894081116
train_r2_170200090104,3,0.9646626710891724
train_r2_170200090104,4,0.9644893407821655
train_r2_170200090104,5,0.9590651988983154
train_r2_170200090104,6,0.9625651836395264
train_r2_170200090104,7,0.9664250016212463
train_r2_170200090104,8,0.9643197059631348
train_r2_170200090104,9,0.9698987603187561
train_r2_170200090101,0,0.4318022131919861
train_r2_170200090101,1,-0.10769128799438477
train_r2_170200090101,2,0.5314352512359619
train_r2_170200090101,3,0.7754281163215637
train_r2_170200090101,4,0.795661449432373
train_r2_170200090101,5,0.8449023962020874
train_r2_170200090101,6,0.8616609573364258
train_r2_170200090101,7,0.8619076609611511
train_r2_170200090101,8,0.8789067268371582
train_r2_170200090101,9,0.8723392486572266
train_mae_170200090103,0,0.05302981659770012
train_mae_170200090103,1,0.05171781778335571
train_mae_170200090103,2,0.04453981667757034
train_mae_170200090103,3,0.04958479478955269
train_mae_170200090103,4,0.04637300968170166
train_mae_170200090103,5,0.050570469349622726
train_mae_170200090103,6,0.03966653347015381
train_mae_170200090103,7,0.04851178824901581
train_mae_170200090103,8,0.0441366508603096
train_mae_170200090103,9,0.04147140309214592
test_kge_170200090105,0,0.9601858798385472
test_kge_170200090105,1,0.9186814579741304
test_kge_170200090105,2,0.9599032194155261
test_kge_170200090105,3,0.9505489027872475
test_kge_170200090105,4,0.9510820933084196
test_kge_170200090105,5,0.9714743947243496
test_kge_170200090105,6,0.943252024559899
test_kge_170200090105,7,0.9623212766806295
test_kge_170200090105,8,0.9491426388927268
test_kge_170200090105,9,0.9383412601533027
test_r2_170200090103,0,0.9522899985313416
test_r2_170200090103,1,0.9474136829376221
test_r2_170200090103,2,0.9493757486343384
test_r2_170200090103,3,0.9413940906524658
test_r2_170200090103,4,0.9350186586380005
test_r2_170200090103,5,0.9345554709434509
test_r2_170200090103,6,0.9381284117698669
test_r2_170200090103,7,0.9191116094589233
test_r2_170200090103,8,0.9304042458534241
test_r2_170200090103,9,0.9251002073287964
test_mse_170200090106,0,0.011712906882166862
test_mse_170200090106,1,0.01169538963586092
test_mse_170200090106,2,0.010816999711096287
test_mse_170200090106,3,0.012589816004037857
test_mse_170200090106,4,0.011907964013516903
test_mse_170200090106,5,0.011447629891335964
test_mse_170200090106,6,0.01159192156046629
test_mse_170200090106,7,0.012085211463272572
test_mse_170200090106,8,0.011830810457468033
test_mse_170200090106,9,0.01127124484628439
train_kge_170200090109,0,0.9568395977849149
train_kge_170200090109,1,0.969524882614087
train_kge_170200090109,2,0.96265429308384
train_kge_170200090109,3,0.949597510361205
train_kge_170200090109,4,0.9363505288133785
train_kge_170200090109,5,0.9609506936027298
train_kge_170200090109,6,0.9509348402397692
train_kge_170200090109,7,0.9575850797026073
train_kge_170200090109,8,0.9697629893590582
train_kge_170200090109,9,0.9761935190475395
test_kge_170200090113,0,0.9243555997776073
test_kge_170200090113,1,0.8422448383976527
test_kge_170200090113,2,0.8272969050914907
test_kge_170200090113,3,0.7433562633111304
test_kge_170200090113,4,0.8238949355660794
test_kge_170200090113,5,0.8365363366552486
test_kge_170200090113,6,0.849134267241996
test_kge_170200090113,7,0.8724330005272115
test_kge_170200090113,8,0.8775312466568939
test_kge_170200090113,9,0.856085278843748
train_kge_170200090113,0,0.8904146353817927
train_kge_170200090113,1,0.9737360086507474
train_kge_170200090113,2,0.9533942533387234
train_kge_170200090113,3,0.9477240850225855
train_kge_170200090113,4,0.9504973142380597
train_kge_170200090113,5,0.9755308897827589
train_kge_170200090113,6,0.9757405964434598
train_kge_170200090113,7,0.9378075972041928
train_kge_170200090113,8,0.9432086193557623
train_kge_170200090113,9,0.9606975318710568
train_mse_170200110105,0,0.0022476755548268557
train_mse_170200110105,1,0.0016039946349337697
train_mse_170200110105,2,0.001131908386014402
train_mse_170200110105,3,0.0012011777143925428
train_mse_170200110105,4,0.0016469437396153808
train_mse_170200110105,5,0.0011959744151681662
train_mse_170200110105,6,0.0011748602846637368
train_mse_170200110105,7,0.0013589427107945085
train_mse_170200110105,8,0.0017885265406221151
train_mse_170200110105,9,0.0012040266301482916
test_mae_170200090107,0,0.054167117923498154
test_mae_170200090107,1,0.05356582999229431
test_mae_170200090107,2,0.05601601302623749
test_mae_170200090107,3,0.05757841467857361
test_mae_170200090107,4,0.057659346610307693
test_mae_170200090107,5,0.060885313898324966
test_mae_170200090107,6,0.05584690719842911
test_mae_170200090107,7,0.09910379350185394
test_mae_170200090107,8,0.1297641396522522
test_mae_170200090107,9,0.0860050842165947
train_mae_170200090107,0,0.043075453490018845
train_mae_170200090107,1,0.04174719378352165
train_mae_170200090107,2,0.04554019868373871
train_mae_170200090107,3,0.0420493558049202
train_mae_170200090107,4,0.0432693287730217
train_mae_170200090107,5,0.0446334183216095
train_mae_170200090107,6,0.041092272847890854
train_mae_170200090107,7,0.08690287917852402
train_mae_170200090107,8,0.1415032148361206
train_mae_170200090107,9,0.08188732713460922
test_kge_170200090112,0,0.8650774075865876
test_kge_170200090112,1,0.8908089690073561
test_kge_170200090112,2,0.8347559439853853
test_kge_170200090112,3,0.8710281400131441
test_kge_170200090112,4,0.8946854853202479
test_kge_170200090112,5,0.8811682094597825
test_kge_170200090112,6,0.8569304098166532
test_kge_170200090112,7,0.889390698443841
test_kge_170200090112,8,0.8549098186573545
test_kge_170200090112,9,0.8640074409242976
test_mae_170200110101,0,0.08200497180223465
test_mae_170200110101,1,0.08639969676733017
test_mae_170200110101,2,0.08294858038425446
test_mae_170200110101,3,0.08228258788585663
test_mae_170200110101,4,0.07591359317302704
test_mae_170200110101,5,0.07779902964830399
test_mae_170200110101,6,0.07826629281044006
test_mae_170200110101,7,0.07730015367269516
test_mae_170200110101,8,0.07673873007297516
test_mae_170200110101,9,0.07792231440544128
test_r2_170200090202,0,0.8690633773803711
test_r2_170200090202,1,0.8535724878311157
test_r2_170200090202,2,0.8550835847854614
test_r2_170200090202,3,0.8611836433410645
test_r2_170200090202,4,0.8754709362983704
test_r2_170200090202,5,0.8534882664680481
test_r2_170200090202,6,0.857965886592865
test_r2_170200090202,7,0.8520371913909912
test_r2_170200090202,8,0.84930020570755
test_r2_170200090202,9,0.8605859875679016
test_kge_170200090106,0,0.9645671344685519
test_kge_170200090106,1,0.9635302710347516
test_kge_170200090106,2,0.9573461826385007
test_kge_170200090106,3,0.9199967613263537
test_kge_170200090106,4,0.9500515684748205
test_kge_170200090106,5,0.9581701468887102
test_kge_170200090106,6,0.9289771573288264
