Metric,Step,Value
train_mae_170200090103,0,0.07224944978952408
train_mae_170200090103,1,0.07729603350162506
train_mae_170200090103,2,0.05134245753288269
train_mae_170200090103,3,0.0653996616601944
train_mae_170200090103,4,0.05417998135089874
train_mae_170200090103,5,0.048469770699739456
train_mae_170200090103,6,0.047323234379291534
train_mae_170200090103,7,0.04891946166753769
train_mae_170200090103,8,0.0437394343316555
train_mae_170200090103,9,0.04521030932664871
train_kge_170200090102,0,0.8685547588584435
train_kge_170200090102,1,0.8921510335163063
train_kge_170200090102,2,0.959484774874081
train_kge_170200090102,3,0.9538537391530544
train_kge_170200090102,4,0.9524576721471275
train_kge_170200090102,5,0.9479168848989208
train_kge_170200090102,6,0.9163351656879555
train_kge_170200090102,7,0.9389563158990305
train_kge_170200090102,8,0.9547748877360354
train_kge_170200090102,9,0.9643665595134602
train_mae_170200090101,0,0.1463710069656372
train_mae_170200090101,1,0.16683931648731232
train_mae_170200090101,2,0.13377396762371063
train_mae_170200090101,3,0.09851793199777603
train_mae_170200090101,4,0.09364435076713562
train_mae_170200090101,5,0.14531297981739044
train_mae_170200090101,6,0.08892716467380524
train_mae_170200090101,7,0.0918227806687355
train_mae_170200090101,8,0.08612635731697083
train_mae_170200090101,9,0.08469899743795395
test_kge_170200090103,0,0.9483157602317954
test_kge_170200090103,1,0.7875077594806817
test_kge_170200090103,2,0.9342581416607685
test_kge_170200090103,3,0.8885432668163757
test_kge_170200090103,4,0.8497715419935354
test_kge_170200090103,5,0.9698936552918332
test_kge_170200090103,6,0.9670226070606457
test_kge_170200090103,7,0.8965735026482433
test_kge_170200090103,8,0.896124275035218
test_kge_170200090103,9,0.9725256773425158
test_kge_170200090108,0,0.8809013692812925
test_kge_170200090108,1,0.9193953266777887
test_kge_170200090108,2,0.953498800149513
test_kge_170200090108,3,0.9404770353656269
test_kge_170200090108,4,0.9258787724748968
test_kge_170200090108,5,0.894143225705655
test_kge_170200090108,6,0.8677201943695358
test_kge_170200090108,7,0.91578277206227
test_kge_170200090108,8,0.9728915585264883
test_kge_170200090108,9,0.8188591598629597
train_mse_170200090107,0,0.004356314428150654
train_mse_170200090107,1,0.004505600780248642
train_mse_170200090107,2,0.004363032057881355
train_mse_170200090107,3,0.004688071087002754
train_mse_170200090107,4,0.003251113463193178
train_mse_170200090107,5,0.003757248166948557
train_mse_170200090107,6,0.004091725684702396
train_mse_170200090107,7,0.0032280695158988237
train_mse_170200090107,8,0.0037930612452328205
train_mse_170200090107,9,0.00410475255921483
test_mae_170200090104,0,0.07889411598443985
test_mae_170200090104,1,0.06269031763076782
test_mae_170200090104,2,0.06345928460359573
test_mae_170200090104,3,0.07218220084905624
test_mae_170200090104,4,0.07189810276031494
test_mae_170200090104,5,0.06726134568452835
test_mae_170200090104,6,0.06954537332057953
test_mae_170200090104,7,0.07067549228668213
test_mae_170200090104,8,0.06544601172208786
test_mae_170200090104,9,0.06490863859653473
train_mse_170200090104,0,0.009629718959331512
train_mse_170200090104,1,0.007396714296191931
train_mse_170200090104,2,0.007990271784365177
train_mse_170200090104,3,0.0076200226321816444
train_mse_170200090104,4,0.007296391297131777
train_mse_170200090104,5,0.006940268911421299
train_mse_170200090104,6,0.006849386729300022
train_mse_170200090104,7,0.0067411987110972404
train_mse_170200090104,8,0.007158813066780567
train_mse_170200090104,9,0.006412791088223457
train_r2_170200090104,0,0.9498065710067749
train_r2_170200090104,1,0.9614458084106445
train_r2_170200090104,2,0.9583519697189331
train_r2_170200090104,3,0.9602818489074707
train_r2_170200090104,4,0.961968719959259
train_r2_170200090104,5,0.9638249278068542
train_r2_170200090104,6,0.964298665523529
train_r2_170200090104,7,0.964862585067749
train_r2_170200090104,8,0.9626858234405518
train_r2_170200090104,9,0.9665743112564087
train_mae_170200090104,0,0.06450646370649338
train_mae_170200090104,1,0.056339118629693985
train_mae_170200090104,2,0.05788412317633629
train_mae_170200090104,3,0.05700971931219101
train_mae_170200090104,4,0.05666468292474747
train_mae_170200090104,5,0.0552644357085228
train_mae_170200090104,6,0.053275637328624725
train_mae_170200090104,7,0.0537404790520668
train_mae_170200090104,8,0.052807193249464035
train_mae_170200090104,9,0.05165369063615799
test_mse_170200090108,0,0.008879182860255241
test_mse_170200090108,1,0.00801981519907713
test_mse_170200090108,2,0.006687812972813845
test_mse_170200090108,3,0.0064673470333218575
test_mse_170200090108,4,0.0071456534788012505
test_mse_170200090108,5,0.008222970180213451
test_mse_170200090108,6,0.00957459956407547
test_mse_170200090108,7,0.008592022582888603
test_mse_170200090108,8,0.006485869642347097
test_mse_170200090108,9,0.011538468301296234
train_mse_170200090108,0,0.0033392743207514286
train_mse_170200090108,1,0.003441047156229615
train_mse_170200090108,2,0.004556336440145969
train_mse_170200090108,3,0.002773458603769541
train_mse_170200090108,4,0.003565497463569045
train_mse_170200090108,5,0.003183523193001747
train_mse_170200090108,6,0.0029789346735924482
train_mse_170200090108,7,0.0032654940150678158
train_mse_170200090108,8,0.002907069167122245
train_mse_170200090108,9,0.0030886337626725435
test_mae_170200090103,0,0.06441750377416611
test_mae_170200090103,1,0.07908608764410019
test_mae_170200090103,2,0.053049031645059586
test_mae_170200090103,3,0.05681045725941658
test_mae_170200090103,4,0.06082816421985626
test_mae_170200090103,5,0.04954458400607109
test_mae_170200090103,6,0.050616662949323654
test_mae_170200090103,7,0.05687468498945236
test_mae_170200090103,8,0.05095132440328598
test_mae_170200090103,9,0.0469839908182621
train_mse_170200090103,0,0.012587664648890495
train_mse_170200090103,1,0.015947453677654266
train_mse_170200090103,2,0.006324915215373039
train_mse_170200090103,3,0.009765583090484142
train_mse_170200090103,4,0.007005946710705757
train_mse_170200090103,5,0.005435303784906864
train_mse_170200090103,6,0.005208279006183147
train_mse_170200090103,7,0.005480851046741009
train_mse_170200090103,8,0.004534901585429907
train_mse_170200090103,9,0.004665651824325323
test_mae_170200090105,0,0.0766773372888565
test_mae_170200090105,1,0.07094264775514603
test_mae_170200090105,2,0.07299216091632843
test_mae_170200090105,3,0.07577530294656754
test_mae_170200090105,4,0.07346267998218536
test_mae_170200090105,5,0.07142645120620728
test_mae_170200090105,6,0.07157372683286667
test_mae_170200090105,7,0.07877951860427856
test_mae_170200090105,8,0.07917962968349457
test_mae_170200090105,9,0.07802674174308777
test_kge_170200090101,0,0.770220230299573
test_kge_170200090101,1,0.6851524611173077
test_kge_170200090101,2,0.8848733886606872
test_kge_170200090101,3,0.8939088726553744
test_kge_170200090101,4,0.8187971301159309
test_kge_170200090101,5,0.7482264187262466
test_kge_170200090101,6,0.9186480321606574
test_kge_170200090101,7,0.9285436559816725
test_kge_170200090101,8,0.955459683657147
test_kge_170200090101,9,0.9406651526730195
test_mae_170200090101,0,0.14213670790195465
test_mae_170200090101,1,0.15860921144485474
test_mae_170200090101,2,0.12271352112293243
test_mae_170200090101,3,0.0911099836230278
test_mae_170200090101,4,0.0954110249876976
test_mae_170200090101,5,0.11034951359033585
test_mae_170200090101,6,0.07950225472450256
test_mae_170200090101,7,0.08052248507738113
test_mae_170200090101,8,0.07277070730924606
test_mae_170200090101,9,0.08307037502527237
test_mse_170200090106,0,0.010782025754451752
test_mse_170200090106,1,0.012449806556105614
test_mse_170200090106,2,0.012596970424056053
test_mse_170200090106,3,0.011049424298107624
test_mse_170200090106,4,0.014956394210457802
test_mse_170200090106,5,0.0111300153657794
test_mse_170200090106,6,0.011669623665511608
test_mse_170200090106,7,0.012988229282200336
test_mse_170200090106,8,0.011444647796452045
test_mse_170200090106,9,0.010847198776900768
train_r2_170200090106,0,0.9630122184753418
train_r2_170200090106,1,0.961866557598114
train_r2_170200090106,2,0.9657102823257446
train_r2_170200090106,3,0.9688445925712585
train_r2_170200090106,4,0.9630273580551147
train_r2_170200090106,5,0.968974769115448
train_r2_170200090106,6,0.9702596664428711
train_r2_170200090106,7,0.9676322340965271
train_r2_170200090106,8,0.9667831063270569
train_r2_170200090106,9,0.9697670936584473
test_r2_170200090102,0,0.8813933730125427
test_r2_170200090102,1,0.8946102857589722
test_r2_170200090102,2,0.926809549331665
test_r2_170200090102,3,0.9133612513542175
test_r2_170200090102,4,0.9170879125595093
test_r2_170200090102,5,0.9006493091583252
test_r2_170200090102,6,0.892545759677887
test_r2_170200090102,7,0.9181048274040222
test_r2_170200090102,8,0.9187548756599426
test_r2_170200090102,9,0.9281184077262878
train_mse_170200090105,0,0.009603249840438366
train_mse_170200090105,1,0.007891788147389889
train_mse_170200090105,2,0.008048377931118011
train_mse_170200090105,3,0.00830811820924282
train_mse_170200090105,4,0.008124749176204205
train_mse_170200090105,5,0.006991912145167589
train_mse_170200090105,6,0.006585509516298771
train_mse_170200090105,7,0.009014944545924664
train_mse_170200090105,8,0.00818313006311655
train_mse_170200090105,9,0.007867315784096718
train_r2_170200090108,0,0.9786389470100403
train_r2_170200090108,1,0.9779879450798035
train_r2_170200090108,2,0.9708535075187683
train_r2_170200090108,3,0.9822584390640259
train_r2_170200090108,4,0.9771918058395386
train_r2_170200090108,5,0.9796352982521057
train_r2_170200090108,6,0.980944037437439
train_r2_170200090108,7,0.9791109561920166
train_r2_170200090108,8,0.9814037680625916
train_r2_170200090108,9,0.9802423119544983
test_r2_170200090104,0,0.917651891708374
test_r2_170200090104,1,0.9479168057441711
test_r2_170200090104,2,0.9453935027122498
test_r2_170200090104,3,0.934062123298645
test_r2_170200090104,4,0.9310722947120667
test_r2_170200090104,5,0.9394491910934448
test_r2_170200090104,6,0.9344744086265564
test_r2_170200090104,7,0.9348524808883667
test_r2_170200090104,8,0.9424173831939697
test_r2_170200090104,9,0.942249059677124
test_r2_170200090107,0,0.9594610333442688
test_r2_170200090107,1,0.9549583196640015
test_r2_170200090107,2,0.9578499794006348
test_r2_170200090107,3,0.9562419056892395
test_r2_170200090107,4,0.9638060927391052
test_r2_170200090107,5,0.9609670639038086
test_r2_170200090107,6,0.9482120275497437
test_r2_170200090107,7,0.9570349454879761
test_r2_170200090107,8,0.956983745098114
test_r2_170200090107,9,0.9626998901367188
test_mae_170200090107,0,0.05723784491419792
test_mae_170200090107,1,0.0579964816570282
test_mae_170200090107,2,0.059787385165691376
test_mae_170200090107,3,0.059890419244766235
test_mae_170200090107,4,0.0525100938975811
test_mae_170200090107,5,0.054726261645555496
test_mae_170200090107,6,0.06292880326509476
test_mae_170200090107,7,0.05810672417283058
test_mae_170200090107,8,0.056475237011909485
test_mae_170200090107,9,0.05530725046992302
test_mse_170200090104,0,0.014819145202636719
test_mse_170200090104,1,0.009372757747769356
test_mse_170200090104,2,0.009826842695474625
test_mse_170200090104,3,0.011866014450788498
test_mse_170200090104,4,0.012404047884047031
test_mse_170200090104,5,0.01089656725525856
test_mse_170200090104,6,0.011791810393333435
test_mse_170200090104,7,0.011723777279257774
test_mse_170200090104,8,0.010362416505813599
test_mse_170200090104,9,0.010392704047262669
train_r2_170200090105,0,0.9610821604728699
train_r2_170200090105,1,0.9680179953575134
train_r2_170200090105,2,0.9673833847045898
train_r2_170200090105,3,0.9663307666778564
train_r2_170200090105,4,0.9670738577842712
train_r2_170200090105,5,0.9716647863388062
train_r2_170200090105,6,0.9733117818832397
train_r2_170200090105,7,0.9634662866592407
train_r2_170200090105,8,0.9668372869491577
train_r2_170200090105,9,0.9681171178817749
train_r2_170200090107,0,0.9779263138771057
train_r2_170200090107,1,0.9771698713302612
train_r2_170200090107,2,0.977892279624939
train_r2_170200090107,3,0.9762452840805054
train_r2_170200090107,4,0.9835264086723328
train_r2_170200090107,5,0.980961799621582
train_r2_170200090107,6,0.9792670011520386
train_r2_170200090107,7,0.9836431741714478
train_r2_170200090107,8,0.9807803630828857
train_r2_170200090107,9,0.9792009592056274
test_mse_170200090102,0,0.0194004625082016
test_mse_170200090102,1,0.01723858155310154
test_mse_170200090102,2,0.011971753090620041
test_mse_170200090102,3,0.014171487651765347
test_mse_170200090102,4,0.013561918400228024
test_mse_170200090102,5,0.01625077612698078
test_mse_170200090102,6,0.017576275393366814
test_mse_170200090102,7,0.01339558232575655
test_mse_170200090102,8,0.01328925509005785
test_mse_170200090102,9,0.01175765972584486
test_kge_170200090102,0,0.8185671672916548
test_kge_170200090102,1,0.8317730339934291
test_kge_170200090102,2,0.9498167795223269
test_kge_170200090102,3,0.9096053546267505
test_kge_170200090102,4,0.9444897601034591
test_kge_170200090102,5,0.9227788095010285
test_kge_170200090102,6,0.8555428533715186
test_kge_170200090102,7,0.9338841145646012
test_kge_170200090102,8,0.9398599903364971
test_kge_170200090102,9,0.9197887370929567
test_mae_170200090102,0,0.09127131849527359
test_mae_170200090102,1,0.08582732081413269
test_mae_170200090102,2,0.07108653336763382
test_mae_170200090102,3,0.07677200436592102
test_mae_170200090102,4,0.07400202006101608
test_mae_170200090102,5,0.078939288854599
test_mae_170200090102,6,0.08691554516553879
test_mae_170200090102,7,0.07447750866413116
test_mae_170200090102,8,0.07245592772960663
test_mae_170200090102,9,0.06965935230255127
train_mae_170200090102,0,0.07961893081665039
train_mae_170200090102,1,0.07350404560565948
train_mae_170200090102,2,0.07086232304573059
train_mae_170200090102,3,0.07334057241678238
train_mae_170200090102,4,0.07163649797439575
train_mae_170200090102,5,0.07424105703830719
train_mae_170200090102,6,0.07710856944322586
train_mae_170200090102,7,0.07475288212299347
train_mae_170200090102,8,0.07123153656721115
train_mae_170200090102,9,0.06788241118192673
train_mae_170200090107,0,0.04352565109729767
train_mae_170200090107,1,0.04374309256672859
train_mae_170200090107,2,0.04446587339043617
train_mae_170200090107,3,0.0446045808494091
train_mae_170200090107,4,0.03697454184293747
train_mae_170200090107,5,0.04001808911561966
train_mae_170200090107,6,0.04128565639257431
train_mae_170200090107,7,0.03676817938685417
train_mae_170200090107,8,0.03957867622375488
train_mae_170200090107,9,0.04253740981221199
train_kge_170200090103,0,0.9378680063936128
train_kge_170200090103,1,0.8569017724948519
train_kge_170200090103,2,0.9747670210756061
train_kge_170200090103,3,0.8306932337974448
train_kge_170200090103,4,0.9172632753863664
train_kge_170200090103,5,0.9391950261020034
train_kge_170200090103,6,0.9465787085625595
train_kge_170200090103,7,0.9609737426246332
train_kge_170200090103,8,0.9797533644537695
train_kge_170200090103,9,0.9281413882703682
test_mse_170200090105,0,0.012703760527074337
test_mse_170200090105,1,0.011051631532609463
test_mse_170200090105,2,0.011176727712154388
test_mse_170200090105,3,0.01234615221619606
test_mse_170200090105,4,0.01169899757951498
test_mse_170200090105,5,0.010786307044327259
test_mse_170200090105,6,0.011261259205639362
test_mse_170200090105,7,0.013215858489274979
test_mse_170200090105,8,0.013911416754126549
test_mse_170200090105,9,0.013374703004956245
