Metric,Step,Value
test_r2_170200090101,0,0.7482937574386597
test_r2_170200090101,1,0.7569013237953186
test_r2_170200090101,2,0.7681488394737244
test_r2_170200090101,3,0.7375836372375488
test_r2_170200090101,4,0.7816821932792664
test_r2_170200090101,5,0.8328254818916321
test_r2_170200090101,6,0.8504480123519897
test_r2_170200090101,7,-0.13356304168701172
test_r2_170200090101,8,0.8223941326141357
test_r2_170200090101,9,0.8580154776573181
test_kge_170200090101,0,0.8662007945164998
test_kge_170200090101,1,0.8295789325167557
test_kge_170200090101,2,0.8477387584438696
test_kge_170200090101,3,0.7883307246506417
test_kge_170200090101,4,0.8756973078152114
test_kge_170200090101,5,0.9147262604017843
test_kge_170200090101,6,0.9206770597131577
test_kge_170200090101,7,0.22298846138938444
test_kge_170200090101,8,0.8691921431044897
test_kge_170200090101,9,0.9234466542644695
test_r2_170200090103,0,0.8385733962059021
test_r2_170200090103,1,0.8879454135894775
test_r2_170200090103,2,0.7202878594398499
test_r2_170200090103,3,0.7514843940734863
test_r2_170200090103,4,0.804682731628418
test_r2_170200090103,5,0.7762523889541626
test_r2_170200090103,6,0.7829517126083374
test_r2_170200090103,7,0.7451400756835938
test_r2_170200090103,8,0.7989863157272339
test_r2_170200090103,9,0.7802454233169556
test_r2_170200090104,0,0.8576488494873047
test_r2_170200090104,1,0.8743812441825867
test_r2_170200090104,2,0.8802770972251892
test_r2_170200090104,3,0.9174442887306213
test_r2_170200090104,4,0.9174969792366028
test_r2_170200090104,5,0.8801074624061584
test_r2_170200090104,6,0.9072166085243225
test_r2_170200090104,7,0.5302921533584595
test_r2_170200090104,8,0.7906944155693054
test_r2_170200090104,9,0.897006630897522
test_mae_170200090104,0,0.10007172077894211
test_mae_170200090104,1,0.09402849525213242
test_mae_170200090104,2,0.09305451065301895
test_mae_170200090104,3,0.08065633475780487
test_mae_170200090104,4,0.07887972146272659
test_mae_170200090104,5,0.09291785955429077
test_mae_170200090104,6,0.08059009164571762
test_mae_170200090104,7,0.23799504339694977
test_mae_170200090104,8,0.128316268324852
test_mae_170200090104,9,0.08920124173164368
test_kge_170200090107,0,0.9595894753353704
test_kge_170200090107,1,0.909356823975769
test_kge_170200090107,2,0.9769858765487053
test_kge_170200090107,3,0.9252348680836929
test_kge_170200090107,4,0.9792368980132381
test_kge_170200090107,5,0.9654197726470886
test_kge_170200090107,6,0.9285322433675474
test_kge_170200090107,7,0.9080959956310266
test_kge_170200090107,8,0.9096912732979273
test_kge_170200090107,9,0.9759106061683428
test_mse_170200090103,0,0.020616043359041214
test_mse_170200090103,1,0.014310671016573906
test_mse_170200090103,2,0.03572247549891472
test_mse_170200090103,3,0.031738318502902985
test_mse_170200090103,4,0.02494427189230919
test_mse_170200090103,5,0.02857515960931778
test_mse_170200090103,6,0.027719581499695778
test_mse_170200090103,7,0.032548561692237854
test_mse_170200090103,8,0.02567177452147007
test_mse_170200090103,9,0.02806520275771618
test_kge_170200090103,0,0.7757387434510684
test_kge_170200090103,1,0.9094935938524391
test_kge_170200090103,2,0.8110473585107838
test_kge_170200090103,3,0.8596991703777048
test_kge_170200090103,4,0.8579616047228341
test_kge_170200090103,5,0.8820669797934017
test_kge_170200090103,6,0.8293834549511692
test_kge_170200090103,7,0.8577529990674779
test_kge_170200090103,8,0.8029618973446643
test_kge_170200090103,9,0.8384842151188832
test_mae_170200090103,0,0.08552704006433487
test_mae_170200090103,1,0.07688049972057343
test_mae_170200090103,2,0.12480419129133224
test_mae_170200090103,3,0.11862091720104218
test_mae_170200090103,4,0.10191411525011063
test_mae_170200090103,5,0.10805226117372513
test_mae_170200090103,6,0.1023559719324112
test_mae_170200090103,7,0.11749546974897385
test_mae_170200090103,8,0.10505925118923187
test_mae_170200090103,9,0.11069425940513611
train_kge_170200090103,0,0.8121108081444908
train_kge_170200090103,1,0.9368830714306579
train_kge_170200090103,2,0.8211906212552105
train_kge_170200090103,3,0.8363965068069553
train_kge_170200090103,4,0.8910279697223287
train_kge_170200090103,5,0.8967879646365553
train_kge_170200090103,6,0.8469336911438045
train_kge_170200090103,7,0.8444146052573638
train_kge_170200090103,8,0.8585382525850502
train_kge_170200090103,9,0.8540260663136625
test_mae_170200090101,0,0.1439950168132782
test_mae_170200090101,1,0.13532939553260803
test_mae_170200090101,2,0.1305706650018692
test_mae_170200090101,3,0.1368001252412796
test_mae_170200090101,4,0.13363493978977203
test_mae_170200090101,5,0.11331501603126526
test_mae_170200090101,6,0.10926924645900726
test_mae_170200090101,7,0.29369500279426575
test_mae_170200090101,8,0.12405382841825485
test_mae_170200090101,9,0.10023479908704758
train_mse_170200090105,0,0.026950137689709663
train_mse_170200090105,1,0.022400211542844772
train_mse_170200090105,2,0.016333483159542084
train_mse_170200090105,3,0.02236947976052761
train_mse_170200090105,4,0.016703974455595016
train_mse_170200090105,5,0.01798970252275467
train_mse_170200090105,6,0.014699019491672516
train_mse_170200090105,7,0.013371285982429981
train_mse_170200090105,8,0.014740776270627975
train_mse_170200090105,9,0.013306216336786747
train_mse_170200090110,0,0.003191446652635932
train_mse_170200090110,1,0.0032854871824383736
train_mse_170200090110,2,0.0034011611714959145
train_mse_170200090110,3,0.0031125780660659075
train_mse_170200090110,4,0.0027183464262634516
train_mse_170200090110,5,0.002818850101903081
train_mse_170200090110,6,0.0029394840821623802
train_mse_170200090110,7,0.0027519052382558584
train_mse_170200090110,8,0.003465712536126375
train_mse_170200090110,9,0.003162080654874444
test_kge_170200090109,0,0.9125171980925368
test_kge_170200090109,1,0.9607624069836558
test_kge_170200090109,2,0.9418110658715413
test_kge_170200090109,3,0.9431813786805503
test_kge_170200090109,4,0.9421169489125883
test_kge_170200090109,5,0.9296773910134127
test_kge_170200090109,6,0.920363773193057
test_kge_170200090109,7,0.9263472094866659
test_kge_170200090109,8,0.934726762746586
test_kge_170200090109,9,0.9739137113062897
train_mae_170200090112,0,0.05316735804080963
train_mae_170200090112,1,0.039615385234355927
train_mae_170200090112,2,0.03976365923881531
train_mae_170200090112,3,0.03840864449739456
train_mae_170200090112,4,0.042022429406642914
train_mae_170200090112,5,0.04095067083835602
train_mae_170200090112,6,0.03833705186843872
train_mae_170200090112,7,0.03768149018287659
train_mae_170200090112,8,0.037770576775074005
train_mae_170200090112,9,0.040783096104860306
test_r2_170200090109,0,0.9221470355987549
test_r2_170200090109,1,0.9406663179397583
test_r2_170200090109,2,0.934977650642395
test_r2_170200090109,3,0.9365037679672241
test_r2_170200090109,4,0.9537934064865112
test_r2_170200090109,5,0.9363313913345337
test_r2_170200090109,6,0.9335864186286926
test_r2_170200090109,7,0.9292100667953491
test_r2_170200090109,8,0.9335274696350098
test_r2_170200090109,9,0.9484646320343018
train_mse_170200090109,0,0.006269576493650675
train_mse_170200090109,1,0.004558609798550606
train_mse_170200090109,2,0.005809573456645012
train_mse_170200090109,3,0.005124703049659729
train_mse_170200090109,4,0.005647881422191858
train_mse_170200090109,5,0.004706752952188253
train_mse_170200090109,6,0.005547385197132826
train_mse_170200090109,7,0.004933854099363089
train_mse_170200090109,8,0.004644208122044802
train_mse_170200090109,9,0.004985832143574953
train_r2_170200090114,0,0.9291881322860718
train_r2_170200090114,1,0.9327618479728699
train_r2_170200090114,2,0.9448106288909912
train_r2_170200090114,3,0.9459176063537598
train_r2_170200090114,4,0.9539490342140198
train_r2_170200090114,5,0.9507197141647339
train_r2_170200090114,6,0.9469397068023682
train_r2_170200090114,7,0.9451794028282166
train_r2_170200090114,8,0.9535630941390991
train_r2_170200090114,9,0.9594500064849854
train_mae_170200090201,0,0.03083624877035618
train_mae_170200090201,1,0.02808615006506443
train_mae_170200090201,2,0.03117441013455391
train_mae_170200090201,3,0.02776797115802765
train_mae_170200090201,4,0.030000973492860794
train_mae_170200090201,5,0.027375750243663788
train_mae_170200090201,6,0.02730405330657959
train_mae_170200090201,7,0.02925046905875206
train_mae_170200090201,8,0.0295121893286705
train_mae_170200090201,9,0.030415233224630356
train_r2_170200090101,0,0.7113388180732727
train_r2_170200090101,1,0.7065500020980835
train_r2_170200090101,2,0.7767492532730103
train_r2_170200090101,3,0.7574890851974487
train_r2_170200090101,4,0.7708418369293213
train_r2_170200090101,5,0.782895028591156
train_r2_170200090101,6,0.8041362762451172
train_r2_170200090101,7,-0.1436147689819336
train_r2_170200090101,8,0.7633792161941528
train_r2_170200090101,9,0.8203513622283936
test_mse_170200090101,0,0.0431210957467556
test_mse_170200090101,1,0.04164648428559303
test_mse_170200090101,2,0.039719611406326294
test_mse_170200090101,3,0.04495588690042496
test_mse_170200090101,4,0.037401147186756134
test_mse_170200090101,5,0.028639523312449455
test_mse_170200090101,6,0.025620516389608383
test_mse_170200090101,7,0.19419649243354797
test_mse_170200090101,8,0.03042657859623432
test_mse_170200090101,9,0.024324100464582443
train_mae_170200090102,0,0.1107882410287857
train_mae_170200090102,1,0.10430411249399185
train_mae_170200090102,2,0.10893208533525467
train_mae_170200090102,3,0.1022658422589302
train_mae_170200090102,4,0.09089130163192749
train_mae_170200090102,5,0.0826864168047905
train_mae_170200090102,6,0.0917455181479454
train_mae_170200090102,7,0.09163825958967209
train_mae_170200090102,8,0.08492515981197357
train_mae_170200090102,9,0.14637258648872375
train_mse_170200090104,0,0.029265088960528374
train_mse_170200090104,1,0.02157919853925705
train_mse_170200090104,2,0.02018062211573124
train_mse_170200090104,3,0.017835194244980812
train_mse_170200090104,4,0.014820331707596779
