Metric,Step,Value
test_kge_171100070106,0,0.31499357576021947
test_kge_171100070106,1,-3.4699064992738364
test_kge_171100070106,2,0.0061012341862183295
test_kge_171100070106,3,0.028132409922558832
test_kge_171100070106,4,-1.3821174982427316
test_kge_171100070106,5,-3.129992813109741
test_kge_171100070106,6,0.7156177596611635
test_kge_171100070106,7,0.28916796813146917
test_kge_171100070106,8,0.39614474920228127
test_kge_171100070106,9,-0.5475465318445485
test_kge_171100070106,10,-0.8715354416590746
test_kge_171100070106,11,0.6450998765891864
test_kge_171100070106,12,0.3464533438861781
test_kge_171100070106,13,-0.6756050923155417
test_kge_171100070106,14,0.6326048393470914
test_mae_171100080103,0,0.03877881169319153
test_mae_171100080103,1,0.19544640183448792
test_mae_171100080103,2,0.05179606378078461
test_mae_171100080103,3,0.04580987989902496
test_mae_171100080103,4,0.12559759616851807
test_mae_171100080103,5,0.17192040383815765
test_mae_171100080103,6,0.027458513155579567
test_mae_171100080103,7,0.04189211502671242
test_mae_171100080103,8,0.01829732209444046
test_mae_171100080103,9,0.04524131119251251
test_mae_171100080103,10,0.05097366124391556
test_mae_171100080103,11,0.03168300539255142
test_mae_171100080103,12,0.02306033857166767
test_mae_171100080103,13,0.044448308646678925
test_mae_171100080103,14,0.02187284454703331
test_r2_171100060203,0,0.9955301880836487
test_r2_171100060203,1,0.937801718711853
test_r2_171100060203,2,0.8553104400634766
test_r2_171100060203,3,0.9022262096405029
test_r2_171100060203,4,0.9630312323570251
test_r2_171100060203,5,0.9159658551216125
test_r2_171100060203,6,0.9055518507957458
test_r2_171100060203,7,0.8960938453674316
test_r2_171100060203,8,0.7351478934288025
test_r2_171100060203,9,0.9453818202018738
test_r2_171100060203,10,0.9237803220748901
test_r2_171100060203,11,0.802209734916687
test_r2_171100060203,12,0.9013208150863647
test_r2_171100060203,13,0.9716249704360962
test_r2_171100060203,14,0.9360420107841492
test_recur_mae_171100050708,0,0.17144334316253662
test_recur_mae_171100050708,1,0.05556897446513176
test_recur_mae_171100050708,2,0.0625874400138855
test_recur_mae_171100050708,3,0.08773870021104813
test_recur_mae_171100050708,4,0.1312260925769806
test_recur_mae_171100050708,5,0.05639060214161873
test_recur_mae_171100050708,6,0.06075751781463623
test_recur_mae_171100050708,7,0.04514928534626961
test_recur_mae_171100050708,8,0.052358560264110565
test_recur_mae_171100050708,9,0.10516610741615295
test_recur_mae_171100050708,10,0.08264077454805374
test_recur_mae_171100050708,11,0.04699528217315674
test_recur_mae_171100050708,12,0.08852033317089081
test_recur_mae_171100050708,13,0.05297757685184479
test_recur_r2_171100060104,0,0.938294529914856
test_recur_r2_171100060104,1,0.8972671627998352
test_recur_r2_171100060104,2,0.9434930086135864
test_recur_r2_171100060104,3,0.9693232774734497
test_recur_r2_171100060104,4,0.9107686281204224
test_recur_r2_171100060104,5,0.9348078966140747
test_recur_r2_171100060104,6,0.9560253024101257
test_recur_r2_171100060104,7,0.757990300655365
test_recur_r2_171100060104,8,0.9724891781806946
test_recur_r2_171100060104,9,0.8057050108909607
test_recur_r2_171100060104,10,0.8237068057060242
test_recur_r2_171100060104,11,0.9197977185249329
test_recur_r2_171100060104,12,0.8411480784416199
test_recur_r2_171100060104,13,0.9671823382377625
test_recur_r2_171100060104,14,0.9177560210227966
test_recur_mae_170300010103,0,0.08093378692865372
test_recur_mae_170300010103,1,0.2146037369966507
test_recur_mae_170300010103,2,0.19781948626041412
test_recur_mae_170300010103,3,0.10182534903287888
test_recur_mae_170300010103,4,0.11333532631397247
test_recur_mae_170300010103,5,0.1895168274641037
test_recur_mae_170300010103,6,0.19811147451400757
test_recur_mae_170300010103,7,0.2306830734014511
test_recur_mae_170300010103,8,0.1665085405111313
test_recur_mae_170300010103,9,0.10870510339736938
test_recur_mae_170300010103,10,0.2199375182390213
test_recur_mae_170300010103,11,0.18095983564853668
test_recur_mae_170300010103,12,0.09081599116325378
test_recur_mae_170300010103,13,0.1675640493631363
test_recur_mae_170300010103,14,0.16338758170604706
test_mse_171100090401,0,0.0015539188170805573
test_mse_171100090401,1,0.011591708287596703
test_mse_171100090401,2,0.08367999643087387
test_mse_171100090401,3,0.05397673696279526
test_mse_171100090401,4,0.012452170252799988
test_mse_171100090401,5,0.019580956548452377
test_mse_171100090401,6,0.05202917009592056
test_mse_171100090401,7,0.0556931234896183
test_mse_171100090401,8,0.07348518818616867
test_mse_171100090401,9,0.028002271428704262
test_mse_171100090401,10,0.02118215523660183
test_mse_171100090401,11,0.08122921735048294
test_mse_171100090401,12,0.03961808979511261
test_mse_171100090401,13,0.007466298062354326
test_mae_170300020204,0,0.02099670097231865
test_mae_170300020204,1,0.11762020736932755
test_mae_170300020204,2,0.08941259980201721
test_mae_170300020204,3,0.0913543850183487
test_mae_170300020204,4,0.0642155110836029
test_mae_170300020204,5,0.07389171421527863
test_mae_170300020204,6,0.07206153124570847
test_mae_170300020204,7,0.08902110159397125
test_mae_170300020204,8,0.12809555232524872
test_mae_170300020204,9,0.0640328899025917
test_mae_170300020204,10,0.08003757148981094
test_mae_170300020204,11,0.08492328226566315
test_mae_170300020204,12,0.0852646753191948
test_mae_170300020204,13,0.06468445807695389
test_mae_170300020204,14,0.06352093070745468
test_recur_mse_171100090302,0,0.09171338379383087
test_recur_mse_171100090302,1,0.008683842606842518
test_recur_mse_171100090302,2,0.017308562994003296
test_recur_mse_171100090302,3,0.020490288734436035
test_recur_mse_171100090302,4,0.07182281464338303
test_recur_mse_171100090302,5,0.0033670247066766024
test_recur_mse_171100090302,6,0.009373590350151062
test_recur_mse_171100090302,7,0.0034143661614507437
test_recur_mse_171100090302,8,0.008244253695011139
test_recur_mse_171100090302,9,0.02860703133046627
test_recur_mse_171100090302,10,0.011909152381122112
test_recur_mse_171100090302,11,0.002683548955246806
test_recur_mse_171100090302,12,0.016361435875296593
test_recur_mse_171100090302,13,0.0030480753630399704
test_recur_mse_171100090302,14,0.002338116057217121
test_kge_170200110202,0,0.9759679316097154
test_kge_170200110202,1,0.9520270625839936
test_kge_170200110202,2,0.7171774021795204
test_kge_170200110202,3,0.8275376629883839
test_kge_170200110202,4,0.9305094737840832
test_kge_170200110202,5,0.8180197201015151
test_kge_170200110202,6,0.8044474355944626
