Metric,Step,Value
train_mse_170200090110,0,0.002254212275147438
train_mse_170200090110,1,0.002114191185683012
train_mse_170200090110,2,0.002072078175842762
train_mse_170200090110,3,0.0021270292345434427
train_mse_170200090110,4,0.0020742942579090595
train_mse_170200090110,5,0.002100832061842084
train_mse_170200090110,6,0.0020445038098841906
train_mse_170200090110,7,0.0018963320180773735
train_mse_170200090110,8,0.001991636585444212
train_mse_170200090110,9,0.001892515574581921
test_mae_170200090109,0,0.14314132928848267
test_mae_170200090109,1,0.1376439481973648
test_mae_170200090109,2,0.14061518013477325
test_mae_170200090109,3,0.14350232481956482
test_mae_170200090109,4,0.13534387946128845
test_mae_170200090109,5,0.1370307207107544
test_mae_170200090109,6,0.13989782333374023
test_mae_170200090109,7,0.14019089937210083
test_mae_170200090109,8,0.13545511662960052
test_mae_170200090109,9,0.13683335483074188
train_kge_170200090108,0,0.9473481974687218
train_kge_170200090108,1,0.9127105469620684
train_kge_170200090108,2,0.9267114807527157
train_kge_170200090108,3,0.9026794793859407
train_kge_170200090108,4,0.9049355934055107
train_kge_170200090108,5,0.8870367341091687
train_kge_170200090108,6,0.9057863391163548
train_kge_170200090108,7,0.9145942245659054
train_kge_170200090108,8,0.8988513110274838
train_kge_170200090108,9,0.880302891353721
test_mse_170200090108,0,0.024173688143491745
test_mse_170200090108,1,0.04191822558641434
test_mse_170200090108,2,0.037129368633031845
test_mse_170200090108,3,0.04345390945672989
test_mse_170200090108,4,0.04661203548312187
test_mse_170200090108,5,0.04598618298768997
test_mse_170200090108,6,0.04696447774767876
test_mse_170200090108,7,0.047465842217206955
test_mse_170200090108,8,0.05262865498661995
test_mse_170200090108,9,0.05704370513558388
test_mse_170200090111,0,0.037218429148197174
test_mse_170200090111,1,0.040795955806970596
test_mse_170200090111,2,0.034953027963638306
test_mse_170200090111,3,0.03866720199584961
test_mse_170200090111,4,0.03468112275004387
test_mse_170200090111,5,0.03434957563877106
test_mse_170200090111,6,0.035456765443086624
test_mse_170200090111,7,0.03776175156235695
test_mse_170200090111,8,0.036380086094141006
test_mse_170200090111,9,0.03417133539915085
test_mae_170200090112,0,0.07556909322738647
test_mae_170200090112,1,0.06554797291755676
test_mae_170200090112,2,0.06390490382909775
test_mae_170200090112,3,0.06430444866418839
test_mae_170200090112,4,0.06510274857282639
test_mae_170200090112,5,0.059267234057188034
test_mae_170200090112,6,0.061690278351306915
test_mae_170200090112,7,0.0673912987112999
test_mae_170200090112,8,0.06081812456250191
test_mae_170200090112,9,0.06276720017194748
test_mse_170200090202,0,0.006392443552613258
test_mse_170200090202,1,0.006656217388808727
test_mse_170200090202,2,0.0070303683169186115
test_mse_170200090202,3,0.006331214215606451
test_mse_170200090202,4,0.006937250029295683
test_mse_170200090202,5,0.006440790835767984
test_mse_170200090202,6,0.007010487373918295
test_mse_170200090202,7,0.0069456095807254314
test_mse_170200090202,8,0.007073409855365753
test_mse_170200090202,9,0.006164570339024067
test_kge_170200090108,0,0.7410787892918296
test_kge_170200090108,1,0.5910631434999944
test_kge_170200090108,2,0.6133366277732231
test_kge_170200090108,3,0.5822977900138364
test_kge_170200090108,4,0.5630367378889704
test_kge_170200090108,5,0.5574550304927188
test_kge_170200090108,6,0.5579928310362609
test_kge_170200090108,7,0.5619230808592657
test_kge_170200090108,8,0.5240240474346975
test_kge_170200090108,9,0.5013465667045738
train_r2_170200090109,0,0.8477553725242615
train_r2_170200090109,1,0.8782659769058228
train_r2_170200090109,2,0.8812786340713501
train_r2_170200090109,3,0.8715168237686157
train_r2_170200090109,4,0.8810104131698608
train_r2_170200090109,5,0.8883501887321472
train_r2_170200090109,6,0.8856717944145203
train_r2_170200090109,7,0.8817067742347717
train_r2_170200090109,8,0.8948120474815369
train_r2_170200090109,9,0.8945640325546265
train_r2_170200090108,0,0.9118114709854126
train_r2_170200090108,1,0.9176623821258545
train_r2_170200090108,2,0.9294523596763611
train_r2_170200090108,3,0.9201861619949341
train_r2_170200090108,4,0.917219877243042
train_r2_170200090108,5,0.9121976494789124
train_r2_170200090108,6,0.9184738993644714
train_r2_170200090108,7,0.9218940138816833
train_r2_170200090108,8,0.9197649359703064
train_r2_170200090108,9,0.9116485714912415
train_kge_170200090109,0,0.8392354696823215
train_kge_170200090109,1,0.8616539690347913
train_kge_170200090109,2,0.86426818772993
train_kge_170200090109,3,0.8561195398460968
train_kge_170200090109,4,0.8660551253980462
train_kge_170200090109,5,0.8814139689944871
train_kge_170200090109,6,0.8664809200031907
train_kge_170200090109,7,0.8583040114242871
train_kge_170200090109,8,0.8744016763949545
train_kge_170200090109,9,0.8761624169759304
test_r2_170200090110,0,0.5570080876350403
test_r2_170200090110,1,0.5535005927085876
test_r2_170200090110,2,0.5359755754470825
test_r2_170200090110,3,0.5146786570549011
test_r2_170200090110,4,0.5208243131637573
test_r2_170200090110,5,0.5006780624389648
test_r2_170200090110,6,0.4996798038482666
test_r2_170200090110,7,0.535416841506958
test_r2_170200090110,8,0.5138083100318909
test_r2_170200090110,9,0.540400505065918
train_r2_170200090111,0,0.9197554588317871
train_r2_170200090111,1,0.9160428643226624
train_r2_170200090111,2,0.9226884841918945
train_r2_170200090111,3,0.9150277376174927
train_r2_170200090111,4,0.9238327145576477
train_r2_170200090111,5,0.9220062494277954
train_r2_170200090111,6,0.9214656949043274
train_r2_170200090111,7,0.9226474761962891
train_r2_170200090111,8,0.9219362735748291
train_r2_170200090111,9,0.9267829656600952
test_kge_170200090109,0,0.2686478554395558
test_kge_170200090109,1,0.31773056823094814
test_kge_170200090109,2,0.29519088350120426
test_kge_170200090109,3,0.295521932775596
test_kge_170200090109,4,0.31517426045302743
