Metric,Step,Value
test_mae_171100060205,0,0.10005749762058258
test_mae_171100060205,1,0.09629093110561371
test_mae_171100060205,2,0.09816808998584747
test_mae_171100060205,3,0.09736017882823944
test_mae_171100060205,4,0.09743103384971619
test_mae_171100060205,5,0.09714870154857635
test_mae_171100060205,6,0.09843404591083527
test_mae_171100060205,7,0.09769221395254135
test_mae_171100060205,8,0.09839926660060883
test_mae_171100060205,9,0.09663887321949005
test_mae_171100090104,0,0.05394516885280609
test_mae_171100090104,1,0.053993698209524155
test_mae_171100090104,2,0.05424468219280243
test_mae_171100090104,3,0.05414028465747833
test_mae_171100090104,4,0.05408458039164543
test_mae_171100090104,5,0.05389510467648506
test_mae_171100090104,6,0.05398138612508774
test_mae_171100090104,7,0.0540974922478199
test_mae_171100090104,8,0.05397246405482292
test_mae_171100090104,9,0.053553663194179535
train_r2_171100051007,0,0.8166784644126892
train_r2_171100051007,1,0.8172299265861511
train_r2_171100051007,2,0.8198649883270264
train_r2_171100051007,3,0.8247712850570679
train_r2_171100051007,4,0.8182602524757385
train_r2_171100051007,5,0.8178451657295227
train_r2_171100051007,6,0.8237834572792053
train_r2_171100051007,7,0.820059061050415
train_r2_171100051007,8,0.8234158754348755
train_r2_171100051007,9,0.8242979049682617
train_r2_171100060105,0,0.886422872543335
train_r2_171100060105,1,0.9091947674751282
train_r2_171100060105,2,0.9149803519248962
train_r2_171100060105,3,0.9137522578239441
train_r2_171100060105,4,0.9154753088951111
train_r2_171100060105,5,0.9146414995193481
train_r2_171100060105,6,0.9161390066146851
train_r2_171100060105,7,0.9149126410484314
train_r2_171100060105,8,0.9172400236129761
train_r2_171100060105,9,0.9158334732055664
train_mse_171100090103,0,0.017040787264704704
train_mse_171100090103,1,0.01691855676472187
train_mse_171100090103,2,0.016824649646878242
train_mse_171100090103,3,0.017106343060731888
train_mse_171100090103,4,0.016419600695371628
train_mse_171100090103,5,0.0172287467867136
train_mse_171100090103,6,0.017037101089954376
train_mse_171100090103,7,0.016804680228233337
train_mse_171100090103,8,0.017038345336914062
train_mse_171100090103,9,0.01781337521970272
train_mae_171100090103,0,0.05924762785434723
train_mae_171100090103,1,0.05661824718117714
train_mae_171100090103,2,0.05515868216753006
train_mae_171100090103,3,0.05491875484585762
train_mae_171100090103,4,0.05418214201927185
train_mae_171100090103,5,0.05375681445002556
train_mae_171100090103,6,0.05359911918640137
train_mae_171100090103,7,0.053144440054893494
train_mae_171100090103,8,0.05322859808802605
train_mae_171100090103,9,0.05732187628746033
test_mae_171100090102,0,0.0822642594575882
test_mae_171100090102,1,0.0812496542930603
test_mae_171100090102,2,0.08071216940879822
test_mae_171100090102,3,0.08100932836532593
test_mae_171100090102,4,0.08096085488796234
test_mae_171100090102,5,0.0809394046664238
test_mae_171100090102,6,0.0808342769742012
test_mae_171100090102,7,0.08107694238424301
test_mae_171100090102,8,0.08098305016756058
test_mae_171100090102,9,0.08086930960416794
train_mse_171100051003,0,0.007143914699554443
train_mse_171100051003,1,0.0070189726538956165
train_mse_171100051003,2,0.006836166605353355
train_mse_171100051003,3,0.006752273999154568
train_mse_171100051003,4,0.006766067817807198
train_mse_171100051003,5,0.006738660857081413
train_mse_171100051003,6,0.006517203524708748
train_mse_171100051003,7,0.006513434462249279
train_mse_171100051003,8,0.006497432943433523
train_mse_171100051003,9,0.006804580334573984
train_kge_171100051101,0,0.9241532441920376
train_kge_171100051101,1,0.9458682055787517
train_kge_171100051101,2,0.9487430801002376
train_kge_171100051101,3,0.9359920329564791
train_kge_171100051101,4,0.9347648651949789
train_kge_171100051101,5,0.926208501733792
train_kge_171100051101,6,0.9355877128404075
train_kge_171100051101,7,0.915188144032997
train_kge_171100051101,8,0.9242462787372079
train_kge_171100051101,9,0.9053817448918341
test_kge_171100090201,0,0.8816194994758859
test_kge_171100090201,1,0.8835032451679128
test_kge_171100090201,2,0.8809636195169436
test_kge_171100090201,3,0.8840689914820079
test_kge_171100090201,4,0.8862928156981773
test_kge_171100090201,5,0.8895912478855105
test_kge_171100090201,6,0.8904798714223792
test_kge_171100090201,7,0.888232528783713
test_kge_171100090201,8,0.8859709444968098
test_kge_171100090201,9,0.888275751771943
train_r2_171100090302,0,0.8652545213699341
train_r2_171100090302,1,0.8804324865341187
train_r2_171100090302,2,0.8835747241973877
train_r2_171100090302,3,0.8866086602210999
train_r2_171100090302,4,0.8856739401817322
train_r2_171100090302,5,0.8865854144096375
train_r2_171100090302,6,0.8868715167045593
train_r2_171100090302,7,0.8887355327606201
train_r2_171100090302,8,0.8879609107971191
train_r2_171100090302,9,0.8879373669624329
train_mse_171100060302,0,0.014718468300998211
train_mse_171100060302,1,0.014103312976658344
train_mse_171100060302,2,0.014358057640492916
train_mse_171100060302,3,0.01466661598533392
train_mse_171100060302,4,0.01428832858800888
train_mse_171100060302,5,0.014469020068645477
train_mse_171100060302,6,0.014216352254152298
train_mse_171100060302,7,0.014011716470122337
train_mse_171100060302,8,0.014717157930135727
train_mse_171100060302,9,0.014510390348732471
train_mae_171100060302,0,0.05004296079277992
train_mae_171100060302,1,0.04708219692111015
train_mae_171100060302,2,0.046945322304964066
train_mae_171100060302,3,0.047228213399648666
train_mae_171100060302,4,0.04590493068099022
train_mae_171100060302,5,0.04706992208957672
train_mae_171100060302,6,0.04532795771956444
train_mae_171100060302,7,0.04539463296532631
train_mae_171100060302,8,0.0478498674929142
train_mae_171100060302,9,0.04618131369352341
test_kge_171100051007,0,0.41624383365480655
test_kge_171100051007,1,0.4029394147012427
test_kge_171100051007,2,0.39837083840130294
test_kge_171100051007,3,0.42165251242784596
test_kge_171100051007,4,0.40399869376664943
test_kge_171100051007,5,0.4032957347774012
test_kge_171100051007,6,0.4200718984708005
test_kge_171100051007,7,0.4062489254459304
test_kge_171100051007,8,0.4260993954165696
