Metric,Step,Value
test_mae_171100050505,0,0.05523566156625748
test_mae_171100050505,1,0.05854056030511856
test_mae_171100050505,2,0.05799318104982376
test_mae_171100050505,3,0.05934789404273033
test_mae_171100050505,4,0.05802302062511444
test_mae_171100050505,5,0.05850327014923096
test_mae_171100050505,6,0.059909090399742126
test_mae_171100050505,7,0.05973966047167778
test_mae_171100050505,8,0.05578094348311424
test_mae_171100050505,9,0.059253256767988205
train_r2_171100050505,0,0.9680495262145996
train_r2_171100050505,1,0.9600103497505188
train_r2_171100050505,2,0.966694712638855
train_r2_171100050505,3,0.9649403095245361
train_r2_171100050505,4,0.9647417068481445
train_r2_171100050505,5,0.9606937170028687
train_r2_171100050505,6,0.9658610820770264
train_r2_171100050505,7,0.9649893641471863
train_r2_171100050505,8,0.9672093987464905
train_r2_171100050505,9,0.9639194011688232
test_mse_171100050604,0,0.007552220486104488
test_mse_171100050604,1,0.007824217900633812
test_mse_171100050604,2,0.00765478890389204
test_mse_171100050604,3,0.007687765173614025
test_mse_171100050604,4,0.0078135896474123
test_mse_171100050604,5,0.007524549029767513
test_mse_171100050604,6,0.007106336299329996
test_mse_171100050604,7,0.0072919223457574844
test_mse_171100050604,8,0.007400855887681246
test_mse_171100050604,9,0.007326056715101004
test_r2_171100050604,0,0.9192284345626831
test_r2_171100050604,1,0.9163194298744202
test_r2_171100050604,2,0.9181314706802368
test_r2_171100050604,3,0.9177787899971008
test_r2_171100050604,4,0.9164330959320068
test_r2_171100050604,5,0.9195243716239929
test_r2_171100050604,6,0.9239972233772278
test_r2_171100050604,7,0.9220123291015625
test_r2_171100050604,8,0.9208472967147827
test_r2_171100050604,9,0.921647310256958
test_r2_171100050606,0,0.8456640839576721
test_r2_171100050606,1,0.8481289148330688
test_r2_171100050606,2,0.8392274379730225
test_r2_171100050606,3,0.8403234481811523
test_r2_171100050606,4,0.840908944606781
test_r2_171100050606,5,0.8412442207336426
test_r2_171100050606,6,0.840388298034668
test_r2_171100050606,7,0.8431209325790405
test_r2_171100050606,8,0.846777081489563
test_r2_171100050606,9,0.83491051197052
test_mse_171100050701,0,0.018765123561024666
test_mse_171100050701,1,0.01933368854224682
test_mse_171100050701,2,0.019885461777448654
test_mse_171100050701,3,0.02091267518699169
test_mse_171100050701,4,0.021828921511769295
test_mse_171100050701,5,0.021927855908870697
test_mse_171100050701,6,0.022467708215117455
test_mse_171100050701,7,0.02195931039750576
test_mse_171100050701,8,0.02320409193634987
test_mse_171100050701,9,0.022908909246325493
train_mse_171100090301,0,0.004979795776307583
train_mse_171100090301,1,0.004872594960033894
train_mse_171100090301,2,0.004926725290715694
train_mse_171100090301,3,0.005050636362284422
train_mse_171100090301,4,0.005045957397669554
train_mse_171100090301,5,0.005263403058052063
train_mse_171100090301,6,0.005222364794462919
train_mse_171100090301,7,0.00493937311694026
train_mse_171100090301,8,0.00500878319144249
train_mse_171100090301,9,0.0049554756842553616
test_kge_171100090302,0,0.43193559325886044
test_kge_171100090302,1,0.42042197636630063
test_kge_171100090302,2,0.43988829034333443
test_kge_171100090302,3,0.45735386092853303
test_kge_171100090302,4,0.4144682082042985
test_kge_171100090302,5,0.42462358722655935
test_kge_171100090302,6,0.4314455557788772
test_kge_171100090302,7,0.3978092211178882
test_kge_171100090302,8,0.4203812524912002
test_kge_171100090302,9,0.4203918048566583
train_mse_171100050505,0,0.0034204076509922743
train_mse_171100050505,1,0.00428102258592844
train_mse_171100050505,2,0.0035654394887387753
train_mse_171100050505,3,0.0037532588467001915
train_mse_171100050505,4,0.0037745197769254446
train_mse_171100050505,5,0.004207869991660118
train_mse_171100050505,6,0.0036546848714351654
train_mse_171100050505,7,0.0037480059545487165
train_mse_171100050505,8,0.003510343609377742
train_mse_171100050505,9,0.0038625479210168123
test_mse_171100050505,0,0.007528732530772686
test_mse_171100050505,1,0.008738142438232899
test_mse_171100050505,2,0.008581791073083878
test_mse_171100050505,3,0.008694803342223167
test_mse_171100050505,4,0.00862802192568779
test_mse_171100050505,5,0.009018924087285995
test_mse_171100050505,6,0.00881880335509777
test_mse_171100050505,7,0.008884589187800884
test_mse_171100050505,8,0.008155901916325092
test_mse_171100050505,9,0.008596675470471382
train_r2_171100050603,0,0.9611467719078064
train_r2_171100050603,1,0.9575018882751465
train_r2_171100050603,2,0.9601808786392212
train_r2_171100050603,3,0.9613746404647827
train_r2_171100050603,4,0.9600549340248108
train_r2_171100050603,5,0.9593856334686279
train_r2_171100050603,6,0.957040011882782
train_r2_171100050603,7,0.9614218473434448
train_r2_171100050603,8,0.9612554311752319
train_r2_171100050603,9,0.9555643200874329
train_mae_171100050505,0,0.03370695933699608
train_mae_171100050505,1,0.03376936540007591
train_mae_171100050505,2,0.0308673195540905
train_mae_171100050505,3,0.03144758194684982
train_mae_171100050505,4,0.030199740082025528
train_mae_171100050505,5,0.031888462603092194
train_mae_171100050505,6,0.02984592504799366
train_mae_171100050505,7,0.02982570044696331
train_mae_171100050505,8,0.030876051634550095
train_mae_171100050505,9,0.03153359889984131
test_r2_171100050505,0,0.9285731911659241
test_r2_171100050505,1,0.9170992374420166
test_r2_171100050505,2,0.918582558631897
test_r2_171100050505,3,0.9175103902816772
test_r2_171100050505,4,0.9181439876556396
test_r2_171100050505,5,0.9144353866577148
test_r2_171100050505,6,0.9163339734077454
test_r2_171100050505,7,0.9157098531723022
test_r2_171100050505,8,0.9226230382919312
test_r2_171100050505,9,0.9184413552284241
test_kge_171100050505,0,0.9642728351027796
test_kge_171100050505,1,0.9097462352161149
test_kge_171100050505,2,0.9406768969950114
test_kge_171100050505,3,0.9212675741979959
test_kge_171100050505,4,0.9355514182279432
test_kge_171100050505,5,0.9251063411072014
test_kge_171100050505,6,0.9332579891277877
test_kge_171100050505,7,0.928069517876882
test_kge_171100050505,8,0.9594214852218884
test_kge_171100050505,9,0.9264147310988791
test_r2_171100050601,0,0.8094863891601562
test_r2_171100050601,1,0.8117038607597351
test_r2_171100050601,2,0.8283241391181946
test_r2_171100050601,3,0.8289937376976013
test_r2_171100050601,4,0.8308804035186768
test_r2_171100050601,5,0.8283589482307434
test_r2_171100050601,6,0.8175700902938843
test_r2_171100050601,7,0.817669689655304
test_r2_171100050601,8,0.8259016275405884
test_r2_171100050601,9,0.8234108090400696
test_mse_171100050602,0,0.004682379774749279
test_mse_171100050602,1,0.00497561227530241
test_mse_171100050602,2,0.004955872893333435
test_mse_171100050602,3,0.005199602339416742
test_mse_171100050602,4,0.00509460037574172
test_mse_171100050602,5,0.005395063664764166
test_mse_171100050602,6,0.0053334361873567104
test_mse_171100050602,7,0.00514060677960515
test_mse_171100050602,8,0.005357490386813879
test_mse_171100050602,9,0.005147137213498354
train_kge_171100050505,0,0.9796853412346123
train_kge_171100050505,1,0.9256273299720376
train_kge_171100050505,2,0.9653496207468477
train_kge_171100050505,3,0.9430966230290692
train_kge_171100050505,4,0.9542480137035675
