Metric,Step,Value
test_r2_170602080505,0,-0.3265340328216553
test_r2_170602080505,1,0.5199581384658813
test_r2_170602080505,2,0.9388654232025146
test_r2_170602080505,3,0.8441349267959595
test_r2_170602080505,4,0.9259424209594727
test_r2_170602080505,5,0.8842289447784424
test_r2_170602080505,6,0.8573415279388428
test_r2_170602080505,7,0.8781517148017883
test_r2_170602080505,8,0.8983997106552124
test_r2_170602080505,9,0.9449230432510376
test_r2_170602080505,10,0.7456588745117188
test_r2_170602080505,11,0.9052810072898865
test_r2_170602080505,12,0.9484965205192566
test_r2_170602080505,13,0.8656954765319824
test_r2_170602080505,14,0.7543510794639587
test_r2_170602080505,15,0.7234487533569336
test_r2_170602080505,16,0.5046932101249695
test_r2_170602080505,17,0.17133241891860962
test_r2_170602080505,18,0.1798660159111023
test_r2_170602080505,19,-1.6384212970733643
test_r2_170602080505,20,-1.332709550857544
test_r2_170602080505,21,0.5855576992034912
test_r2_170602070707,0,-6.437439918518066
test_r2_170602070707,1,0.6699037551879883
test_r2_170602070707,2,0.0148048996925354
test_r2_170602070707,3,-0.03924441337585449
test_r2_170602070707,4,0.09698927402496338
test_r2_170602070707,5,0.5969823598861694
test_r2_170602070707,6,0.7597519159317017
test_r2_170602070707,7,0.5072739124298096
test_r2_170602070707,8,-0.9859092235565186
test_r2_170602070707,9,0.22294408082962036
test_r2_170602070707,10,0.9249094724655151
test_r2_170602070707,11,-1.0734508037567139
test_r2_170602070707,12,0.02484428882598877
test_r2_170602070707,13,-2.237656593322754
test_r2_170602070707,14,-4.319526195526123
test_r2_170602070707,15,-0.5440219640731812
test_r2_170602070707,16,-0.47536325454711914
test_r2_170602070707,17,-11.8182373046875
test_r2_170602070707,18,-4.569817066192627
test_r2_170602070707,19,-6.388203144073486
test_r2_170602070707,20,-19.608625411987305
test_r2_170602070707,21,-2.0668482780456543
test_mae_170602080108,0,0.17847467958927155
test_mae_170602080108,1,0.041005972772836685
test_mae_170602080108,2,0.047360051423311234
test_mae_170602080108,3,0.04668957740068436
test_mae_170602080108,4,0.03691450506448746
test_mae_170602080108,5,0.023683644831180573
test_mae_170602080108,6,0.0325419157743454
test_mae_170602080108,7,0.023989202454686165
test_mae_170602080108,8,0.056472860276699066
test_mae_170602080108,9,0.025608627125620842
test_mae_170602080108,10,0.025611013174057007
test_mae_170602080108,11,0.06077050045132637
test_mae_170602080108,12,0.04877229779958725
test_mae_170602080108,13,0.0619843490421772
test_mae_170602080108,14,0.04469672217965126
test_mae_170602080108,15,0.03406699374318123
test_mae_170602080108,16,0.08308003842830658
test_mae_170602080108,17,0.08577347546815872
test_mae_170602080108,18,0.11647340655326843
test_mae_170602080108,19,0.18278807401657104
test_mae_170602080108,20,0.1770590841770172
test_mae_170602080108,21,0.09548023343086243
test_mae_170602070802,0,0.14544931054115295
test_mae_170602070802,1,0.052530962973833084
test_mae_170602070802,2,0.016102587804198265
test_mae_170602070802,3,0.031031031161546707
test_mae_170602070802,4,0.023257529363036156
test_mae_170602070802,5,0.034800536930561066
