Metric,Step,Value
train_kge_170200110403,0,-500.0
train_kge_170200110403,1,-500.0
train_kge_170200110403,2,-500.0
train_kge_170200110403,3,-500.0
train_kge_170200110403,4,-500.0
train_kge_170200110403,5,-500.0
train_kge_170200110403,6,-500.0
train_kge_170200110403,7,-500.0
train_kge_170200110403,8,-500.0
train_kge_170200110403,9,-500.0
train_kge_170200110403,10,-500.0
train_kge_170200110403,11,-500.0
train_kge_170200110403,12,-500.0
train_kge_170200110403,13,-500.0
train_kge_170200110403,14,-500.0
train_kge_170200110403,15,-500.0
train_kge_170200110403,16,-500.0
train_kge_170200110403,17,-500.0
train_kge_170200110403,18,-500.0
train_kge_170200110403,19,-500.0
train_kge_170200110403,20,-500.0
train_kge_170200110403,21,-500.0
train_kge_170200110403,22,-500.0
train_kge_170200110403,23,-500.0
test_kge_170200110501,0,0.5358070565738188
test_kge_170200110501,1,0.7192772857637733
test_kge_170200110501,2,0.7393906270273183
test_kge_170200110501,3,0.8915376962030237
test_kge_170200110501,4,0.6774099978763077
test_kge_170200110501,5,0.9210884753099665
test_kge_170200110501,6,0.6240846521633601
test_kge_170200110501,7,0.6649580301438801
test_kge_170200110501,8,0.5938453840255575
test_kge_170200110501,9,0.5706541818585009
test_kge_170200110501,10,0.6050410831691
test_kge_170200110501,11,0.6942812229906294
test_kge_170200110501,12,0.6661097808363112
test_kge_170200110501,13,0.6973351538611716
test_kge_170200110501,14,0.5576835873150735
test_kge_170200110501,15,0.7334898908177679
test_kge_170200110501,16,0.8885340000907203
test_kge_170200110501,17,0.6151393829157239
test_kge_170200110501,18,0.8197704403304533
test_kge_170200110501,19,0.7335434923871734
test_kge_170200110501,20,0.939472476322379
test_kge_170200110501,21,0.5732271377558864
test_kge_170200110501,22,0.675947524514231
test_kge_170200110501,23,0.6961476255248
test_kge_170200090108,0,0.7634193020355331
test_kge_170200090108,1,0.7271667452685449
test_kge_170200090108,2,0.796500599426771
test_kge_170200090108,3,0.9440780614986441
test_kge_170200090108,4,0.6943714565501715
test_kge_170200090108,5,0.9541978179715316
test_kge_170200090108,6,0.6662456173779685
test_kge_170200090108,7,0.862467428244795
test_kge_170200090108,8,0.7580413067046402
test_kge_170200090108,9,0.6673559172640027
test_kge_170200090108,10,0.8358192872127195
test_kge_170200090108,11,0.8801772623214886
test_kge_170200090108,12,0.7489802371491721
test_kge_170200090108,13,0.9454285843701944
test_kge_170200090108,14,0.6599423206328208
test_kge_170200090108,15,0.9175155763302164
test_kge_170200090108,16,0.9533944015640763
test_kge_170200090108,17,0.8649060558045807
test_kge_170200090108,18,0.8675568246174048
test_kge_170200090108,19,0.8387601879539786
test_kge_170200090108,20,0.9592062654920384
test_kge_170200090108,21,0.9661742329693879
test_kge_170200090108,22,0.9526705237449267
test_kge_170200090108,23,0.889631485037169
test_mse_170602070105,0,0.0033162347972393036
test_mse_170602070105,1,0.005784361157566309
