Metric,Step,Value
test_mse_170200110202,0,0.027857406064867973
test_mse_170200110202,1,0.009590541943907738
test_mse_170200110202,2,0.005275897681713104
test_mse_170200110202,3,0.009345229715108871
test_mse_170200110202,4,0.01081959716975689
test_mse_170200110202,5,0.012691575102508068
test_mse_170200110202,6,0.02181183360517025
test_mse_170200110202,7,0.012137582525610924
test_mse_170200110202,8,0.037444956600666046
test_mse_170200110202,9,0.011876005679368973
test_mse_170200110202,10,0.007263964973390102
test_mse_170200110202,11,0.018714020028710365
test_mse_170200110202,12,0.010338914580643177
test_mse_170200110202,13,0.006976619828492403
test_mse_170200110202,14,0.01005470473319292
test_mse_170200110202,15,0.012831548228859901
test_mse_170200110202,16,0.007432182319462299
test_mse_170200110202,17,0.00986550934612751
test_mse_170200110202,18,0.008920897729694843
test_mse_170200110202,19,0.0072176349349319935
test_mse_170200110202,20,0.008479482494294643
test_mse_170200110202,21,0.01009256299585104
test_mse_170200110202,22,0.010899877175688744
test_mse_170200110202,23,0.03001193143427372
test_mse_170200110202,24,0.017037732526659966
test_mse_170200110202,25,0.01732807792723179
test_mse_170200110202,26,0.007381860166788101
test_mse_170200110202,27,0.010355813428759575
test_kge_170200110202,0,0.6940178343821217
test_kge_170200110202,1,0.9457940369923613
test_kge_170200110202,2,0.956212171606895
test_kge_170200110202,3,0.831658364412537
test_kge_170200110202,4,0.8515118563657668
test_kge_170200110202,5,0.8258597339466145
test_kge_170200110202,6,0.7282216532014408
test_kge_170200110202,7,0.8060215526760307
test_kge_170200110202,8,0.6140538674811186
test_kge_170200110202,9,0.8047218614185112
test_kge_170200110202,10,0.971752341552406
test_kge_170200110202,11,0.8130643888220912
test_kge_170200110202,12,0.8394384714015382
test_kge_170200110202,13,0.9451957636716061
test_kge_170200110202,14,0.9178903964649396
test_kge_170200110202,15,0.8212072817775659
test_kge_170200110202,16,0.8968884912386785
test_kge_170200110202,17,0.8407223648354439
test_kge_170200110202,18,0.8713849975362618
test_kge_170200110202,19,0.9141364110931807
test_kge_170200110202,20,0.8881608015582777
test_kge_170200110202,21,0.8746166210680433
test_kge_170200110202,22,0.8649200764008411
test_kge_170200110202,23,0.6655779937303058
test_kge_170200110202,24,0.8413961087614805
test_kge_170200110202,25,0.745529958092503
test_kge_170200110202,26,0.9253298176111919
test_kge_170200110202,27,0.876364357154999
test_r2_170200110202,0,0.8673995137214661
test_r2_170200110202,1,0.9543492794036865
test_r2_170200110202,2,0.9748868942260742
test_r2_170200110202,3,0.9555169343948364
test_r2_170200110202,4,0.9484990239143372
test_r2_170200110202,5,0.9395884275436401
test_r2_170200110202,6,0.896176278591156
test_r2_170200110202,7,0.942225456237793
test_r2_170200110202,8,0.8217630386352539
test_r2_170200110202,9,0.9434705376625061
test_r2_170200110202,10,0.9654237031936646
test_r2_170200110202,11,0.9109217524528503
test_r2_170200110202,12,0.9507870674133301
test_r2_170200110202,13,0.9667915105819702
test_r2_170200110202,14,0.9521398544311523
test_r2_170200110202,15,0.9389221668243408
test_r2_170200110202,16,0.9646230340003967
test_r2_170200110202,17,0.9530404210090637
test_r2_170200110202,18,0.9575367569923401
test_r2_170200110202,19,0.9656442403793335
test_r2_170200110202,20,0.9596378803253174
test_r2_170200110202,21,0.9519596695899963
test_r2_170200110202,22,0.9481168985366821
test_r2_170200110202,23,0.8571439981460571
test_r2_170200110202,24,0.9189008474349976
test_r2_170200110202,25,0.9175187945365906
test_r2_170200110202,26,0.9648625254631042
test_r2_170200110202,27,0.9507066011428833
test_mae_170200110202,0,0.10536066442728043
test_mae_170200110202,1,0.060278311371803284
test_mae_170200110202,2,0.04725281894207001
test_mae_170200110202,3,0.0619899146258831
test_mae_170200110202,4,0.06304557621479034
test_mae_170200110202,5,0.06925041228532791
test_mae_170200110202,6,0.09732961654663086
test_mae_170200110202,7,0.0687762126326561
test_mae_170200110202,8,0.14099933207035065
test_mae_170200110202,9,0.07240170240402222
test_mae_170200110202,10,0.052407439798116684
test_mae_170200110202,11,0.0898054912686348
test_mae_170200110202,12,0.0625581368803978
test_mae_170200110202,13,0.05567360296845436
test_mae_170200110202,14,0.06776377558708191
test_mae_170200110202,15,0.07162689417600632
test_mae_170200110202,16,0.058480553328990936
test_mae_170200110202,17,0.06546120345592499
test_mae_170200110202,18,0.06322954595088959
test_mae_170200110202,19,0.055586591362953186
test_mae_170200110202,20,0.06086106598377228
test_mae_170200110202,21,0.06736952066421509
test_mae_170200110202,22,0.06488366425037384
test_mae_170200110202,23,0.1225006952881813
test_mae_170200110202,24,0.08819596469402313
test_mae_170200110202,25,0.0857561007142067
test_mae_170200110202,26,0.05559363588690758
test_mae_170200110202,27,0.07141616195440292
test_mse_171100050903,0,0.01206974033266306
test_mse_171100050903,1,0.0130794458091259
test_mse_171100050903,2,0.01524890586733818
test_mse_171100050903,3,0.011400077491998672
test_mse_171100050903,4,0.009147800505161285
test_mse_171100050903,5,0.013917684555053711
test_mse_171100050903,6,0.005898764356970787
test_mse_171100050903,7,0.011903475970029831
test_mse_171100050903,8,0.05726220831274986
test_mse_171100050903,9,0.015467993915081024
test_mse_171100050903,10,0.007638623472303152
test_mse_171100050903,11,0.011510903015732765
test_mse_171100050903,12,0.011584524065256119
test_mse_171100050903,13,0.0074075972661376
test_mse_171100050903,14,0.007577462587505579
test_mse_171100050903,15,0.008333627134561539
test_mse_171100050903,16,0.010207191109657288
test_mse_171100050903,17,0.009797913953661919
test_mse_171100050903,18,0.008586053736507893
test_mse_171100050903,19,0.011148585006594658
test_mse_171100050903,20,0.00757899833843112
test_mse_171100050903,21,0.018412133678793907
test_mse_171100050903,22,0.014211571775376797
test_mse_171100050903,23,0.010577883571386337
test_mse_171100050903,24,0.016629822552204132
test_mse_171100050903,25,0.004499820061028004
test_mse_171100050903,26,0.007930069230496883
test_mse_171100050903,27,0.008165225386619568
test_kge_171100050903,0,0.8435923037148522
test_kge_171100050903,1,0.8500878124244022
test_kge_171100050903,2,0.6997452306928164
test_kge_171100050903,3,0.7371077268173314
test_kge_171100050903,4,0.8570579666440281
test_kge_171100050903,5,0.7253646812931679
test_kge_171100050903,6,0.89606941719479
test_kge_171100050903,7,0.8301240659943894
test_kge_171100050903,8,0.09597267017606459
test_kge_171100050903,9,0.6659023550925725
test_kge_171100050903,10,0.8877313693650307
test_kge_171100050903,11,0.6319810043368228
test_kge_171100050903,12,0.7790489473597588
test_kge_171100050903,13,0.8764565203832099
test_kge_171100050903,14,0.7814363469975111
test_kge_171100050903,15,0.862378870370737
test_kge_171100050903,16,0.7230247785446016
test_kge_171100050903,17,0.8114435416995329
test_kge_171100050903,18,0.7751981851484058
test_kge_171100050903,19,0.7326341383915889
test_kge_171100050903,20,0.7789060883159694
test_kge_171100050903,21,0.5326018854125987
test_kge_171100050903,22,0.7512554460311118
test_kge_171100050903,23,0.6692409792649074
test_kge_171100050903,24,0.6670304791550359
test_kge_171100050903,25,0.8965980725431331
test_kge_171100050903,26,0.815973688197914
test_kge_171100050903,27,0.7263245104228284
test_r2_171100050903,0,0.8169258236885071
test_r2_171100050903,1,0.8016105890274048
test_r2_171100050903,2,0.7687041759490967
test_r2_171100050903,3,0.8270832896232605
test_r2_171100050903,4,0.86124587059021
test_r2_171100050903,5,0.7888961434364319
test_r2_171100050903,6,0.9105273485183716
test_r2_171100050903,7,0.8194476962089539
test_r2_171100050903,8,0.13144510984420776
test_r2_171100050903,9,0.7653809785842896
test_r2_171100050903,10,0.8841371536254883
test_r2_171100050903,11,0.8254022598266602
test_r2_171100050903,12,0.824285626411438
test_r2_171100050903,13,0.8876413106918335
test_r2_171100050903,14,0.8850648403167725
test_r2_171100050903,15,0.8735952973365784
test_r2_171100050903,16,0.8451770544052124
test_r2_171100050903,17,0.8513849377632141
test_r2_171100050903,18,0.8697664737701416
test_r2_171100050903,19,0.8308979272842407
test_r2_171100050903,20,0.8850415349006653
test_r2_171100050903,21,0.7207242250442505
test_r2_171100050903,22,0.78443843126297
test_r2_171100050903,23,0.8395543694496155
test_r2_171100050903,24,0.7477583885192871
test_r2_171100050903,25,0.9317466020584106
test_r2_171100050903,26,0.8797164559364319
test_r2_171100050903,27,0.8761496543884277
test_mae_171100050903,0,0.06670790910720825
test_mae_171100050903,1,0.07121049612760544
test_mae_171100050903,2,0.07729455828666687
test_mae_171100050903,3,0.06653443723917007
test_mae_171100050903,4,0.060368284583091736
test_mae_171100050903,5,0.06919335573911667
test_mae_171100050903,6,0.046365782618522644
test_mae_171100050903,7,0.06592700630426407
test_mae_171100050903,8,0.15360824763774872
test_mae_171100050903,9,0.07980881631374359
test_mae_171100050903,10,0.052716922014951706
test_mae_171100050903,11,0.07250707596540451
test_mae_171100050903,12,0.06472743302583694
test_mae_171100050903,13,0.050455428659915924
test_mae_171100050903,14,0.057801324874162674
test_mae_171100050903,15,0.057061828672885895
test_mae_171100050903,16,0.06135251373052597
test_mae_171100050903,17,0.06112761050462723
test_mae_171100050903,18,0.056386906653642654
test_mae_171100050903,19,0.06485842168331146
test_mae_171100050903,20,0.0570102296769619
test_mae_171100050903,21,0.0881316065788269
test_mae_171100050903,22,0.07371994853019714
test_mae_171100050903,23,0.06022864580154419
test_mae_171100050903,24,0.08011451363563538
test_mae_171100050903,25,0.04312172904610634
test_mae_171100050903,26,0.0553276501595974
test_mae_171100050903,27,0.058861732482910156
test_mse_171100090303,0,0.00769311748445034
test_mse_171100090303,1,0.009301948361098766
test_mse_171100090303,2,0.01763654686510563
test_mse_171100090303,3,0.03374923765659332
test_mse_171100090303,4,0.012579969130456448
test_mse_171100090303,5,0.0029181046411395073
test_mse_171100090303,6,0.004515070468187332
test_mse_171100090303,7,0.004973919130861759
test_mse_171100090303,8,0.0681215301156044
test_mse_171100090303,9,0.0037355548702180386
test_mse_171100090303,10,0.005084592383354902
test_mse_171100090303,11,0.01785285957157612
test_mse_171100090303,12,0.0024454467929899693
test_mse_171100090303,13,0.008162181824445724
test_mse_171100090303,14,0.025228768587112427
test_mse_171100090303,15,0.0034640543162822723
test_mse_171100090303,16,0.014162207022309303
test_mse_171100090303,17,0.006396800745278597
test_mse_171100090303,18,0.014629856683313847
test_mse_171100090303,19,0.015239292755723
test_mse_171100090303,20,0.02239912375807762
test_mse_171100090303,21,0.03127889707684517
test_mse_171100090303,22,0.0038879786152392626
test_mse_171100090303,23,0.010267883539199829
test_mse_171100090303,24,0.017544539645314217
test_mse_171100090303,25,0.00926196575164795
test_mse_171100090303,26,0.010022847913205624
test_mse_171100090303,27,0.016266396269202232
test_kge_171100090303,0,0.46840026862847306
test_kge_171100090303,1,0.4543806477541592
test_kge_171100090303,2,0.061931592893817555
test_kge_171100090303,3,-0.3830377237092839
test_kge_171100090303,4,0.2784597385375658
test_kge_171100090303,5,0.8910730247298491
test_kge_171100090303,6,0.7028168509010224
test_kge_171100090303,7,0.6840827761885484
test_kge_171100090303,8,-1.0779824499547832
test_kge_171100090303,9,0.7227839883079838
test_kge_171100090303,10,0.6326878960537086
test_kge_171100090303,11,0.006544765880355019
test_kge_171100090303,12,0.9372645223525351
test_kge_171100090303,13,0.4472585630584257
test_kge_171100090303,14,-0.15799199741981318
test_kge_171100090303,15,0.8183999294459362
test_kge_171100090303,16,0.1080074485868684
test_kge_171100090303,17,0.5763322540115785
test_kge_171100090303,18,0.11658256164418401
test_kge_171100090303,19,0.11878804331941739
test_kge_171100090303,20,-0.11081895418072851
test_kge_171100090303,21,-0.3659088508991717
test_kge_171100090303,22,0.7548083847720459
test_kge_171100090303,23,0.30108453106703537
test_kge_171100090303,24,0.15057052128719117
test_kge_171100090303,25,0.41446450018499026
test_kge_171100090303,26,0.37575193140953367
test_kge_171100090303,27,0.06282783717928053
test_r2_171100090303,0,0.6458337306976318
test_r2_171100090303,1,0.5717683434486389
test_r2_171100090303,2,0.18807029724121094
test_r2_171100090303,3,-0.5537059307098389
test_r2_171100090303,4,0.42085886001586914
test_r2_171100090303,5,0.8656598925590515
test_r2_171100090303,6,0.7921407222747803
test_r2_171100090303,7,0.7710168361663818
test_r2_171100090303,8,-2.1360950469970703
test_r2_171100090303,9,0.8280271291732788
test_r2_171100090303,10,0.7659218311309814
test_r2_171100090303,11,0.17811203002929688
test_r2_171100090303,12,0.8874195218086243
test_r2_171100090303,13,0.6242395639419556
test_r2_171100090303,14,-0.16145110130310059
test_r2_171100090303,15,0.8405261039733887
test_r2_171100090303,16,0.34801775217056274
test_r2_171100090303,17,0.7055119276046753
test_r2_171100090303,18,0.3264886736869812
test_r2_171100090303,19,0.2984321713447571
test_r2_171100090303,20,-0.031183242797851562
test_r2_171100090303,21,-0.43997931480407715
test_r2_171100090303,22,0.8210099935531616
test_r2_171100090303,23,0.5272997617721558
test_r2_171100090303,24,0.19230610132217407
test_r2_171100090303,25,0.5736089944839478
test_r2_171100090303,26,0.5385804176330566
test_r2_171100090303,27,0.25114762783050537
test_mae_171100090303,0,0.05357730761170387
test_mae_171100090303,1,0.049907926470041275
test_mae_171100090303,2,0.07366207242012024
test_mae_171100090303,3,0.1173337921500206
test_mae_171100090303,4,0.06271807849407196
test_mae_171100090303,5,0.028875457122921944
test_mae_171100090303,6,0.03927898034453392
test_mae_171100090303,7,0.040803827345371246
test_mae_171100090303,8,0.16874176263809204
test_mae_171100090303,9,0.03432842344045639
test_mae_171100090303,10,0.04063573479652405
test_mae_171100090303,11,0.09003712981939316
test_mae_171100090303,12,0.027359629049897194
test_mae_171100090303,13,0.05258505418896675
test_mae_171100090303,14,0.1072704866528511
test_mae_171100090303,15,0.031380195170640945
test_mae_171100090303,16,0.07379376143217087
test_mae_171100090303,17,0.0438961535692215
test_mae_171100090303,18,0.06991931796073914
test_mae_171100090303,19,0.07069481164216995
test_mae_171100090303,20,0.10230400413274765
test_mae_171100090303,21,0.11797288805246353
test_mae_171100090303,22,0.03612536936998367
test_mae_171100090303,23,0.06192459538578987
test_mae_171100090303,24,0.0726412907242775
test_mae_171100090303,25,0.054552096873521805
test_mae_171100090303,26,0.05677343159914017
test_mae_171100090303,27,0.0838611051440239
test_mse_171100080103,0,0.004053769167512655
test_mse_171100080103,1,0.0031267269514501095
test_mse_171100080103,2,0.004155886359512806
test_mse_171100080103,3,0.02319476567208767
test_mse_171100080103,4,0.003839303506538272
test_mse_171100080103,5,0.0024053158704191446
test_mse_171100080103,6,0.002543380483984947
test_mse_171100080103,7,0.0023194162640720606
test_mse_171100080103,8,0.01766916736960411
test_mse_171100080103,9,0.0032582003623247147
test_mse_171100080103,10,0.0018515374977141619
test_mse_171100080103,11,0.00404133228585124
test_mse_171100080103,12,0.0020343216601759195
test_mse_171100080103,13,0.001441578264348209
test_mse_171100080103,14,0.013141617178916931
test_mse_171100080103,15,0.002745923353359103
test_mse_171100080103,16,0.002806816017255187
test_mse_171100080103,17,0.0026603753212839365
test_mse_171100080103,18,0.001923348754644394
test_mse_171100080103,19,0.002420251490548253
test_mse_171100080103,20,0.011239408515393734
test_mse_171100080103,21,0.008618195541203022
test_mse_171100080103,22,0.005116574931889772
test_mse_171100080103,23,0.001117369974963367
test_mse_171100080103,24,0.00864497572183609
test_mse_171100080103,25,0.002659160876646638
test_mse_171100080103,26,0.0016474463045597076
test_mse_171100080103,27,0.003493046388030052
test_kge_171100080103,0,0.3554995754101553
test_kge_171100080103,1,0.6501797283789776
test_kge_171100080103,2,0.5126934439804071
test_kge_171100080103,3,-1.078695602042838
test_kge_171100080103,4,0.47611546486968026
test_kge_171100080103,5,0.5539748418357635
test_kge_171100080103,6,0.8006825532416699
test_kge_171100080103,7,0.7956878044724126
test_kge_171100080103,8,-0.8621404024886139
test_kge_171100080103,9,0.30975663379229257
test_kge_171100080103,10,0.6919755899075252
test_kge_171100080103,11,0.2437088934359366
test_kge_171100080103,12,0.6321500289287116
test_kge_171100080103,13,0.8770160658278984
test_kge_171100080103,14,-0.5162658452166424
test_kge_171100080103,15,0.627404336215933
test_kge_171100080103,16,0.4797673403042316
test_kge_171100080103,17,0.6696587516385503
test_kge_171100080103,18,0.7666103816396264
test_kge_171100080103,19,0.6194507903573543
test_kge_171100080103,20,-0.4239654077187447
test_kge_171100080103,21,-0.23042154966757544
test_kge_171100080103,22,0.09167907383923213
test_kge_171100080103,23,0.8041354431660731
test_kge_171100080103,24,0.20089792214517055
test_kge_171100080103,25,0.5941182103956388
test_kge_171100080103,26,0.8111070536644277
test_kge_171100080103,27,0.3188521966275031
test_r2_171100080103,0,0.4410848617553711
test_r2_171100080103,1,0.5689011812210083
test_r2_171100080103,2,0.427005410194397
test_r2_171100080103,3,-2.1979880332946777
test_r2_171100080103,4,0.4706544280052185
test_r2_171100080103,5,0.6683660745620728
test_r2_171100080103,6,0.6493303775787354
test_r2_171100080103,7,0.6802095174789429
test_r2_171100080103,8,-1.4361438751220703
test_r2_171100080103,9,0.5507742166519165
test_r2_171100080103,10,0.7447184920310974
test_r2_171100080103,11,0.4427996277809143
test_r2_171100080103,12,0.7195169925689697
test_r2_171100080103,13,0.8012417554855347
test_r2_171100080103,14,-0.8119059801101685
test_r2_171100080103,15,0.6214046478271484
test_r2_171100080103,16,0.6130090951919556
test_r2_171100080103,17,0.6331995725631714
test_r2_171100080103,18,0.7348175048828125
test_r2_171100080103,19,0.6663067936897278
test_r2_171100080103,20,-0.5496382713317871
test_r2_171100080103,21,-0.18823730945587158
test_r2_171100080103,22,0.2945500612258911
