Metric,Step,Value
test_mse_171100050702,0,0.01627034693956375
test_kge_171100050702,0,0.9505008312495183
test_r2_171100050702,0,0.9107993841171265
test_mae_171100050702,0,0.08385433256626129
train_mse_171100050702,0,0.00627581961452961
train_kge_171100050702,0,0.9782249190930619
train_r2_171100050702,0,0.964876651763916
train_mae_171100050702,0,0.050434667617082596
test_mse_171100050703,0,0.015041007660329342
test_mse_171100050703,1,0.016313252970576286
test_kge_171100050703,0,0.9282674562975496
test_kge_171100050703,1,0.9163665643430284
test_r2_171100050703,0,0.8809869289398193
test_r2_171100050703,1,0.8709201812744141
test_mae_171100050703,0,0.0776185691356659
test_mae_171100050703,1,0.080237478017807
train_mse_171100050703,0,0.005461449269205332
train_mse_171100050703,1,0.005875728093087673
train_kge_171100050703,0,0.9411724581931401
train_kge_171100050703,1,0.9600770498510159
train_r2_171100050703,0,0.9521991610527039
train_r2_171100050703,1,0.9485732316970825
train_mae_171100050703,0,0.04346083849668503
train_mae_171100050703,1,0.046098124235868454
test_mae_171100050704,0,0.05737609788775444
test_mae_171100050704,1,0.05997680872678757
test_mae_171100050704,2,0.07554622739553452
test_mae_171100050704,3,0.11165643483400345
test_mae_171100050704,4,0.05833296850323677
train_mse_171100050706,0,0.0068257092498242855
test_mse_171100050704,0,0.008477346040308475
test_mse_171100050704,1,0.009265866130590439
test_mse_171100050704,2,0.013046257197856903
test_mse_171100050704,3,0.024819891899824142
test_mse_171100050704,4,0.00844322144985199
test_kge_171100050704,0,0.9153419389147675
test_kge_171100050704,1,0.8474633941274388
test_kge_171100050704,2,0.6760077007020794
test_kge_171100050704,3,0.48615528543389064
test_kge_171100050704,4,0.8668936216981562
test_r2_171100050704,0,0.8581483960151672
test_r2_171100050704,1,0.8449540734291077
test_r2_171100050704,2,0.7816966772079468
test_r2_171100050704,3,0.5846881866455078
test_r2_171100050704,4,0.8587193489074707
train_mse_171100050704,0,0.004278449807316065
train_mse_171100050704,1,0.004119047895073891
train_mse_171100050704,2,0.00771666131913662
train_mse_171100050704,3,0.025149838998913765
train_mse_171100050704,4,0.003809374989941716
train_kge_171100050704,0,0.9083505769679572
train_kge_171100050704,1,0.9366860038243334
train_kge_171100050704,2,0.7271827262529156
train_kge_171100050704,3,0.3898507336900058
train_kge_171100050704,4,0.9631313551603349
train_r2_171100050704,0,0.9189520478248596
train_r2_171100050704,1,0.9219716191291809
train_r2_171100050704,2,0.8538209795951843
train_r2_171100050704,3,0.5235790014266968
train_r2_171100050704,4,0.9278378486633301
train_mae_171100050704,0,0.03804648295044899
train_mae_171100050704,1,0.038046203553676605
train_mae_171100050704,2,0.06064866855740547
train_mae_171100050704,3,0.11894654482603073
train_mae_171100050704,4,0.036550965160131454
test_r2_171100050705,0,0.7860729694366455
test_mse_171100050705,0,0.03222959116101265
test_kge_171100050705,0,0.7103814469582622
test_mae_171100050705,0,0.10856688767671585
train_mse_171100050705,0,0.005630249623209238
train_kge_171100050705,0,0.9630129240532979
train_r2_171100050705,0,0.9459653496742249
train_mae_171100050705,0,0.04581782594323158
test_mse_171100050706,0,0.025235844776034355
test_kge_171100050706,0,0.8606641932606884
test_r2_171100050706,0,0.8429780006408691
test_mae_171100050706,0,0.09933200478553772
train_kge_171100050706,0,0.972616587063838
train_r2_171100050706,0,0.9476783275604248
train_mae_171100050706,0,0.0477520115673542
test_mse_171100050707,0,0.07413368672132492
test_mse_171100050707,1,0.09909310191869736
test_mse_171100050707,2,0.06902655214071274
test_mse_171100050707,3,0.07273982465267181
test_mse_171100050707,4,0.07838649302721024
test_mse_171100050707,5,0.07019197195768356
test_mse_171100050707,6,0.065060555934906
test_r2_171100050707,0,0.7190477848052979
test_r2_171100050707,1,0.624456524848938
test_r2_171100050707,2,0.7384028434753418
test_r2_171100050707,3,0.7243303060531616
test_r2_171100050707,4,0.7029305100440979
test_r2_171100050707,5,0.7339861392974854
test_r2_171100050707,6,0.7534332275390625
train_mae_171100050707,0,0.05458814650774002
train_mae_171100050707,1,0.08697031438350677
train_mae_171100050707,2,0.05135742947459221
train_mae_171100050707,3,0.05177747830748558
train_mae_171100050707,4,0.05375967547297478
train_mae_171100050707,5,0.051193684339523315
train_mae_171100050707,6,0.05256538838148117
test_mae_171100050707,0,0.17107728123664856
test_mae_171100050707,1,0.20354989171028137
test_mae_171100050707,2,0.1628105640411377
test_mae_171100050707,3,0.1672249734401703
test_mae_171100050707,4,0.17454460263252258
test_mae_171100050707,5,0.16302353143692017
test_mae_171100050707,6,0.15862172842025757
train_mse_171100050707,0,0.009360212832689285
train_mse_171100050707,1,0.019464751705527306
train_mse_171100050707,2,0.008211785927414894
train_mse_171100050707,3,0.008717884309589863
train_mse_171100050707,4,0.009281676262617111
train_mse_171100050707,5,0.008339283987879753
train_mse_171100050707,6,0.008491063490509987
train_r2_171100050707,0,0.9407390356063843
train_r2_171100050707,1,0.8767656683921814
train_r2_171100050707,2,0.9480099081993103
train_r2_171100050707,3,0.9448057413101196
train_r2_171100050707,4,0.9412362575531006
train_r2_171100050707,5,0.9472026824951172
train_r2_171100050707,6,0.9462417960166931
test_kge_171100050707,0,0.6195549480660271
test_kge_171100050707,1,0.47176175936990516
test_kge_171100050707,2,0.6384842711053866
test_kge_171100050707,3,0.6260552923846685
test_kge_171100050707,4,0.5987014688257427
test_kge_171100050707,5,0.6321085456090398
test_kge_171100050707,6,0.673921794443813
train_mae_171100050708,0,0.0820978656411171
train_mae_171100050708,1,0.034544095396995544
train_mae_171100050708,2,0.037603817880153656
train_mae_171100050708,3,0.10482560098171234
train_mae_171100050708,4,0.035102538764476776
train_mae_171100050708,5,0.0398956835269928
train_mae_171100050708,6,0.06075320020318031
train_mae_171100050708,7,0.05693874508142471
train_mae_171100050708,8,0.04766661673784256
train_mae_171100050708,9,0.056306906044483185
test_mse_171100050708,0,0.024337736889719963
test_mse_171100050708,1,0.009325636550784111
test_mse_171100050708,2,0.012914778664708138
test_mse_171100050708,3,0.037925835698843
test_mse_171100050708,4,0.00934030395001173
test_mse_171100050708,5,0.009971671737730503
test_mse_171100050708,6,0.00985269621014595
test_mse_171100050708,7,0.010577407665550709
test_mse_171100050708,8,0.008297797292470932
test_mse_171100050708,9,0.008831627666950226
train_kge_171100050707,0,0.9021094881499268
train_kge_171100050707,1,0.7176451024758962
train_kge_171100050707,2,0.9391476003485213
train_kge_171100050707,3,0.9199980199708163
train_kge_171100050707,4,0.8961809001747304
train_kge_171100050707,5,0.9408221512491447
train_kge_171100050707,6,0.9727989604074195
test_r2_171100050708,0,0.47725939750671387
test_r2_171100050708,1,0.7996983528137207
test_r2_171100050708,2,0.7226085662841797
test_r2_171100050708,3,0.18540608882904053
test_r2_171100050708,4,0.799383282661438
test_r2_171100050708,5,0.7858223915100098
test_r2_171100050708,6,0.7883778810501099
test_r2_171100050708,7,0.7728120684623718
test_r2_171100050708,8,0.8217748999595642
test_r2_171100050708,9,0.8103089928627014
train_mse_171100050708,0,0.013958211056888103
train_mse_171100050708,1,0.003118586726486683
train_mse_171100050708,2,0.0037167638074606657
train_mse_171100050708,3,0.02131297066807747
train_mse_171100050708,4,0.0031674725469201803
train_mse_171100050708,5,0.004013620782643557
train_mse_171100050708,6,0.007677024696022272
train_mse_171100050708,7,0.0064911008812487125
train_mse_171100050708,8,0.005230340640991926
train_mse_171100050708,9,0.0068884738720953465
test_mae_171100050708,0,0.10374815762042999
test_mae_171100050708,1,0.05722367390990257
test_mae_171100050708,2,0.06589267402887344
test_mae_171100050708,3,0.13054323196411133
test_mae_171100050708,4,0.0592053085565567
test_mae_171100050708,5,0.06225324422121048
test_mae_171100050708,6,0.06578098982572556
test_mae_171100050708,7,0.06923770904541016
test_mae_171100050708,8,0.0570506751537323
test_mae_171100050708,9,0.06366187334060669
train_kge_171100050708,0,0.40486281168529425
train_kge_171100050708,1,0.9051170575828448
train_kge_171100050708,2,0.8853495834241516
train_kge_171100050708,3,0.33315631325056105
train_kge_171100050708,4,0.9285688295864705
train_kge_171100050708,5,0.8976693622558638
train_kge_171100050708,6,0.6284978224535801
train_kge_171100050708,7,0.6890321270969311
train_kge_171100050708,8,0.7504664418311373
train_kge_171100050708,9,0.679494339854618
test_r2_171100050801,0,0.9108266830444336
test_kge_171100050801,0,0.9313213012518649
train_r2_171100050708,0,0.5808583498001099
train_r2_171100050708,1,0.9063540697097778
train_r2_171100050708,2,0.8883918523788452
train_r2_171100050708,3,0.36000728607177734
train_r2_171100050708,4,0.9048861265182495
train_r2_171100050708,5,0.8794777393341064
train_r2_171100050708,6,0.7694718837738037
train_r2_171100050708,7,0.805083155632019
train_r2_171100050708,8,0.8429416418075562
train_r2_171100050708,9,0.7931506633758545
test_kge_171100050708,0,0.3294803219210779
test_kge_171100050708,1,0.7543495769547822
test_kge_171100050708,2,0.6588904286570868
test_kge_171100050708,3,0.18861591471337646
test_kge_171100050708,4,0.7960867659494016
test_kge_171100050708,5,0.7873915849870565
test_kge_171100050708,6,0.8068280863657481
test_kge_171100050708,7,0.8060268539544216
test_kge_171100050708,8,0.8639675811310015
test_kge_171100050708,9,0.824218547465982
test_mse_171100050801,0,0.01976703852415085
test_mae_171100050801,0,0.098604217171669
train_mse_171100050801,0,0.014395561069250107
train_kge_171100050801,0,0.96139051538997
train_r2_171100050801,0,0.9379887580871582
train_mae_171100050801,0,0.08461251109838486
test_kge_171100050802,0,0.8462503700100618
test_mse_171100050802,0,0.020805412903428078
test_r2_171100050802,0,0.869316041469574
train_mse_171100050802,0,0.006289472803473473
test_mae_171100050802,0,0.08612672984600067
train_kge_171100050802,0,0.9749726734832846
train_r2_171100050802,0,0.9647399187088013
train_mae_171100050802,0,0.04767802730202675
train_kge_171100050804,0,0.9074639629115859
train_kge_171100050804,1,0.9078946996073688
train_kge_171100050804,2,0.8972275272852277
train_kge_171100050804,3,0.8786836252044443
train_kge_171100050804,4,0.8590328615135292
train_kge_171100050804,5,0.6817118913336961
train_kge_171100050804,6,0.9018159849308869
train_kge_171100050804,7,0.8994696253647588
train_kge_171100050804,8,0.9587603241720769
test_r2_171100050803,0,0.7250858545303345
test_r2_171100050803,1,0.725970983505249
test_r2_171100050803,2,0.7191226482391357
test_r2_171100050803,3,0.6679611206054688
test_r2_171100050803,4,0.7543258666992188
test_mae_171100050803,0,0.11992596834897995
test_mae_171100050803,1,0.11907675117254257
test_mae_171100050803,2,0.11763104796409607
test_mae_171100050803,3,0.13795392215251923
test_mae_171100050803,4,0.10783164948225021
train_kge_171100050803,0,0.9390105089334436
