Metric,Step,Value
train_mse_170200090207,0,0.0006917447317391634
train_mse_170200090207,1,0.000676322728395462
train_mse_170200090207,2,0.0006945382920093834
train_mse_170200090207,3,0.0009928994113579392
train_mse_170200090207,4,0.0006467706407420337
train_mse_170200090207,5,0.0007774507394060493
train_mse_170200090207,6,0.0008375258184969425
train_mse_170200090207,7,0.0006675810436718166
train_mse_170200090207,8,0.0005065387231297791
train_mse_170200090207,9,0.0006245088297873735
test_mae_170200090303,0,0.006047715898603201
test_mae_170200090303,1,0.006311100907623768
test_mae_170200090303,2,0.005451262928545475
test_mae_170200090303,3,0.005731117911636829
test_mae_170200090303,4,0.0057382602244615555
test_mae_170200090303,5,0.007168350741267204
test_mae_170200090303,6,0.005151070188730955
test_mae_170200090303,7,0.0052107530646026134
test_mae_170200090303,8,0.005205728579312563
test_mae_170200090303,9,0.00487132603302598
test_mse_170200090206,0,0.005483813118189573
test_mse_170200090206,1,0.0024633968714624643
test_mse_170200090206,2,0.0019283965229988098
test_mse_170200090206,3,0.00249540526419878
test_mse_170200090206,4,0.0017983951838687062
test_mse_170200090206,5,0.0024629912804812193
test_mse_170200090206,6,0.002465572440996766
test_mse_170200090206,7,0.002083903644233942
test_mse_170200090206,8,0.001569288899190724
test_mse_170200090206,9,0.0021072039380669594
test_r2_170200110604,0,0.8138105869293213
test_r2_170200110604,1,0.8683500289916992
test_r2_170200110604,2,0.8658307790756226
test_r2_170200110604,3,0.876836359500885
test_r2_170200110604,4,0.8699408173561096
test_r2_170200110604,5,0.8802976012229919
test_r2_170200110604,6,0.8578585386276245
test_r2_170200110604,7,0.9008565545082092
test_r2_170200110604,8,0.8949099779129028
test_r2_170200110604,9,0.9032223224639893
train_mae_170200110708,0,0.003574828617274761
train_mae_170200110708,1,0.0034069267567247152
train_mae_170200110708,2,0.0035748635418713093
train_mae_170200110708,3,0.003216544631868601
train_mae_170200110708,4,0.0031518421601504087
train_mae_170200110708,5,0.003738971194252372
train_mae_170200110708,6,0.003190599149093032
train_mae_170200110708,7,0.003150943899527192
train_mae_170200110708,8,0.002994811860844493
train_mae_170200110708,9,0.003202050691470504
train_kge_170200110706,0,0.8454901765040761
train_kge_170200110706,1,0.9311790317286136
train_kge_170200110706,2,0.9429898667143514
train_kge_170200110706,3,0.9464444993913159
