Metric,Step,Value
test_r2_170200110302,0,0.9363245964050293
test_r2_170200110302,1,0.9185703992843628
test_r2_170200110302,2,0.9339998364448547
test_r2_170200110302,3,0.9267397522926331
test_r2_170200110302,4,0.9300240874290466
test_r2_170200110302,5,0.9316020011901855
test_r2_170200110302,6,0.9357179999351501
test_r2_170200110302,7,0.9284155368804932
test_r2_170200110302,8,0.921527624130249
test_r2_170200110302,9,0.9326100945472717
train_kge_170200090102,0,0.963542657259231
train_kge_170200090102,1,0.9434898162692856
train_kge_170200090102,2,0.9652238299558221
train_kge_170200090102,3,0.8246910050180372
train_kge_170200090102,4,0.9086182451697136
train_kge_170200090102,5,0.9082703918753225
train_kge_170200090102,6,0.9258761444002026
train_kge_170200090102,7,0.9669527690878854
train_kge_170200090102,8,0.9293841811614514
train_kge_170200090102,9,0.9612412658147884
test_mae_171100090402,0,0.08239077776670456
test_mae_171100090402,1,0.08162205666303635
test_mae_171100090402,2,0.08211060613393784
test_mae_171100090402,3,0.08270195126533508
test_mae_171100090402,4,0.08266753703355789
test_mae_171100090402,5,0.08332860469818115
test_mae_171100090402,6,0.08319425582885742
test_mae_171100090402,7,0.08376494795084
test_mae_171100090402,8,0.08322851359844208
test_mae_171100090402,9,0.08316203951835632
test_mae_170200110202,0,0.08939460664987564
test_mae_170200110202,1,0.08537622541189194
test_mae_170200110202,2,0.08767340332269669
test_mae_170200110202,3,0.08917046338319778
test_mae_170200110202,4,0.08993832767009735
test_mae_170200110202,5,0.09207657724618912
test_mae_170200110202,6,0.08640244603157043
test_mae_170200110202,7,0.0894080251455307
test_mae_170200110202,8,0.0942220464348793
test_mae_170200110202,9,0.08944385498762131
test_kge_170200090103,0,0.8642364813764545
test_kge_170200090103,1,0.7999958551393299
test_kge_170200090103,2,0.9520037571208874
test_kge_170200090103,3,0.9517886649283542
test_kge_170200090103,4,0.9711661642645082
test_kge_170200090103,5,0.9400740614178563
test_kge_170200090103,6,0.8843393796622246
test_kge_170200090103,7,0.9804783293478103
test_kge_170200090103,8,0.9715627337370546
test_kge_170200090103,9,0.9466538121340589
train_mae_170200090103,0,0.04266255721449852
train_mae_170200090103,1,0.052449461072683334
train_mae_170200090103,2,0.036392759531736374
train_mae_170200090103,3,0.045220550149679184
train_mae_170200090103,4,0.03576646372675896
train_mae_170200090103,5,0.03593897074460983
