Metric,Step,Value
test_r2_171100051003,0,0.8428054451942444
train_kge_171100051004,0,0.6858133330771095
train_kge_171100051004,1,0.7241941552514646
train_kge_171100051004,2,0.7104693251445829
train_kge_171100051004,3,0.7842552563333953
train_kge_171100051004,4,0.7350733489898267
train_kge_171100051004,5,0.7397186093923652
train_kge_171100051004,6,0.7115844057820038
train_kge_171100051004,7,0.7633586931642984
train_kge_171100051004,8,0.7687806969560017
train_kge_171100051004,9,0.7708433999630773
test_kge_171100051001,0,0.6686897038226856
test_kge_171100051001,1,0.660796709931069
test_kge_171100051001,2,0.6914739832688588
test_kge_171100051001,3,0.6060740889480216
test_kge_171100051001,4,0.6852523585439746
test_r2_171100051001,0,0.7519015073776245
test_r2_171100051001,1,0.780634343624115
test_r2_171100051001,2,0.8022005558013916
test_r2_171100051001,3,0.7490447759628296
test_r2_171100051001,4,0.8038157820701599
train_mae_171100051005,0,0.039864540100097656
train_mae_171100051005,1,0.042173270136117935
train_mae_171100051005,2,0.04560278728604317
train_mae_171100051005,3,0.034700438380241394
train_mae_171100051005,4,0.03300128132104874
train_mae_171100051005,5,0.03866800293326378
train_mae_171100051005,6,0.033389922231435776
train_mae_171100051005,7,0.033349569886922836
train_mae_171100051005,8,0.03272869437932968
train_mae_171100051005,9,0.032964374870061874
test_r2_171100051101,0,0.7731959819793701
test_r2_171100051101,1,0.7776015996932983
test_mse_171100051102,0,0.017860617488622665
test_mae_171100051102,0,0.08643903583288193
train_mae_171100051103,0,0.03889228031039238
train_r2_171100060106,0,0.8791882395744324
test_mae_171100051001,0,0.19226084649562836
test_mae_171100051001,1,0.1805826872587204
test_mae_171100051001,2,0.17142172157764435
test_mae_171100051001,3,0.19927722215652466
test_mae_171100051001,4,0.17644590139389038
train_kge_171100051101,0,0.8996739666212219
train_kge_171100051101,1,0.9471992965782617
test_kge_171100051002,0,0.6780137160793075
test_kge_171100051002,1,0.7171597995085157
train_mse_171100060101,0,0.029293566942214966
test_kge_171100060202,0,0.9390887295909991
test_kge_171100060303,0,0.7372291520570152
test_r2_171100060304,0,0.7357312440872192
test_r2_171100090104,0,0.8089007139205933
train_r2_171100090203,0,0.9538355469703674
test_kge_171100090301,0,0.7575534524372197
train_mse_171100090202,0,0.007512533571571112
train_mse_171100090202,1,0.004744245205074549
test_mse_171100090401,0,0.02580290660262108
test_kge_171100090501,0,0.7052389948949629
train_r2_170300010101,0,0.9460265636444092
train_mse_170300010102,0,0.009743931703269482
train_mse_170300010104,0,0.003862077835947275
train_kge_171100060103,0,0.9169974679172526
test_mse_171100090203,0,0.009096791036427021
train_mse_171100051001,0,0.023892788216471672
train_mse_171100051001,1,0.022136980667710304
train_mse_171100051001,2,0.017985153943300247
train_mse_171100051001,3,0.019423432648181915
train_mse_171100051001,4,0.01533034723252058
test_r2_170300010105,0,0.6875677108764648
test_mse_171100051005,0,0.025110488757491112
test_mse_171100051005,1,0.032227467745542526
test_mse_171100051005,2,0.03940455988049507
test_mse_171100051005,3,0.023825619369745255
test_mse_171100051005,4,0.025464314967393875
test_mse_171100051005,5,0.04056762531399727
test_mse_171100051005,6,0.030995413661003113
test_mse_171100051005,7,0.03190253674983978
test_mse_171100051005,8,0.025673169642686844
test_mse_171100051005,9,0.028968576341867447
test_mae_171100051005,0,0.09065563231706619
test_mae_171100051005,1,0.10182874649763107
test_mae_171100051005,2,0.11895161867141724
test_mae_171100051005,3,0.09131200611591339
test_mae_171100051005,4,0.09443885833024979
test_mae_171100051005,5,0.11886151880025864
test_mae_171100051005,6,0.10440132021903992
test_mae_171100051005,7,0.1061725839972496
test_mae_171100051005,8,0.09404511749744415
test_mae_171100051005,9,0.09977108985185623
test_kge_171100060105,0,0.8060761153767813
test_kge_171100060205,0,0.7695324827684423
train_mae_171100090401,0,0.08356336504220963
train_r2_171100060101,0,0.8834671974182129
train_mae_170300010203,0,0.023049987852573395
test_mse_170300010301,0,0.014072109945118427
test_mse_170300010305,0,0.020364416763186455
test_mse_170300010305,1,0.015489107929170132
test_mse_170300010305,2,0.01516636274755001
test_mse_170300010305,3,0.013044040650129318
train_kge_171100090403,0,0.9461552501510874
test_kge_170300020106,0,0.9203246315865142
train_mae_170300020101,0,0.03907144069671631
test_mse_170300020204,0,0.013826810754835606
train_mse_170300020301,0,0.004922961816191673
train_kge_170300020302,0,0.9505151839687341
test_mse_170300020304,0,0.0030154387932270765
train_kge_170300020304,0,0.9478583917113387
train_kge_171100090101,0,0.9355526352209038
train_r2_171100090102,0,0.9495254158973694
train_mse_171100090104,0,0.0020401678048074245
train_kge_171100051001,0,0.8886749050678565
train_kge_171100051001,1,0.8388774255020752
train_kge_171100051001,2,0.8962048707311216
train_kge_171100051001,3,0.841718340410248
train_kge_171100051001,4,0.9058298314886764
train_r2_171100051005,0,0.8066805005073547
train_r2_171100051005,1,0.7585169076919556
