Metric,Step,Value
train_kge_170200090208,0,0.809178535941087
train_kge_170200090208,1,0.5598811511100377
train_kge_170200090208,2,0.16271099269669054
train_kge_170200090208,3,0.01254875946820544
train_kge_170200090208,4,0.015097245426333061
train_kge_170200090208,5,0.009895847467923935
train_kge_170200090208,6,0.03033264469444008
train_kge_170200090208,7,0.5601860130867807
train_kge_170200090208,8,0.2013391005335179
train_kge_170200090208,9,-0.012861952002590327
test_r2_170200090209,0,-0.18196344375610352
test_r2_170200090209,1,-0.19562363624572754
test_r2_170200090209,2,-0.18920552730560303
test_r2_170200090209,3,0.4359275698661804
test_r2_170200090209,4,0.49598920345306396
test_r2_170200090209,5,0.37164342403411865
test_r2_170200090209,6,-0.10067665576934814
test_r2_170200090209,7,0.49272483587265015
test_r2_170200090209,8,0.8705724477767944
test_r2_170200090209,9,0.08058053255081177
train_mae_170200090209,0,0.16773976385593414
train_mae_170200090209,1,0.16609828174114227
train_mae_170200090209,2,0.1643601655960083
train_mae_170200090209,3,0.12354781478643417
train_mae_170200090209,4,0.09775827080011368
train_mae_170200090209,5,0.11642643809318542
train_mae_170200090209,6,0.19612076878547668
train_mae_170200090209,7,0.10267571359872818
train_mae_170200090209,8,0.057392653077840805
train_mae_170200090209,9,0.15550696849822998
train_mse_170200090208,0,0.010797159746289253
train_mse_170200090208,1,0.019783295691013336
train_mse_170200090208,2,0.029682867228984833
train_mse_170200090208,3,0.0505315326154232
train_mse_170200090208,4,0.050834864377975464
train_mse_170200090208,5,0.05109775438904762
train_mse_170200090208,6,0.050419121980667114
train_mse_170200090208,7,0.02509104087948799
train_mse_170200090208,8,0.05784732475876808
train_mse_170200090208,9,0.05230255797505379
train_r2_170200090209,0,-0.30121541023254395
train_r2_170200090209,1,-0.31155848503112793
train_r2_170200090209,2,-0.30112123489379883
train_r2_170200090209,3,0.4631819725036621
train_r2_170200090209,4,0.536738395690918
train_r2_170200090209,5,0.2959955334663391
train_r2_170200090209,6,0.06301379203796387
train_r2_170200090209,7,0.5915973782539368
train_r2_170200090209,8,0.8246079683303833
train_r2_170200090209,9,0.24216198921203613
test_kge_170200090301,0,0.9188142654692003
test_kge_170200090301,1,0.7209444656342151
test_kge_170200090301,2,0.9143342028598308
test_kge_170200090301,3,0.8081047266514466
test_kge_170200090301,4,0.8627048687986457
test_kge_170200090301,5,0.9059106034587994
test_kge_170200090301,6,0.7612436532811511
test_kge_170200090301,7,0.801258206045262
test_kge_170200090301,8,0.8598638333293469
test_kge_170200090301,9,0.9399080240398006
train_kge_170200090302,0,0.7544881747070706
train_kge_170200090302,1,0.7908662621235367
train_kge_170200090302,2,0.8583234829139796
train_kge_170200090302,3,0.8816801066372884
train_kge_170200090302,4,0.888918254902771
train_kge_170200090302,5,0.8693234057765493
train_kge_170200090302,6,0.7902093093883074
train_kge_170200090302,7,0.8906701953418869
train_kge_170200090302,8,0.7751914784460117
train_kge_170200090302,9,0.8700587203243821
test_r2_170200090302,0,0.6377694606781006
test_r2_170200090302,1,0.6545391082763672
test_r2_170200090302,2,0.8254082798957825
test_r2_170200090302,3,0.8307472467422485
test_r2_170200090302,4,0.8172487020492554
test_r2_170200090302,5,0.7799597978591919
test_r2_170200090302,6,0.7639403343200684
test_r2_170200090302,7,0.8508172035217285
test_r2_170200090302,8,0.8335429430007935
test_r2_170200090302,9,0.8857998251914978
test_r2_170200110406,0,0.2812213897705078
test_r2_170200110406,1,0.617827296257019
test_r2_170200110406,2,0.6410218477249146
test_r2_170200110406,3,0.7434266805648804
test_r2_170200110406,4,0.7958943843841553
