Metric,Step,Value
test_kge_170602070902,0,0.09882716242779799
test_kge_170602070902,1,-0.12879433925088368
test_kge_170602070902,2,-0.8499340207111044
test_kge_170602070902,3,0.7743691920183646
test_kge_170602070902,4,0.626463469314708
test_kge_170602070902,5,0.9050904222746451
test_kge_170602070902,6,0.15956715115094133
test_kge_170602070902,7,0.13351802415472314
test_kge_170602070902,8,0.3746691175375647
test_kge_170602070902,9,0.27471935325185715
test_kge_170602070902,10,0.2643583593875857
test_kge_170602070902,11,0.9087837034553894
test_kge_170602070902,12,0.23115450934189663
test_kge_170602070902,13,0.2839452451518141
test_kge_170602070902,14,0.7825828420268582
test_kge_170602070902,15,0.4290914872742202
test_kge_170602070902,16,0.6322594124743857
test_kge_170602070902,17,0.3834292971770019
test_kge_170602070902,18,-0.06043950854853608
test_kge_170602070902,19,-0.04429225139952653
test_kge_170602070902,20,0.7959153848591993
test_kge_170602070902,21,-1.1359489834938508
test_kge_170602070902,22,-1.3670915349626034
test_kge_170602070902,23,-2.295509469104935
test_kge_170602070902,24,-0.7591352785044791
test_kge_170602070902,25,-0.9426067262934359
test_kge_170602070902,26,-0.4802816625861104
test_kge_170602070902,27,0.8025224844425631
test_kge_170602070902,28,0.6833050620862091
test_kge_170602070902,29,0.3879471215390884
test_kge_170602070603,0,0.014236644850927238
test_kge_170602070603,1,-0.15402797480841435
test_kge_170602070603,2,-0.7940908565191835
test_kge_170602070603,3,0.7481010172516958
test_kge_170602070603,4,0.5675714532031065
test_kge_170602070603,5,0.6305097772387289
test_kge_170602070603,6,-0.0013768762664105871
test_kge_170602070603,7,0.03985250203367574
test_kge_170602070603,8,0.24835131245408015
test_kge_170602070603,9,0.16562568072019823
test_kge_170602070603,10,0.17409114184112218
test_kge_170602070603,11,0.8323887276249082
test_kge_170602070603,12,0.09411307411687042
test_kge_170602070603,13,0.036058207913614915
test_kge_170602070603,14,0.8522449705568285
test_kge_170602070603,15,0.3290799675387015
test_kge_170602070603,16,0.4954077604195912
test_kge_170602070603,17,0.296647352050871
test_kge_170602070603,18,-0.12723027530118047
test_kge_170602070603,19,-0.20065659693064886
test_kge_170602070603,20,0.5728856313263574
test_kge_170602070603,21,-1.6349732433779351
test_kge_170602070603,22,-0.7275779197627328
test_kge_170602070603,23,-3.094958619688171
test_kge_170602070603,24,-0.9802567854200219
test_kge_170602070603,25,-0.9622515458240819
test_kge_170602070603,26,-0.6088360880009278
test_kge_170602070603,27,0.7020818837785019
test_kge_170602070603,28,0.46205414422233093
test_kge_170602070603,29,0.20254628797207175
train_mse_171100051004,0,-500.0
train_mse_171100051004,1,-500.0
train_mse_171100051004,2,-500.0
train_mse_171100051004,3,-500.0
train_mse_171100051004,4,-500.0
train_mse_171100051004,5,-500.0
train_mse_171100051004,6,-500.0
train_mse_171100051004,7,-500.0
train_mse_171100051004,8,-500.0
train_mse_171100051004,9,-500.0
train_mse_171100051004,10,-500.0
train_mse_171100051004,11,-500.0
train_mse_171100051004,12,-500.0
train_mse_171100051004,13,-500.0
train_mse_171100051004,14,-500.0
train_mse_171100051004,15,-500.0
train_mse_171100051004,16,-500.0
train_mse_171100051004,17,-500.0
train_mse_171100051004,18,-500.0
train_mse_171100051004,19,-500.0
train_mse_171100051004,20,-500.0
train_mse_171100051004,21,-500.0
train_mse_171100051004,22,-500.0
train_mse_171100051004,23,-500.0
train_mse_171100051004,24,-500.0
train_mse_171100051004,25,-500.0
train_mse_171100051004,26,-500.0
train_mse_171100051004,27,-500.0
train_mse_171100051004,28,-500.0
train_mse_171100051004,29,-500.0
test_kge_170602080302,0,0.5795953050709335
test_kge_170602080302,1,0.3184963236797428
test_kge_170602080302,2,-0.28758256773657065
test_kge_170602080302,3,0.8307256653409469
test_kge_170602080302,4,0.9154001107635382
test_kge_170602080302,5,0.7973859944706451
test_kge_170602080302,6,0.6283393139926479
test_kge_170602080302,7,0.5991284424325214
test_kge_170602080302,8,0.7915114109197916
test_kge_170602080302,9,0.7026164316792238
test_kge_170602080302,10,0.6814016057719547
test_kge_170602080302,11,0.731318656585127
test_kge_170602080302,12,0.6712721299412037
test_kge_170602080302,13,0.6753707225964147
test_kge_170602080302,14,0.47899279118221105
test_kge_170602080302,15,0.8020352663861153
test_kge_170602080302,16,0.9322841262314543
test_kge_170602080302,17,0.7645818384803401
test_kge_170602080302,18,0.3767089206454607
test_kge_170602080302,19,0.3818854140562832
test_kge_170602080302,20,0.8951680790790338
test_kge_170602080302,21,-1.0331794871758495
test_kge_170602080302,22,-0.6830206122554352
test_kge_170602080302,23,-2.541209389413547
test_kge_170602080302,24,-0.7274822807672197
test_kge_170602080302,25,-0.781203591448931
test_kge_170602080302,26,-0.4369743599106397
test_kge_170602080302,27,0.7522378972434991
test_kge_170602080302,28,0.8770701002590198
test_kge_170602080302,29,0.730597854880448
train_kge_170602070802,0,-500.0
train_kge_170602070802,1,-500.0
train_kge_170602070802,2,-500.0
train_kge_170602070802,3,-500.0
train_kge_170602070802,4,-500.0
train_kge_170602070802,5,-500.0
train_kge_170602070802,6,-500.0
train_kge_170602070802,7,-500.0
train_kge_170602070802,8,-500.0
train_kge_170602070802,9,-500.0
train_kge_170602070802,10,-500.0
train_kge_170602070802,11,-500.0
train_kge_170602070802,12,-500.0
train_kge_170602070802,13,-500.0
train_kge_170602070802,14,-500.0
train_kge_170602070802,15,-500.0
train_kge_170602070802,16,-500.0
train_kge_170602070802,17,-500.0
train_kge_170602070802,18,-500.0
train_kge_170602070802,19,-500.0
train_kge_170602070802,20,-500.0
train_kge_170602070802,21,-500.0
train_kge_170602070802,22,-500.0
train_kge_170602070802,23,-500.0
train_kge_170602070802,24,-500.0
train_kge_170602070802,25,-500.0
train_kge_170602070802,26,-500.0
train_kge_170602070802,27,-500.0
train_kge_170602070802,28,-500.0
train_kge_170602070802,29,-500.0
test_mse_171100090103,0,0.011064129881560802
test_mse_171100090103,1,0.012550410814583302
test_mse_171100090103,2,0.009390171617269516
test_mse_171100090103,3,0.05403809994459152
test_mse_171100090103,4,0.06161363795399666
test_mse_171100090103,5,0.017868349328637123
test_mse_171100090103,6,0.009727315045893192
test_mse_171100090103,7,0.02719329297542572
test_mse_171100090103,8,0.017066068947315216
test_mse_171100090103,9,0.027125105261802673
test_mse_171100090103,10,0.03754299506545067
test_mse_171100090103,11,0.02507929317653179
test_mse_171100090103,12,0.03253320977091789
test_mse_171100090103,13,0.009520046412944794
test_mse_171100090103,14,0.07343960553407669
test_mse_171100090103,15,0.044448696076869965
test_mse_171100090103,16,0.038250625133514404
test_mse_171100090103,17,0.022351019084453583
test_mse_171100090103,18,0.027070878073573112
test_mse_171100090103,19,0.017079634591937065
test_mse_171100090103,20,0.027129050344228745
test_mse_171100090103,21,0.05789482966065407
test_mse_171100090103,22,0.07444126158952713
test_mse_171100090103,23,0.06607869267463684
test_mse_171100090103,24,0.05304863676428795
test_mse_171100090103,25,0.06324693560600281
test_mse_171100090103,26,0.05956854298710823
test_mse_171100090103,27,0.08352851867675781
test_mse_171100090103,28,0.04212794080376625
test_mse_171100090103,29,0.027370084077119827
train_kge_170200110301,0,-500.0
train_kge_170200110301,1,-500.0
train_kge_170200110301,2,-500.0
train_kge_170200110301,3,-500.0
train_kge_170200110301,4,-500.0
train_kge_170200110301,5,-500.0
train_kge_170200110301,6,-500.0
train_kge_170200110301,7,-500.0
train_kge_170200110301,8,-500.0
train_kge_170200110301,9,-500.0
train_kge_170200110301,10,-500.0
train_kge_170200110301,11,-500.0
train_kge_170200110301,12,-500.0
train_kge_170200110301,13,-500.0
train_kge_170200110301,14,-500.0
train_kge_170200110301,15,-500.0
train_kge_170200110301,16,-500.0
train_kge_170200110301,17,-500.0
train_kge_170200110301,18,-500.0
train_kge_170200110301,19,-500.0
train_kge_170200110301,20,-500.0
train_kge_170200110301,21,-500.0
train_kge_170200110301,22,-500.0
train_kge_170200110301,23,-500.0
train_kge_170200110301,24,-500.0
train_kge_170200110301,25,-500.0
train_kge_170200110301,26,-500.0
train_kge_170200110301,27,-500.0
train_kge_170200110301,28,-500.0
train_kge_170200110301,29,-500.0
train_kge_170103040901,0,-500.0
train_kge_170103040901,1,-500.0
train_kge_170103040901,2,-500.0
train_kge_170103040901,3,-500.0
train_kge_170103040901,4,-500.0
train_kge_170103040901,5,-500.0
train_kge_170103040901,6,-500.0
train_kge_170103040901,7,-500.0
train_kge_170103040901,8,-500.0
train_kge_170103040901,9,-500.0
train_kge_170103040901,10,-500.0
train_kge_170103040901,11,-500.0
train_kge_170103040901,12,-500.0
train_kge_170103040901,13,-500.0
train_kge_170103040901,14,-500.0
train_kge_170103040901,15,-500.0
train_kge_170103040901,16,-500.0
train_kge_170103040901,17,-500.0
train_kge_170103040901,18,-500.0
train_kge_170103040901,19,-500.0
train_kge_170103040901,20,-500.0
train_kge_170103040901,21,-500.0
train_kge_170103040901,22,-500.0
train_kge_170103040901,23,-500.0
train_kge_170103040901,24,-500.0
train_kge_170103040901,25,-500.0
train_kge_170103040901,26,-500.0
train_kge_170103040901,27,-500.0
train_kge_170103040901,28,-500.0
train_kge_170103040901,29,-500.0
test_mse_171100050705,0,0.028023619204759598
test_mse_171100050705,1,0.028158608824014664
test_mse_171100050705,2,0.02352665364742279
test_mse_171100050705,3,0.01240867655724287
test_mse_171100050705,4,0.017233045771718025
test_mse_171100050705,5,0.013464441522955894
test_mse_171100050705,6,0.027564071118831635
test_mse_171100050705,7,0.008607594296336174
test_mse_171100050705,8,0.009327693842351437
test_mse_171100050705,9,0.014186187647283077
test_mse_171100050705,10,0.009088759310543537
test_mse_171100050705,11,0.008775630965828896
test_mse_171100050705,12,0.010627898387610912
test_mse_171100050705,13,0.013538514263927937
test_mse_171100050705,14,0.02376081980764866
test_mse_171100050705,15,0.008632858283817768
test_mse_171100050705,16,0.01015776488929987
test_mse_171100050705,17,0.005536951590329409
test_mse_171100050705,18,0.00825162697583437
test_mse_171100050705,19,0.009020834229886532
test_mse_171100050705,20,0.011405536904931068
test_mse_171100050705,21,0.052174393087625504
test_mse_171100050705,22,0.03504624590277672
test_mse_171100050705,23,0.046047478914260864
test_mse_171100050705,24,0.026903491467237473
test_mse_171100050705,25,0.049546018242836
test_mse_171100050705,26,0.04660256206989288
test_mse_171100050705,27,0.04563488811254501
test_mse_171100050705,28,0.017739826813340187
test_mse_171100050705,29,0.013769102282822132
test_kge_170602070705,0,0.2419817524748029
test_kge_170602070705,1,0.09713699651260488
test_kge_170602070705,2,-0.409631436485407
test_kge_170602070705,3,0.9466088756588289
test_kge_170602070705,4,0.7884298614262184
test_kge_170602070705,5,0.8609429368225207
test_kge_170602070705,6,0.3528461155318895
test_kge_170602070705,7,0.2739006098379376
test_kge_170602070705,8,0.5391212483068943
test_kge_170602070705,9,0.42166728214719107
test_kge_170602070705,10,0.4181080026213261
test_kge_170602070705,11,0.880590260391065
test_kge_170602070705,12,0.45591791504042334
test_kge_170602070705,13,0.3719696430307381
test_kge_170602070705,14,0.6538608211841144
test_kge_170602070705,15,0.6919236783200057
test_kge_170602070705,16,0.7838363917924163
test_kge_170602070705,17,0.5488539512806692
test_kge_170602070705,18,0.14392769464539878
test_kge_170602070705,19,0.12940092817721416
test_kge_170602070705,20,0.798775747678925
test_kge_170602070705,21,-2.3604232239249043
test_kge_170602070705,22,-1.0504416017975915
test_kge_170602070705,23,-4.073931937557314
test_kge_170602070705,24,-1.3328258841600795
test_kge_170602070705,25,-1.3782184931731742
test_kge_170602070705,26,-1.1252360432455033
test_kge_170602070705,27,0.47020687507969194
test_kge_170602070705,28,0.6886395386067979
test_kge_170602070705,29,0.47979342520013635
test_mse_170602080412,0,0.0032220869325101376
test_mse_170602080412,1,0.003523780032992363
test_mse_170602080412,2,0.008758832700550556
test_mse_170602080412,3,0.0014960417756810784
test_mse_170602080412,4,0.0007663031574338675
test_mse_170602080412,5,0.0008076593512669206
test_mse_170602080412,6,0.0012467257911339402
test_mse_170602080412,7,0.0018774288473650813
test_mse_170602080412,8,0.0008840950322337449
test_mse_170602080412,9,0.0010781500022858381
test_mse_170602080412,10,0.0012186586391180754
test_mse_170602080412,11,0.0010285174939781427
test_mse_170602080412,12,0.0013008156092837453
test_mse_170602080412,13,0.0013908387627452612
test_mse_170602080412,14,0.0032009787391871214
test_mse_170602080412,15,0.0006792282802052796
test_mse_170602080412,16,0.0007164437556639314
test_mse_170602080412,17,0.0010878096800297499
test_mse_170602080412,18,0.0040786112658679485
test_mse_170602080412,19,0.003701224457472563
test_mse_170602080412,20,0.000537922780495137
test_mse_170602080412,21,0.09092848002910614
test_mse_170602080412,22,0.024997413158416748
test_mse_170602080412,23,0.18775111436843872
test_mse_170602080412,24,0.05148359760642052
test_mse_170602080412,25,0.03888252004981041
test_mse_170602080412,26,0.03045542910695076
test_mse_170602080412,27,0.005727377254515886
test_mse_170602080412,28,0.0015047098277136683
test_mse_170602080412,29,0.0011536427773535252
test_kge_170602070707,0,-0.40338282973997686
test_kge_170602070707,1,-0.4282578846084364
test_kge_170602070707,2,-0.9145896490694887
test_kge_170602070707,3,0.7762416046011125
test_kge_170602070707,4,0.3530394618006062
test_kge_170602070707,5,0.20172969470972935
test_kge_170602070707,6,-0.272905073562433
test_kge_170602070707,7,-0.3392497013910962
test_kge_170602070707,8,0.05065418941258826
test_kge_170602070707,9,-0.12006290307270051
test_kge_170602070707,10,-0.19171751403716453
test_kge_170602070707,11,0.6579942809924783
test_kge_170602070707,12,-0.01816935277986209
test_kge_170602070707,13,-0.2812263254704688
test_kge_170602070707,14,0.8744119429226946
test_kge_170602070707,15,0.43340051853597905
test_kge_170602070707,16,0.3702129415311647
test_kge_170602070707,17,0.09038407373155832
test_kge_170602070707,18,-0.47367519906097444
test_kge_170602070707,19,-0.38581225812301123
test_kge_170602070707,20,0.26348072036604175
test_kge_170602070707,21,-4.261058318509649
test_kge_170602070707,22,-1.3505492725176849
test_kge_170602070707,23,-6.423073545554596
test_kge_170602070707,24,-2.7079248290143023
test_kge_170602070707,25,-1.767086495382058
test_kge_170602070707,26,-2.322193665984156
test_kge_170602070707,27,-0.4357127140585506
test_kge_170602070707,28,0.4862812249427534
test_kge_170602070707,29,0.07341912209620183
train_mse_170200110101,0,-500.0
train_mse_170200110101,1,-500.0
train_mse_170200110101,2,-500.0
train_mse_170200110101,3,-500.0
train_mse_170200110101,4,-500.0
train_mse_170200110101,5,-500.0
train_mse_170200110101,6,-500.0
train_mse_170200110101,7,-500.0
train_mse_170200110101,8,-500.0
train_mse_170200110101,9,-500.0
train_mse_170200110101,10,-500.0
train_mse_170200110101,11,-500.0
train_mse_170200110101,12,-500.0
train_mse_170200110101,13,-500.0
train_mse_170200110101,14,-500.0
train_mse_170200110101,15,-500.0
train_mse_170200110101,16,-500.0
train_mse_170200110101,17,-500.0
train_mse_170200110101,18,-500.0
train_mse_170200110101,19,-500.0
train_mse_170200110101,20,-500.0
train_mse_170200110101,21,-500.0
train_mse_170200110101,22,-500.0
train_mse_170200110101,23,-500.0
train_mse_170200110101,24,-500.0
train_mse_170200110101,25,-500.0
train_mse_170200110101,26,-500.0
train_mse_170200110101,27,-500.0
train_mse_170200110101,28,-500.0
train_mse_170200110101,29,-500.0
train_mse_171100060402,0,-500.0
train_mse_171100060402,1,-500.0
train_mse_171100060402,2,-500.0
train_mse_171100060402,3,-500.0
train_mse_171100060402,4,-500.0
train_mse_171100060402,5,-500.0
train_mse_171100060402,6,-500.0
train_mse_171100060402,7,-500.0
train_mse_171100060402,8,-500.0
train_mse_171100060402,9,-500.0
train_mse_171100060402,10,-500.0
train_mse_171100060402,11,-500.0
train_mse_171100060402,12,-500.0
train_mse_171100060402,13,-500.0
train_mse_171100060402,14,-500.0
train_mse_171100060402,15,-500.0
train_mse_171100060402,16,-500.0
train_mse_171100060402,17,-500.0
train_mse_171100060402,18,-500.0
train_mse_171100060402,19,-500.0
train_mse_171100060402,20,-500.0
train_mse_171100060402,21,-500.0
train_mse_171100060402,22,-500.0
train_mse_171100060402,23,-500.0
train_mse_171100060402,24,-500.0
train_mse_171100060402,25,-500.0
train_mse_171100060402,26,-500.0
train_mse_171100060402,27,-500.0
train_mse_171100060402,28,-500.0
train_mse_171100060402,29,-500.0
train_mse_170200110403,0,-500.0
train_mse_170200110403,1,-500.0
train_mse_170200110403,2,-500.0
train_mse_170200110403,3,-500.0
train_mse_170200110403,4,-500.0
train_mse_170200110403,5,-500.0
train_mse_170200110403,6,-500.0
train_mse_170200110403,7,-500.0
train_mse_170200110403,8,-500.0
train_mse_170200110403,9,-500.0
train_mse_170200110403,10,-500.0
train_mse_170200110403,11,-500.0
train_mse_170200110403,12,-500.0
train_mse_170200110403,13,-500.0
train_mse_170200110403,14,-500.0
train_mse_170200110403,15,-500.0
train_mse_170200110403,16,-500.0
train_mse_170200110403,17,-500.0
train_mse_170200110403,18,-500.0
train_mse_170200110403,19,-500.0
train_mse_170200110403,20,-500.0
train_mse_170200110403,21,-500.0
train_mse_170200110403,22,-500.0
train_mse_170200110403,23,-500.0
train_mse_170200110403,24,-500.0
train_mse_170200110403,25,-500.0
train_mse_170200110403,26,-500.0
train_mse_170200110403,27,-500.0
train_mse_170200110403,28,-500.0
train_mse_170200110403,29,-500.0
test_mse_170200090106,0,0.02201862446963787
test_mse_170200090106,1,0.00734226917847991
test_mse_170200090106,2,0.024837326258420944
test_mse_170200090106,3,0.02835029549896717
test_mse_170200090106,4,0.026272011920809746
test_mse_170200090106,5,0.011295431293547153
test_mse_170200090106,6,0.016969097778201103
test_mse_170200090106,7,0.00812336802482605
test_mse_170200090106,8,0.007571016438305378
test_mse_170200090106,9,0.0075305853970348835
test_mse_170200090106,10,0.009211365133523941
test_mse_170200090106,11,0.012366654351353645
test_mse_170200090106,12,0.01048390194773674
test_mse_170200090106,13,0.010908246040344238
test_mse_170200090106,14,0.04311197251081467
test_mse_170200090106,15,0.01830252632498741
test_mse_170200090106,16,0.008989882655441761
test_mse_170200090106,17,0.014601331204175949
test_mse_170200090106,18,0.0151136489585042
test_mse_170200090106,19,0.011400992050766945
test_mse_170200090106,20,0.010188325308263302
