Metric,Step,Value
train_mae_170602080302,0,0.012265091761946678
train_mae_170602080302,1,0.01182948611676693
train_mae_170602080302,2,0.011415975168347359
test_mse_170602080302,0,0.002162155695259571
test_mse_170602080302,1,0.002035543555393815
test_mse_170602080302,2,0.002105189021676779
test_kge_170602080302,0,0.9346376646070936
test_kge_170602080302,1,0.9419058866981658
test_kge_170602080302,2,0.933984587215814
test_kge_170602080405,0,0.875040850591009
test_mae_170602080406,0,0.0285404734313488
train_mae_170200090209,0,0.03880039229989052
train_mae_170200090209,1,0.04538046568632126
train_mae_170200090209,2,0.03216981887817383
test_mse_170200090301,0,0.0017809034325182438
test_mae_170200090301,0,0.02404308132827282
test_mse_170200090302,0,0.0006881410372443497
test_mse_170200090302,1,0.0008155805990099907
test_mse_170200090302,2,0.0009612671565264463
test_mse_170200090302,3,0.0007953457534313202
test_mse_170200090302,4,0.0008745398372411728
test_mse_170200090302,5,0.000897503923624754
test_mse_170200090302,6,0.000898339378181845
test_mse_170200090302,7,0.0007589808665215969
test_mse_170200090302,8,0.0010499963536858559
test_mse_170200090302,9,0.0008742990903556347
train_kge_170200090302,0,0.9475141947620309
train_kge_170200090302,1,0.8621047415919765
train_kge_170200090302,2,0.8122762947542157
train_kge_170200090302,3,0.9068872103112158
train_kge_170200090302,4,0.8666392838139398
train_kge_170200090302,5,0.9056362556261183
train_kge_170200090302,6,0.9014945701300694
train_kge_170200090302,7,0.9435084384742558
train_kge_170200090302,8,0.8319151468195046
train_kge_170200090302,9,0.9351398990280122
test_mse_170200090304,0,0.0005720045883208513
test_mse_170200090304,1,0.0005755156744271517
test_mse_170200090304,2,0.0005697670858353376
test_mse_170200090304,3,0.0004918244085274637
test_mse_170200090304,4,0.00048609732766635716
test_mse_170200090304,5,0.00042316311737522483
test_mse_170200090304,6,0.00046314825885929167
test_mse_170200090304,7,0.0004135671479161829
test_mse_170200090304,8,0.00039884503348730505
test_mse_170200090304,9,0.00038842755020596087
train_r2_170200090304,0,0.9263362288475037
train_r2_170200090304,1,0.9236516952514648
train_r2_170200090304,2,0.9396522045135498
train_r2_170200090304,3,0.9402669072151184
train_r2_170200090304,4,0.9426370859146118
train_r2_170200090304,5,0.9448668360710144
train_r2_170200090304,6,0.9328672885894775
train_r2_170200090304,7,0.9373859167098999
train_r2_170200090304,8,0.9498207569122314
train_r2_170200090304,9,0.9521855115890503
train_r2_170200090209,0,0.9170211553573608
train_r2_170200090209,1,0.9036479592323303
train_r2_170200090209,2,0.9401508569717407
train_r2_170200090301,0,0.9313274621963501
test_mae_170200110406,0,0.07215289026498795
test_mae_170200110406,1,0.04154329374432564
test_mae_170200110406,2,0.04875153303146362
test_mae_170200110406,3,0.04338876157999039
test_mae_170200110406,4,0.03663508594036102
test_mae_170200110406,5,0.04184115305542946
test_mae_170200110406,6,0.052891626954078674
test_mae_170200110406,7,0.037583380937576294
test_mae_170200110406,8,0.038097623735666275
test_mae_170200110406,9,0.041277553886175156
train_r2_170200090208,0,0.5936720371246338
train_r2_170200090208,1,0.6945542097091675
train_r2_170200090208,2,0.583680272102356
train_r2_170200090208,3,0.8420968055725098
train_r2_170200090208,4,0.8625060319900513
train_r2_170200090208,5,0.895379364490509
train_r2_170200090208,6,0.8443467617034912
train_r2_170200090208,7,0.8722094893455505
train_r2_170200090208,8,0.915090799331665
train_r2_170200090208,9,0.9227205514907837
test_mae_170200090209,0,0.04997791722416878
test_mae_170200090209,1,0.06056787446141243
test_mae_170200090209,2,0.04435821995139122
test_kge_170602080303,0,0.9154996166370482
test_kge_170602080303,1,0.9308386350678008
test_kge_170602080303,2,0.9180315052943434
test_kge_170602080303,3,0.931568936986177
test_kge_170602080303,4,0.9326339882373856
test_kge_170602080303,5,0.9270450845076332
test_kge_170602080303,6,0.9320757273331637
test_kge_170602080303,7,0.9314458892144728
test_kge_170602080303,8,0.9398835850511765
test_kge_170602080303,9,0.9320771262559717
test_r2_170200090301,0,0.8858547806739807
test_mse_170602080406,0,0.0027497047558426857
test_mse_170200090209,0,0.0062772734090685844
test_mse_170200090209,1,0.00870272982865572
test_mse_170200090209,2,0.005249840673059225
test_mse_170602080405,0,0.003149226075038314
test_mae_170602080408,0,0.03925473242998123
test_r2_170602080303,0,0.8431569337844849
test_r2_170602080303,1,0.8618111610412598
test_r2_170602080303,2,0.863520085811615
test_r2_170602080303,3,0.8718713521957397
test_r2_170602080303,4,0.8746781945228577
test_r2_170602080303,5,0.881186842918396
test_r2_170602080303,6,0.8818582892417908
test_r2_170602080303,7,0.8801195621490479
test_r2_170602080303,8,0.8860853910446167
test_r2_170602080303,9,0.8862684965133667
test_r2_170602080412,0,0.9117757081985474
test_kge_170602080502,0,0.965142186687815
train_r2_170602080504,0,0.9686394929885864
train_r2_170602080504,1,0.9687453508377075
train_r2_170602080504,2,0.971969723701477
train_r2_170602080504,3,0.9686556458473206
train_r2_170602080504,4,0.9700450897216797
train_r2_170602080504,5,0.9718449711799622
train_r2_170602080504,6,0.9712692499160767
train_r2_170602080504,7,0.9730305671691895
train_r2_170602080504,8,0.9717838764190674
train_r2_170602080504,9,0.9730356931686401
train_kge_170602080506,0,0.9462262130386485
train_kge_170602080506,1,0.9385125005076849
train_kge_170602080506,2,0.9462670594416595
train_kge_170602080506,3,0.9397094953995483
train_kge_170602080506,4,0.9465846006459431
train_kge_170602080506,5,0.9486951715310578
train_kge_170602080506,6,0.9423621598390028
train_kge_170602080506,7,0.9445569994312354
train_kge_170602080506,8,0.951348125832738
test_mae_170602080507,0,0.027809161692857742
train_mse_170602080409,0,0.0006121929618529975
train_mse_170200090301,0,0.0012204552767798305
train_mae_170200090301,0,0.01998632214963436
train_kge_170602080303,0,0.9059389638341884
train_kge_170602080303,1,0.8894681100221786
train_kge_170602080303,2,0.8493514555054291
train_kge_170602080303,3,0.8982404816890627
train_kge_170602080303,4,0.8807359132744119
train_kge_170602080303,5,0.8763943001994394
train_kge_170602080303,6,0.8844087182726328
train_kge_170602080303,7,0.8896679231707653
train_kge_170602080303,8,0.9154480765323019
train_kge_170602080303,9,0.9268501766439836
test_mae_170602080405,0,0.030851056799292564
train_r2_170602080412,0,0.9678305983543396
train_mae_170602080407,0,0.014309480786323547
train_mse_170602080501,0,0.002148637780919671
test_mae_170602080502,0,0.03846648335456848
test_mse_170602080601,0,0.0021220105700194836
test_mse_170602080607,0,0.0015022701118141413
test_kge_170200110406,0,0.51594136882731
test_kge_170200110406,1,0.8417580703328492
test_kge_170200110406,2,0.7265673425116588
test_kge_170200110406,3,0.7938629548709917
test_kge_170200110406,4,0.8738587074040247
test_kge_170200110406,5,0.8175326673341069
test_kge_170200110406,6,0.6853099262546742
test_kge_170200110406,7,0.8363444386023057
test_kge_170200110406,8,0.7999395610582998
test_kge_170200110406,9,0.7902602463882704
train_r2_170602080303,0,0.941020667552948
train_r2_170602080303,1,0.9400571584701538
train_r2_170602080303,2,0.9372943043708801
train_r2_170602080303,3,0.942289412021637
train_r2_170602080303,4,0.9410869479179382
train_r2_170602080303,5,0.9405657649040222
train_r2_170602080303,6,0.9431076049804688
train_r2_170602080303,7,0.9437588453292847
train_r2_170602080303,8,0.9451894760131836
train_r2_170602080303,9,0.9478453397750854
train_kge_170602080408,0,0.9746727500998374
test_mae_170602080501,0,0.05044400319457054
test_kge_170200090208,0,0.5881203081287671
test_kge_170200090208,1,0.7446781567314256
test_kge_170200090208,2,0.5100645207664571
test_kge_170200090208,3,0.8880263085743961
test_kge_170200090208,4,0.8165050265192436
test_kge_170200090208,5,0.9029186316974229
test_kge_170200090208,6,0.8807932316841807
test_kge_170200090208,7,0.9179682312972576
test_kge_170200090208,8,0.8599478198488322
test_kge_170200090208,9,0.8957406513702493
train_r2_170602080501,0,0.9813070893287659
test_r2_170602080502,0,0.9328197240829468
test_kge_170200090301,0,0.8415593836199214
test_kge_170602080401,0,0.9700892494254749
test_kge_170602080401,1,0.9642812024871757
train_kge_170602080405,0,0.9749935845971773
test_mse_170602080408,0,0.00505500752478838
test_mse_170602080409,0,0.0015026428736746311
train_kge_170602080410,0,0.9662455899985577
train_mse_170602080605,0,0.0006101008621044457
train_r2_170602080607,0,0.976891815662384
test_mae_170602080608,0,0.01950087584555149
test_mae_170602080608,1,0.01908687688410282
train_mae_170602080505,0,0.011913836933672428
test_mae_170200090304,0,0.011757577769458294
test_mae_170200090304,1,0.012286989018321037
test_mae_170200090304,2,0.011775467544794083
test_mae_170200090304,3,0.010616364888846874
test_mae_170200090304,4,0.010770639404654503
test_mae_170200090304,5,0.010264510288834572
test_mae_170200090304,6,0.01101676281541586
test_mae_170200090304,7,0.010904830880463123
test_mae_170200090304,8,0.009888988919556141
test_mae_170200090304,9,0.00974773708730936
test_mae_170602080401,0,0.03863207623362541
test_mae_170602080401,1,0.040100738406181335
train_kge_170602080401,0,0.9484116752922515
train_kge_170602080401,1,0.9564148670761249
test_r2_170602080407,0,0.9322385787963867
test_mae_170602080409,0,0.022799571976065636
test_mae_170602080607,0,0.020311933010816574
test_kge_170200090209,0,0.8021423553255204
test_kge_170200090209,1,0.6568766324335024
test_kge_170200090209,2,0.7981752850962719
test_kge_170200090304,0,0.8587926568827013
test_kge_170200090304,1,0.858948843016935
test_kge_170200090304,2,0.8906240014625706
test_kge_170200090304,3,0.8657614191577252
test_kge_170200090304,4,0.9086799450306027
test_kge_170200090304,5,0.9137860381421844
test_kge_170200090304,6,0.8666828687769028
test_kge_170200090304,7,0.8952699252328514
test_kge_170200090304,8,0.9395233186749692
test_kge_170200090304,9,0.9306209653214093
train_mse_170602080303,0,0.0004244842566549778
train_mse_170602080303,1,0.00043141894275322556
train_mse_170602080303,2,0.0004513035237323493
train_mse_170602080303,3,0.0004153526097070426
train_mse_170602080303,4,0.00042400730308145285
train_mse_170602080303,5,0.00042775823385454714
train_mse_170602080303,6,0.00040946397348307073
train_mse_170602080303,7,0.00040477720904164016
train_mse_170602080303,8,0.0003944804484490305
train_mse_170602080303,9,0.0003753657510969788
train_mse_170200090208,0,0.015821130946278572
train_mse_170200090208,1,0.011893096379935741
train_mse_170200090208,2,0.016210176050662994
train_mse_170200090208,3,0.006148253567516804
train_mse_170200090208,4,0.005353582091629505
train_mse_170200090208,5,0.004073597490787506
train_mse_170200090208,6,0.0060606449842453
train_mse_170200090208,7,0.004975758958607912
train_mse_170200090208,8,0.003306096885353327
train_mse_170200090208,9,0.0030090175569057465
train_mae_170602080408,0,0.0146786505356431
train_mse_170602080401,0,0.0012664642417803407
train_mse_170602080401,1,0.0011381222866475582
train_mae_170602080401,0,0.021047791466116905
train_mae_170602080401,1,0.019718127325177193
test_kge_170602080501,0,0.92493745959807
test_kge_170602080504,0,0.9473233233272145
test_kge_170602080504,1,0.9466731058628042
test_kge_170602080504,2,0.9609314625821894
test_kge_170602080504,3,0.9380440074812908
test_kge_170602080504,4,0.9471622651798803
test_kge_170602080504,5,0.9490676774073411
test_kge_170602080504,6,0.9543011457815928
test_kge_170602080504,7,0.9481193847425123
test_kge_170602080504,8,0.9440264544405694
test_kge_170602080504,9,0.9437507510205142
test_kge_170602080402,0,0.9300192148008839
test_kge_170602080402,1,0.9511402419327422
test_kge_170602080402,2,0.9540766678527889
test_mse_170602080505,0,0.0016822952311486006
test_mae_170602080606,0,0.01077988650649786
train_mse_170602080607,0,0.0004077180055901408
test_kge_170200090302,0,0.9496234258200856
test_kge_170200090302,1,0.8509808971986927
test_kge_170200090302,2,0.7820626052993132
test_kge_170200090302,3,0.9072933180203089
test_kge_170200090302,4,0.8741831765236676
test_kge_170200090302,5,0.855238375194062
test_kge_170200090302,6,0.8544086532320766
test_kge_170200090302,7,0.9148647164740105
test_kge_170200090302,8,0.7979273847221602
test_kge_170200090302,9,0.8970166464276804
train_r2_170200110406,0,0.7893146276473999
train_r2_170200110406,1,0.8971800804138184
train_r2_170200110406,2,0.8676114678382874
train_r2_170200110406,3,0.8939679265022278
train_r2_170200110406,4,0.9221050143241882
train_r2_170200110406,5,0.9125851988792419
train_r2_170200110406,6,0.8773411512374878
train_r2_170200110406,7,0.9237971305847168
train_r2_170200110406,8,0.9178884625434875
train_r2_170200110406,9,0.9214263558387756
test_mse_170200090208,0,0.01685076393187046
test_mse_170200090208,1,0.012230614200234413
test_mse_170200090208,2,0.015495157800614834
test_mse_170200090208,3,0.006795661523938179
test_mse_170200090208,4,0.005593429319560528
test_mse_170200090208,5,0.004806505981832743
test_mse_170200090208,6,0.007177699822932482
test_mse_170200090208,7,0.005240032449364662
test_mse_170200090208,8,0.004750470165163279
test_mse_170200090208,9,0.004444761201739311
test_r2_170200090304,0,0.8393306136131287
test_r2_170200090304,1,0.838344395160675
test_r2_170200090304,2,0.8399590849876404
test_r2_170200090304,3,0.8618522882461548
test_r2_170200090304,4,0.8634609580039978
test_r2_170200090304,5,0.8811384439468384
test_r2_170200090304,6,0.8699070811271667
test_r2_170200090304,7,0.8838338255882263
test_r2_170200090304,8,0.8879690766334534
test_r2_170200090304,9,0.8908952474594116
train_kge_170200090301,0,0.957871105437629
test_r2_170200090302,0,0.9185184836387634
test_r2_170200090302,1,0.9034286141395569
test_r2_170200090302,2,0.8861781358718872
test_r2_170200090302,3,0.905824601650238
test_r2_170200090302,4,0.8964473605155945
test_r2_170200090302,5,0.8937282562255859
test_r2_170200090302,6,0.8936293125152588
test_r2_170200090302,7,0.910130500793457
test_r2_170200090302,8,0.8756718635559082
test_r2_170200090302,9,0.8964758515357971
train_r2_170602080401,0,0.9861779808998108
train_r2_170602080401,1,0.9875786900520325
train_r2_170602080406,0,0.9879891872406006
test_mae_170200090302,0,0.016364602372050285
test_mae_170200090302,1,0.01715082861483097
test_mae_170200090302,2,0.0183701291680336
test_mae_170200090302,3,0.018605109304189682
test_mae_170200090302,4,0.02014266327023506
test_mae_170200090302,5,0.017776019871234894
test_mae_170200090302,6,0.017860811203718185
test_mae_170200090302,7,0.017174141481518745
test_mae_170200090302,8,0.019380105659365654
test_mae_170200090302,9,0.017759183421730995
train_mae_170200090208,0,0.09290861338376999
train_mae_170200090208,1,0.0717577189207077
train_mae_170200090208,2,0.072564497590065
train_mae_170200090208,3,0.04818281531333923
train_mae_170200090208,4,0.041085176169872284
train_mae_170200090208,5,0.039359141141176224
train_mae_170200090208,6,0.04696895554661751
train_mae_170200090208,7,0.04103677347302437
train_mae_170200090208,8,0.034217387437820435
train_mae_170200090208,9,0.03696252778172493
train_mse_170200090304,0,0.00023626760230399668
train_mse_170200090304,1,0.00024487788323313
train_mse_170200090304,2,0.00019355819677002728
train_mse_170200090304,3,0.00019158676150254905
train_mse_170200090304,4,0.00018398454994894564
train_mse_170200090304,5,0.0001768330403137952
train_mse_170200090304,6,0.00021532000391744077
train_mse_170200090304,7,0.00020082718401681632
train_mse_170200090304,8,0.00016094384773168713
train_mse_170200090304,9,0.00015335911302827299
train_mse_170200110406,0,0.009436401538550854
train_mse_170200110406,1,0.004605208057910204
train_mse_170200110406,2,0.005929558537900448
train_mse_170200110406,3,0.004749076906591654
train_mse_170200110406,4,0.0034888426307588816
train_mse_170200110406,5,0.003915227483958006
train_mse_170200110406,6,0.005493773613125086
train_mse_170200110406,7,0.003413055557757616
train_mse_170200110406,8,0.0036776994820684195
train_mse_170200110406,9,0.0035192391369491816
train_r2_170602080505,0,0.9823124408721924
train_mae_170602080501,0,0.025376150384545326
train_r2_170602080507,0,0.9827529788017273
train_r2_170602080603,0,0.9798827171325684
train_mae_170602080606,0,0.007878116331994534
test_mae_170200090208,0,0.09354093670845032
test_mae_170200090208,1,0.07219185680150986
test_mae_170200090208,2,0.07521355152130127
test_mae_170200090208,3,0.05129290372133255
test_mae_170200090208,4,0.04406683146953583
test_mae_170200090208,5,0.04257005453109741
test_mae_170200090208,6,0.054587576538324356
test_mae_170200090208,7,0.04555393382906914
test_mae_170200090208,8,0.040336646139621735
test_mae_170200090208,9,0.044415444135665894
test_r2_170602080401,0,0.9402881264686584
test_r2_170602080401,1,0.9339641332626343
test_r2_170602080405,0,0.9104547500610352
train_mse_170200090302,0,0.0006523685879074037
train_mse_170200090302,1,0.0006790634361095726
train_mse_170200090302,2,0.0007470001582987607
train_mse_170200090302,3,0.0005897681694477797
train_mse_170200090302,4,0.0006744418060407043
train_mse_170200090302,5,0.0005563226295635104
train_mse_170200090302,6,0.0005411188467405736
train_mse_170200090302,7,0.0005206397618167102
train_mse_170200090302,8,0.0006887895287945867
train_mse_170200090302,9,0.0005204365006648004
train_mae_170200090304,0,0.00853455439209938
train_mae_170200090304,1,0.008723609149456024
train_mae_170200090304,2,0.007838154211640358
train_mae_170200090304,3,0.007733646780252457
train_mae_170200090304,4,0.007543465588241816
train_mae_170200090304,5,0.007424200419336557
train_mae_170200090304,6,0.00812759343534708
train_mae_170200090304,7,0.008217611350119114
train_mae_170200090304,8,0.006996317766606808
train_mae_170200090304,9,0.006768185179680586
test_r2_170200090208,0,0.5763598680496216
test_r2_170200090208,1,0.6925137042999268
test_r2_170200090208,2,0.6104407906532288
test_r2_170200090208,3,0.8291522860527039
test_r2_170200090208,4,0.8593772649765015
test_r2_170200090208,5,0.8791610598564148
test_r2_170200090208,6,0.8195475339889526
test_r2_170200090208,7,0.8682618737220764
test_r2_170200090208,8,0.8805698156356812
test_r2_170200090208,9,0.8882555365562439
train_mse_170200090209,0,0.004609056282788515
train_mse_170200090209,1,0.005351869389414787
train_mse_170200090209,2,0.003324317280203104
test_r2_170200110406,0,0.6472740173339844
test_r2_170200110406,1,0.8744781017303467
test_r2_170200110406,2,0.8324742913246155
test_r2_170200110406,3,0.8494042754173279
test_r2_170200110406,4,0.9061772227287292
test_r2_170200110406,5,0.8757028579711914
test_r2_170200110406,6,0.8102889657020569
test_r2_170200110406,7,0.8928926587104797
test_r2_170200110406,8,0.8832032084465027
test_r2_170200110406,9,0.8724404573440552
test_mse_170602080402,0,0.0038688729982823133
test_mse_170602080402,1,0.003749971278011799
test_mse_170602080402,2,0.003746316535398364
train_r2_170602080405,0,0.9874200224876404
train_mae_170602080409,0,0.011260016821324825
test_mae_170602080410,0,0.02797158807516098
train_mse_170602080411,0,0.0008193677640520036
train_mse_170602080411,1,0.0007795846904627979
train_mse_170602080411,2,0.000740524148568511
train_mse_170602080411,3,0.0007185493595898151
train_mse_170602080411,4,0.0007401364855468273
train_mse_170602080411,5,0.0007234590593725443
train_mse_170602080411,6,0.0007500327192246914
train_mse_170602080411,7,0.0007734440732747316
train_mse_170602080411,8,0.0007820457685738802
train_mse_170602080411,9,0.0007391903200186789
test_mse_170602080412,0,0.0007397249573841691
train_kge_170602080501,0,0.9689284517691519
train_mse_170602080402,0,0.0012090944219380617
train_mse_170602080402,1,0.0009819493861868978
train_mse_170602080402,2,0.0008359146886505187
test_kge_170602080406,0,0.950854329808605
train_kge_170200090208,0,0.6197875825517237
train_kge_170200090208,1,0.7846365528777899
train_kge_170200090208,2,0.4586943905560136
train_kge_170200090208,3,0.8721675664674159
train_kge_170200090208,4,0.8033328825388837
train_kge_170200090208,5,0.8841906368982779
train_kge_170200090208,6,0.8981712819054651
train_kge_170200090208,7,0.9279219354350933
train_kge_170200090208,8,0.9097068902525507
train_kge_170200090208,9,0.8984475547616054
train_mae_170602080502,0,0.022148452699184418
train_mse_170602080407,0,0.0007444407092407346
test_r2_170602080506,0,0.9316928386688232
test_r2_170602080506,1,0.9359366297721863
test_r2_170602080506,2,0.935315728187561
test_r2_170602080506,3,0.9344937801361084
test_r2_170602080506,4,0.9344004988670349
test_r2_170602080506,5,0.937647819519043
test_r2_170602080506,6,0.9376514554023743
test_r2_170602080506,7,0.9357677102088928
test_r2_170602080506,8,0.9353580474853516
test_kge_170602080507,0,0.8957229239746621
test_kge_170602080604,0,0.8264519382375509
test_mae_170602080604,0,0.017757637426257133
train_kge_170200090209,0,0.9394351789099569
train_kge_170200090209,1,0.8392538309857918
train_kge_170200090209,2,0.9581491342321117
train_r2_170200090302,0,0.9204864501953125
train_r2_170200090302,1,0.9172327518463135
train_r2_170200090302,2,0.9089522957801819
train_r2_170200090302,3,0.9281164407730103
train_r2_170200090302,4,0.9177960157394409
train_r2_170200090302,5,0.9321929216384888
train_r2_170200090302,6,0.9340460300445557
train_r2_170200090302,7,0.9365421533584595
train_r2_170200090302,8,0.9160472750663757
train_r2_170200090302,9,0.9365668892860413
test_mse_170200110406,0,0.012050453573465347
test_mse_170200110406,1,0.004288302734494209
test_mse_170200110406,2,0.005723313428461552
test_mse_170200110406,3,0.0051449197344481945
test_mse_170200110406,4,0.0032053408212959766
test_mse_170200110406,5,0.00424646120518446
test_mse_170200110406,6,0.006481247954070568
test_mse_170200110406,7,0.0036591931711882353
test_mse_170200110406,8,0.003990221302956343
test_mse_170200110406,9,0.004357915837317705
test_mae_170602080505,0,0.023804545402526855
train_mae_170602080405,0,0.013001206330955029
test_kge_170602080506,0,0.9414086541625977
test_kge_170602080506,1,0.9537796727888352
test_kge_170602080506,2,0.948899136337008
test_kge_170602080506,3,0.9518837336811783
test_kge_170602080506,4,0.9484574887466993
test_kge_170602080506,5,0.9464182299744118
test_kge_170602080506,6,0.951506179280616
test_kge_170602080506,7,0.9483162308245047
test_kge_170602080506,8,0.9446715845292323
test_r2_170602080604,0,0.8744403123855591
test_r2_170602080406,0,0.9236587882041931
train_mse_170602080604,0,0.0002327667607460171
train_kge_170602080507,0,0.9705162485189125
test_kge_170602080601,0,0.9177846645868264
train_kge_170602080505,0,0.9691309962791076
test_mse_170602080407,0,0.002751323627308011
test_kge_170602080407,0,0.9306049266178429
test_kge_170602080408,0,0.8783424761392089
test_r2_170602080606,0,0.8708916306495667
test_kge_170602080607,0,0.9364577739743392
train_kge_170602080412,0,0.9566200988992349
test_r2_170602080503,0,0.9337876439094543
train_mae_170602080503,0,0.014192725531756878
train_mae_170200090302,0,0.016184134408831596
train_mae_170200090302,1,0.01635877601802349
train_mae_170200090302,2,0.017148170620203018
train_mae_170200090302,3,0.016219325363636017
