Metric,Step,Value
train_kge_170200090108,0,0.9665134557818945
train_kge_170200090108,1,0.9731859665841647
train_kge_170200090108,2,0.9706462071525277
train_kge_170200090108,3,0.9870983510192061
train_kge_170200090108,4,0.9758145067108797
train_kge_170200090108,5,0.9833022864250357
train_kge_170200090108,6,0.9465538718312956
train_kge_170200090108,7,0.9607488986910528
train_kge_170200090108,8,0.9895123312218843
train_kge_170200090108,9,0.9699635353922176
train_mae_170200090108,0,0.04478798434138298
train_mae_170200090108,1,0.042904313653707504
train_mae_170200090108,2,0.04250617325305939
train_mae_170200090108,3,0.03862085938453674
train_mae_170200090108,4,0.03759388253092766
train_mae_170200090108,5,0.03821868076920509
train_mae_170200090108,6,0.03929132595658302
train_mae_170200090108,7,0.036086246371269226
train_mae_170200090108,8,0.034970346838235855
train_mae_170200090108,9,0.037576302886009216
test_r2_170200090108,0,0.9469528198242188
test_r2_170200090108,1,0.9606144428253174
test_r2_170200090108,2,0.9533159732818604
test_r2_170200090108,3,0.9584541916847229
test_r2_170200090108,4,0.954768717288971
test_r2_170200090108,5,0.953532338142395
test_r2_170200090108,6,0.9478088617324829
test_r2_170200090108,7,0.9545585513114929
test_r2_170200090108,8,0.9551162719726562
test_r2_170200090108,9,0.9538298845291138
test_kge_170200090108,0,0.9544139350498402
test_kge_170200090108,1,0.9745707773166065
test_kge_170200090108,2,0.9741188386765377
test_kge_170200090108,3,0.9638702063096668
test_kge_170200090108,4,0.9453376604937075
test_kge_170200090108,5,0.9598620234187758
test_kge_170200090108,6,0.9102014170004745
test_kge_170200090108,7,0.9181518000211162
test_kge_170200090108,8,0.9423787583018065
test_kge_170200090108,9,0.9724795312798246
test_mae_170200090108,0,0.053240302950143814
test_mae_170200090108,1,0.049248915165662766
test_mae_170200090108,2,0.05201634392142296
test_mae_170200090108,3,0.04856115207076073
test_mae_170200090108,4,0.051655564457178116
test_mae_170200090108,5,0.0508507639169693
test_mae_170200090108,6,0.05485335364937782
test_mae_170200090108,7,0.05080443620681763
test_mae_170200090108,8,0.051142822951078415
test_mae_170200090108,9,0.05231821537017822
train_mse_170200090108,0,0.0048074861988425255
train_mse_170200090108,1,0.004445158876478672
train_mse_170200090108,2,0.004336278885602951
train_mse_170200090108,3,0.003635421860963106
train_mse_170200090108,4,0.003479182720184326
train_mse_170200090108,5,0.0035510510206222534
train_mse_170200090108,6,0.0038293139077723026
train_mse_170200090108,7,0.00328390602953732
train_mse_170200090108,8,0.003073119791224599
train_mse_170200090108,9,0.0034301651176065207
test_mse_170200090109,0,0.007855811156332493
test_mse_170200090109,1,0.007698748726397753
test_mse_170200090109,2,0.006375247612595558
test_mse_170200090109,3,0.0066663590259850025
test_mse_170200090109,4,0.006847644690424204
test_mse_170200090109,5,0.007454827427864075
test_mse_170200090109,6,0.006400720681995153
test_mse_170200090109,7,0.006784957367926836
test_mse_170200090109,8,0.006989238318055868
test_mse_170200090109,9,0.006198297720402479
test_mse_170200090108,0,0.0080903060734272
test_mse_170200090108,1,0.006006757728755474
test_mse_170200090108,2,0.0071198586374521255
test_mse_170200090108,3,0.0063362158834934235
test_mse_170200090108,4,0.006898294668644667
test_mse_170200090108,5,0.007086859084665775
test_mse_170200090108,6,0.007959757000207901
test_mse_170200090108,7,0.006930348463356495
test_mse_170200090108,8,0.006845289375633001
test_mse_170200090108,9,0.007041480857878923
train_r2_170200090108,0,0.9692469239234924
train_r2_170200090108,1,0.9715647101402283
train_r2_170200090108,2,0.9722611904144287
train_r2_170200090108,3,0.976744532585144
train_r2_170200090108,4,0.9777439832687378
train_r2_170200090108,5,0.9772842526435852
train_r2_170200090108,6,0.9755042195320129
train_r2_170200090108,7,0.9789931774139404
train_r2_170200090108,8,0.9803415536880493
train_r2_170200090108,9,0.9780575633049011
train_mae_170200090109,0,0.048569489270448685
train_mae_170200090109,1,0.045034606009721756
train_mae_170200090109,2,0.04282484948635101
train_mae_170200090109,3,0.04075659438967705
train_mae_170200090109,4,0.04250674322247505
train_mae_170200090109,5,0.03965868800878525
train_mae_170200090109,6,0.03904605656862259
train_mae_170200090109,7,0.037310078740119934
train_mae_170200090109,8,0.03695535659790039
train_mae_170200090109,9,0.03762403503060341
test_mae_170200090109,0,0.054166603833436966
test_mae_170200090109,1,0.05288688838481903
test_mae_170200090109,2,0.048158787190914154
test_mae_170200090109,3,0.04848368093371391
test_mae_170200090109,4,0.050477221608161926
test_mae_170200090109,5,0.05092381313443184
test_mae_170200090109,6,0.04920775443315506
test_mae_170200090109,7,0.04850180447101593
test_mae_170200090109,8,0.05066874250769615
test_mae_170200090109,9,0.04787236824631691
test_kge_170200090109,0,0.8685852333514584
test_kge_170200090109,1,0.9190011529620763
test_kge_170200090109,2,0.9615190204097335
test_kge_170200090109,3,0.9073479820939676
test_kge_170200090109,4,0.9337894459136742
test_kge_170200090109,5,0.9581539865923161
test_kge_170200090109,6,0.9577811070367838
test_kge_170200090109,7,0.9571389203383424
test_kge_170200090109,8,0.9526577968273786
test_kge_170200090109,9,0.9221548015121335
train_mse_170200090109,0,0.005914073437452316
train_mse_170200090109,1,0.005019035190343857
train_mse_170200090109,2,0.004651925526559353
train_mse_170200090109,3,0.0042830961756408215
train_mse_170200090109,4,0.004524350631982088
train_mse_170200090109,5,0.004114821087568998
train_mse_170200090109,6,0.0037378650158643723
train_mse_170200090109,7,0.0036888010799884796
train_mse_170200090109,8,0.003540612291544676
train_mse_170200090109,9,0.003663520561531186
test_r2_170200090109,0,0.9393278360366821
test_r2_170200090109,1,0.9405409097671509
test_r2_170200090109,2,0.9507625699043274
test_r2_170200090109,3,0.9485142827033997
test_r2_170200090109,4,0.9471141695976257
test_r2_170200090109,5,0.9424247741699219
test_r2_170200090109,6,0.9505658149719238
test_r2_170200090109,7,0.9475982785224915
test_r2_170200090109,8,0.9460206031799316
test_r2_170200090109,9,0.9521291851997375
train_kge_170200090109,0,0.8826908342067944
train_kge_170200090109,1,0.9265646810019559
train_kge_170200090109,2,0.9759447082168744
train_kge_170200090109,3,0.9439652160597055
train_kge_170200090109,4,0.9692414277558591
train_kge_170200090109,5,0.9793981364380518
train_kge_170200090109,6,0.9848469751666534
train_kge_170200090109,7,0.9726953036602505
train_kge_170200090109,8,0.9707544394665897
train_kge_170200090109,9,0.9428922692806978
test_mae_170200090110,0,0.05594717338681221
test_mae_170200090110,1,0.04720868170261383
test_mae_170200090110,2,0.05208466947078705
test_mae_170200090110,3,0.048589255660772324
test_mae_170200090110,4,0.04562264308333397
test_mae_170200090110,5,0.046158235520124435
test_mae_170200090110,6,0.07956967502832413
test_mae_170200090110,7,0.05608353018760681
test_mae_170200090110,8,0.05025260150432587
test_mae_170200090110,9,0.05357907712459564
train_r2_170200090109,0,0.9569700956344604
train_r2_170200090109,1,0.9634822607040405
train_r2_170200090109,2,0.9661532640457153
train_r2_170200090109,3,0.9688368439674377
train_r2_170200090109,4,0.9670814871788025
train_r2_170200090109,5,0.970061182975769
train_r2_170200090109,6,0.9728038311004639
train_r2_170200090109,7,0.9731608629226685
train_r2_170200090109,8,0.9742390513420105
train_r2_170200090109,9,0.9733447432518005
test_mse_170200090110,0,0.009156975895166397
test_mse_170200090110,1,0.00674641877412796
test_mse_170200090110,2,0.008240207098424435
test_mse_170200090110,3,0.00684971222653985
test_mse_170200090110,4,0.006240826565772295
test_mse_170200090110,5,0.0060072704218328
test_mse_170200090110,6,0.016968315467238426
test_mse_170200090110,7,0.00928596593439579
test_mse_170200090110,8,0.006948104593902826
test_mse_170200090110,9,0.008252803236246109
train_mse_170200090110,0,0.0037144331727176905
train_mse_170200090110,1,0.003168810158967972
train_mse_170200090110,2,0.0030347974970936775
train_mse_170200090110,3,0.0029544054996222258
train_mse_170200090110,4,0.00307354680262506
train_mse_170200090110,5,0.002654644660651684
train_mse_170200090110,6,0.006599468179047108
train_mse_170200090110,7,0.0031496158335357904
train_mse_170200090110,8,0.0028975855093449354
train_mse_170200090110,9,0.0033030554186552763
test_kge_170200090110,0,0.9012136409503111
test_kge_170200090110,1,0.964049980216531
test_kge_170200090110,2,0.8991508109488185
test_kge_170200090110,3,0.9478707982409876
test_kge_170200090110,4,0.9639067084443381
test_kge_170200090110,5,0.9569429369679413
test_kge_170200090110,6,0.6538797358133268
test_kge_170200090110,7,0.8394877456841192
test_kge_170200090110,8,0.9022589960148001
test_kge_170200090110,9,0.8798493697819983
train_kge_170200090110,0,0.9641766634956456
train_kge_170200090110,1,0.9377889265122273
train_kge_170200090110,2,0.9857269941720127
train_kge_170200090110,3,0.9574133365646189
train_kge_170200090110,4,0.9318009490977386
train_kge_170200090110,5,0.9451302849611217
train_kge_170200090110,6,0.8527023150749139
train_kge_170200090110,7,0.9712779219737172
train_kge_170200090110,8,0.9734722595843018
train_kge_170200090110,9,0.9678540243443422
train_r2_170200090110,0,0.9668721556663513
train_r2_170200090110,1,0.9717383980751038
train_r2_170200090110,2,0.9729335904121399
train_r2_170200090110,3,0.9736505746841431
train_r2_170200090110,4,0.9725880026817322
train_r2_170200090110,5,0.9763240814208984
train_r2_170200090110,6,0.9411414265632629
train_r2_170200090110,7,0.9719095826148987
train_r2_170200090110,8,0.9741573333740234
train_r2_170200090110,9,0.9705410599708557
train_mae_170200090110,0,0.03605284541845322
train_mae_170200090110,1,0.03253787383437157
train_mae_170200090110,2,0.03187510371208191
train_mae_170200090110,3,0.031059060245752335
train_mae_170200090110,4,0.031322915107011795
train_mae_170200090110,5,0.029523776844143867
train_mae_170200090110,6,0.04702705517411232
train_mae_170200090110,7,0.033423248678445816
train_mae_170200090110,8,0.03168773651123047
train_mae_170200090110,9,0.03316393494606018
test_r2_170200090110,0,0.906796932220459
test_r2_170200090110,1,0.9313324689865112
test_r2_170200090110,2,0.9161281585693359
test_r2_170200090110,3,0.9302811026573181
test_r2_170200090110,4,0.9364786148071289
test_r2_170200090110,5,0.9388558268547058
test_r2_170200090110,6,0.8272902965545654
test_r2_170200090110,7,0.9054840803146362
test_r2_170200090110,8,0.9292796850204468
test_r2_170200090110,9,0.9159999489784241
test_mae_170200090113,0,0.10854551941156387
test_mae_170200090113,1,0.10246841609477997
test_mae_170200090113,2,0.10884800553321838
test_mae_170200090113,3,0.10389373451471329
test_mae_170200090113,4,0.10970033705234528
test_mae_170200090113,5,0.113819420337677
test_mae_170200090113,6,0.1027703657746315
test_mae_170200090113,7,0.10428988933563232
test_mae_170200090113,8,0.10799641162157059
test_mae_170200090113,9,0.10881146043539047
train_r2_170200090113,0,0.9422743916511536
train_r2_170200090113,1,0.9470477104187012
train_r2_170200090113,2,0.9547184705734253
train_r2_170200090113,3,0.9565689563751221
train_r2_170200090113,4,0.9573519229888916
train_r2_170200090113,5,0.9559111595153809
train_r2_170200090113,6,0.9613475799560547
train_r2_170200090113,7,0.9606200456619263
train_r2_170200090113,8,0.9628282189369202
train_r2_170200090113,9,0.961793065071106
train_kge_170200090114,0,0.9615053408449881
train_kge_170200090114,1,0.9742268201633189
train_kge_170200090114,2,0.9093968535931697
train_kge_170200090114,3,0.9772447074347551
train_kge_170200090114,4,0.9807534117083875
train_kge_170200090114,5,0.9439782843030998
train_kge_170200090114,6,0.9811873045052777
train_kge_170200090114,7,0.9631731075731647
train_kge_170200090114,8,0.9696568067276475
train_kge_170200090114,9,0.979258499212676
test_r2_170200090111,0,0.9222938418388367
