Metric,Step,Value
test_r2_170602080101,0,0.1230088472366333
test_r2_170602080101,1,0.8464535474777222
test_r2_170602080101,2,0.8732706308364868
test_r2_170602080101,3,0.9014748334884644
test_r2_170602080101,4,0.8950312733650208
test_r2_170602080101,5,0.8838337063789368
test_r2_170602080101,6,0.9080133438110352
test_r2_170602080101,7,0.9078494906425476
test_r2_170602080101,8,0.899296224117279
test_r2_170602080101,9,0.892108678817749
train_kge_170602080101,0,0.029897960129750656
train_kge_170602080101,1,0.9225826926652556
train_kge_170602080101,2,0.9725216499235272
train_kge_170602080101,3,0.96332419632101
train_kge_170602080101,4,0.9674614130214086
train_kge_170602080101,5,0.9818414360624813
train_kge_170602080101,6,0.9608985962428159
train_kge_170602080101,7,0.9774020980217277
train_kge_170602080101,8,0.9834071636132701
train_kge_170602080101,9,0.9786416617940562
test_kge_170602080101,0,0.04159059164251211
test_kge_170602080101,1,0.9207062933166825
test_kge_170602080101,2,0.918166386420654
test_kge_170602080101,3,0.931978676539957
test_kge_170602080101,4,0.9213953048360457
test_kge_170602080101,5,0.9005588038466409
test_kge_170602080101,6,0.9431254190549847
test_kge_170602080101,7,0.9301563973782209
test_kge_170602080101,8,0.9154911934761046
test_kge_170602080101,9,0.9157896392505859
test_mse_170602080101,0,0.10932844877243042
test_mse_170602080101,1,0.019141577184200287
test_mse_170602080101,2,0.015798475593328476
test_mse_170602080101,3,0.012282449752092361
test_mse_170602080101,4,0.013085729442536831
test_mse_170602080101,5,0.014481650665402412
test_mse_170602080101,6,0.01146734319627285
test_mse_170602080101,7,0.011487768031656742
test_mse_170602080101,8,0.01255404856055975
test_mse_170602080101,9,0.01345006562769413
train_mse_170602080101,0,0.1350005865097046
train_mse_170602080101,1,0.010740924626588821
train_mse_170602080101,2,0.00514911487698555
train_mse_170602080101,3,0.004454993177205324
train_mse_170602080101,4,0.0039000650867819786
train_mse_170602080101,5,0.004017624072730541
train_mse_170602080101,6,0.0037696915678679943
train_mse_170602080101,7,0.0034708906896412373
train_mse_170602080101,8,0.0032841572538018227
train_mse_170602080101,9,0.003244799328967929
train_mae_170602080101,0,0.24341239035129547
train_mae_170602080101,1,0.06734462827444077
train_mae_170602080101,2,0.04657546430826187
train_mae_170602080101,3,0.04132755100727081
train_mae_170602080101,4,0.038339078426361084
train_mae_170602080101,5,0.03820633143186569
train_mae_170602080101,6,0.036204416304826736
train_mae_170602080101,7,0.03471202030777931
train_mae_170602080101,8,0.03357851505279541
train_mae_170602080101,9,0.03280267491936684
test_mae_170602080101,0,0.21739159524440765
test_mae_170602080101,1,0.08754420280456543
test_mae_170602080101,2,0.07656815648078918
test_mae_170602080101,3,0.06420523673295975
test_mae_170602080101,4,0.06523693352937698
test_mae_170602080101,5,0.06871897727251053
test_mae_170602080101,6,0.062448207288980484
test_mae_170602080101,7,0.06289301812648773
test_mae_170602080101,8,0.06335017085075378
test_mae_170602080101,9,0.06517131626605988
train_r2_170602080101,0,0.10218775272369385
train_r2_170602080101,1,0.9285681843757629
train_r2_170602080101,2,0.9657561779022217
train_r2_170602080101,3,0.9703723788261414
train_r2_170602080101,4,0.9740628600120544
train_r2_170602080101,5,0.9732810854911804
train_r2_170602080101,6,0.974929928779602
train_r2_170602080101,7,0.9769170880317688
train_r2_170602080101,8,0.9781589508056641
train_r2_170602080101,9,0.9784206748008728
test_mae_170602080102,0,0.05127875134348869
test_mae_170602080102,1,0.05545467883348465
test_mae_170602080102,2,0.05274152010679245
test_mae_170602080102,3,0.05642376467585564
test_mae_170602080102,4,0.05511344596743584
test_mae_170602080102,5,0.0528174452483654
test_mae_170602080102,6,0.05754569545388222
test_mae_170602080102,7,0.05448131263256073
test_mae_170602080102,8,0.051331937313079834
test_mae_170602080102,9,0.05118100345134735
test_mse_170602080102,0,0.00823396909981966
test_mse_170602080102,1,0.010797110386192799
test_mse_170602080102,2,0.008870134130120277
test_mse_170602080102,3,0.010922595858573914
test_mse_170602080102,4,0.01051195990294218
test_mse_170602080102,5,0.00866536982357502
test_mse_170602080102,6,0.010816551744937897
test_mse_170602080102,7,0.009130162186920643
test_mse_170602080102,8,0.007978095673024654
test_mse_170602080102,9,0.007801138795912266
test_mae_170602080103,0,0.03594199940562248
test_mae_170602080103,1,0.03686755150556564
test_mae_170602080103,2,0.03466823324561119
test_mae_170602080103,3,0.035235852003097534
test_mae_170602080103,4,0.036576975136995316
test_mae_170602080103,5,0.03566473349928856
test_mae_170602080103,6,0.03428291156888008
test_mae_170602080103,7,0.03550270199775696
test_mae_170602080103,8,0.03486635535955429
test_mae_170602080103,9,0.03497358784079552
train_kge_170602080102,0,0.968998853866011
train_kge_170602080102,1,0.9863311956610048
train_kge_170602080102,2,0.9833030485061576
train_kge_170602080102,3,0.9804602724787436
train_kge_170602080102,4,0.9753790965434933
train_kge_170602080102,5,0.9635033094182373
train_kge_170602080102,6,0.988650145302078
train_kge_170602080102,7,0.9673191816409311
train_kge_170602080102,8,0.9523803189173848
train_kge_170602080102,9,0.939249722062438
train_mae_170602080102,0,0.02868025004863739
train_mae_170602080102,1,0.026749825105071068
train_mae_170602080102,2,0.027620362117886543
train_mae_170602080102,3,0.026817278936505318
train_mae_170602080102,4,0.025966325774788857
train_mae_170602080102,5,0.0257021002471447
train_mae_170602080102,6,0.026916807517409325
train_mae_170602080102,7,0.02517138235270977
train_mae_170602080102,8,0.025648659095168114
train_mae_170602080102,9,0.02638506330549717
test_kge_170602080102,0,0.9306270028628374
test_kge_170602080102,1,0.8941011102502904
test_kge_170602080102,2,0.9091683095039643
test_kge_170602080102,3,0.8975958571469833
test_kge_170602080102,4,0.9098506887197115
test_kge_170602080102,5,0.934207589351426
test_kge_170602080102,6,0.8896336965389717
test_kge_170602080102,7,0.9204839620330713
test_kge_170602080102,8,0.9430189388011173
test_kge_170602080102,9,0.9516539404488717
train_mse_170602080102,0,0.002700987970456481
train_mse_170602080102,1,0.002373509807512164
train_mse_170602080102,2,0.002476423280313611
train_mse_170602080102,3,0.002453981898725033
train_mse_170602080102,4,0.0022964368108659983
train_mse_170602080102,5,0.0024184896610677242
train_mse_170602080102,6,0.0023580994457006454
train_mse_170602080102,7,0.002225586911663413
train_mse_170602080102,8,0.0024187001399695873
train_mse_170602080102,9,0.002594727324321866
train_r2_170602080102,0,0.9763641953468323
train_r2_170602080102,1,0.9792298674583435
train_r2_170602080102,2,0.9783293008804321
train_r2_170602080102,3,0.978525698184967
train_r2_170602080102,4,0.979904294013977
train_r2_170602080102,5,0.9788362383842468
train_r2_170602080102,6,0.9793646931648254
train_r2_170602080102,7,0.9805243015289307
train_r2_170602080102,8,0.9788343906402588
train_r2_170602080102,9,0.9772940278053284
test_r2_170602080102,0,0.9132024645805359
test_r2_170602080102,1,0.8861833810806274
test_r2_170602080102,2,0.9064964056015015
test_r2_170602080102,3,0.8848605751991272
test_r2_170602080102,4,0.8891892433166504
test_r2_170602080102,5,0.9086548686027527
test_r2_170602080102,6,0.8859784007072449
test_r2_170602080102,7,0.9037553071975708
test_r2_170602080102,8,0.9158997535705566
test_r2_170602080102,9,0.9177650809288025
train_mse_170602080103,0,0.0014819629723206162
train_mse_170602080103,1,0.001300948322750628
train_mse_170602080103,2,0.0014414360048249364
train_mse_170602080103,3,0.0013715989189222455
train_mse_170602080103,4,0.0014232866233214736
train_mse_170602080103,5,0.0014579559210687876
train_mse_170602080103,6,0.0014069345779716969
train_mse_170602080103,7,0.0014095407677814364
train_mse_170602080103,8,0.0013210525503382087
train_mse_170602080103,9,0.0012456385884433985
test_kge_170602080103,0,0.9642484510194377
test_kge_170602080103,1,0.9631513589062126
test_kge_170602080103,2,0.9244591255906381
test_kge_170602080103,3,0.9311992416551333
test_kge_170602080103,4,0.9173695794509814
test_kge_170602080103,5,0.926396184812884
test_kge_170602080103,6,0.9506332895520831
test_kge_170602080103,7,0.9327160475593859
test_kge_170602080103,8,0.957876976023847
test_kge_170602080103,9,0.9569624760349398
test_mse_170602080103,0,0.0037301811389625072
test_mse_170602080103,1,0.0034600284416228533
test_mse_170602080103,2,0.0031185199040919542
test_mse_170602080103,3,0.0033138880971819162
test_mse_170602080103,4,0.00350900087505579
test_mse_170602080103,5,0.0033783765975385904
test_mse_170602080103,6,0.0030869401525706053
test_mse_170602080103,7,0.0032953592017292976
test_mse_170602080103,8,0.003354966640472412
test_mse_170602080103,9,0.003240611869841814
test_r2_170602080103,0,0.9323571920394897
test_r2_170602080103,1,0.9372560977935791
test_r2_170602080103,2,0.9434490203857422
test_r2_170602080103,3,0.9399062395095825
test_r2_170602080103,4,0.9363680481910706
test_r2_170602080103,5,0.9387367963790894
test_r2_170602080103,6,0.9440217018127441
test_r2_170602080103,7,0.9402422308921814
test_r2_170602080103,8,0.9391613006591797
test_r2_170602080103,9,0.9412350058555603
train_kge_170602080103,0,0.9768564585163648
train_kge_170602080103,1,0.9841820764741075
train_kge_170602080103,2,0.9366353494319617
train_kge_170602080103,3,0.9489026942325723
train_kge_170602080103,4,0.945833026657429
train_kge_170602080103,5,0.9540046400065259
train_kge_170602080103,6,0.9727983549918402
train_kge_170602080103,7,0.9665829542074293
train_kge_170602080103,8,0.9801205414030791
train_kge_170602080103,9,0.9767461655342679
train_mae_170602080103,0,0.020350627601146698
train_mae_170602080103,1,0.01976611651480198
train_mae_170602080103,2,0.01994793489575386
train_mae_170602080103,3,0.0189780555665493
train_mae_170602080103,4,0.019304150715470314
train_mae_170602080103,5,0.019102223217487335
train_mae_170602080103,6,0.01900263875722885
train_mae_170602080103,7,0.01877140998840332
train_mae_170602080103,8,0.01833854615688324
train_mae_170602080103,9,0.01775488816201687
train_r2_170602080103,0,0.9758926033973694
train_r2_170602080103,1,0.9788371920585632
train_r2_170602080103,2,0.9765518307685852
train_r2_170602080103,3,0.9776878952980042
train_r2_170602080103,4,0.9768471121788025
train_r2_170602080103,5,0.9762831330299377
train_r2_170602080103,6,0.9771130681037903
train_r2_170602080103,7,0.977070689201355
train_r2_170602080103,8,0.9785101413726807
train_r2_170602080103,9,0.9797369241714478
test_mae_170602080104,0,0.03608521819114685
test_mae_170602080104,1,0.036667197942733765
test_mae_170602080104,2,0.03691332787275314
test_mae_170602080104,3,0.03812028095126152
test_mae_170602080104,4,0.037426259368658066
test_mae_170602080104,5,0.03792192041873932
test_mae_170602080104,6,0.038369059562683105
test_mae_170602080104,7,0.03855641186237335
test_mae_170602080104,8,0.03802410513162613
test_mae_170602080104,9,0.03790444880723953
train_kge_170602080104,0,0.9577177965878485
train_kge_170602080104,1,0.9381089773023494
train_kge_170602080104,2,0.948235955508966
train_kge_170602080104,3,0.9440073054884505
train_kge_170602080104,4,0.9305101113261113
train_kge_170602080104,5,0.9473775690520918
train_kge_170602080104,6,0.9838524523019452
train_kge_170602080104,7,0.9517641816938938
train_kge_170602080104,8,0.9730603753978988
train_kge_170602080104,9,0.956187525308722
train_mse_170602080105,0,0.0013581285020336509
train_mse_170602080105,1,0.0013256995007395744
train_mse_170602080105,2,0.00138204381801188
train_mse_170602080105,3,0.0013307217741385102
train_mse_170602080105,4,0.0013074730522930622
train_mse_170602080105,5,0.0013583136023953557
train_mse_170602080105,6,0.001257980358786881
train_mse_170602080105,7,0.001225281972438097
train_mse_170602080105,8,0.001224367879331112
train_mse_170602080105,9,0.0012266607955098152
train_r2_170602080104,0,0.9746556282043457
train_r2_170602080104,1,0.9737485647201538
train_r2_170602080104,2,0.9743784666061401
train_r2_170602080104,3,0.9742696285247803
train_r2_170602080104,4,0.9739413857460022
train_r2_170602080104,5,0.9754574298858643
train_r2_170602080104,6,0.9758716225624084
train_r2_170602080104,7,0.9761379957199097
train_r2_170602080104,8,0.9761983156204224
train_r2_170602080104,9,0.9743221998214722
train_mae_170602080104,0,0.019762225449085236
train_mae_170602080104,1,0.020450090989470482
train_mae_170602080104,2,0.019636312499642372
train_mae_170602080104,3,0.019733913242816925
train_mae_170602080104,4,0.019559483975172043
train_mae_170602080104,5,0.018801042810082436
train_mae_170602080104,6,0.019383009523153305
train_mae_170602080104,7,0.01876639388501644
train_mae_170602080104,8,0.0184891689568758
train_mae_170602080104,9,0.01912081614136696
test_mse_170602080104,0,0.003328080056235194
test_mse_170602080104,1,0.0034229301381856203
test_mse_170602080104,2,0.0035153133794665337
test_mse_170602080104,3,0.003741004504263401
test_mse_170602080104,4,0.0035560375545173883
test_mse_170602080104,5,0.003653730032965541
test_mse_170602080104,6,0.00370960240252316
test_mse_170602080104,7,0.0038396010641008615
test_mse_170602080104,8,0.0037567869294434786
test_mse_170602080104,9,0.003652811050415039
train_mse_170602080104,0,0.0014750115806236863
train_mse_170602080104,1,0.0015278003411367536
train_mse_170602080104,2,0.00149114232044667
train_mse_170602080104,3,0.0014974767109379172
train_mse_170602080104,4,0.0015165794175118208
train_mse_170602080104,5,0.0014283464988693595
train_mse_170602080104,6,0.0014042408438399434
train_mse_170602080104,7,0.0013887399109080434
train_mse_170602080104,8,0.0013852298725396395
train_mse_170602080104,9,0.0014944154536351562
test_r2_170602080104,0,0.9336897134780884
test_r2_170602080104,1,0.9317998886108398
test_r2_170602080104,2,0.929959237575531
test_r2_170602080104,3,0.9254624247550964
test_r2_170602080104,4,0.9291478395462036
test_r2_170602080104,5,0.9272013306617737
test_r2_170602080104,6,0.9260880947113037
test_r2_170602080104,7,0.9234979748725891
test_r2_170602080104,8,0.9251480102539062
test_r2_170602080104,9,0.9272196292877197
test_kge_170602080104,0,0.9326667751535529
test_kge_170602080104,1,0.9149658851306013
test_kge_170602080104,2,0.9259237179937235
test_kge_170602080104,3,0.9192164920373517
test_kge_170602080104,4,0.9179782433942187
test_kge_170602080104,5,0.9358808470375787
test_kge_170602080104,6,0.9601545414204313
test_kge_170602080104,7,0.9345452305755647
test_kge_170602080104,8,0.9438749948317007
test_kge_170602080104,9,0.9332651223766303
test_mse_170602080105,0,0.005503585562109947
test_mse_170602080105,1,0.005226302891969681
test_mse_170602080105,2,0.004790642764419317
test_mse_170602080105,3,0.004926976282149553
test_mse_170602080105,4,0.00443217484280467
test_mse_170602080105,5,0.004816763568669558
test_mse_170602080105,6,0.004638612736016512
test_mse_170602080105,7,0.0045351292937994
test_mse_170602080105,8,0.004406748339533806
test_mse_170602080105,9,0.004765004385262728
train_r2_170602080105,0,0.9814167618751526
