Metric,Step,Value
train_mse_170200090107,0,0.06039848178625107
train_mse_170200090107,1,0.05661431699991226
train_mse_170200090107,2,0.02555403672158718
train_mse_170200090107,3,0.015519053675234318
train_mse_170200090107,4,0.007666478864848614
train_mse_170200090107,5,0.01757136546075344
train_mse_170200090107,6,0.008924146182835102
train_mse_170200090107,7,0.0071591222658753395
train_mse_170200090107,8,0.0049320971593260765
train_mse_170200090107,9,0.0056861829943954945
test_kge_170200090113,0,0.8268310793870888
test_kge_170200090113,1,0.3602043464802269
test_kge_170200090113,2,0.768755350994445
test_kge_170200090113,3,0.8493656681446734
test_kge_170200090113,4,0.760691416503383
test_kge_170200090113,5,0.8491764405068218
test_kge_170200090113,6,0.7116494277627072
test_kge_170200090113,7,0.7829014965781431
test_kge_170200090113,8,0.8773775469968625
test_kge_170200090113,9,0.7962073044182991
test_kge_170200090102,0,0.9094985275846013
test_kge_170200090102,1,0.9551038841904638
test_kge_170200090102,2,0.8142891695376805
test_kge_170200090102,3,0.920846089963416
test_kge_170200090102,4,0.8777640341802461
test_kge_170200090102,5,0.9656405369865647
test_kge_170200090102,6,0.8630781298084547
test_kge_170200090102,7,0.9118072770310066
test_kge_170200090102,8,0.8330139380147291
test_kge_170200090102,9,0.9345808725888509
test_kge_170200090204,0,0.5787080210715423
test_kge_170200090204,1,0.8791985829991676
test_kge_170200090204,2,0.8935550936348391
test_kge_170200090204,3,0.9321815455813672
test_kge_170200090204,4,0.7584302811403761
test_kge_170200090204,5,0.8967292190281555
test_kge_170200090204,6,0.825522581027009
test_kge_170200090204,7,0.6448659140629109
test_kge_170200090204,8,0.9012191708922372
test_kge_170200090204,9,0.9495366642393354
test_kge_170200090101,0,0.87052097840629
test_kge_170200090101,1,0.7081008081587741
test_kge_170200090101,2,0.8579700696028179
test_kge_170200090101,3,0.9004030628532795
test_kge_170200090101,4,0.7876062494805142
test_kge_170200090101,5,0.8433990610146593
test_kge_170200090101,6,0.8746951925277465
test_kge_170200090101,7,0.8448491349082894
test_kge_170200090101,8,0.8547297951816075
test_kge_170200090101,9,0.8204725345140751
test_mse_170200090111,0,0.045343998819589615
test_mse_170200090111,1,0.032588209956884384
test_mse_170200090111,2,0.017076406627893448
test_mse_170200090111,3,0.015103254467248917
test_mse_170200090111,4,0.012500575743615627
test_mse_170200090111,5,0.01289304904639721
test_mse_170200090111,6,0.017780646681785583
test_mse_170200090111,7,0.013693256303668022
test_mse_170200090111,8,0.015847621485590935
test_mse_170200090111,9,0.012457368895411491
test_kge_170200090111,0,0.7534970386508528
test_kge_170200090111,1,0.8560858588300106
test_kge_170200090111,2,0.9218999887012633
test_kge_170200090111,3,0.9012599444923064
test_kge_170200090111,4,0.9442912580610767
test_kge_170200090111,5,0.9420782802755412
test_kge_170200090111,6,0.9388051470356538
test_kge_170200090111,7,0.9391813774845285
test_kge_170200090111,8,0.9389185906356841
test_kge_170200090111,9,0.9432586247939089
train_kge_170200090103,0,0.7218386129918002
train_kge_170200090103,1,0.8224324998160335
train_kge_170200090103,2,0.9164338339590924
train_kge_170200090103,3,0.9754511871561442
train_kge_170200090103,4,0.940613937117724
train_kge_170200090103,5,0.8490541487264947
train_kge_170200090103,6,0.9344686383565124
train_kge_170200090103,7,0.9752490307303391
train_kge_170200090103,8,0.968278497339923
train_kge_170200090103,9,0.8889167755275809
train_kge_170200090206,0,0.8887450372117323
train_kge_170200090206,1,0.8992338015692402
train_kge_170200090206,2,0.9504403513818241
train_kge_170200090206,3,0.8537334037648258
train_kge_170200090206,4,0.9163523917203154
train_kge_170200090206,5,0.9692492577133268
train_kge_170200090206,6,0.7884929228114046
train_kge_170200090206,7,0.9806419590875167
train_kge_170200090206,8,0.9106905231359701
train_kge_170200090206,9,0.9503348896427884
test_mse_170200090209,0,0.011335881426930428
test_mse_170200090209,1,0.006266058422625065
test_mse_170200090209,2,0.005861248355358839
test_mse_170200090209,3,0.009221927262842655
test_mse_170200090209,4,0.0057035950012505054
test_mse_170200090209,5,0.010625561699271202
test_mse_170200090209,6,0.006281839217990637
