Metric,Step,Value
test_kge_170602080503,0,0.8074779335783772
test_kge_170602080503,1,0.48970667069480034
test_kge_170602080503,2,-0.2637645573793934
test_kge_170602080503,3,0.9008604595278487
test_kge_170602080503,4,-0.2904415091568111
test_kge_170602080503,5,-0.0696182313611089
test_kge_170602080503,6,0.8977360737221376
test_kge_170602080503,7,0.8528033322337549
test_kge_170602080503,8,0.81586534985067
test_kge_170602080503,9,0.9080055918347747
test_kge_170602080503,10,0.9086319694521029
test_kge_170602080503,11,0.6663142336471599
test_kge_170602080503,12,0.8691996907178899
test_kge_170602080503,13,0.8640886878267942
test_kge_170602080503,14,0.7324331070646306
test_kge_170602080503,15,0.8982366115776892
test_kge_170602080503,16,0.6916824348312227
test_kge_170602080503,17,0.8773548300663574
test_kge_170602080503,18,0.7334654902811601
test_kge_170602080503,19,0.7646817464286634
test_kge_170602080503,20,0.41713742859058967
test_kge_170602080503,21,0.36205093438751
test_kge_170602080503,22,0.4444291559389495
test_kge_170602080503,23,-1.0262137108396
test_kge_170602080503,24,0.2563974638936145
test_kge_170602080503,25,0.7838130567729864
test_kge_170602080503,26,-1.0945784131606215
test_kge_170602080503,27,0.7099295644980141
test_kge_170602080503,28,0.6289644534146146
test_kge_170602080503,29,0.053857527101480285
train_mse_171100060402,0,-500.0
train_mse_171100060402,1,-500.0
train_mse_171100060402,2,-500.0
train_mse_171100060402,3,-500.0
train_mse_171100060402,4,-500.0
train_mse_171100060402,5,-500.0
train_mse_171100060402,6,-500.0
train_mse_171100060402,7,-500.0
train_mse_171100060402,8,-500.0
train_mse_171100060402,9,-500.0
train_mse_171100060402,10,-500.0
train_mse_171100060402,11,-500.0
train_mse_171100060402,12,-500.0
train_mse_171100060402,13,-500.0
train_mse_171100060402,14,-500.0
train_mse_171100060402,15,-500.0
train_mse_171100060402,16,-500.0
train_mse_171100060402,17,-500.0
train_mse_171100060402,18,-500.0
train_mse_171100060402,19,-500.0
train_mse_171100060402,20,-500.0
train_mse_171100060402,21,-500.0
train_mse_171100060402,22,-500.0
train_mse_171100060402,23,-500.0
