Metric,Step,Value
train_r2_170200090101,0,0.8872700929641724
train_r2_170200090101,1,0.911327600479126
train_r2_170200090101,2,0.8953542113304138
train_r2_170200090101,3,0.9496214985847473
train_r2_170200090101,4,0.951885998249054
train_r2_170200090101,5,0.9627732634544373
train_r2_170200090101,6,0.9665725231170654
train_r2_170200090101,7,0.9703904390335083
train_r2_170200090101,8,0.9576377272605896
train_r2_170200090101,9,0.9587705135345459
test_kge_170200090101,0,0.8793663573797691
test_kge_170200090101,1,0.8834284126453604
test_kge_170200090101,2,0.8433625503073608
test_kge_170200090101,3,0.9246051980291741
test_kge_170200090101,4,0.964751559909782
test_kge_170200090101,5,0.940791904501062
test_kge_170200090101,6,0.9697358657403647
test_kge_170200090101,7,0.970733561076556
test_kge_170200090101,8,0.9366258994605493
test_kge_170200090101,9,0.9160688699177784
train_mae_170200090101,0,0.09556649625301361
train_mae_170200090101,1,0.08160310983657837
train_mae_170200090101,2,0.08697807043790817
train_mae_170200090101,3,0.06085863709449768
train_mae_170200090101,4,0.06032104045152664
train_mae_170200090101,5,0.05342249944806099
train_mae_170200090101,6,0.049867894500494
train_mae_170200090101,7,0.04781939461827278
train_mae_170200090101,8,0.05645882710814476
train_mae_170200090101,9,0.05556131526827812
train_mse_170200090104,0,0.004314195364713669
train_mse_170200090104,1,0.004127322230488062
train_mse_170200090104,2,0.004165963735431433
train_mse_170200090104,3,0.0037866923958063126
train_mse_170200090104,4,0.003853860078379512
train_mse_170200090104,5,0.0045195892453193665
train_mse_170200090104,6,0.004028046038001776
train_mse_170200090104,7,0.0038488248828798532
train_mse_170200090104,8,0.004273190628737211
train_mse_170200090104,9,0.004531279671937227
train_mae_170200110702,0,0.031559690833091736
train_mae_170200110702,1,0.030759353190660477
train_mae_170200110702,2,0.03069302812218666
train_mae_170200110702,3,0.029433656483888626
train_mae_170200110702,4,0.03163651376962662
train_mae_170200110702,5,0.02888668328523636
train_mae_170200110702,6,0.02946903556585312
train_mae_170200110702,7,0.031679898500442505
train_mae_170200110702,8,0.028636019676923752
train_mae_170200110702,9,0.02771332487463951
test_kge_171100050703,0,0.9208024280015884
test_kge_171100050703,1,0.9365780075060227
test_kge_171100050703,2,0.9376999027058779
test_kge_171100050703,3,0.9387181185468166
test_kge_171100050703,4,0.9480459518550399
test_kge_171100050703,5,0.891823831220569
test_kge_171100050703,6,0.9315410582066448
test_kge_171100050703,7,0.8887236791037237
test_kge_171100050703,8,0.9145626363192606
test_kge_171100050703,9,0.9402688831173849
train_mae_170200090103,0,0.03613240271806717
train_mae_170200090103,1,0.034490957856178284
train_mae_170200090103,2,0.033299800008535385
train_mae_170200090103,3,0.031736332923173904
train_mae_170200090103,4,0.033999521285295486
train_mae_170200090103,5,0.0325133241713047
train_mae_170200090103,6,0.033280640840530396
train_mae_170200090103,7,0.03584730625152588
train_mae_170200090103,8,0.032188739627599716
train_mae_170200090103,9,0.03127153217792511
train_kge_170200090104,0,0.947935146297862
train_kge_170200090104,1,0.967802096721672
train_kge_170200090104,2,0.9755481380183424
train_kge_170200090104,3,0.9625991076271752
train_kge_170200090104,4,0.988794492216582
train_kge_170200090104,5,0.9479398713352957
train_kge_170200090104,6,0.9741518187331082
train_kge_170200090104,7,0.9711501643041246
train_kge_170200090104,8,0.9472216697546492
train_kge_170200090104,9,0.9322486155340203
test_mae_170200090105,0,0.044049300253391266
test_mae_170200090105,1,0.044888753443956375
test_mae_170200090105,2,0.04442211985588074
test_mae_170200090105,3,0.04630887880921364
test_mae_170200090105,4,0.045651089400053024
test_mae_170200090105,5,0.04728461429476738
test_mae_170200090105,6,0.04579700157046318
test_mae_170200090105,7,0.04686133563518524
test_mae_170200090105,8,0.04860898107290268
test_mae_170200090105,9,0.04562990367412567
test_mse_170200090108,0,0.0021928364876657724
test_mse_170200090108,1,0.0020437072962522507
test_mse_170200090108,2,0.0023024098481982946
test_mse_170200090108,3,0.0019170576706528664
test_mse_170200090108,4,0.002050053793936968
test_mse_170200090108,5,0.0024103717878460884
test_mse_170200090108,6,0.0020211092196404934
test_mse_170200090108,7,0.0019328870112076402
test_mse_170200090108,8,0.0018598169554024935
test_mse_170200090108,9,0.0022656794171780348
test_r2_170200090101,0,0.9040205478668213
test_r2_170200090101,1,0.9264204502105713
test_r2_170200090101,2,0.9047471284866333
test_r2_170200090101,3,0.9640384912490845
test_r2_170200090101,4,0.9652213454246521
test_r2_170200090101,5,0.9692871570587158
test_r2_170200090101,6,0.9709432125091553
test_r2_170200090101,7,0.9745005965232849
test_r2_170200090101,8,0.9597859978675842
test_r2_170200090101,9,0.9645748734474182
train_r2_170200090108,0,0.9898457527160645
train_r2_170200090108,1,0.9907139539718628
train_r2_170200090108,2,0.9882198572158813
train_r2_170200090108,3,0.9913926720619202
train_r2_170200090108,4,0.9900472164154053
train_r2_170200090108,5,0.9881004095077515
train_r2_170200090108,6,0.9900245666503906
train_r2_170200090108,7,0.9898179173469543
train_r2_170200090108,8,0.9901427626609802
train_r2_170200090108,9,0.9895972609519958
test_mse_170200090104,0,0.004225843120366335
test_mse_170200090104,1,0.004342064261436462
test_mse_170200090104,2,0.0040960730984807014
test_mse_170200090104,3,0.003910919651389122
test_mse_170200090104,4,0.004096515476703644
test_mse_170200090104,5,0.004466908983886242
test_mse_170200090104,6,0.004197306931018829
test_mse_170200090104,7,0.004160786978900433
test_mse_170200090104,8,0.004582756198942661
test_mse_170200090104,9,0.0045432099141180515
train_r2_170200090107,0,0.9866683483123779
train_r2_170200090107,1,0.9880630373954773
train_r2_170200090107,2,0.9836910367012024
train_r2_170200090107,3,0.9878986477851868
train_r2_170200090107,4,0.9868900775909424
train_r2_170200090107,5,0.9871167540550232
train_r2_170200090107,6,0.9885357618331909
train_r2_170200090107,7,0.9880431294441223
train_r2_170200090107,8,0.9887253046035767
train_r2_170200090107,9,0.9886841773986816
train_kge_170200090108,0,0.9877923573165264
