Metric,Step,Value
train_mae_170200090302,0,0.017453420907258987
train_mae_170200090302,1,0.01762476935982704
train_mae_170200090302,2,0.01593404822051525
train_mae_170200090302,3,0.016899604350328445
train_mae_170200090302,4,0.016329605132341385
train_mae_170200090302,5,0.014821745455265045
train_mae_170200090302,6,0.014648187905550003
train_mae_170200090302,7,0.018372636288404465
train_mae_170200090302,8,0.016132529824972153
train_mae_170200090302,9,0.01549849659204483
train_mae_170200090302,10,0.016447212547063828
train_mae_170200090302,11,0.01444274466484785
train_mae_170200090302,12,0.013464869000017643
train_mae_170200090302,13,0.013517316430807114
train_mae_170200090302,14,0.014189079403877258
train_mae_170200090302,15,0.012912064790725708
train_mae_170200090302,16,0.013000617735087872
train_mae_170200090302,17,0.012973046861588955
train_mae_170200090302,18,0.012476126663386822
train_mae_170200090302,19,0.011542760767042637
test_r2_170200090301,0,0.8802270889282227
test_r2_170200090301,1,0.9096522331237793
test_r2_170200090301,2,0.9165213108062744
test_r2_170200090301,3,0.8768296837806702
test_r2_170200090301,4,0.9251594543457031
test_mse_170200090209,0,0.005184086970984936
test_mse_170200090209,1,0.003985971678048372
test_mse_170200090209,2,0.003836620133370161
test_mse_170200090209,3,0.0035975833889096975
test_mse_170200090209,4,0.0046624112874269485
test_mse_170200090209,5,0.0075243813917040825
test_mse_170200090209,6,0.003978869412094355
test_mse_170200090209,7,0.003515375778079033
test_mse_170200090209,8,0.003483244450762868
test_mse_170200090209,9,0.005216702818870544
test_mse_170200090209,10,0.01164920348674059
test_mse_170200090209,11,0.0031700877007097006
test_mse_170200090209,12,0.005269909277558327
test_mse_170200090209,13,0.005336781032383442
test_mse_170200090209,14,0.0035325572825968266
test_mse_170200090209,15,0.004107877146452665
test_mse_170200090209,16,0.004920156206935644
test_mae_170200090302,0,0.01649654656648636
test_mae_170200090302,1,0.01890776865184307
test_mae_170200090302,2,0.01804313063621521
test_mae_170200090302,3,0.02068166621029377
test_mae_170200090302,4,0.0203209538012743
test_mae_170200090302,5,0.01816214807331562
test_mae_170200090302,6,0.01968253031373024
test_mae_170200090302,7,0.01941695436835289
test_mae_170200090302,8,0.017545703798532486
test_mae_170200090302,9,0.0183595921844244
test_mae_170200090302,10,0.018248535692691803
test_mae_170200090302,11,0.019054895266890526
test_mae_170200090302,12,0.01959904469549656
test_mae_170200090302,13,0.019577546045184135
test_mae_170200090302,14,0.020301636308431625
test_mae_170200090302,15,0.020225180312991142
test_mae_170200090302,16,0.020587075501680374
test_mae_170200090302,17,0.021373476833105087
test_mae_170200090302,18,0.022099727764725685
test_mae_170200090302,19,0.020225755870342255
test_mae_170200090208,0,0.0733160749077797
test_mae_170200090208,1,0.06414960324764252
test_mae_170200090208,2,0.046164996922016144
test_mae_170200090208,3,0.03951703757047653
test_mae_170200090208,4,0.04476052150130272
test_mae_170200090208,5,0.04593987762928009
test_mae_170200090208,6,0.04382527247071266
test_mae_170200090208,7,0.039810050278902054
test_mae_170200090208,8,0.040708594024181366
test_mae_170200090208,9,0.0436764657497406
test_mae_170200090208,10,0.039094891399145126
test_mae_170200090208,11,0.04247180372476578
test_mae_170200090208,12,0.044989004731178284
test_mae_170200090208,13,0.04077395796775818
test_mae_170200090208,14,0.039453137665987015
test_kge_170200090209,0,0.8297122014773154
test_kge_170200090209,1,0.905166333958469
test_kge_170200090209,2,0.9352079052792651
test_kge_170200090209,3,0.9472981578563271
test_kge_170200090209,4,0.8505102087050829
test_kge_170200090209,5,0.7291685787854492
test_kge_170200090209,6,0.8827156155538591
test_kge_170200090209,7,0.9468707665787908
test_kge_170200090209,8,0.9553075515461034
test_kge_170200090209,9,0.8070799636260861
test_kge_170200090209,10,0.592948700479922
test_kge_170200090209,11,0.968390878702061
test_kge_170200090209,12,0.7843887648784404
test_kge_170200090209,13,0.8113149128494799
test_kge_170200090209,14,0.9453294199670161
test_kge_170200090209,15,0.9310529993548385
test_kge_170200090209,16,0.852352594952496
train_kge_170200090301,0,0.8626473762548338
train_kge_170200090301,1,0.8935946331857118
train_kge_170200090301,2,0.9650455630783925
train_kge_170200090301,3,0.9155998346477225
train_kge_170200090301,4,0.9754168531491708
train_r2_170200090208,0,0.676685094833374
train_r2_170200090208,1,0.778593897819519
train_r2_170200090208,2,0.888931393623352
train_r2_170200090208,3,0.9297739863395691
train_r2_170200090208,4,0.9160779714584351
train_r2_170200090208,5,0.9184883832931519
train_r2_170200090208,6,0.9359699487686157
train_r2_170200090208,7,0.942520260810852
train_r2_170200090208,8,0.950927197933197
train_r2_170200090208,9,0.9326899647712708
train_r2_170200090208,10,0.9392079710960388
train_r2_170200090208,11,0.9500293135643005
train_r2_170200090208,12,0.940856397151947
train_r2_170200090208,13,0.9517250061035156
train_r2_170200090208,14,0.9566311836242676
test_kge_170200090302,0,0.9444903336938081
test_kge_170200090302,1,0.8883457824032462
test_kge_170200090302,2,0.930213724120717
test_kge_170200090302,3,0.9023199876113414
test_kge_170200090302,4,0.8821711480990727
test_kge_170200090302,5,0.943476971200746
test_kge_170200090302,6,0.9304487538726368
test_kge_170200090302,7,0.8923569879485523
test_kge_170200090302,8,0.8787922721417455
test_kge_170200090302,9,0.8238739796484621
test_kge_170200090302,10,0.8082647853901118
test_kge_170200090302,11,0.9383113198361149
test_kge_170200090302,12,0.9333410446317211
test_kge_170200090302,13,0.9153116449277691
test_kge_170200090302,14,0.9221373360881308
test_kge_170200090302,15,0.9264905624111077
test_kge_170200090302,16,0.926706658430284
test_kge_170200090302,17,0.909500674635157
test_kge_170200090302,18,0.9052954936183317
test_kge_170200090302,19,0.9260957161260114
train_kge_170200090302,0,0.9383719564449153
train_kge_170200090302,1,0.9069434008369847
train_kge_170200090302,2,0.9405588795554378
train_kge_170200090302,3,0.9158231100571984
train_kge_170200090302,4,0.9004110280744264
train_kge_170200090302,5,0.959538492896289
train_kge_170200090302,6,0.9595367030698179
train_kge_170200090302,7,0.8785546311380111
train_kge_170200090302,8,0.9095612486044917
train_kge_170200090302,9,0.872271370735642
train_kge_170200090302,10,0.8423945002746566
train_kge_170200090302,11,0.9621061382962692
train_kge_170200090302,12,0.9672195968822449
train_kge_170200090302,13,0.9254996883044501
train_kge_170200090302,14,0.9401045869373554
train_kge_170200090302,15,0.9661679683747587
train_kge_170200090302,16,0.9655187080670272
train_kge_170200090302,17,0.9485175948783809
train_kge_170200090302,18,0.9652026263832373
train_kge_170200090302,19,0.9712493150411162
train_mse_170200090209,0,0.0039159078150987625
train_mse_170200090209,1,0.003216453129425645
train_mse_170200090209,2,0.0030641062185168266
train_mse_170200090209,3,0.003123944392427802
train_mse_170200090209,4,0.0024309384170919657
train_mse_170200090209,5,0.00428436417132616
train_mse_170200090209,6,0.0024862566497176886
train_mse_170200090209,7,0.004164033103734255
train_mse_170200090209,8,0.0026763465721160173
train_mse_170200090209,9,0.002457439200952649
train_mse_170200090209,10,0.005231770686805248
train_mse_170200090209,11,0.0030756290070712566
train_mse_170200090209,12,0.0026862816885113716
train_mse_170200090209,13,0.002791034057736397
train_mse_170200090209,14,0.0024893679656088352
train_mse_170200090209,15,0.00312422146089375
train_mse_170200090209,16,0.002398610580712557
test_mse_170200090301,0,0.0018687074771150947
test_mse_170200090301,1,0.0014096138766035438
test_mse_170200090301,2,0.0013024419313296676
test_mse_170200090301,3,0.0019217139342799783
test_mse_170200090301,4,0.001167668728157878
train_mse_170200090208,0,0.01258886232972145
train_mse_170200090208,1,0.00862085446715355
train_mse_170200090208,2,0.004324660636484623
train_mse_170200090208,3,0.002734379144385457
train_mse_170200090208,4,0.0032676588743925095
train_mse_170200090208,5,0.003173806006088853
train_mse_170200090208,6,0.0024931286461651325
train_mse_170200090208,7,0.0022380808368325233
train_mse_170200090208,8,0.001910740276798606
train_mse_170200090208,9,0.002620840212330222
train_mse_170200090208,10,0.0023670506197959185
train_mse_170200090208,11,0.0019457008456811309
train_mse_170200090208,12,0.002302865032106638
train_mse_170200090208,13,0.001879675779491663
train_mse_170200090208,14,0.0016886447556316853
test_mae_170200090209,0,0.045347847044467926
test_mae_170200090209,1,0.04066488891839981
test_mae_170200090209,2,0.03822599723935127
test_mae_170200090209,3,0.03674362599849701
test_mae_170200090209,4,0.041414063423871994
test_mae_170200090209,5,0.05024675279855728
test_mae_170200090209,6,0.0391242541372776
test_mae_170200090209,7,0.036139074712991714
test_mae_170200090209,8,0.03599432110786438
test_mae_170200090209,9,0.04449598118662834
test_mae_170200090209,10,0.06396295130252838
test_mae_170200090209,11,0.03308708220720291
test_mae_170200090209,12,0.0437408946454525
test_mae_170200090209,13,0.04349438101053238
test_mae_170200090209,14,0.03551912307739258
test_mae_170200090209,15,0.037887901067733765
test_mae_170200090209,16,0.042926859110593796
test_mse_170200090302,0,0.0006669944850727916
test_mse_170200090302,1,0.0009952812688425183
test_mse_170200090302,2,0.0008642159518785775
test_mse_170200090302,3,0.001097541768103838
test_mse_170200090302,4,0.0010649209143593907
test_mse_170200090302,5,0.0009242625092156231
test_mse_170200090302,6,0.0009985017823055387
test_mse_170200090302,7,0.0008879945962689817
test_mse_170200090302,8,0.0008531657513231039
test_mse_170200090302,9,0.0009939107112586498
test_mse_170200090302,10,0.0009987179655581713
test_mse_170200090302,11,0.0009483214817009866
test_mse_170200090302,12,0.0009732803446240723
test_mse_170200090302,13,0.0009940463351085782
test_mse_170200090302,14,0.0011485253926366568
test_mse_170200090302,15,0.0010137157514691353
test_mse_170200090302,16,0.001159365870989859
test_mse_170200090302,17,0.0012056332780048251
test_mse_170200090302,18,0.001193592674098909
test_mse_170200090302,19,0.0010848221136257052
train_mae_170200090208,0,0.07041168212890625
train_mae_170200090208,1,0.06348156183958054
train_mae_170200090208,2,0.03978240117430687
train_mae_170200090208,3,0.031115418300032616
train_mae_170200090208,4,0.0349271334707737
train_mae_170200090208,5,0.03646901994943619
train_mae_170200090208,6,0.03018990159034729
train_mae_170200090208,7,0.02684827893972397
train_mae_170200090208,8,0.026670949533581734
train_mae_170200090208,9,0.02919360250234604
train_mae_170200090208,10,0.02844366431236267
train_mae_170200090208,11,0.027118071913719177
train_mae_170200090208,12,0.030729694291949272
