Metric,Step,Value
train_r2_170602070504,0,0.9729717969894409
train_r2_170602070504,1,0.9745030999183655
train_r2_170602070504,2,0.9749788045883179
train_r2_170602070504,3,0.9762536883354187
train_r2_170602070504,4,0.9754235744476318
train_r2_170602070504,5,0.9762868285179138
train_r2_170602070504,6,0.9753663539886475
train_r2_170602070504,7,0.9771384000778198
train_r2_170602070504,8,0.9775950312614441
train_r2_170602070504,9,0.9769161343574524
train_mae_170602070403,0,0.012427226640284061
train_mae_170602070403,1,0.011507575400173664
train_mae_170602070403,2,0.011810589581727982
train_mae_170602070403,3,0.012136999517679214
train_mae_170602070403,4,0.01106987614184618
train_mae_170602070403,5,0.011280578561127186
train_mae_170602070403,6,0.011223635636270046
train_mae_170602070403,7,0.010957364924252033
train_mae_170602070403,8,0.011146845296025276
train_mae_170602070403,9,0.011651250533759594
train_mse_170602070601,0,0.00044964280095882714
train_mse_170602070601,1,0.0003853976959362626
train_mse_170602070601,2,0.00037301701377145946
train_mse_170602070601,3,0.000326778506860137
train_mse_170602070601,4,0.0003352980420459062
train_mse_170602070601,5,0.0003584191435948014
train_mse_170602070601,6,0.00031636827043257654
train_mse_170602070601,7,0.0003094439161941409
train_mse_170602070601,8,0.0003185668319929391
train_mse_170602070601,9,0.0003351651830598712
train_mse_170602070503,0,0.0001749456423567608
train_mse_170602070503,1,0.00014732824638485909
train_mse_170602070503,2,0.00018717457714956254
train_mse_170602070503,3,0.00014286572695709765
train_mse_170602070503,4,0.00014166650362312794
train_mse_170602070503,5,0.00012809278268832713
train_mse_170602070503,6,0.00013578517246060073
train_mse_170602070503,7,0.00013773252430837601
train_mse_170602070503,8,0.00013389269588515162
train_mse_170602070503,9,0.00013244603178463876
train_r2_170602070601,0,0.9824351072311401
train_r2_170602070601,1,0.984944760799408
train_r2_170602070601,2,0.9854284524917603
train_r2_170602070601,3,0.9872347116470337
train_r2_170602070601,4,0.9869018793106079
train_r2_170602070601,5,0.9859986901283264
train_r2_170602070601,6,0.9876413345336914
train_r2_170602070601,7,0.9879118800163269
train_r2_170602070601,8,0.9875555038452148
train_r2_170602070601,9,0.9869070649147034
test_mae_170602070602,0,0.01669090799987316
test_mae_170602070602,1,0.017724813893437386
test_mae_170602070602,2,0.017403041943907738
test_mae_170602070602,3,0.017614271491765976
test_mae_170602070602,4,0.01683957874774933
test_mae_170602070602,5,0.016720110550522804
test_mae_170602070602,6,0.017109697684645653
test_mae_170602070602,7,0.017023775726556778
test_mae_170602070602,8,0.01749933697283268
test_mae_170602070602,9,0.017522260546684265
test_kge_170602070503,0,0.915592617400622
test_kge_170602070503,1,0.930629427747151
test_kge_170602070503,2,0.8487885696622808
test_kge_170602070503,3,0.9158799200159762
test_kge_170602070503,4,0.8996854079930241
test_kge_170602070503,5,0.9125506925784969
test_kge_170602070503,6,0.9478451691973869
test_kge_170602070503,7,0.898324105425773
test_kge_170602070503,8,0.9332673711716589
test_kge_170602070503,9,0.9142201687638034
train_r2_170602070503,0,0.969141960144043
train_r2_170602070503,1,0.9740132689476013
train_r2_170602070503,2,0.9669849276542664
train_r2_170602070503,3,0.9748004078865051
train_r2_170602070503,4,0.975011944770813
train_r2_170602070503,5,0.9774061441421509
train_r2_170602070503,6,0.9760493040084839
train_r2_170602070503,7,0.9757058620452881
train_r2_170602070503,8,0.9763831496238708
train_r2_170602070503,9,0.9766383171081543
test_r2_170602070305,0,0.9686464071273804
test_r2_170602070305,1,0.970090925693512
test_r2_170602070305,2,0.9656153917312622
test_r2_170602070305,3,0.9677100777626038
test_r2_170602070305,4,0.9663800001144409
test_r2_170602070305,5,0.9686020016670227
test_r2_170602070305,6,0.970657467842102
test_r2_170602070305,7,0.968042254447937
test_r2_170602070305,8,0.9687450528144836
test_r2_170602070305,9,0.9713292717933655
train_kge_170602070305,0,0.9790268030114859
train_kge_170602070305,1,0.9918320751570968
train_kge_170602070305,2,0.9654000143579025
train_kge_170602070305,3,0.9911583168151227
train_kge_170602070305,4,0.9850451210629004
train_kge_170602070305,5,0.987178690528461
train_kge_170602070305,6,0.9880350387296891
train_kge_170602070305,7,0.9870465977680225
train_kge_170602070305,8,0.9847608086440033
train_kge_170602070305,9,0.9853620444237956
train_kge_170602070306,0,0.9816797583954737
train_kge_170602070306,1,0.9659479143232859
train_kge_170602070306,2,0.9807852002723438
train_kge_170602070306,3,0.9795265889789795
train_kge_170602070306,4,0.9713520592950387
train_kge_170602070306,5,0.9633313415444478
train_kge_170602070306,6,0.9902284292966057
train_kge_170602070306,7,0.975276331222434
train_kge_170602070306,8,0.989068247423752
train_kge_170602070306,9,0.9888179674358494
train_kge_170602070504,0,0.9589360220881765
train_kge_170602070504,1,0.9767350739818241
train_kge_170602070504,2,0.9851886760041582
train_kge_170602070504,3,0.9871712213678764
train_kge_170602070504,4,0.9781000418141533
train_kge_170602070504,5,0.9875075395911027
train_kge_170602070504,6,0.9862561985100848
train_kge_170602070504,7,0.9840497289155501
train_kge_170602070504,8,0.9868368314712971
train_kge_170602070504,9,0.9848849332069132
test_r2_170602070502,0,0.9715155363082886
test_r2_170602070502,1,0.9747061729431152
test_r2_170602070502,2,0.9710023999214172
test_r2_170602070502,3,0.9723060131072998
test_r2_170602070502,4,0.9682756662368774
test_r2_170602070502,5,0.974540650844574
test_r2_170602070502,6,0.9759947657585144
test_r2_170602070502,7,0.9773651957511902
test_r2_170602070502,8,0.9754778146743774
test_r2_170602070502,9,0.9737616777420044
test_kge_170602070306,0,0.9766969007139903
test_kge_170602070306,1,0.94872387923067
test_kge_170602070306,2,0.961906197357395
test_kge_170602070306,3,0.9592617675236661
