Metric,Step,Value
test_kge_170200090101,0,0.8521098182917808
test_kge_170200090101,1,0.4825434476642596
test_kge_170200090101,2,0.8283316015212747
test_kge_170200090101,3,0.4669306343017977
test_kge_170200090101,4,0.7018349448335469
test_kge_170200090101,5,0.9307626258082027
test_kge_170200090101,6,0.9545554803209708
test_kge_170200090101,7,0.8463374926701049
test_kge_170200090101,8,0.8414224674828208
test_kge_170200090101,9,0.8918033819098294
train_mse_170200090102,0,0.009942659176886082
train_mse_170200090102,1,0.00882401131093502
train_mse_170200090102,2,0.010089768096804619
train_mse_170200090102,3,0.009273134171962738
train_mse_170200090102,4,0.009129423648118973
train_mse_170200090102,5,0.008557661436498165
train_mse_170200090102,6,0.007653264328837395
train_mse_170200090102,7,0.00793975405395031
train_mse_170200090102,8,0.007336913142353296
train_mse_170200090102,9,0.007829860784113407
test_r2_170200090101,0,0.7419461011886597
test_r2_170200090101,1,0.4398408532142639
test_r2_170200090101,2,0.7204406261444092
test_r2_170200090101,3,0.4727298617362976
test_r2_170200090101,4,0.7454696893692017
test_r2_170200090101,5,0.931427001953125
test_r2_170200090101,6,0.9321653246879578
test_r2_170200090101,7,0.9242199063301086
test_r2_170200090101,8,0.9227198362350464
test_r2_170200090101,9,0.9318720698356628
test_r2_170200090103,0,0.9489571452140808
test_r2_170200090103,1,0.9509841203689575
test_r2_170200090103,2,0.9494137167930603
test_r2_170200090103,3,0.9529215097427368
test_r2_170200090103,4,0.937169075012207
test_r2_170200090103,5,0.9556545615196228
test_r2_170200090103,6,0.9522705674171448
test_r2_170200090103,7,0.9416259527206421
test_r2_170200090103,8,0.943513035774231
test_r2_170200090103,9,0.954060971736908
test_mse_170200090105,0,0.010183047503232956
test_mse_170200090105,1,0.011625522747635841
test_mse_170200090105,2,0.012375010177493095
test_mse_170200090105,3,0.01034826785326004
test_mse_170200090105,4,0.01030003558844328
test_mse_170200090105,5,0.011319813318550587
test_mse_170200090105,6,0.011146588250994682
test_mse_170200090105,7,0.011771328747272491
test_mse_170200090105,8,0.01179277990013361
test_mse_170200090105,9,0.012313799932599068
train_kge_170200090104,0,0.9793294878570649
train_kge_170200090104,1,0.9195134430608622
train_kge_170200090104,2,0.9550337272033895
train_kge_170200090104,3,0.9385013850926505
train_kge_170200090104,4,0.9232617000436949
train_kge_170200090104,5,0.9684948090450578
train_kge_170200090104,6,0.9802249532793615
train_kge_170200090104,7,0.9187693460585855
train_kge_170200090104,8,0.9564722690470648
train_kge_170200090104,9,0.9317102841418243
