Metric,Step,Value
train_mse_170200110404,0,0.0008418346405960619
train_mse_170200110404,1,0.0007505369721911848
train_mse_170200110404,2,0.0007075187750160694
train_mse_170200110404,3,0.0006421591388061643
train_mse_170200110404,4,0.0006301731336861849
train_mse_170200110404,5,0.0006344345165416598
train_mse_170200110404,6,0.0006115484284237027
train_mse_170200110404,7,0.0006356310332193971
train_mse_170200110404,8,0.0006518025184050202
train_mse_170200110404,9,0.000617177807725966
test_mae_170300010305,0,0.038911279290914536
test_mae_170300010305,1,0.039264846593141556
test_mae_170300010305,2,0.03979920595884323
test_mae_170300010305,3,0.03973209112882614
test_mae_170300010305,4,0.04048964008688927
test_mae_170300010305,5,0.04049310460686684
test_mae_170300010305,6,0.040921665728092194
test_mae_170300010305,7,0.040552496910095215
test_mae_170300010305,8,0.04100250080227852
test_mae_170300010305,9,0.041012052446603775
test_mae_170200090111,0,0.045378994196653366
test_mae_170200090111,1,0.038491226732730865
test_mae_170200090111,2,0.041836440563201904
test_mae_170200090111,3,0.041791606694459915
test_mae_170200090111,4,0.04301898926496506
test_mae_170200090111,5,0.04060865566134453
test_mae_170200090111,6,0.04346916824579239
test_mae_170200090111,7,0.04428001493215561
test_mae_170200090111,8,0.04219881445169449
test_mae_170200090111,9,0.041221827268600464
train_mse_170200090113,0,0.005182828288525343
train_mse_170200090113,1,0.00404053321108222
train_mse_170200090113,2,0.004806468728929758
train_mse_170200090113,3,0.004456116817891598
train_mse_170200090113,4,0.004744729492813349
train_mse_170200090113,5,0.004849016200751066
train_mse_170200090113,6,0.0054458812810480595
train_mse_170200090113,7,0.0050767408683896065
train_mse_170200090113,8,0.003981018904596567
train_mse_170200090113,9,0.004190593957901001
train_mse_170200110401,0,0.002389240311458707
train_mse_170200110401,1,0.0018489296780899167
train_mse_170200110401,2,0.0016606028657406569
train_mse_170200110401,3,0.0015723304823040962
train_mse_170200110401,4,0.0016553113237023354
train_mse_170200110401,5,0.0016293171793222427
train_mse_170200110401,6,0.0015649910783395171
train_mse_170200110401,7,0.0014120044652372599
train_mse_170200110401,8,0.001406625029630959
train_mse_170200110401,9,0.0013551120646297932
test_kge_170200110405,0,0.9412287768704252
test_kge_170200110405,1,0.9243788090795214
test_kge_170200110405,2,0.9363727427832251
test_kge_170200110405,3,0.9446741960390792
test_kge_170200110405,4,0.9290362502370755
test_kge_170200110405,5,0.9358858686644047
test_kge_170200110405,6,0.91989085929734
