Metric,Step,Value
train_r2_170200090112,0,0.9609553217887878
train_r2_170200090112,1,0.9647289514541626
train_r2_170200090112,2,0.9577165246009827
train_r2_170200090112,3,0.9588081240653992
train_r2_170200090112,4,0.9640217423439026
train_r2_170200090112,5,0.9643614888191223
train_r2_170200090112,6,0.9555631875991821
train_r2_170200090112,7,0.9613893628120422
train_r2_170200090112,8,0.9663062691688538
train_r2_170200090112,9,0.9617425799369812
test_kge_170200090101,0,0.8211389489421481
test_kge_170200090101,1,0.8401838090136865
test_kge_170200090101,2,0.7591915879800019
test_kge_170200090101,3,0.769874802323755
test_kge_170200090101,4,0.8877088969001848
test_kge_170200090101,5,0.6342286401787844
test_kge_170200090101,6,0.862834653664244
test_kge_170200090101,7,0.8818876461400256
test_kge_170200090101,8,0.9173171700763162
test_kge_170200090101,9,0.8593318297003594
test_mae_170200090105,0,0.06727904081344604
test_mae_170200090105,1,0.06539883464574814
test_mae_170200090105,2,0.06652340292930603
test_mae_170200090105,3,0.062400054186582565
test_mae_170200090105,4,0.06552445143461227
test_mae_170200090105,5,0.061421461403369904
test_mae_170200090105,6,0.06275203078985214
test_mae_170200090105,7,0.06613630801439285
test_mae_170200090105,8,0.06608741730451584
test_mae_170200090105,9,0.06220242381095886
train_kge_170200090105,0,0.9832497949744243
train_kge_170200090105,1,0.9756013224875774
train_kge_170200090105,2,0.9633312707494005
train_kge_170200090105,3,0.9809725390246067
train_kge_170200090105,4,0.9722666418921684
train_kge_170200090105,5,0.9816054989750929
train_kge_170200090105,6,0.9684403143951311
train_kge_170200090105,7,0.9495735078302426
train_kge_170200090105,8,0.9648687074993715
train_kge_170200090105,9,0.9814591730900943
test_mae_170200090103,0,0.0610138364136219
test_mae_170200090103,1,0.04994819313287735
test_mae_170200090103,2,0.049270130693912506
test_mae_170200090103,3,0.06128833815455437
test_mae_170200090103,4,0.05397966876626015
test_mae_170200090103,5,0.05075516924262047
test_mae_170200090103,6,0.06349804252386093
test_mae_170200090103,7,0.04830636829137802
test_mae_170200090103,8,0.0551314651966095
test_mae_170200090103,9,0.04899662360548973
test_r2_170200090106,0,0.9485301971435547
test_r2_170200090106,1,0.9460303783416748
test_r2_170200090106,2,0.9472102522850037
test_r2_170200090106,3,0.9497771859169006
test_r2_170200090106,4,0.9419629573822021
test_r2_170200090106,5,0.9442893266677856
test_r2_170200090106,6,0.948955237865448
test_r2_170200090106,7,0.9466755986213684
test_r2_170200090106,8,0.9450059533119202
test_r2_170200090106,9,0.9496551156044006
train_r2_170200090106,0,0.9670055508613586
train_r2_170200090106,1,0.9678047895431519
train_r2_170200090106,2,0.9695502519607544
train_r2_170200090106,3,0.970333993434906
train_r2_170200090106,4,0.9692654609680176
train_r2_170200090106,5,0.96872478723526
train_r2_170200090106,6,0.9693048000335693
train_r2_170200090106,7,0.9694067239761353
train_r2_170200090106,8,0.9709256291389465
train_r2_170200090106,9,0.9676144123077393
train_mse_170200090108,0,0.0038001348730176687
train_mse_170200090108,1,0.0036337825004011393
train_mse_170200090108,2,0.0029420698992908
train_mse_170200090108,3,0.003176446072757244
train_mse_170200090108,4,0.002839787630364299
train_mse_170200090108,5,0.0030670578125864267
train_mse_170200090108,6,0.002920761937275529
train_mse_170200090108,7,0.002850688062608242
train_mse_170200090108,8,0.002641368191689253
train_mse_170200090108,9,0.0033759172074496746
test_mae_170200090102,0,0.07977546006441116
test_mae_170200090102,1,0.06652358919382095
test_mae_170200090102,2,0.06829314678907394
test_mae_170200090102,3,0.06902733445167542
test_mae_170200090102,4,0.0628710463643074
test_mae_170200090102,5,0.07518621534109116
test_mae_170200090102,6,0.06841511279344559
test_mae_170200090102,7,0.06549746543169022
test_mae_170200090102,8,0.05921388790011406
test_mae_170200090102,9,0.06334052979946136
test_mae_170200090104,0,0.06343844532966614
test_mae_170200090104,1,0.06536631286144257
test_mae_170200090104,2,0.07538077235221863
test_mae_170200090104,3,0.06697408854961395
test_mae_170200090104,4,0.06608495861291885
test_mae_170200090104,5,0.06835412234067917
test_mae_170200090104,6,0.06835824251174927
test_mae_170200090104,7,0.06953324377536774
test_mae_170200090104,8,0.06425363570451736
test_mae_170200090104,9,0.07017657905817032
train_kge_170200090101,0,0.7915591383369663
train_kge_170200090101,1,0.8064265849984142
train_kge_170200090101,2,0.7357571391312532
train_kge_170200090101,3,0.7548943011267389
train_kge_170200090101,4,0.8660451683422299
train_kge_170200090101,5,0.6609648918908801
train_kge_170200090101,6,0.8557128130590723
train_kge_170200090101,7,0.8486749559384396
train_kge_170200090101,8,0.8752384616496034
train_kge_170200090101,9,0.8697700432963122
test_mse_170200090107,0,0.007725787814706564
test_mse_170200090107,1,0.006346591282635927
test_mse_170200090107,2,0.006139615084975958
test_mse_170200090107,3,0.006072422489523888
test_mse_170200090107,4,0.007442846428602934
test_mse_170200090107,5,0.006429231259971857
test_mse_170200090107,6,0.006197510287165642
test_mse_170200090107,7,0.006542460527271032
test_mse_170200090107,8,0.007137704640626907
test_mse_170200090107,9,0.006236591842025518
test_mae_170200090112,0,0.06785973161458969
test_mae_170200090112,1,0.06787625700235367
test_mae_170200090112,2,0.06950297951698303
test_mae_170200090112,3,0.06930466741323471
test_mae_170200090112,4,0.06815238296985626
test_mae_170200090112,5,0.06304861605167389
test_mae_170200090112,6,0.06981676071882248
test_mae_170200090112,7,0.06936199963092804
test_mae_170200090112,8,0.06701817363500595
test_mae_170200090112,9,0.07046608626842499
train_kge_170200090106,0,0.9555106816685068
train_kge_170200090106,1,0.9473218066809793
train_kge_170200090106,2,0.9528306682405598
train_kge_170200090106,3,0.9649317062421016
train_kge_170200090106,4,0.9638222703451683
train_kge_170200090106,5,0.981479454657225
train_kge_170200090106,6,0.9612531794341775
train_kge_170200090106,7,0.9764794000540348
train_kge_170200090106,8,0.9824912506421051
