Metric,Step,Value
train_kge_170200090208,0,0.8412822229605392
train_kge_170200090208,1,0.8506404203002736
train_kge_170200090208,2,0.8789110007996188
train_kge_170200090208,3,0.9490045122698454
train_kge_170200090208,4,0.8389175839146223
train_kge_170200090208,5,0.8797233930179249
train_kge_170200090208,6,0.9693136708151778
train_kge_170200090208,7,0.9580474175824354
train_kge_170200090208,8,0.9307114813197671
train_kge_170200090208,9,0.8755601791633978
train_kge_170200090208,10,0.8229090033621607
train_kge_170200090208,11,0.9408607615355851
train_kge_170200090208,12,0.8853177234583258
train_kge_170200090208,13,0.9436721887043809
train_kge_170200090208,14,0.8828028940363524
train_kge_170200090208,15,0.967457485260007
train_kge_170200090208,16,0.918809363113554
train_kge_170200090208,17,0.9486310048205455
train_kge_170200090208,18,0.9460907264681845
train_kge_170200090208,19,0.9508528127362864
train_kge_170200090208,20,0.9507647138701054
train_kge_170200090208,21,0.9021440835485823
train_kge_170200090208,22,0.9371724819070426
train_kge_170200090208,23,0.939585515672825
train_kge_170200090208,24,0.8264747564024276
train_kge_170200090208,25,0.9138344552528
train_kge_170200090208,26,0.927419078741294
train_kge_170200090208,27,0.9697230696601489
train_kge_170200090208,28,0.9525465686837683
train_kge_170200090208,29,0.9402859290215403
train_mae_170200090304,0,0.006525021977722645
train_mae_170200090304,1,0.007644023280590773
train_mae_170200090304,2,0.00583399273455143
train_mae_170200090304,3,0.0057288059033453465
train_mae_170200090304,4,0.00534952525049448
train_mae_170200090304,5,0.005370099563151598
train_mae_170200090304,6,0.005640812683850527
train_mae_170200090304,7,0.005337417591363192
train_mae_170200090304,8,0.005356502719223499
train_mae_170200090304,9,0.0055913133546710014
train_mae_170200090304,10,0.005365319084376097
train_mae_170200090304,11,0.0052926670759916306
train_mae_170200090304,12,0.0054772403091192245
train_mae_170200090304,13,0.005499131511896849
train_mae_170200090304,14,0.004966267384588718
train_mae_170200090304,15,0.0059655518271028996
train_mae_170200090304,16,0.005731718149036169
train_mae_170200090304,17,0.005118250846862793
train_mae_170200090304,18,0.005245077423751354
train_mae_170200090304,19,0.006235339213162661
train_mae_170200090304,20,0.004944379907101393
train_mae_170200090304,21,0.005533116403967142
train_mae_170200090304,22,0.006247000303119421
train_mae_170200090304,23,0.005213646218180656
train_mae_170200090304,24,0.004862316884100437
train_mae_170200090304,25,0.004878653213381767
train_mae_170200090304,26,0.004827579017728567
train_mae_170200090304,27,0.005127603188157082
train_mae_170200090304,28,0.0046589989215135574
train_mae_170200090304,29,0.004852209240198135
test_r2_170200110406,0,0.8951051831245422
test_r2_170200110406,1,0.9058099389076233
test_r2_170200110406,2,0.9041630625724792
test_r2_170200110406,3,0.9188986420631409
test_r2_170200110406,4,0.8988585472106934
test_r2_170200110406,5,0.8990903496742249
test_r2_170200110406,6,0.8746293783187866
test_r2_170200110406,7,0.8722721934318542
test_r2_170200110406,8,0.8828293681144714
test_r2_170200110406,9,0.8821903467178345
test_r2_170200110406,10,0.8765091896057129
test_r2_170200110406,11,0.8760635256767273
test_r2_170200110406,12,0.8722239136695862
test_r2_170200110406,13,0.8715989589691162
test_r2_170200110406,14,0.8589683771133423
test_r2_170200110406,15,0.8813515901565552
test_r2_170200110406,16,0.8622515797615051
test_r2_170200110406,17,0.8905812501907349
test_r2_170200110406,18,0.8851364254951477
test_r2_170200110406,19,0.8737468719482422
test_r2_170200110406,20,0.8591234683990479
test_r2_170200110406,21,0.8734910488128662
test_r2_170200110406,22,0.8770751357078552
test_r2_170200110406,23,0.8720834255218506
test_r2_170200110406,24,0.8481830954551697
test_r2_170200110406,25,0.8589579463005066
test_r2_170200110406,26,0.8739240169525146
