Metric,Step,Value
test_mae_170602070902,0,0.023688290268182755
test_mae_170602070902,1,0.04549218341708183
test_mae_170602070902,2,0.042263343930244446
test_mae_170602070902,3,0.08393508940935135
test_mae_170602070902,4,0.1530272662639618
test_mae_170602070902,5,0.047655269503593445
test_mae_170602070902,6,0.048515111207962036
test_mae_170602070902,7,0.04991024732589722
test_mae_170602070902,8,0.04170267656445503
test_mae_170602070902,9,0.04554835706949234
test_recur_r2_170602071107,0,0.9115843772888184
test_recur_r2_170602071107,1,0.8868103623390198
test_recur_r2_170602071107,2,0.7285811901092529
test_recur_r2_170602071107,3,-0.027134060859680176
test_recur_r2_170602071107,4,0.2993957996368408
test_recur_r2_170602071107,5,0.5382778644561768
test_recur_r2_170602071107,6,0.5829962491989136
test_recur_r2_170602071107,7,0.878931999206543
test_recur_r2_170602071107,8,-0.052082061767578125
test_recur_r2_170602071107,9,0.7432189583778381
test_kge_170200090105,0,0.804173175651745
test_kge_170200090105,1,0.44726242791406967
test_kge_170200090105,2,0.6530493402375552
test_kge_170200090105,3,0.7209682825244386
test_kge_170200090105,4,0.8491222749902974
test_kge_170200090105,5,0.7943966729808313
test_kge_170200090105,6,0.7464238058612387
test_kge_170200090105,7,0.6623362468757228
test_kge_170200090105,8,0.650355997194124
test_kge_170200090105,9,0.7859755673170984
test_recur_mae_170200090105,0,0.2363777607679367
test_recur_mae_170200090105,1,0.1604095697402954
test_recur_mae_170200090105,2,0.10154180973768234
test_recur_mae_170200090105,3,0.08142901211977005
test_recur_mae_170200090105,4,0.06166990473866463
test_recur_mae_170200090105,5,0.09409289807081223
test_recur_mae_170200090105,6,0.1157529428601265
test_recur_mae_170200090105,7,0.1670641452074051
test_recur_mae_170200090105,8,0.0586501806974411
test_recur_mae_170200090105,9,0.1719101369380951
test_recur_kge_171100060402,0,0.6823155867256596
test_recur_kge_171100060402,1,0.8104630040603218
test_recur_kge_171100060402,2,-0.39361340545816415
test_recur_kge_171100060402,3,0.6663392800233643
test_recur_kge_171100060402,4,0.3714950745617914
test_recur_kge_171100060402,5,0.739034839440379
test_recur_kge_171100060402,6,0.8897001230658168
test_recur_kge_171100060402,7,0.8936229940193311
test_recur_kge_171100060402,8,-0.7197873841163578
test_recur_kge_171100060402,9,0.7984422057571607
test_kge_170602080502,0,0.9298449803811334
test_kge_170602080502,1,0.8439403059145294
test_kge_170602080502,2,0.7968472042399933
test_kge_170602080502,3,0.9349884350966926
test_kge_170602080502,4,0.5991594315670568
test_kge_170602080502,5,0.8259807385772824
test_kge_170602080502,6,0.8907636147357239
test_kge_170602080502,7,0.8199766481821902
test_kge_170602080502,8,0.7845855384579516
test_kge_170602080502,9,0.8131444350973664
test_r2_171100050703,0,0.9081594944000244
test_r2_171100050703,1,0.8040380477905273
test_r2_171100050703,2,0.9293598532676697
test_r2_171100050703,3,0.9040327668190002
test_r2_171100050703,4,0.8766960501670837
test_r2_171100050703,5,0.8466746807098389
test_r2_171100050703,6,0.8890675902366638
test_r2_171100050703,7,0.954780638217926
test_r2_171100050703,8,0.9274134635925293
test_r2_171100050703,9,0.8643810153007507
test_recur_mae_170103040901,0,0.028560904785990715
test_recur_mae_170103040901,1,0.027728427201509476
test_recur_mae_170103040901,2,0.019046111032366753
test_recur_mae_170103040901,3,0.02020128443837166
test_recur_mae_170103040901,4,0.01724100671708584
test_recur_mae_170103040901,5,0.017135364934802055
test_recur_mae_170103040901,6,0.014679600484669209
test_recur_mae_170103040901,7,0.026413675397634506
test_recur_mae_170103040901,8,0.026826856657862663
test_recur_mae_170103040901,9,0.03184330835938454
test_recur_mse_170602080412,0,0.0020703442860394716
test_recur_mse_170602080412,1,0.0015984500059857965
test_recur_mse_170602080412,2,0.0007717297994531691
test_recur_mse_170602080412,3,0.0024808747693896294
test_recur_mse_170602080412,4,0.0005678935558535159
test_recur_mse_170602080412,5,0.0006470723310485482
test_recur_mse_170602080412,6,0.0008597869891673326
test_recur_mse_170602080412,7,0.0014927901793271303
test_recur_mse_170602080412,8,0.0007375770946964622
test_recur_mse_170602080412,9,0.0011227395152673125
test_mse_170602080502,0,0.002105226507410407
test_mse_170602080502,1,0.005295093171298504
test_mse_170602080502,2,0.006648818496614695
test_mse_170602080502,3,0.0036796163767576218
test_mse_170602080502,4,0.016843626275658607
test_mse_170602080502,5,0.004027166869491339
test_mse_170602080502,6,0.0030904619488865137
test_mse_170602080502,7,0.004381141159683466
test_mse_170602080502,8,0.005560226738452911
test_mse_170602080502,9,0.004382719285786152
test_recur_r2_170602070701,0,0.9413747787475586
test_recur_r2_170602070701,1,0.8686292171478271
test_recur_r2_170602070701,2,0.8253961205482483
test_recur_r2_170602070701,3,-0.3474907875061035
test_recur_r2_170602070701,4,0.4520297646522522
test_recur_r2_170602070701,5,0.6071151494979858
