Metric,Step,Value
test_r2_170602071002,0,0.9672977328300476
test_r2_170103040104,0,0.9449132084846497
test_mse_170602080411,0,0.0014215887058526278
test_kge_171100050505,0,0.8717693289565321
test_mse_170200090301,0,0.0010031369747593999
test_mse_170200110401,0,0.024701133370399475
test_kge_170200110104,0,0.7577052110020362
test_kge_170602080103,0,0.7043375215381661
test_mse_170602080301,0,0.00346287339925766
test_mse_170602070204,0,0.008645440451800823
test_mse_170103040102,0,0.0011965502053499222
test_r2_170602070503,0,-0.07843494415283203
test_r2_170103020201,0,0.9240898489952087
test_mse_170602071103,0,0.006866916082799435
test_mse_171100090301,0,0.012702408246695995
test_kge_171100050503,0,0.9520526113192126
test_kge_170602070103,0,0.6606151310347081
test_kge_170200110307,0,0.5307110375318764
test_r2_171100050404,0,0.9444611072540283
test_kge_170602080501,0,0.943774020291517
test_mse_170602070206,0,0.0016979489009827375
test_r2_170602071103,0,-1.1731796264648438
test_kge_170602080205,0,0.8125481928836852
test_r2_170602070202,0,-0.5632668733596802
test_r2_170602080103,0,0.9094802737236023
test_kge_170602080201,0,0.49071981728417624
test_mse_170602071002,0,0.0015306554269045591
test_kge_170200090301,0,0.9551011104638257
test_mse_171100050501,0,0.005498515907675028
test_r2_171100060302,0,0.9624798893928528
test_mse_170103040603,0,0.0005222781910561025
test_kge_170602080404,0,0.947843457200893
test_mse_171100090102,0,0.007223015185445547
test_kge_171100090102,0,0.891788611974895
test_r2_171100090102,0,0.9359778761863708
test_mse_170602071001,0,0.0016886667581275105
test_r2_171100060305,0,0.8444637656211853
test_r2_170103040504,0,0.7948243618011475
test_r2_171100050802,0,0.9861037135124207
test_kge_171100090301,0,0.7333162980632404
test_mse_170103040202,0,0.0016826750943437219
test_mse_170602070702,0,0.0006748432642780244
test_r2_170602070702,0,0.9711713194847107
test_kge_170103020201,0,0.8417584841212096
test_mse_171100050503,0,0.005171004217118025
test_kge_170103040202,0,0.9235820078987854
test_mse_170103040702,0,0.000864278175868094
