Metric,Step,Value
train_mse_170200090203,0,0.004521655850112438
train_mse_170200090203,1,0.0040648579597473145
train_mse_170200090203,2,0.0036000197287648916
test_mse_170200090102,0,0.009601518511772156
test_mse_170200090102,1,0.011071568354964256
train_mae_170200090103,0,0.0421486496925354
train_mse_170200090107,0,0.004487261176109314
train_mae_170200090107,0,0.0417771190404892
test_mae_170200110104,0,0.07428286969661713
test_mse_170200090101,0,0.044486891478300095
test_mse_170200090101,1,0.028181586414575577
test_mse_170200090101,2,0.030100220814347267
test_mse_170200090101,3,0.02610073611140251
test_mse_170200090101,4,0.04515283182263374
test_mse_170200090101,5,0.023289890959858894
test_mse_170200090101,6,0.010927538387477398
test_mse_170200090101,7,0.010301215574145317
test_mse_170200090101,8,0.010205872356891632
test_mse_170200090101,9,0.01847451739013195
train_mae_170200090201,0,0.029849417507648468
test_mse_170200090202,0,0.009413428604602814
test_mse_170200090202,1,0.009421557188034058
train_kge_170200090203,0,0.9698454314852414
train_kge_170200090203,1,0.9586013993517672
train_kge_170200090203,2,0.9746513522058043
test_mae_170200090102,0,0.06345588713884354
test_mae_170200090102,1,0.06736207753419876
train_mse_170200090103,0,0.0040121544152498245
test_r2_170200090105,0,0.9110132455825806
test_r2_170200090105,1,0.9347835183143616
test_r2_170200090105,2,0.9271541833877563
test_r2_170200090105,3,0.915134847164154
test_r2_170200090107,0,0.9424051642417908
train_kge_170200090107,0,0.9856114694785995
test_mse_170200090108,0,0.008358377031981945
test_mse_170200090108,1,0.0084805553779006
test_mse_170200090108,2,0.014474640600383282
test_mse_170200090108,3,0.007043583784252405
test_mse_170200090108,4,0.006630533840507269
test_mse_170200090111,0,0.014056730084121227
test_mse_170200090114,0,0.0023430450819432735
test_mse_170200090114,1,0.0017275918507948518
test_mse_170200090114,2,0.002383648185059428
test_r2_170200090111,0,0.9224525690078735
test_kge_170200090114,0,0.958735203222372
test_kge_170200090114,1,0.9644611110830903
test_kge_170200090114,2,0.872343729901532
test_mse_170200090201,0,0.004688870161771774
train_mae_170200090102,0,0.053702447563409805
train_mae_170200090102,1,0.05100074037909508
test_mse_170200090105,0,0.020895620808005333
test_mse_170200090105,1,0.015313959680497646
test_mse_170200090105,2,0.017105452716350555
test_mse_170200090105,3,0.019927797839045525
train_mae_170200090109,0,0.04498438909649849
train_mae_170200090109,1,0.0390157587826252
train_mae_170200090109,2,0.034601643681526184
train_kge_170200090202,0,0.9652579688231376
train_kge_170200090202,1,0.9720522047029729
train_r2_170200090102,0,0.9650272727012634
train_r2_170200090102,1,0.9693646430969238
train_mse_170200090104,0,0.006469047162681818
train_mse_170200090104,1,0.006383251864463091
train_mse_170200090104,2,0.008488212712109089
train_mse_170200090104,3,0.006356885656714439
train_mse_170200090104,4,0.00561482273042202
test_r2_170200090204,0,0.8945530652999878
test_r2_170200090204,1,0.9010588526725769
test_r2_170200090204,2,0.8972809314727783
test_r2_170200090204,3,0.8999300003051758
test_kge_170200090108,0,0.9535677040462284
test_kge_170200090108,1,0.9497114764280162
test_kge_170200090108,2,0.7846156239398117
test_kge_170200090108,3,0.9327377458774943
test_kge_170200090108,4,0.9504549877071933
train_mse_170200090108,0,0.0034327262546867132
train_mse_170200090108,1,0.0033138778526335955
train_mse_170200090108,2,0.015702534466981888
train_mse_170200090108,3,0.004028478637337685
