Metric,Step,Value
train_mse_170200090304,0,0.0003263522230554372
train_mse_170200090304,1,0.00028765376191586256
train_mse_170200090304,2,0.0002971297362819314
train_mse_170200090304,3,0.0003520584723446518
train_mse_170200090304,4,0.00022675625223200768
train_mse_170200110502,0,0.0072595649398863316
train_mae_170200110502,0,0.0528448261320591
train_r2_170200110602,0,0.8534724712371826
train_r2_170200110602,1,0.8683761954307556
train_r2_170200110602,2,0.8767412304878235
train_r2_170200110602,3,0.8928226828575134
train_r2_170200110602,4,0.8998411893844604
train_r2_170200110602,5,0.8843871355056763
train_r2_170200110602,6,0.8901823163032532
train_r2_170200110602,7,0.9064727425575256
train_r2_170200110602,8,0.8783634305000305
train_r2_170200110602,9,0.8914096355438232
train_r2_170200110602,10,0.863982081413269
train_r2_170200110602,11,0.8898604512214661
train_r2_170200110602,12,0.8868595957756042
train_r2_170200110602,13,0.8828884363174438
train_r2_170200110602,14,0.909308671951294
train_r2_170200110602,15,0.8944268822669983
train_r2_170200110602,16,0.9069904685020447
train_r2_170200110602,17,0.895750105381012
train_r2_170200110602,18,0.8921642303466797
train_r2_170200110602,19,0.8784972429275513
train_r2_170200110602,20,0.8868775367736816
train_r2_170200110602,21,0.9018822312355042
train_r2_170200110602,22,0.8934450149536133
train_r2_170200110602,23,0.9004165530204773
train_r2_170200110602,24,0.8925078511238098
train_r2_170200110602,25,0.9014124274253845
train_r2_170200110602,26,0.9056996703147888
train_r2_170200110602,27,0.8868799209594727
train_r2_170200110602,28,0.9083581566810608
train_r2_170200110602,29,0.8668292164802551
test_mae_170200110406,0,0.051445186138153076
test_mae_170200110406,1,0.048736635595560074
test_mae_170200110406,2,0.03587586432695389
test_mae_170200110406,3,0.03947731480002403
test_mae_170200110406,4,0.04170357435941696
test_mae_170200110406,5,0.04119062423706055
test_mae_170200110406,6,0.03938610106706619
test_mae_170200110406,7,0.0385829396545887
test_mae_170200110406,8,0.03492698445916176
test_r2_170200110502,0,0.9204952120780945
train_r2_170200110502,0,0.9260556697845459
test_mse_170200090302,0,0.0006797221722081304
test_mse_170200090304,0,0.0005006039282307029
test_mse_170200090304,1,0.0004445162776391953
test_mse_170200090304,2,0.0004947035340592265
test_mse_170200090304,3,0.0006769179017283022
test_mse_170200090304,4,0.0004652179195545614
train_mae_170200090304,0,0.010320047847926617
train_mae_170200090304,1,0.009558922611176968
train_mae_170200090304,2,0.009820535778999329
train_mae_170200090304,3,0.010034728795289993
train_mae_170200090304,4,0.00842559989541769
train_r2_170200110406,0,0.8450945019721985
train_r2_170200110406,1,0.8568961024284363
train_r2_170200110406,2,0.8968536257743835
train_r2_170200110406,3,0.8912395238876343
train_r2_170200110406,4,0.8837417364120483
train_r2_170200110406,5,0.8782782554626465
train_r2_170200110406,6,0.8937196135520935
train_r2_170200110406,7,0.8969331979751587
train_r2_170200110406,8,0.9117463827133179
train_r2_170200110601,0,0.8333448767662048
train_r2_170200110601,1,0.8659303784370422
train_r2_170200110601,2,0.8755640387535095
train_r2_170200110601,3,0.8645375967025757
train_r2_170200110601,4,0.8231348991394043
train_r2_170200110601,5,0.8391890525817871
train_r2_170200110601,6,0.8051335215568542
train_r2_170200110601,7,0.8427203893661499
train_r2_170200110601,8,0.8884209394454956
train_r2_170200110601,9,0.7919660806655884
train_r2_170200110601,10,0.8571324348449707
train_r2_170200110601,11,0.8605839610099792
train_r2_170200110601,12,0.8792284727096558
train_r2_170200110601,13,0.8704685568809509
train_r2_170200110601,14,0.9036288857460022
train_r2_170200110601,15,0.8846694827079773
train_r2_170200110601,16,0.867003858089447
train_r2_170200110601,17,0.8599595427513123
train_r2_170200110601,18,0.8638349771499634
train_r2_170200110601,19,0.8719928860664368
train_r2_170200110601,20,0.8557779788970947
train_r2_170200110601,21,0.8543955683708191
train_r2_170200110601,22,0.8751170635223389
train_r2_170200110601,23,0.8882369995117188
train_r2_170200110601,24,0.8635578155517578
train_r2_170200110601,25,0.8547861576080322
train_r2_170200110601,26,0.8530952334403992
train_r2_170200110601,27,0.8908112049102783
train_r2_170200110601,28,0.8865783214569092
train_r2_170200110601,29,0.871225893497467
test_r2_170200110503,0,0.8732438683509827
test_r2_170200110503,1,0.7831790447235107
test_r2_170200110503,2,0.8537505865097046
test_r2_170200110503,3,0.8483834862709045
test_r2_170200110503,4,0.8468517661094666
test_r2_170200110503,5,0.8534243106842041
test_r2_170200110503,6,0.8445186614990234
test_r2_170200110503,7,0.8639051914215088
test_r2_170200110503,8,0.8245689868927002
test_r2_170200110503,9,0.8187265992164612
test_r2_170200110503,10,0.8277500867843628
test_r2_170200110503,11,0.8478962182998657
test_r2_170200110503,12,0.8583043813705444
test_r2_170200110503,13,0.8036614656448364
test_r2_170200110503,14,0.8111327886581421
test_r2_170200110503,15,0.8367275595664978
test_r2_170200110503,16,0.8379538655281067
test_r2_170200110503,17,0.8405290842056274
test_r2_170200110503,18,0.7677273750305176
test_r2_170200110503,19,0.8608073592185974
test_r2_170200110503,20,0.8019472360610962
test_r2_170200110503,21,0.794475793838501
test_r2_170200110503,22,0.8168477416038513
test_r2_170200110503,23,0.8176674842834473
test_r2_170200110503,24,0.8595272898674011
test_r2_170200110503,25,0.7371302843093872
test_r2_170200110503,26,0.8398934602737427
test_r2_170200110503,27,0.7971715927124023
test_r2_170200110503,28,0.8625295162200928
test_r2_170200110503,29,0.7880033254623413
train_r2_170200110503,0,0.8436902165412903
train_r2_170200110503,1,0.8189404010772705
train_r2_170200110503,2,0.8241199851036072
train_r2_170200110503,3,0.8444512486457825
train_r2_170200110503,4,0.8048698306083679
train_r2_170200110503,5,0.8278313279151917
train_r2_170200110503,6,0.8221167325973511
train_r2_170200110503,7,0.8383678197860718
train_r2_170200110503,8,0.8174977898597717
train_r2_170200110503,9,0.8306064009666443
train_r2_170200110503,10,0.8284111618995667
train_r2_170200110503,11,0.8322136402130127
train_r2_170200110503,12,0.8276580572128296
train_r2_170200110503,13,0.8120812177658081
train_r2_170200110503,14,0.8056275844573975
train_r2_170200110503,15,0.8219177722930908
train_r2_170200110503,16,0.8181176781654358
train_r2_170200110503,17,0.8080348968505859
train_r2_170200110503,18,0.7906743288040161
train_r2_170200110503,19,0.8275045156478882
train_r2_170200110503,20,0.8135160803794861
train_r2_170200110503,21,0.7964437007904053
train_r2_170200110503,22,0.8212389945983887
train_r2_170200110503,23,0.8117819428443909
train_r2_170200110503,24,0.7982853651046753
train_r2_170200110503,25,0.760653018951416
train_r2_170200110503,26,0.8212658762931824
