Metric,Step,Value
train_2_r2_171100050604,0,0.880597710609436
train_2_r2_171100050604,1,0.9057962894439697
train_2_r2_171100050604,2,0.9277403950691223
train_2_r2_171100050604,3,0.9149806499481201
train_2_r2_171100050604,4,0.9313232898712158
train_2_r2_171100050604,5,0.9324892163276672
train_2_r2_171100050604,6,0.9367695450782776
train_2_r2_171100050604,7,0.9347357153892517
train_2_r2_171100050604,8,0.9197052717208862
train_2_r2_171100050604,9,0.9324551224708557
test_3_mse_171100050604,0,0.006389122921973467
test_3_mse_171100050604,1,0.0069785756058990955
test_3_mse_171100050604,2,0.006215471774339676
test_3_mse_171100050604,3,0.008046436123549938
test_3_mse_171100050604,4,0.006706028711050749
test_3_mse_171100050604,5,0.006404499989002943
test_3_mse_171100050604,6,0.0056117018684744835
test_3_mse_171100050604,7,0.006261809729039669
test_3_mse_171100050604,8,0.005977833643555641
test_3_mse_171100050604,9,0.005895603448152542
test_4_mse_171100050604,0,0.005807224661111832
test_4_mse_171100050604,1,0.006375011522322893
test_4_mse_171100050604,2,0.006878615356981754
test_4_mse_171100050604,3,0.0065997568890452385
test_4_mse_171100050604,4,0.005876079201698303
test_4_mse_171100050604,5,0.006114406045526266
test_4_mse_171100050604,6,0.00636100210249424
test_4_mse_171100050604,7,0.0057663810439407825
test_4_mse_171100050604,8,0.005619825329631567
test_4_mse_171100050604,9,0.007835675030946732
test_6_kge_171100050604,0,0.9525805044442978
test_6_kge_171100050604,1,0.9105574970588377
test_6_kge_171100050604,2,0.952942810612182
test_6_kge_171100050604,3,0.86955309641656
test_6_kge_171100050604,4,0.9332140902724545
test_6_kge_171100050604,5,0.9259319368117692
test_6_kge_171100050604,6,0.9154059408232856
test_6_kge_171100050604,7,0.9536266816675462
test_6_kge_171100050604,8,0.9483143658405081
test_6_kge_171100050604,9,0.9147857236550531
train_7_r2_171100050604,0,0.9553900957107544
train_7_r2_171100050604,1,0.8865503668785095
train_7_r2_171100050604,2,0.9509263634681702
train_7_r2_171100050604,3,0.9485155940055847
train_7_r2_171100050604,4,0.9550232887268066
train_7_r2_171100050604,5,0.9533811807632446
train_7_r2_171100050604,6,0.9586442112922668
train_7_r2_171100050604,7,0.954868495464325
train_7_r2_171100050604,8,0.9530177712440491
