Metric,Step,Value
train_kge_170200110708,0,0.8692006354857339
train_kge_170200110708,1,0.9539123151379577
train_kge_170200110708,2,0.979557960812229
train_kge_170200110708,3,0.9746864788484496
train_kge_170200110708,4,0.9646416778939576
train_kge_170200110708,5,0.974026061684442
train_kge_170200110708,6,0.9414443272005842
train_kge_170200110708,7,0.9730890450960636
train_kge_170200110708,8,0.9767595800950545
train_kge_170200110708,9,0.9783346732194524
train_mae_171100050607,0,0.019742559641599655
train_mae_171100050607,1,0.017419682815670967
train_mae_171100050607,2,0.01827860437333584
train_mae_171100050607,3,0.018881304189562798
train_mae_171100050607,4,0.01956583745777607
train_mae_171100050607,5,0.016874339431524277
train_mae_171100050607,6,0.01623879373073578
train_mae_171100050607,7,0.01597169227898121
train_mae_171100050607,8,0.018177123740315437
train_mae_171100050607,9,0.016118783503770828
test_mae_171100051104,0,0.010381416417658329
test_mae_171100051104,1,0.008108481764793396
test_mae_171100051104,2,0.0071390843950212
test_mae_171100051104,3,0.006377960089594126
test_mae_171100051104,4,0.007152589503675699
test_mae_171100051104,5,0.0065781120210886
test_mae_171100051104,6,0.006577869411557913
test_mae_171100051104,7,0.0069738756865262985
test_mae_171100051104,8,0.006658017169684172
test_mae_171100051104,9,0.0063157519325613976
train_mse_171100051104,0,0.00042563906754367054
train_mse_171100051104,1,0.00010160238161915913
train_mse_171100051104,2,8.958260877989233e-05
train_mse_171100051104,3,9.596014569979161e-05
train_mse_171100051104,4,7.064979581627995e-05
train_mse_171100051104,5,7.660988921998069e-05
train_mse_171100051104,6,6.844047311460599e-05
train_mse_171100051104,7,6.197394395712763e-05
train_mse_171100051104,8,0.00011969735351158306
train_mse_171100051104,9,6.400396523531526e-05
train_r2_171100051104,0,0.37279558181762695
train_r2_171100051104,1,0.8502828478813171
train_r2_171100051104,2,0.8679947257041931
train_r2_171100051104,3,0.8585970401763916
train_r2_171100051104,4,0.8958933353424072
train_r2_171100051104,5,0.8871107697486877
train_r2_171100051104,6,0.8991488814353943
train_r2_171100051104,7,0.9086776971817017
train_r2_171100051104,8,0.8236188292503357
train_r2_171100051104,9,0.9056863784790039
test_mae_171100090602,0,0.019543340429663658
test_mae_171100090602,1,0.018784191459417343
test_mae_171100090602,2,0.01930641010403633
test_mae_171100090602,3,0.02160847745835781
test_mae_171100090602,4,0.020233163610100746
test_mae_171100090602,5,0.020251601934432983
test_mae_171100090602,6,0.019905196502804756
test_mae_171100090602,7,0.0210128091275692
test_mae_171100090602,8,0.020836280658841133
test_mae_171100090602,9,0.020071614533662796
test_mse_170300030303,0,0.00010594681225484237
test_mse_170300030303,1,0.00010854888387257233
test_mse_170300030303,2,0.00010262501746183261
test_mse_170300030303,3,0.00011198315769433975
test_mse_170300030303,4,0.00010404951899545267
test_mse_170300030303,5,0.00010326721530873328
test_mse_170300030303,6,9.078346192836761e-05
test_mse_170300030303,7,9.448587661609054e-05
test_mse_170300030303,8,9.773966303328052e-05
test_mse_170300030303,9,0.00010611710604280233
test_kge_170200110604,0,0.8279885529388898
test_kge_170200110604,1,0.9552365793923498
test_kge_170200110604,2,0.7680123433183564
test_kge_170200110604,3,0.9550381451888799
test_kge_170200110604,4,0.8939697395443819
test_kge_170200110604,5,0.9542240241176561
test_kge_170200110604,6,0.939094289406841
test_kge_170200110604,7,0.9589058329572613
test_kge_170200110604,8,0.9349293678110808
test_kge_170200110604,9,0.955756177463448
test_r2_170200110604,0,0.9167789220809937
test_r2_170200110604,1,0.9332355260848999
test_r2_170200110604,2,0.9132274985313416
test_r2_170200110604,3,0.936034083366394
test_r2_170200110604,4,0.9352549910545349
test_r2_170200110604,5,0.9403204321861267
test_r2_170200110604,6,0.9352025985717773
test_r2_170200110604,7,0.9378057718276978
test_r2_170200110604,8,0.9404290914535522
test_r2_170200110604,9,0.9365900754928589
train_mse_170200110701,0,0.0002531781210564077
train_mse_170200110701,1,0.00031594510073773563
train_mse_170200110701,2,0.00023462991521228105
train_mse_170200110701,3,0.00023060734383761883
train_mse_170200110701,4,0.00025043822824954987
train_mse_170200110701,5,0.00023711759422440082
train_mse_170200110701,6,0.0002292127610417083
train_mse_170200110701,7,0.00024789050803519785
train_mse_170200110701,8,0.00028287858003750443
train_mse_170200110701,9,0.0003226213448215276
test_mse_170200110705,0,0.000636196113191545
test_mse_170200110705,1,0.0005569594213739038
test_mse_170200110705,2,0.000543315545655787
test_mse_170200110705,3,0.0005277081509120762
test_mse_170200110705,4,0.0005824913387186825
test_mse_170200110705,5,0.0005506580928340554
test_mse_170200110705,6,0.0005508359172381461
test_mse_170200110705,7,0.0005249395617283881
test_mse_170200110705,8,0.0005510643240995705
test_mse_170200110705,9,0.0005267404485493898
test_mae_170200110708,0,0.004460781347006559
test_mae_170200110708,1,0.004529872909188271
test_mae_170200110708,2,0.004523286130279303
test_mae_170200110708,3,0.004536966793239117
test_mae_170200110708,4,0.004601394757628441
test_mae_170200110708,5,0.004586655180901289
test_mae_170200110708,6,0.004795524757355452
test_mae_170200110708,7,0.0049934182316064835
test_mae_170200110708,8,0.004832093138247728
test_mae_170200110708,9,0.004874120000749826
train_mse_170200110705,0,0.0002758801856543869
train_mse_170200110705,1,0.00026096205692738295
train_mse_170200110705,2,0.00025473066489212215
train_mse_170200110705,3,0.0002861456014215946
train_mse_170200110705,4,0.00036034893128089607
train_mse_170200110705,5,0.0002461626136209816
train_mse_170200110705,6,0.0003408574848435819
train_mse_170200110705,7,0.00026277656434103847
train_mse_170200110705,8,0.00025463037309236825
train_mse_170200110705,9,0.0002706472296267748
train_mse_171100050607,0,0.0011853012256324291
train_mse_171100050607,1,0.0009239828214049339
train_mse_171100050607,2,0.0010554668260738254
train_mse_171100050607,3,0.0011641382006928325
train_mse_171100050607,4,0.0015470607904717326
train_mse_171100050607,5,0.0010237385286018252
train_mse_171100050607,6,0.0009539016173221171
train_mse_171100050607,7,0.0009261082741431892
train_mse_171100050607,8,0.0010989573784172535
train_mse_171100050607,9,0.0010462220525369048
train_kge_171100090503,0,0.8958382267718454
train_kge_171100090503,1,0.8957727136909042
train_kge_171100090503,2,0.8069196881249862
train_kge_171100090503,3,0.8405156008847148
train_kge_171100090503,4,0.8317861645596406
train_kge_171100090503,5,0.8755018733918473
train_kge_171100090503,6,0.8698660902802491
train_kge_171100090503,7,0.9273567690807532
train_kge_171100090503,8,0.7124153523915187
train_kge_171100090503,9,0.9202699074884072
train_mse_170200110708,0,6.795388617319986e-05
train_mse_170200110708,1,5.158932981430553e-05
train_mse_170200110708,2,4.895329038845375e-05
train_mse_170200110708,3,5.2651448640972376e-05
train_mse_170200110708,4,5.2935843996237963e-05
train_mse_170200110708,5,5.288770262268372e-05
train_mse_170200110708,6,5.9114041505381465e-05
train_mse_170200110708,7,5.9908237744821236e-05
train_mse_170200110708,8,5.5453616369049996e-05
train_mse_170200110708,9,5.590296132140793e-05
train_r2_170200110706,0,0.9596650004386902
train_r2_170200110706,1,0.9609106183052063
train_r2_170200110706,2,0.9508598446846008
train_r2_170200110706,3,0.9600183367729187
train_r2_170200110706,4,0.9549952149391174
train_r2_170200110706,5,0.9492453932762146
train_r2_170200110706,6,0.9577929377555847
train_r2_170200110706,7,0.9567978382110596
train_r2_170200110706,8,0.9587691426277161
train_r2_170200110706,9,0.9585198163986206
train_kge_170200110705,0,0.9485077324087434
train_kge_170200110705,1,0.9539272615078987
train_kge_170200110705,2,0.9702557282045111
train_kge_170200110705,3,0.9744183708729657
train_kge_170200110705,4,0.8614460375933464
train_kge_170200110705,5,0.980451113643404
train_kge_170200110705,6,0.9064823569198515
train_kge_170200110705,7,0.9704994232282891
train_kge_170200110705,8,0.9587781973477983
train_kge_170200110705,9,0.9785611185513265
test_r2_170200090206,0,0.9460263848304749
test_r2_170200090206,1,0.951683759689331
test_r2_170200090206,2,0.9519737958908081
test_r2_170200090206,3,0.9535430669784546
test_r2_170200090206,4,0.9596045017242432
test_r2_170200090206,5,0.9625668525695801
test_r2_170200090206,6,0.9608279466629028
test_r2_170200090206,7,0.9579358100891113
test_r2_170200090206,8,0.9616655111312866
test_r2_170200090206,9,0.9570804238319397
train_mae_170200110708,0,0.004099870100617409
train_mae_170200110708,1,0.0034117726609110832
train_mae_170200110708,2,0.0031783326994627714
