Metric,Step,Value
test_mae_171100060105,0,0.07860057801008224
test_mae_171100060105,1,0.058799080550670624
test_mae_171100060105,2,0.1960829198360443
test_mae_171100060105,3,0.06877738237380981
test_mae_171100060105,4,0.06102779880166054
test_mae_171100060105,5,0.04125584289431572
test_mae_171100060105,6,0.055440716445446014
test_mae_171100060105,7,0.08371725678443909
test_mae_171100060105,8,0.048457689583301544
test_mae_171100060105,9,0.04837939515709877
test_r2_170200110109,0,0.8678147196769714
test_r2_170200110109,1,0.8885188102722168
test_r2_170200110109,2,0.2408422827720642
test_r2_170200110109,3,0.9378846883773804
test_r2_170200110109,4,0.7595688104629517
test_r2_170200110109,5,0.9128648638725281
test_r2_170200110109,6,0.8328450322151184
test_r2_170200110109,7,0.6568751335144043
test_r2_170200110109,8,0.939132809638977
test_r2_170200110109,9,0.9612774848937988
test_mse_170300010302,0,0.01873873919248581
test_mse_170300010302,1,0.005155233666300774
test_mse_170300010302,2,0.070589080452919
test_mse_170300010302,3,0.02081540785729885
test_mse_170300010302,4,0.011358274146914482
test_mse_170300010302,5,0.005719671957194805
test_mse_170300010302,6,0.008838901296257973
test_mse_170300010302,7,0.01799851283431053
test_mse_170300010302,8,0.015215360559523106
test_mse_170300010302,9,0.009884840808808804
test_mse_170200110104,0,0.028422603383660316
test_mse_170200110104,1,0.03544976934790611
test_mse_170200110104,2,0.11724206060171127
test_mse_170200110104,3,0.010353435762226582
test_mse_170200110104,4,0.0556030347943306
test_mse_170200110104,5,0.026723302900791168
test_mse_170200110104,6,0.03755798935890198
test_mse_170200110104,7,0.0876040831208229
test_mse_170200110104,8,0.010676009580492973
test_mse_170200110104,9,0.01351375225931406
test_kge_170200100202,0,0.9260069187770794
test_kge_170200100202,1,0.8831091279729162
test_kge_170200100202,2,0.6530648792548696
test_kge_170200100202,3,0.786105954770133
test_kge_170200100202,4,0.6869924293569417
test_kge_170200100202,5,0.9191028323908528
test_kge_170200100202,6,0.8363680858514515
test_kge_170200100202,7,0.5270211922832485
test_kge_170200100202,8,0.816393224234649
test_kge_170200100202,9,0.8096090208991763
test_r2_170300010302,0,0.7996770739555359
test_r2_170300010302,1,0.9448889493942261
test_r2_170300010302,2,0.24538099765777588
test_r2_170300010302,3,0.7774768471717834
test_r2_170300010302,4,0.8785765171051025
test_r2_170300010302,5,0.9388549327850342
test_r2_170300010302,6,0.9055094122886658
test_r2_170300010302,7,0.8075903654098511
test_r2_170300010302,8,0.8373430967330933
test_r2_170300010302,9,0.8943279981613159
test_r2_170200110104,0,0.8289560675621033
test_r2_170200110104,1,0.7866674065589905
test_r2_170200110104,2,0.29445087909698486
test_r2_170200110104,3,0.937694251537323
test_r2_170200110104,4,0.6653873920440674
test_r2_170200110104,5,0.8391822576522827
test_r2_170200110104,6,0.7739803791046143
test_r2_170200110104,7,0.4728087782859802
test_r2_170200110104,8,0.9357529878616333
test_r2_170200110104,9,0.9186757802963257
test_mae_170300010302,0,0.07800798118114471
test_mae_170300010302,1,0.04140779376029968
test_mae_170300010302,2,0.16242006421089172
test_mae_170300010302,3,0.0911652073264122
test_mae_170300010302,4,0.0645405501127243
test_mae_170300010302,5,0.04506678134202957
test_mae_170300010302,6,0.05462310463190079
test_mae_170300010302,7,0.0746900662779808
test_mae_170300010302,8,0.07753469794988632
test_mae_170300010302,9,0.05877756327390671
test_r2_170200110405,0,0.8910413384437561
test_r2_170200110405,1,0.9015283584594727
test_r2_170200110405,2,0.7674260139465332
test_r2_170200110405,3,0.8478193879127502
test_r2_170200110405,4,0.8910952806472778
test_r2_170200110405,5,0.9280778765678406
test_r2_170200110405,6,0.9304406642913818
test_r2_170200110405,7,0.7869800329208374
test_r2_170200110405,8,0.8449467420578003
test_r2_170200110405,9,0.8431013226509094
test_mse_170200110702,0,0.01391653437167406
test_mse_170200110702,1,0.017109155654907227
test_mse_170200110702,2,0.064419224858284
test_mse_170200110702,3,0.008378567174077034
test_mse_170200110702,4,0.022374305874109268
test_mse_170200110702,5,0.00988366361707449
test_mse_170200110702,6,0.014009471982717514
test_mse_170200110702,7,0.04275147616863251
test_mse_170200110702,8,0.006153665017336607
test_mse_170200110702,9,0.009193175472319126
test_mse_170200110303,0,0.010744505561888218
test_mse_170200110303,1,0.008588098920881748
test_mse_170200110303,2,0.05242685228586197
test_mse_170200110303,3,0.015377509407699108
test_mse_170200110303,4,0.011387561447918415
test_mse_170200110303,5,0.004595460370182991
test_mse_170200110303,6,0.007345351856201887
test_mse_170200110303,7,0.023406995460391045
test_mse_170200110303,8,0.010529941879212856
test_mse_170200110303,9,0.009462941437959671
test_kge_171100050707,0,0.5751616096685617
test_kge_171100050707,1,0.4963737452058985
test_kge_171100050707,2,-0.14346879011554559
test_kge_171100050707,3,0.682449523723667
test_kge_171100050707,4,0.36034673858185107
test_kge_171100050707,5,0.5123682833652307
test_kge_171100050707,6,0.39830041759485924
test_kge_171100050707,7,0.21733675922852247
test_kge_171100050707,8,0.6216076770779693
test_kge_171100050707,9,0.6074471334981169
test_mse_170300010301,0,0.019127337262034416
test_mse_170300010301,1,0.00892942026257515
test_mse_170300010301,2,0.11467476189136505
test_mse_170300010301,3,0.015841083601117134
test_mse_170300010301,4,0.015491236932575703
test_mse_170300010301,5,0.006204341072589159
test_mse_170300010301,6,0.014522925950586796
test_mse_170300010301,7,0.026653001084923744
test_mse_170300010301,8,0.011228647083044052
test_mse_170300010301,9,0.0070547619834542274
test_kge_171100080202,0,-0.6795683281133833
test_kge_171100080202,1,-0.11603487565081028
test_kge_171100080202,2,-0.40473327563703165
test_kge_171100080202,3,-1.1455362583064916
test_kge_171100080202,4,-0.22496131889823312
test_kge_171100080202,5,-0.2030051382778031
test_kge_171100080202,6,0.23623188072237533
test_kge_171100080202,7,0.681292836534245
test_kge_171100080202,8,-0.5342220602227126
test_kge_171100080202,9,-0.07579796822311513
test_mse_171100050604,0,0.00808132253587246
test_mse_171100050604,1,0.011046350002288818
test_mse_171100050604,2,0.050383396446704865
test_mse_171100050604,3,0.01772448979318142
test_mse_171100050604,4,0.009895674884319305
test_mse_171100050604,5,0.003961676266044378
test_mse_171100050604,6,0.006377892103046179
test_mse_171100050604,7,0.021146036684513092
test_mse_171100050604,8,0.015184146352112293
test_mse_171100050604,9,0.013757331296801567
test_kge_170200110105,0,0.26943156173508365
test_kge_170200110105,1,0.6200651043691731
test_kge_170200110105,2,0.383884986033986
test_kge_170200110105,3,-0.04765653641767309
test_kge_170200110105,4,0.794661530534459
test_kge_170200110105,5,0.4885401030561741
test_kge_170200110105,6,0.7903036707452695
test_kge_170200110105,7,0.7436922247229549
test_kge_170200110105,8,0.26580988892514035
test_kge_170200110105,9,0.3873023855237401
test_r2_170200110105,0,0.37163490056991577
test_r2_170200110105,1,0.7601111531257629
test_r2_170200110105,2,0.31607502698898315
test_r2_170200110105,3,-0.18001842498779297
test_r2_170200110105,4,0.7980682849884033
test_r2_170200110105,5,0.7135052680969238
test_r2_170200110105,6,0.8647626042366028
test_r2_170200110105,7,0.9112950563430786
test_r2_170200110105,8,0.4016683101654053
test_r2_170200110105,9,0.5973291397094727
test_mse_170200110109,0,0.021654177457094193
test_mse_170200110109,1,0.018262499943375587
test_mse_170200110109,2,0.12436284124851227
test_mse_170200110109,3,0.01017554011195898
test_mse_170200110109,4,0.03938668966293335
test_mse_170200110109,5,0.01427420787513256
test_mse_170200110109,6,0.027382802218198776
test_mse_170200110109,7,0.05620964616537094
test_mse_170200110109,8,0.009971070103347301
test_mse_170200110109,9,0.00634340662509203
test_mse_170200110304,0,0.012721224687993526
test_mse_170200110304,1,0.013091228902339935
test_mse_170200110304,2,0.05812378227710724
test_mse_170200110304,3,0.013087231665849686
test_mse_170200110304,4,0.01766565442085266
test_mse_170200110304,5,0.007075687404721975
test_mse_170200110304,6,0.009947551414370537
test_mse_170200110304,7,0.03231646120548248
test_mse_170200110304,8,0.009994033724069595
test_mse_170200110304,9,0.010699983686208725
test_kge_170200110702,0,0.8122564387679306
test_kge_170200110702,1,0.7333131492877796
test_kge_170200110702,2,0.42989223663351817
test_kge_170200110702,3,0.8954949618381255
test_kge_170200110702,4,0.5832343182850688
test_kge_170200110702,5,0.801769069798794
test_kge_170200110702,6,0.6964957929033864
test_kge_170200110702,7,0.4046589291335887
test_kge_170200110702,8,0.9349084800594526
test_kge_170200110702,9,0.8825226882061228
test_mae_170200110104,0,0.10902322828769684
test_mae_170200110104,1,0.12450048327445984
test_mae_170200110104,2,0.22884920239448547
test_mae_170200110104,3,0.0682612955570221
test_mae_170200110104,4,0.16865988075733185
test_mae_170200110104,5,0.11594267189502716
test_mae_170200110104,6,0.1418386548757553
test_mae_170200110104,7,0.2116675078868866
test_mae_170200110104,8,0.06970155239105225
test_mae_170200110104,9,0.07576390355825424
test_r2_170200090110,0,0.9281237721443176
test_r2_170200090110,1,0.9429025650024414
test_r2_170200090110,2,0.45977067947387695
test_r2_170200090110,3,0.914252758026123
test_r2_170200090110,4,0.8356852531433105
test_r2_170200090110,5,0.9558119773864746
test_r2_170200090110,6,0.9113301634788513
test_r2_170200090110,7,0.6956924200057983
test_r2_170200090110,8,0.9245247840881348
test_r2_170200090110,9,0.9645906686782837
test_kge_171100080107,0,0.5767205864592428
test_kge_171100080107,1,0.8376903922575627
test_kge_171100080107,2,-0.46751435360207916
test_kge_171100080107,3,0.31163308507312326
test_kge_171100080107,4,0.7152251108022509
test_kge_171100080107,5,0.8674744581550151
test_kge_171100080107,6,0.8229716382108533
test_kge_171100080107,7,0.6114856185005018
test_kge_171100080107,8,0.5855069627111079
test_kge_171100080107,9,0.8471028636976408
test_kge_171100090101,0,0.5014553638057522
test_kge_171100090101,1,0.4654441166698261
test_kge_171100090101,2,0.030078348758480478
test_kge_171100090101,3,0.6289338079405153
test_kge_171100090101,4,0.320752588689154
test_kge_171100090101,5,0.48926960123671204
test_kge_171100090101,6,0.36359464663399454
test_kge_171100090101,7,0.24366248543687963
test_kge_171100090101,8,0.5845962634643828
test_kge_171100090101,9,0.5993881835600152
test_mse_171100090201,0,0.022298607975244522
test_mse_171100090201,1,0.021648447960615158
test_mse_171100090201,2,0.16303308308124542
test_mse_171100090201,3,0.008734921924769878
test_mse_171100090201,4,0.03768511116504669
test_mse_171100090201,5,0.014788751490414143
