Metric,Step,Value
test_mse_170200110306,0,0.00369331450201571
test_mse_170200110306,1,0.004314161371439695
test_mse_170200110306,2,0.0038945290725678205
test_mse_170200110306,3,0.004113864619284868
test_mse_170200110306,4,0.00387424323707819
test_mse_170200110306,5,0.003825852181762457
test_mse_170200110306,6,0.003974275663495064
test_mse_170200110306,7,0.003885209560394287
test_mse_170200110306,8,0.0036146121565252542
test_mse_170200110306,9,0.003918529488146305
test_mse_170200110304,0,0.007458741310983896
test_mse_170200110304,1,0.007515614852309227
test_mse_170200110304,2,0.00699238944798708
test_mse_170200110304,3,0.007421073503792286
test_mse_170200110304,4,0.006917240563780069
test_mse_170200110304,5,0.00708323810249567
test_mse_170200110304,6,0.008006659336388111
test_mse_170200110304,7,0.007320881821215153
test_mse_170200110304,8,0.006716924253851175
test_mse_170200110304,9,0.007564216386526823
train_kge_170200090203,0,0.9730268932553139
train_kge_170200090203,1,0.9899332704070282
train_kge_170200090203,2,0.9813087239321359
train_kge_170200090203,3,0.9830776318828751
train_kge_170200090203,4,0.986496972368805
train_kge_170200090203,5,0.9796469034811057
train_kge_170200090203,6,0.9790499099369783
train_kge_170200090203,7,0.9870794469994755
train_kge_170200090203,8,0.9903785032581875
train_kge_170200090203,9,0.9906175358564353
test_r2_170200090114,0,0.938620924949646
test_r2_170200090114,1,0.9456146955490112
test_r2_170200090114,2,0.9493961334228516
test_r2_170200090114,3,0.9500613212585449
test_r2_170200090114,4,0.9438375234603882
test_r2_170200090114,5,0.9463573694229126
test_r2_170200090114,6,0.9422323107719421
test_r2_170200090114,7,0.9462137818336487
test_r2_170200090114,8,0.9467536807060242
test_r2_170200090114,9,0.9436337947845459
test_kge_170200110303,0,0.9327637829899688
test_kge_170200110303,1,0.903603004357376
test_kge_170200110303,2,0.9216527234710236
test_kge_170200110303,3,0.9194863820937549
test_kge_170200110303,4,0.9060247390343267
test_kge_170200110303,5,0.9211349607101557
test_kge_170200110303,6,0.9252252951775504
test_kge_170200110303,7,0.916822033387585
test_kge_170200110303,8,0.920571578840449
test_kge_170200110303,9,0.9251136266375941
train_mae_170200110303,0,0.015088600106537342
train_mae_170200110303,1,0.014744259417057037
train_mae_170200110303,2,0.01337643526494503
train_mae_170200110303,3,0.013171212747693062
train_mae_170200110303,4,0.013490342535078526
train_mae_170200110303,5,0.012964097782969475
train_mae_170200110303,6,0.012749982997775078
train_mae_170200110303,7,0.012726406566798687
train_mae_170200110303,8,0.012700208462774754
train_mae_170200110303,9,0.013518505729734898
test_mse_171100050701,0,0.010746720246970654
test_mse_171100050701,1,0.011875816620886326
test_mse_171100050701,2,0.010255366563796997
test_mse_171100050701,3,0.011755787767469883
test_mse_171100050701,4,0.011699709109961987
test_mse_171100050701,5,0.012871264480054379
test_mse_171100050701,6,0.012102671898901463
test_mse_171100050701,7,0.012172192335128784
test_mse_171100050701,8,0.01191567163914442
test_mse_171100050701,9,0.01182146742939949
test_r2_171100050701,0,0.9466373324394226
test_r2_171100050701,1,0.9410308599472046
test_r2_171100050701,2,0.9490771889686584
test_r2_171100050701,3,0.9416268467903137
test_r2_171100050701,4,0.9419053196907043
test_r2_171100050701,5,0.936087965965271
test_r2_171100050701,6,0.9399043917655945
test_r2_171100050701,7,0.9395592212677002
test_r2_171100050701,8,0.9408329725265503
test_r2_171100050701,9,0.9413007497787476
test_kge_171100050704,0,0.8353380012766798
test_kge_171100050704,1,0.8099280101469672
test_kge_171100050704,2,0.8007956676675574
test_kge_171100050704,3,0.8280274367395009
test_kge_171100050704,4,0.8297134068956168
test_kge_171100050704,5,0.8323769241916008
test_kge_171100050704,6,0.8371284998113756
test_kge_171100050704,7,0.823614673500337
test_kge_171100050704,8,0.8242964259450298
test_kge_171100050704,9,0.8537097961380711
test_mae_171100050606,0,0.07071682065725327
test_mae_171100050606,1,0.06969232112169266
test_mae_171100050606,2,0.06920595467090607
test_mae_171100050606,3,0.0681258961558342
test_mae_171100050606,4,0.06969564408063889
test_mae_171100050606,5,0.06882249563932419
test_mae_171100050606,6,0.0677548423409462
test_mae_171100050606,7,0.06830580532550812
test_mae_171100050606,8,0.06712239235639572
test_mae_171100050606,9,0.06685272604227066
test_r2_171100050704,0,0.8530800342559814
test_r2_171100050704,1,0.8499007225036621
test_r2_171100050704,2,0.8375391960144043
test_r2_171100050704,3,0.8463494181632996
test_r2_171100050704,4,0.8481744527816772
test_r2_171100050704,5,0.8523693084716797
test_r2_171100050704,6,0.8506379127502441
test_r2_171100050704,7,0.8528838753700256
test_r2_171100050704,8,0.8502964973449707
test_r2_171100050704,9,0.8592827320098877
train_mae_171100050704,0,0.01877721957862377
train_mae_171100050704,1,0.019031468778848648
train_mae_171100050704,2,0.017833286896348
train_mae_171100050704,3,0.017588604241609573
train_mae_171100050704,4,0.017201950773596764
train_mae_171100050704,5,0.017262769863009453
train_mae_171100050704,6,0.017203304916620255
train_mae_171100050704,7,0.01727561466395855
train_mae_171100050704,8,0.016990026459097862
train_mae_171100050704,9,0.01670899987220764
<<<<<<< HEAD
train_r2_171100060102,0,0.992499828338623
train_r2_171100060102,1,0.9932329058647156
train_r2_171100060102,2,0.9929792284965515
train_r2_171100060102,3,0.9924190044403076
train_r2_171100060102,4,0.9923346042633057
train_r2_171100060102,5,0.9928725361824036
train_r2_171100060102,6,0.9930046796798706
train_r2_171100060102,7,0.993452250957489
train_r2_171100060102,8,0.9921689629554749
train_r2_171100060102,9,0.9930230975151062
train_kge_171100060104,0,0.9777564299968255
train_kge_171100060104,1,0.9851221058992049
train_kge_171100060104,2,0.9715272807505525
train_kge_171100060104,3,0.9735849162987356
train_kge_171100060104,4,0.9852328013805035
train_kge_171100060104,5,0.9856242682784644
train_kge_171100060104,6,0.985815096178888
train_kge_171100060104,7,0.9775867263129154
train_kge_171100060104,8,0.9753796504566494
train_kge_171100060104,9,0.9728615716241859
train_r2_171100090104,0,0.9875738620758057
train_r2_171100090104,1,0.9895873069763184
train_r2_171100090104,2,0.9900729656219482
train_r2_171100090104,3,0.9905760288238525
train_r2_171100090104,4,0.9908348321914673
train_r2_171100090104,5,0.9913046360015869
train_r2_171100090104,6,0.9912122488021851
train_r2_171100090104,7,0.9916132688522339
train_r2_171100090104,8,0.9912621974945068
train_r2_171100090104,9,0.9915797114372253
=======
>>>>>>> 19dfa0007584672f491ddeb4f3ac111191299c15
test_mae_170200090114,0,0.024723343551158905
test_mae_170200090114,1,0.023838622495532036
test_mae_170200090114,2,0.022396598011255264
test_mae_170200090114,3,0.02253277413547039
test_mae_170200090114,4,0.022639168426394463
test_mae_170200090114,5,0.024166414514183998
test_mae_170200090114,6,0.02321670949459076
test_mae_170200090114,7,0.02251497469842434
test_mae_170200090114,8,0.023059910163283348
test_mae_170200090114,9,0.023041967302560806
test_kge_170200090204,0,0.9318628677353088
test_kge_170200090204,1,0.9438318412141404
test_kge_170200090204,2,0.9235171453838872
test_kge_170200090204,3,0.9259458718984772
test_kge_170200090204,4,0.9290176459477878
test_kge_170200090204,5,0.9295309256667141
test_kge_170200090204,6,0.9199881175538163
test_kge_170200090204,7,0.9432933846150069
test_kge_170200090204,8,0.9216201119642231
test_kge_170200090204,9,0.9407874768783985
test_mae_170200110303,0,0.05048982799053192
test_mae_170200110303,1,0.05386718362569809
test_mae_170200110303,2,0.04937731847167015
test_mae_170200110303,3,0.050190482288599014
test_mae_170200110303,4,0.05192617326974869
test_mae_170200110303,5,0.04941742122173309
test_mae_170200110303,6,0.048495691269636154
test_mae_170200110303,7,0.05066031962633133
test_mae_170200110303,8,0.05061614513397217
test_mae_170200110303,9,0.04923740401864052
train_mse_170200110305,0,0.0006033070967532694
train_mse_170200110305,1,0.0004935658071190119
train_mse_170200110305,2,0.0005400942754931748
train_mse_170200110305,3,0.00048165375483222306
train_mse_170200110305,4,0.0004915922763757408
train_mse_170200110305,5,0.0004510468279477209
train_mse_170200110305,6,0.0004724655591417104
train_mse_170200110305,7,0.00044474576134234667
train_mse_170200110305,8,0.0004637268139049411
train_mse_170200110305,9,0.00046631606528535485
train_r2_171100050701,0,0.9820610284805298
train_r2_171100050701,1,0.9822337627410889
train_r2_171100050701,2,0.9840224981307983
train_r2_171100050701,3,0.9831711053848267
train_r2_171100050701,4,0.9834492206573486
train_r2_171100050701,5,0.9833617806434631
train_r2_171100050701,6,0.9845126271247864
train_r2_171100050701,7,0.9838274717330933
train_r2_171100050701,8,0.9842371940612793
train_r2_171100050701,9,0.9839443564414978
train_mse_170200090114,0,0.0006898555438965559
train_mse_170200090114,1,0.0005524434382095933
train_mse_170200090114,2,0.0005131005891598761
train_mse_170200090114,3,0.00048395138583146036
train_mse_170200090114,4,0.0005856279749423265
train_mse_170200090114,5,0.0005046208389103413
train_mse_170200090114,6,0.0005354593740776181
train_mse_170200090114,7,0.0004705543688032776
train_mse_170200090114,8,0.00042411134927533567
train_mse_170200090114,9,0.0004767669306602329
<<<<<<< HEAD
train_kge_171100060101,0,0.9657529703811548
train_kge_171100060101,1,0.9768698448453668
train_kge_171100060101,2,0.9748560865592933
train_kge_171100060101,3,0.9847692496724324
train_kge_171100060101,4,0.9792329663431861
train_kge_171100060101,5,0.9831505355114143
train_kge_171100060101,6,0.9939043145114166
train_kge_171100060101,7,0.9886821100073994
train_kge_171100060101,8,0.9828871287316332
train_kge_171100060101,9,0.9809220799962473
=======
>>>>>>> 19dfa0007584672f491ddeb4f3ac111191299c15
