Metric,Step,Value
train_mse_170200090102,0,0.02523161843419075
train_mse_170200090102,1,0.02391263097524643
train_mse_170200090102,2,0.02093345858156681
train_mse_170200090102,3,0.020255625247955322
train_mse_170200090102,4,0.02037416771054268
train_mse_170200090102,5,0.03246696665883064
train_mse_170200090102,6,0.030423132702708244
train_mse_170200090102,7,0.02591109275817871
train_mse_170200090102,8,0.023694587871432304
train_mse_170200090102,9,0.023040132597088814
train_mse_170200090101,0,0.0672304555773735
train_mse_170200090101,1,0.04968736693263054
train_mse_170200090101,2,0.05404334515333176
train_mse_170200090101,3,0.06413805484771729
train_mse_170200090101,4,0.048165544867515564
train_mse_170200090101,5,0.045002344995737076
train_mse_170200090101,6,0.03510836511850357
train_mse_170200090101,7,0.04916758090257645
train_mse_170200090101,8,0.04486320540308952
train_mse_170200090101,9,0.04396488144993782
test_mae_170200090102,0,0.09660231322050095
test_mae_170200090102,1,0.09563543647527695
test_mae_170200090102,2,0.09164789319038391
test_mae_170200090102,3,0.08979608863592148
test_mae_170200090102,4,0.09279454499483109
test_mae_170200090102,5,0.10046990215778351
test_mae_170200090102,6,0.09021006524562836
test_mae_170200090102,7,0.09307622164487839
test_mae_170200090102,8,0.0862579494714737
test_mae_170200090102,9,0.08294796198606491
test_mse_170200090102,0,0.021108780056238174
test_mse_170200090102,1,0.021521344780921936
test_mse_170200090102,2,0.019804785028100014
test_mse_170200090102,3,0.020010411739349365
test_mse_170200090102,4,0.023167992010712624
test_mse_170200090102,5,0.024673540145158768
test_mse_170200090102,6,0.020893989130854607
test_mse_170200090102,7,0.02092834562063217
test_mse_170200090102,8,0.01738116890192032
test_mse_170200090102,9,0.018369868397712708
train_r2_170200090101,0,0.6286804676055908
train_r2_170200090101,1,0.7255724668502808
train_r2_170200090101,2,0.7015140056610107
train_r2_170200090101,3,0.6457601189613342
train_r2_170200090101,4,0.7339776158332825
train_r2_170200090101,5,0.7514482736587524
train_r2_170200090101,6,0.8060935139656067
train_r2_170200090101,7,0.7284432649612427
train_r2_170200090101,8,0.7522166967391968
train_r2_170200090101,9,0.7571782469749451
train_mae_170200090102,0,0.10196821391582489
train_mae_170200090102,1,0.09690168499946594
train_mae_170200090102,2,0.09163997322320938
train_mae_170200090102,3,0.08999443054199219
train_mae_170200090102,4,0.09006824344396591
train_mae_170200090102,5,0.1121419221162796
train_mae_170200090102,6,0.10860072076320648
train_mae_170200090102,7,0.10185961425304413
train_mae_170200090102,8,0.09865452349185944
train_mae_170200090102,9,0.09412144869565964
train_kge_170200090102,0,0.9017657705500727
train_kge_170200090102,1,0.9227516123667898
train_kge_170200090102,2,0.9432953701627536
train_kge_170200090102,3,0.9398688861678869
train_kge_170200090102,4,0.9067172079732303
train_kge_170200090102,5,0.8922569549653495
train_kge_170200090102,6,0.8965925116765093
train_kge_170200090102,7,0.8880712608168477
train_kge_170200090102,8,0.9204099127927186
train_kge_170200090102,9,0.9289145258143194
test_kge_170200090101,0,0.7853343588110471
test_kge_170200090101,1,0.8632378201762501
test_kge_170200090101,2,0.8563054123027767
test_kge_170200090101,3,0.5943887913379355
test_kge_170200090101,4,0.7424098863438894
test_kge_170200090101,5,0.8134830386728427
test_kge_170200090101,6,0.9043097635354436
test_kge_170200090101,7,0.8059453274890993
test_kge_170200090101,8,0.8481434606015024
test_kge_170200090101,9,0.8410395650899029
train_r2_170200090102,0,0.8632282614707947
train_r2_170200090102,1,0.8703780174255371
train_r2_170200090102,2,0.8865270614624023
train_r2_170200090102,3,0.8902013897895813
train_r2_170200090102,4,0.8895587921142578
train_r2_170200090102,5,0.8240079879760742
train_r2_170200090102,6,0.8350868821144104
train_r2_170200090102,7,0.859545111656189
train_r2_170200090102,8,0.8715599775314331
train_r2_170200090102,9,0.8751075267791748
test_mse_170200090101,0,0.05575141683220863
test_mse_170200090101,1,0.043752752244472504
test_mse_170200090101,2,0.040873169898986816
test_mse_170200090101,3,0.05567627400159836
test_mse_170200090101,4,0.04441743344068527
test_mse_170200090101,5,0.03879578039050102
test_mse_170200090101,6,0.032691143453121185
test_mse_170200090101,7,0.03985484316945076
test_mse_170200090101,8,0.03829414024949074
test_mse_170200090101,9,0.036655690521001816
train_kge_170200090101,0,0.7523330531395498
train_kge_170200090101,1,0.8531127082902373
train_kge_170200090101,2,0.8205113988091285
train_kge_170200090101,3,0.5760436786071127
train_kge_170200090101,4,0.7330553664714632
train_kge_170200090101,5,0.8126802514574101
train_kge_170200090101,6,0.9030748133651331
train_kge_170200090101,7,0.7916434075830265
train_kge_170200090101,8,0.8439229508027222
train_kge_170200090101,9,0.8618226669747824
test_mae_170200090101,0,0.1612526923418045
test_mae_170200090101,1,0.14240971207618713
test_mae_170200090101,2,0.13405443727970123
test_mae_170200090101,3,0.17570199072360992
test_mae_170200090101,4,0.13332659006118774
test_mae_170200090101,5,0.12837223708629608
test_mae_170200090101,6,0.12122597545385361
test_mae_170200090101,7,0.1374257504940033
test_mae_170200090101,8,0.13445794582366943
test_mae_170200090101,9,0.1320929080247879
train_mae_170200090101,0,0.17151296138763428
train_mae_170200090101,1,0.1459253579378128
train_mae_170200090101,2,0.14768284559249878
train_mae_170200090101,3,0.1818152815103531
train_mae_170200090101,4,0.1307913362979889
train_mae_170200090101,5,0.13790129125118256
train_mae_170200090101,6,0.11960689723491669
