Metric,Step,Value
train_mae_170300030102,0,0.011154365725815296
train_mae_170300030102,1,0.010496171191334724
train_mae_170300030102,2,0.009472404606640339
train_mae_170300030102,3,0.009862788021564484
train_mae_170300030102,4,0.009299359284341335
train_mae_170300030102,5,0.00926083792001009
train_mae_170300030102,6,0.008812259882688522
train_mae_170300030102,7,0.00907958671450615
train_mae_170300030102,8,0.009359389543533325
train_mae_170300030102,9,0.00923183187842369
train_r2_170300020206,0,0.9725318551063538
train_r2_170300020206,1,0.9752028584480286
train_r2_170300020206,2,0.9765895009040833
train_r2_170300020206,3,0.9766382575035095
train_r2_170300020206,4,0.9765386581420898
train_r2_170300020206,5,0.9755571484565735
train_r2_170300020206,6,0.9738147854804993
train_r2_170300020206,7,0.9733330607414246
train_r2_170300020206,8,0.9729614853858948
train_r2_170300020206,9,0.9635517001152039
train_r2_170300020309,0,0.9589722156524658
train_r2_170300020309,1,0.9642490744590759
train_r2_170300020309,2,0.9716112613677979
train_r2_170300020309,3,0.9690305590629578
train_r2_170300020309,4,0.9623050689697266
train_r2_170300020309,5,0.9671332836151123
train_r2_170300020309,6,0.9694162607192993
train_r2_170300020309,7,0.9711278676986694
train_r2_170300020309,8,0.9678910970687866
train_r2_170300020309,9,0.9685025811195374
train_mae_170300030103,0,0.010234500281512737
train_mae_170300030103,1,0.010252345353364944
train_mae_170300030103,2,0.010135164484381676
train_mae_170300030103,3,0.010148463770747185
train_mae_170300030103,4,0.009433036670088768
train_mae_170300030103,5,0.009875171817839146
train_mae_170300030103,6,0.010324298404157162
train_mae_170300030103,7,0.010107946582138538
train_mae_170300030103,8,0.009400656446814537
train_mae_170300030103,9,0.010684624314308167
test_r2_170300020306,0,0.9129700064659119
test_r2_170300020306,1,0.9210740327835083
test_r2_170300020306,2,0.9130444526672363
test_r2_170300020306,3,0.9170057773590088
test_r2_170300020306,4,0.9198603630065918
test_r2_170300020306,5,0.915530800819397
test_r2_170300020306,6,0.9187148213386536
test_r2_170300020306,7,0.9191810488700867
test_r2_170300020306,8,0.918628990650177
test_r2_170300020306,9,0.925748884677887
test_kge_170300020309,0,0.9156151436491284
test_kge_170300020309,1,0.9294181804435688
test_kge_170300020309,2,0.9333314287683727
test_kge_170300020309,3,0.9494258431746997
test_kge_170300020309,4,0.9387428053330854
test_kge_170300020309,5,0.9228065699018589
test_kge_170300020309,6,0.9517694579333682
test_kge_170300020309,7,0.9394287215907912
test_kge_170300020309,8,0.9478432546729553
test_kge_170300020309,9,0.9493878925946767
test_mae_170300030103,0,0.013392873108386993
test_mae_170300030103,1,0.01566791720688343
test_mae_170300030103,2,0.014411539770662785
test_mae_170300030103,3,0.01585233211517334
test_mae_170300030103,4,0.01434767059981823
test_mae_170300030103,5,0.013468939810991287
test_mae_170300030103,6,0.01622178591787815
test_mae_170300030103,7,0.016106802970170975
test_mae_170300030103,8,0.014316147193312645
test_mae_170300030103,9,0.013453187420964241
test_mse_170300030102,0,0.0007925439276732504
test_mse_170300030102,1,0.0007785030175000429
test_mse_170300030102,2,0.0005530827329494059
test_mse_170300030102,3,0.0005406136624515057
test_mse_170300030102,4,0.0005433091428130865
test_mse_170300030102,5,0.00046054631820879877
test_mse_170300030102,6,0.0005975198582746089
test_mse_170300030102,7,0.000492385181132704
test_mse_170300030102,8,0.0006774648791179061
test_mse_170300030102,9,0.00047977783833630383
test_kge_170300030102,0,0.7312457927283531
test_kge_170300030102,1,0.7190312852885754
test_kge_170300030102,2,0.857288331511216
test_kge_170300030102,3,0.8865329707808808
test_kge_170300030102,4,0.8650041902578752
test_kge_170300030102,5,0.9155465829932005
test_kge_170300030102,6,0.8393709425858504
test_kge_170300030102,7,0.9167813370918789
test_kge_170300030102,8,0.7485799192382708
test_kge_170300030102,9,0.8665666579310627
test_mae_170300030102,0,0.014957698993384838
test_mae_170300030102,1,0.015230108983814716
test_mae_170300030102,2,0.012624775990843773
test_mae_170300030102,3,0.012442606501281261
test_mae_170300030102,4,0.012614071369171143
test_mae_170300030102,5,0.011798425577580929
test_mae_170300030102,6,0.013259162195026875
test_mae_170300030102,7,0.012016567401587963
test_mae_170300030102,8,0.014344303868710995
test_mae_170300030102,9,0.012072363868355751
train_mae_170300030602,0,0.013727567158639431
train_mae_170300030602,1,0.01338475663214922
train_mae_170300030602,2,0.011481302790343761
train_mae_170300030602,3,0.011961005628108978
train_mae_170300030602,4,0.011677786707878113
train_mae_170300030602,5,0.011951019056141376
train_mae_170300030602,6,0.01141774095594883
train_mae_170300030602,7,0.011197807267308235
train_mae_170300030602,8,0.01100511010736227
train_mae_170300030602,9,0.01122836023569107
test_kge_170300030602,0,0.8535456167907484
test_kge_170300030602,1,0.7880730732948379
test_kge_170300030602,2,0.7535680282506515
test_kge_170300030602,3,0.7887682741692965
test_kge_170300030602,4,0.8194353357657207
test_kge_170300030602,5,0.7766514815976286
test_kge_170300030602,6,0.7283224187117373
test_kge_170300030602,7,0.783336594018494
test_kge_170300030602,8,0.7718269748396097
test_kge_170300030602,9,0.7840208454807764
train_kge_170200100102,0,0.9156719574016711
train_kge_170200100102,1,0.8752173642527658
train_kge_170200100102,2,0.9190387991736616
train_kge_170200100102,3,0.8971070045522911
train_kge_170200100102,4,0.9553894302671304
train_kge_170200100102,5,0.9429660352306908
train_kge_170200100102,6,0.9566980600794124
train_kge_170200100102,7,0.9098813585930194
train_kge_170200100102,8,0.8409316600300648
train_kge_170200100102,9,0.9424676651572982
test_r2_170200100103,0,0.869642436504364
test_r2_170200100103,1,0.8561146259307861
test_r2_170200100103,2,0.8769422769546509
test_r2_170200100103,3,0.8985573649406433
test_r2_170200100103,4,0.8914271593093872
test_r2_170200100103,5,0.8893043398857117
test_r2_170200100103,6,0.857082188129425
test_r2_170200100103,7,0.8858681917190552
test_r2_170200100103,8,0.889396607875824
test_r2_170200100103,9,0.8730705976486206
train_r2_170200100103,0,0.9040508270263672
train_r2_170200100103,1,0.9057810306549072
train_r2_170200100103,2,0.9225001931190491
train_r2_170200100103,3,0.9339553117752075
train_r2_170200100103,4,0.938985288143158
train_r2_170200100103,5,0.9327198266983032
train_r2_170200100103,6,0.9196726083755493
train_r2_170200100103,7,0.9298363924026489
train_r2_170200100103,8,0.9326380491256714
train_r2_170200100103,9,0.9332281947135925
train_mae_170200100103,0,0.011851247400045395
train_mae_170200100103,1,0.011526316404342651
train_mae_170200100103,2,0.010254823602735996
train_mae_170200100103,3,0.009567993693053722
train_mae_170200100103,4,0.009288129396736622
train_mae_170200100103,5,0.009356154128909111
train_mae_170200100103,6,0.01031125895678997
train_mae_170200100103,7,0.00981428474187851
train_mae_170200100103,8,0.009459437802433968
train_mae_170200100103,9,0.009391667321324348
test_mae_170200100102,0,0.023034246638417244
test_mae_170200100102,1,0.02464250847697258
test_mae_170200100102,2,0.0240786150097847
test_mae_170200100102,3,0.024822499603033066
test_mae_170200100102,4,0.021739203482866287
test_mae_170200100102,5,0.0216768067330122
test_mae_170200100102,6,0.020997794345021248
test_mae_170200100102,7,0.022569311782717705
test_mae_170200100102,8,0.02448209933936596
test_mae_170200100102,9,0.02147897146642208
test_kge_170200100101,0,0.8730157260516952
test_kge_170200100101,1,0.8085664016370289
test_kge_170200100101,2,0.8063228655533331
test_kge_170200100101,3,0.8258503038165509
test_kge_170200100101,4,0.7713678967760855
test_kge_170200100101,5,0.7813199854262504
test_kge_170200100101,6,0.8006715989044988
test_kge_170200100101,7,0.8403174993285987
test_kge_170200100101,8,0.8164678356591676
test_kge_170200100101,9,0.8000651476808439
test_mse_170300030103,0,0.0006106057553552091
test_mse_170300030103,1,0.0008075843215920031
test_mse_170300030103,2,0.0006885408074595034
test_mse_170300030103,3,0.0008275114232674241
test_mse_170300030103,4,0.0007013857830315828
test_mse_170300030103,5,0.0006261157686822116
test_mse_170300030103,6,0.0008779675699770451
test_mse_170300030103,7,0.000884273846168071
test_mse_170300030103,8,0.0006957437144592404
test_mse_170300030103,9,0.000622546358499676
train_r2_170300030103,0,0.9528090357780457
train_r2_170300030103,1,0.9530588984489441
train_r2_170300030103,2,0.950577437877655
train_r2_170300030103,3,0.952828586101532
train_r2_170300030103,4,0.9564017057418823
train_r2_170300030103,5,0.9581571221351624
train_r2_170300030103,6,0.9455025792121887
train_r2_170300030103,7,0.9514420032501221
train_r2_170300030103,8,0.9552935361862183
train_r2_170300030103,9,0.9413922429084778
test_kge_170200100205,0,0.8862044642882814
test_kge_170200100205,1,0.7529222675696579
test_kge_170200100205,2,0.8266523568569957
test_kge_170200100205,3,0.8258984535043119
test_kge_170200100205,4,0.8746006463877527
test_kge_170200100205,5,0.9006704554962822
test_kge_170200100205,6,0.8507258767161713
test_kge_170200100205,7,0.815932746087775
test_kge_170200100205,8,0.8036937125924521
test_kge_170200100205,9,0.8359962157956717
train_mae_170200100101,0,0.04061218351125717
train_mae_170200100101,1,0.03698330000042915
train_mae_170200100101,2,0.03379473462700844
train_mae_170200100101,3,0.030492225661873817
train_mae_170200100101,4,0.031090158969163895
train_mae_170200100101,5,0.02980061061680317
train_mae_170200100101,6,0.029668092727661133
train_mae_170200100101,7,0.026649799197912216
train_mae_170200100101,8,0.027041485533118248
train_mae_170200100101,9,0.028160100802779198
test_mse_170200100102,0,0.0017876714700832963
test_mse_170200100102,1,0.002118305768817663
test_mse_170200100102,2,0.0020091822370886803
test_mse_170200100102,3,0.002175645437091589
test_mse_170200100102,4,0.0016985585680231452
test_mse_170200100102,5,0.0016361590242013335
test_mse_170200100102,6,0.0015936187701299787
test_mse_170200100102,7,0.0018574679270386696
test_mse_170200100102,8,0.0021355031058192253
test_mse_170200100102,9,0.0016627268632873893
test_kge_170200100102,0,0.8403193157069259
