Metric,Step,Value
test_mse_170103040601,0,0.0035361789632588625
test_mse_170103040601,1,0.0021150491666048765
test_mse_170103040601,2,0.0016003118362277746
test_mse_170103040601,3,0.0006875103572383523
test_mse_170103040601,4,0.005352327134460211
test_mse_170103040601,5,0.0014448963338509202
test_mse_170103040601,6,0.0032620723359286785
test_mse_170103040601,7,0.009093091823160648
test_mse_170103040601,8,0.0010017364984378219
test_mse_170103040601,9,0.0019696077797561884
test_mse_170103040601,10,0.0018065868644043803
test_mse_170103040601,11,0.001182303880341351
test_mse_170103040601,12,0.0010549698490649462
test_mse_170103040601,13,0.009001604281365871
test_mse_170103040601,14,0.0012459607096388936
test_mse_170103040601,15,0.0008379024220630527
test_mse_170103040601,16,0.003701665671542287
test_mse_170103040601,17,0.001240879180841148
test_mse_170103040601,18,0.016653943806886673
test_mse_170103040601,19,0.011210878379642963
test_mse_170103040601,20,0.0022390377707779408
test_mse_170103040601,21,0.001303341705352068
test_mse_170103040601,22,0.0016921235946938396
test_mse_170103040601,23,0.007610909175127745
test_mse_170103040601,24,0.0022723949514329433
test_mse_170103040601,25,0.13673220574855804
test_mse_170103040601,26,0.059656284749507904
test_mse_170103040601,27,0.011146067641675472
test_mse_170103040601,28,0.00725810369476676
test_mse_170103040601,29,0.024098476395010948
test_kge_170103040601,0,0.4349286973219083
test_kge_170103040601,1,0.6705599347507362
test_kge_170103040601,2,0.8997083563568082
test_kge_170103040601,3,0.8469281099628196
test_kge_170103040601,4,0.33938528473116814
test_kge_170103040601,5,0.8813820462918759
test_kge_170103040601,6,0.596493920547529
test_kge_170103040601,7,-0.025695484779008293
test_kge_170103040601,8,0.7931972123332531
test_kge_170103040601,9,0.6553632601048327
test_kge_170103040601,10,0.6680067660236113
test_kge_170103040601,11,0.8808746857687637
test_kge_170103040601,12,0.9420848866924889
test_kge_170103040601,13,0.08867953020626129
test_kge_170103040601,14,0.7664871371385722
test_kge_170103040601,15,0.9210445352787505
test_kge_170103040601,16,0.6789431241020649
test_kge_170103040601,17,0.9428289567194234
test_kge_170103040601,18,-0.2074112874719365
test_kge_170103040601,19,0.06897294771073059
test_kge_170103040601,20,0.7002882858341156
test_kge_170103040601,21,0.864590767419571
test_kge_170103040601,22,0.9116983591245118
test_kge_170103040601,23,0.19690586177599245
test_kge_170103040601,24,0.8487163545466363
test_kge_170103040601,25,-3.247385876675639
test_kge_170103040601,26,-1.5460344278128826
test_kge_170103040601,27,0.1740395156192006
test_kge_170103040601,28,0.5118377673780077
test_kge_170103040601,29,-0.2537581773773028
test_r2_170103040601,0,0.6781222820281982
test_r2_170103040601,1,0.8074793815612793
test_r2_170103040601,2,0.8543329238891602
test_r2_170103040601,3,0.9374199509620667
test_r2_170103040601,4,0.5128089189529419
test_r2_170103040601,5,0.8684794902801514
test_r2_170103040601,6,0.7030726075172424
test_r2_170103040601,7,0.17230892181396484
test_r2_170103040601,8,0.9088177680969238
test_r2_170103040601,9,0.8207181096076965
test_r2_170103040601,10,0.8355569243431091
test_r2_170103040601,11,0.8923817873001099
test_r2_170103040601,12,0.9039722681045532
test_r2_170103040601,13,0.18063652515411377
test_r2_170103040601,14,0.8865875005722046
test_r2_170103040601,15,0.9237306118011475
test_r2_170103040601,16,0.6630589962005615
test_r2_170103040601,17,0.8870500326156616
test_r2_170103040601,18,-0.515911340713501
test_r2_170103040601,19,-0.020460844039916992
test_r2_170103040601,20,0.7961934804916382
test_r2_170103040601,21,0.8813644051551819
test_r2_170103040601,22,0.8459758758544922
test_r2_170103040601,23,0.307223379611969
test_r2_170103040601,24,0.793157160282135
test_r2_170103040601,25,-11.445934295654297
test_r2_170103040601,26,-4.430163383483887
test_r2_170103040601,27,-0.01456153392791748
test_r2_170103040601,28,0.33933717012405396
test_r2_170103040601,29,-1.1935436725616455
test_mae_170103040601,0,0.03290002793073654
test_mae_170103040601,1,0.02576095052063465
test_mae_170103040601,2,0.021450717002153397
test_mae_170103040601,3,0.01423826813697815
test_mae_170103040601,4,0.038793329149484634
test_mae_170103040601,5,0.02303089015185833
test_mae_170103040601,6,0.03497761860489845
test_mae_170103040601,7,0.059333592653274536
test_mae_170103040601,8,0.017996573820710182
test_mae_170103040601,9,0.02256467007100582
test_mae_170103040601,10,0.0242273211479187
test_mae_170103040601,11,0.02013809233903885
test_mae_170103040601,12,0.01788337156176567
test_mae_170103040601,13,0.05775579810142517
test_mae_170103040601,14,0.018518002703785896
test_mae_170103040601,15,0.015309703536331654
test_mae_170103040601,16,0.03198445588350296
test_mae_170103040601,17,0.019384650513529778
test_mae_170103040601,18,0.08491390943527222
test_mae_170103040601,19,0.06354179978370667
test_mae_170103040601,20,0.024929050356149673
test_mae_170103040601,21,0.019209150224924088
test_mae_170103040601,22,0.02200164645910263
test_mae_170103040601,23,0.05060509592294693
test_mae_170103040601,24,0.026860101148486137
test_mae_170103040601,25,0.2542276382446289
test_mae_170103040601,26,0.15229621529579163
test_mae_170103040601,27,0.0664624497294426
test_mae_170103040601,28,0.04758758097887039
test_mae_170103040601,29,0.0909028872847557
test_mse_171100050603,0,0.0204760879278183
test_mse_171100050603,1,0.004213252104818821
test_mse_171100050603,2,0.005314337555319071
test_mse_171100050603,3,0.0069337752647697926
test_mse_171100050603,4,0.015705643221735954
test_mse_171100050603,5,0.003793454961851239
test_mse_171100050603,6,0.004813276696950197
test_mse_171100050603,7,0.011288627050817013
test_mse_171100050603,8,0.0060802954249084
test_mse_171100050603,9,0.004458819516003132
test_mse_171100050603,10,0.0042283618822693825
test_mse_171100050603,11,0.0048716505989432335
test_mse_171100050603,12,0.00745030352845788
test_mse_171100050603,13,0.012383208610117435
test_mse_171100050603,14,0.00422906456515193
test_mse_171100050603,15,0.004620532505214214
test_mse_171100050603,16,0.013260269537568092
