Metric,Step,Value
test_mse_170200090208,0,0.04912524297833443
test_mse_170200090208,1,0.048905082046985626
test_mse_170200090208,2,0.04714469611644745
test_mse_170200090208,3,0.04181947931647301
test_mse_170200090208,4,0.04311862960457802
test_mse_170200090208,5,0.02497466653585434
test_mse_170200090208,6,0.013814340345561504
test_mse_170200090208,7,0.013939352706074715
test_mse_170200090208,8,0.015488396398723125
test_mse_170200090208,9,0.011544398963451385
test_kge_170200090208,0,0.17235557178002714
test_kge_170200090208,1,0.1653445584320301
test_kge_170200090208,2,0.27451259972924724
test_kge_170200090208,3,0.24098392794725276
test_kge_170200090208,4,0.40678011272708503
test_kge_170200090208,5,0.6083707951046483
test_kge_170200090208,6,0.7786613161089899
test_kge_170200090208,7,0.7670697775734784
test_kge_170200090208,8,0.7571097355665513
test_kge_170200090208,9,0.7284941045341713
test_r2_170200090208,0,-0.23504328727722168
test_r2_170200090208,1,-0.22950828075408936
test_r2_170200090208,2,-0.18525099754333496
test_r2_170200090208,3,-0.051371216773986816
test_r2_170200090208,4,-0.08403277397155762
test_r2_170200090208,5,0.3721192479133606
test_r2_170200090208,6,0.6526976823806763
test_r2_170200090208,7,0.6495548486709595
test_r2_170200090208,8,0.6106107831001282
test_r2_170200090208,9,0.7097656726837158
test_mse_170200090209,0,0.008935725316405296
test_mse_170200090209,1,0.01152683887630701
test_mse_170200090209,2,0.009406398981809616
test_mse_170200090209,3,0.009698060341179371
test_mse_170200090209,4,0.006622078828513622
test_mse_170200090209,5,0.009166388772428036
test_mse_170200090209,6,0.006205360870808363
test_mse_170200090209,7,0.006243608426302671
test_mse_170200090209,8,0.005370506551116705
test_mse_170200090209,9,0.006585027556866407
test_mae_170200090208,0,0.15059582889080048
test_mae_170200090208,1,0.1400315761566162
test_mae_170200090208,2,0.14089801907539368
test_mae_170200090208,3,0.13278937339782715
test_mae_170200090208,4,0.13942602276802063
test_mae_170200090208,5,0.10222940146923065
test_mae_170200090208,6,0.07877613604068756
test_mae_170200090208,7,0.07833756506443024
test_mae_170200090208,8,0.08005190640687943
test_mae_170200090208,9,0.06821870803833008
train_mse_170200090208,0,0.0500863641500473
train_mse_170200090208,1,0.052542686462402344
train_mse_170200090208,2,0.04916493222117424
train_mse_170200090208,3,0.04279135540127754
train_mse_170200090208,4,0.045868683606386185
train_mse_170200090208,5,0.02441960573196411
train_mse_170200090208,6,0.012959650717675686
train_mse_170200090208,7,0.013476594351232052
train_mse_170200090208,8,0.011507797986268997
train_mse_170200090208,9,0.011766326613724232
train_kge_170200090208,0,0.18144946191928968
train_kge_170200090208,1,0.13882136344981455
train_kge_170200090208,2,0.2752494044653824
train_kge_170200090208,3,0.2542028768030795
train_kge_170200090208,4,0.3842307537818438
train_kge_170200090208,5,0.5911414479554893
train_kge_170200090208,6,0.7937431227010563
train_kge_170200090208,7,0.7702319441510235
train_kge_170200090208,8,0.8482064640707607
train_kge_170200090208,9,0.7643198661304229
train_r2_170200090208,0,-0.286348819732666
train_r2_170200090208,1,-0.3494335412979126
train_r2_170200090208,2,-0.2626839876174927
train_r2_170200090208,3,-0.09899389743804932
train_r2_170200090208,4,-0.17802774906158447
train_r2_170200090208,5,0.3728407025337219
train_r2_170200090208,6,0.667162299156189
train_r2_170200090208,7,0.6538858413696289
train_r2_170200090208,8,0.7044496536254883
train_r2_170200090208,9,0.6978099346160889
train_mae_170200090208,0,0.1518213301897049
train_mae_170200090208,1,0.14878518879413605
train_mae_170200090208,2,0.14677740633487701
train_mae_170200090208,3,0.13470202684402466
train_mae_170200090208,4,0.14567317068576813
train_mae_170200090208,5,0.10138901323080063
train_mae_170200090208,6,0.07669134438037872
train_mae_170200090208,7,0.07701151072978973
train_mae_170200090208,8,0.07008668035268784
train_mae_170200090208,9,0.06980010122060776
test_r2_170200090209,0,0.8221626281738281
test_r2_170200090209,1,0.7705947160720825
test_r2_170200090209,2,0.8127954006195068
test_r2_170200090209,3,0.8069907426834106
test_r2_170200090209,4,0.8682084679603577
test_r2_170200090209,5,0.8175719976425171
test_r2_170200090209,6,0.8765019178390503
test_r2_170200090209,7,0.8757407069206238
test_r2_170200090209,8,0.8931170701980591
test_r2_170200090209,9,0.868945837020874
train_mse_170200090209,0,0.011285131797194481
train_mse_170200090209,1,0.014600926078855991
train_mse_170200090209,2,0.010228707455098629
train_mse_170200090209,3,0.009679663926362991
train_mse_170200090209,4,0.0082576684653759
train_mse_170200090209,5,0.009289229288697243
train_mse_170200090209,6,0.007243417203426361
train_mse_170200090209,7,0.006315498612821102
train_mse_170200090209,8,0.005642320495098829
train_mse_170200090209,9,0.0056826709769666195
train_kge_170200090209,0,0.8581496270497719
train_kge_170200090209,1,0.682396933052416
train_kge_170200090209,2,0.8503081560821788
train_kge_170200090209,3,0.87925621726406
train_kge_170200090209,4,0.9248743448098979
train_kge_170200090209,5,0.8914151442139978
train_kge_170200090209,6,0.9276690601440392
train_kge_170200090209,7,0.934606440642401
train_kge_170200090209,8,0.9446855270684863
train_kge_170200090209,9,0.9332991038886919
test_kge_170200090301,0,0.9510174479821594
test_kge_170200090301,1,0.920397533690947
test_kge_170200090301,2,0.9369270375895788
test_kge_170200090301,3,0.9516279126501173
test_kge_170200090301,4,0.942086338984314
test_kge_170200090301,5,0.8407801192993238
test_kge_170200090301,6,0.9322709458985323
test_kge_170200090301,7,0.8963166167245892
test_kge_170200090301,8,0.9189054362961858
test_kge_170200090301,9,0.8101559676212171
test_r2_170200090301,0,0.9055708646774292
test_r2_170200090301,1,0.9051551222801208
test_r2_170200090301,2,0.9105298519134521
test_r2_170200090301,3,0.9107360243797302
test_r2_170200090301,4,0.9050540924072266
test_r2_170200090301,5,0.8744857311248779
test_r2_170200090301,6,0.8990873098373413
test_r2_170200090301,7,0.8975731134414673
test_r2_170200090301,8,0.9113003611564636
test_r2_170200090301,9,0.880833089351654
test_mse_170200090302,0,0.0007634214125573635
test_mse_170200090302,1,0.0008183315512724221
test_mse_170200090302,2,0.0006732656620442867
test_mse_170200090302,3,0.0006836251704953611
test_mse_170200090302,4,0.0007261589635163546
test_mse_170200090302,5,0.000746202131267637
test_mse_170200090302,6,0.0007744768518023193
test_mse_170200090302,7,0.0008986253524199128
test_mse_170200090302,8,0.0008323910878971219
test_mse_170200090302,9,0.0008998553385026753
test_mse_170200090304,0,0.00046517548616975546
test_mse_170200090304,1,0.0005244913045316935
test_mse_170200090304,2,0.0005609308718703687
test_mse_170200090304,3,0.0005377887282520533
test_mse_170200090304,4,0.0005033176857978106
test_mse_170200090304,5,0.0005292481509968638
test_mse_170200090304,6,0.0005245098727755249
test_mse_170200090304,7,0.0004707530897576362
test_mse_170200090304,8,0.0006150284898467362
test_mse_170200090304,9,0.0005575589602813125
train_mae_170200110406,0,0.05912495031952858
train_mae_170200110406,1,0.047842033207416534
train_mae_170200110406,2,0.04756985232234001
train_mae_170200110406,3,0.04507464915513992
train_mae_170200110406,4,0.049290984869003296
train_mae_170200110406,5,0.04332040995359421
train_mae_170200110406,6,0.04276596009731293
train_mae_170200110406,7,0.05438194051384926
train_mae_170200110406,8,0.04234243556857109
train_mae_170200110406,9,0.04458468407392502
test_mse_170200110501,0,0.001416681450791657
test_mse_170200110501,1,0.0009698187932372093
test_mse_170200110501,2,0.0010263397125527263
test_mse_170200110501,3,0.001265823608264327
test_mse_170200110501,4,0.00105424749199301
test_mse_170200110501,5,0.0015124891651794314
test_mse_170200110501,6,0.001104996306821704
test_mse_170200110501,7,0.0012546178186312318
test_mse_170200110501,8,0.0009002973092719913
test_mse_170200110501,9,0.0013323698658496141
test_mae_170200110501,0,0.02197182923555374
test_mae_170200110501,1,0.01871797814965248
test_mae_170200110501,2,0.01833963207900524
test_mae_170200110501,3,0.02047097682952881
test_mae_170200110501,4,0.018395915627479553
test_mae_170200110501,5,0.02443426102399826
test_mae_170200110501,6,0.0188963171094656
test_mae_170200110501,7,0.020075533539056778
test_mae_170200110501,8,0.017674842849373817
test_mae_170200110501,9,0.021225597709417343
test_mae_170200090304,0,0.010540982708334923
test_mae_170200090304,1,0.012574132531881332
test_mae_170200090304,2,0.011937185190618038
test_mae_170200090304,3,0.012243932113051414
test_mae_170200090304,4,0.011521837674081326
test_mae_170200090304,5,0.011925422586500645
test_mae_170200090304,6,0.01103869266808033
test_mae_170200090304,7,0.010331791825592518
test_mae_170200090304,8,0.01239925716072321
test_mae_170200090304,9,0.012227035127580166
test_mae_170200090209,0,0.05692915990948677
test_mae_170200090209,1,0.061624038964509964
test_mae_170200090209,2,0.05764089524745941
test_mae_170200090209,3,0.054820530116558075
test_mae_170200090209,4,0.046533823013305664
test_mae_170200090209,5,0.058586593717336655
test_mae_170200090209,6,0.044174399226903915
test_mae_170200090209,7,0.04418754577636719
test_mae_170200090209,8,0.04272132366895676
test_mae_170200090209,9,0.04710951820015907
train_r2_170200110406,0,0.8173292279243469
train_r2_170200110406,1,0.8799089193344116
train_r2_170200110406,2,0.8748389482498169
train_r2_170200110406,3,0.8861185312271118
train_r2_170200110406,4,0.8623560667037964
train_r2_170200110406,5,0.8914220333099365
train_r2_170200110406,6,0.8950362205505371
train_r2_170200110406,7,0.8325619697570801
train_r2_170200110406,8,0.8907632827758789
train_r2_170200110406,9,0.8804792761802673
train_mae_170200090302,0,0.01812795177102089
train_mae_170200090302,1,0.017853790894150734
train_mae_170200090302,2,0.016548793762922287
train_mae_170200090302,3,0.01591086946427822
train_mae_170200090302,4,0.015658851712942123
train_mae_170200090302,5,0.014811401255428791
train_mae_170200090302,6,0.015308728441596031
train_mae_170200090302,7,0.018211403861641884
train_mae_170200090302,8,0.014132206328213215
train_mae_170200090302,9,0.01556343212723732
train_r2_170200110601,0,0.9308743476867676
train_r2_170200110601,1,0.9475404024124146
train_r2_170200110601,2,0.8766261339187622
train_r2_170200110601,3,0.9473395347595215
train_r2_170200110601,4,0.9367117285728455
train_r2_170200110601,5,0.9464972615242004
train_r2_170200110601,6,0.9567081928253174
train_r2_170200110601,7,0.9504299759864807
train_r2_170200110601,8,0.9519613981246948
train_r2_170200110601,9,0.9505168199539185
test_r2_170200110503,0,0.8294825553894043
test_r2_170200110503,1,0.8435460329055786
test_r2_170200110503,2,0.865978479385376
test_r2_170200110503,3,0.8945096731185913
test_r2_170200110503,4,0.8843767046928406
test_r2_170200110503,5,0.8863693475723267
test_r2_170200110503,6,0.8609888553619385
test_r2_170200110503,7,0.8791400194168091
test_r2_170200110503,8,0.9053528308868408
test_r2_170200110503,9,0.8586513996124268
test_r2_170200110502,0,0.8894081115722656
test_r2_170200110502,1,0.9201173186302185
test_r2_170200110502,2,0.8848464488983154
test_r2_170200110502,3,0.9166097044944763
test_r2_170200110502,4,0.8276650905609131
test_r2_170200110502,5,0.8931231498718262
test_r2_170200110502,6,0.897023618221283
test_r2_170200110502,7,0.8992066383361816
test_r2_170200110502,8,0.8834888935089111
test_r2_170200110502,9,0.8787395358085632
train_kge_170200090301,0,0.8899247509376801
train_kge_170200090301,1,0.948545698357431
train_kge_170200090301,2,0.9104514888639892
train_kge_170200090301,3,0.9093651494831764
train_kge_170200090301,4,0.8927751132329043
train_kge_170200090301,5,0.9384903551726861
train_kge_170200090301,6,0.944218331750963
train_kge_170200090301,7,0.9580292455466418
train_kge_170200090301,8,0.960530878497984
train_kge_170200090301,9,0.909568824045868
train_r2_170200110503,0,0.8490636944770813
train_r2_170200110503,1,0.8470175266265869
train_r2_170200110503,2,0.895380437374115
train_r2_170200110503,3,0.9080522060394287
train_r2_170200110503,4,0.9024956822395325
train_r2_170200110503,5,0.926094651222229
train_r2_170200110503,6,0.9197961688041687
train_r2_170200110503,7,0.9098978638648987
train_r2_170200110503,8,0.9138538837432861
train_r2_170200110503,9,0.9221739768981934
test_mse_170200110603,0,0.0006389335030689836
test_mse_170200110603,1,0.0005439727101475
test_mse_170200110603,2,0.0007008931133896112
test_mse_170200110603,3,0.00048145384062081575
test_mse_170200110603,4,0.0005677794688381255
test_mse_170200110603,5,0.0006837087566964328
test_mse_170200110603,6,0.0007501005893573165
test_mse_170200110603,7,0.0006228690035641193
test_mse_170200110603,8,0.0006085215718485415
test_mse_170200110603,9,0.0006281265523284674
test_kge_170200110602,0,0.8019672413714579
test_kge_170200110602,1,0.9348494191345773
test_kge_170200110602,2,0.8786686987776362
test_kge_170200110602,3,0.9231691155289184
test_kge_170200110602,4,0.9080141932495903
test_kge_170200110602,5,0.9302749250320219
test_kge_170200110602,6,0.8505110988263065
test_kge_170200110602,7,0.9234093774947317
test_kge_170200110602,8,0.8830440381927149
test_kge_170200110602,9,0.9062102660844672
train_mse_170200110602,0,0.0008212268585339189
train_mse_170200110602,1,0.0005977047840133309
train_mse_170200110602,2,0.0007495424360968173
train_mse_170200110602,3,0.0005783986416645348
train_mse_170200110602,4,0.0005880467942915857
train_mse_170200110602,5,0.0005685529904440045
train_mse_170200110602,6,0.000779882597271353
train_mse_170200110602,7,0.0005936304805800319
train_mse_170200110602,8,0.0005651139072142541
train_mse_170200110602,9,0.0006447917548939586
test_kge_170200110603,0,0.9159332288516527
test_kge_170200110603,1,0.9338088176337495
test_kge_170200110603,2,0.8264805700581009
test_kge_170200110603,3,0.9376082587873273
test_kge_170200110603,4,0.8935644882795766
test_kge_170200110603,5,0.8583968165159745
test_kge_170200110603,6,0.8563681925710014
test_kge_170200110603,7,0.8716156358044478
test_kge_170200110603,8,0.8917168135087311
test_kge_170200110603,9,0.9176742574760596
test_kge_171100050501,0,0.9584679927163768
test_kge_171100050501,1,0.9666262770503342
test_kge_171100050501,2,0.9591130349924943
test_kge_171100050501,3,0.9451939870768093
test_kge_171100050501,4,0.9352995757746416
test_kge_171100050501,5,0.9709244454497
test_kge_171100050501,6,0.9648441423550344
test_kge_171100050501,7,0.9324841590862927
test_kge_171100050501,8,0.9060484330371755
test_kge_171100050501,9,0.9450113214719058
test_mae_171100050501,0,0.05156686529517174
test_mae_171100050501,1,0.05276772379875183
test_mae_171100050501,2,0.05180883780121803
test_mae_171100050501,3,0.05269911512732506
test_mae_171100050501,4,0.05366769805550575
test_mae_171100050501,5,0.05091254040598869
test_mae_171100050501,6,0.053394660353660583
test_mae_171100050501,7,0.05462329089641571
test_mae_171100050501,8,0.053515490144491196
test_mae_171100050501,9,0.05266916751861572
train_mae_170200110704,0,0.014449292793869972
train_mae_170200110704,1,0.014668009243905544
train_mae_170200110704,2,0.015011993236839771
train_mae_170200110704,3,0.016095176339149475
train_mae_170200110704,4,0.014968331903219223
train_mae_170200110704,5,0.013700375333428383
train_mae_170200110704,6,0.016189370304346085
train_mae_170200110704,7,0.013944835402071476
train_mae_170200110704,8,0.014871140941977501
train_mae_170200110704,9,0.013496876694262028
train_kge_171100050501,0,0.9561106548530581
train_kge_171100050501,1,0.9370445753704009
train_kge_171100050501,2,0.9627315465662396
train_kge_171100050501,3,0.959423420539695
train_kge_171100050501,4,0.96912312135326
train_kge_171100050501,5,0.9220434854629308
train_kge_171100050501,6,0.8996887578689025
train_kge_171100050501,7,0.973417824172748
train_kge_171100050501,8,0.9787558523632841
train_kge_171100050501,9,0.9776467669149643
train_mae_170300010204,0,0.02078891731798649
train_mae_170300010204,1,0.01973620429635048
train_mae_170300010204,2,0.020208613947033882
train_mae_170300010204,3,0.018341857939958572
train_mae_170300010204,4,0.018698984757065773
train_mae_170300010204,5,0.0174032524228096
train_mae_170300010204,6,0.017530033364892006
train_mae_170300010204,7,0.016684355214238167
train_mae_170300010204,8,0.017037982121109962
train_mae_170300010204,9,0.019248640164732933
test_r2_170300010201,0,0.912944495677948
test_r2_170300010201,1,0.8662047386169434
test_r2_170300010201,2,0.8387312889099121
test_r2_170300010201,3,0.8541247844696045
test_r2_170300010201,4,0.8910521268844604
test_r2_170300010201,5,0.8911773562431335
test_r2_170300010201,6,0.8416856527328491
test_r2_170300010201,7,0.9139170050621033
test_r2_170300010201,8,0.891271710395813
test_r2_170300010201,9,0.8619758486747742
train_kge_170300010205,0,0.9023160242086796
train_kge_170300010205,1,0.8869249487825381
train_kge_170300010205,2,0.9356117268888537
train_kge_170300010205,3,0.7812381774574053
