Metric,Step,Value
train_mae_170200090208,0,0.08563246577978134
train_mae_170200090208,1,0.04656130075454712
train_mae_170200090208,2,0.039777059108018875
train_mae_170200090208,3,0.044096045196056366
train_mae_170200090208,4,0.030573949217796326
train_mae_170200090208,5,0.028940465301275253
train_mae_170200090208,6,0.026508133858442307
train_mae_170200090208,7,0.028718620538711548
train_mae_170200090208,8,0.03233278542757034
train_mae_170200090208,9,0.026826784014701843
test_r2_170200090208,0,0.631727933883667
test_r2_170200090208,1,0.8660133481025696
test_r2_170200090208,2,0.8714860081672668
test_r2_170200090208,3,0.8526015877723694
test_r2_170200090208,4,0.9036462903022766
test_r2_170200090208,5,0.9100845456123352
test_r2_170200090208,6,0.896917462348938
test_r2_170200090208,7,0.9093692302703857
test_r2_170200090208,8,0.8744386434555054
test_r2_170200090208,9,0.88506019115448
train_r2_170200090208,0,0.6576867699623108
train_r2_170200090208,1,0.8444479703903198
train_r2_170200090208,2,0.8869553804397583
train_r2_170200090208,3,0.8435385227203369
train_r2_170200090208,4,0.9334184527397156
train_r2_170200090208,5,0.938882052898407
train_r2_170200090208,6,0.947270393371582
train_r2_170200090208,7,0.9418777823448181
train_r2_170200090208,8,0.9294804930686951
train_r2_170200090208,9,0.9464719891548157
train_kge_170200090208,0,0.7126452785172989
train_kge_170200090208,1,0.838992736044752
train_kge_170200090208,2,0.8574628544654421
train_kge_170200090208,3,0.735178844389073
train_kge_170200090208,4,0.9412979932926557
train_kge_170200090208,5,0.9415438838655572
train_kge_170200090208,6,0.9591677328124205
train_kge_170200090208,7,0.8732560388874531
train_kge_170200090208,8,0.9019397865666787
train_kge_170200090208,9,0.965799044705254
train_mse_170200090208,0,0.013328597880899906
train_mse_170200090208,1,0.006056705489754677
train_mse_170200090208,2,0.0044015999883413315
train_mse_170200090208,3,0.0060921162366867065
train_mse_170200090208,4,0.002592475386336446
train_mse_170200090208,5,0.002379739424213767
train_mse_170200090208,6,0.0020531234331429005
train_mse_170200090208,7,0.002263096859678626
train_mse_170200090208,8,0.0027458076365292072
train_mse_170200090208,9,0.002084210980683565
test_mae_170200090208,0,0.08951224386692047
test_mae_170200090208,1,0.04457667097449303
test_mae_170200090208,2,0.04482807219028473
test_mae_170200090208,3,0.04720671474933624
test_mae_170200090208,4,0.03840348497033119
test_mae_170200090208,5,0.03646208345890045
test_mae_170200090208,6,0.03948792815208435
test_mae_170200090208,7,0.036930132657289505
test_mae_170200090208,8,0.0464937649667263
test_mae_170200090208,9,0.041377998888492584
test_mse_170200090208,0,0.014648438431322575
test_mse_170200090208,1,0.005329471081495285
test_mse_170200090208,2,0.0051117888651788235
test_mse_170200090208,3,0.0058629391714930534
test_mse_170200090208,4,0.0038325777277350426
test_mse_170200090208,5,0.003576488932594657
test_mse_170200090208,6,0.00410022446885705
test_mse_170200090208,7,0.003604940138757229
test_mse_170200090208,8,0.0049943444319069386
test_mse_170200090208,9,0.004571862053126097
test_kge_170200090208,0,0.6982315224240782
test_kge_170200090208,1,0.8615206149380228
test_kge_170200090208,2,0.8666267704576212
test_kge_170200090208,3,0.7846984697201397
test_kge_170200090208,4,0.9291010187297035
test_kge_170200090208,5,0.9369348547563743
test_kge_170200090208,6,0.9224738954051495
