Metric,Step,Value
train_mse_170200090101,0,0.35075610876083374
train_mse_170200090101,1,0.3498290777206421
train_mse_170200090101,2,0.3505997061729431
train_mse_170200090101,3,0.35002803802490234
train_mse_170200090101,4,0.3500615358352661
train_mse_170200090101,5,0.3493761718273163
train_mse_170200090101,6,0.34961822628974915
train_mse_170200090101,7,0.3490438461303711
train_mse_170200090101,8,0.3495267629623413
train_mse_170200090101,9,0.3489662706851959
test_mae_170200090102,0,0.15616407990455627
test_mae_170200090102,1,0.1040881872177124
test_mae_170200090102,2,0.09030384570360184
test_mae_170200090102,3,0.0916866660118103
test_mae_170200090102,4,0.0875275656580925
test_mae_170200090102,5,0.0833204910159111
test_mae_170200090102,6,0.0959731936454773
test_mae_170200090102,7,0.08685146272182465
test_mae_170200090102,8,0.08853554725646973
test_mae_170200090102,9,0.08802191913127899
train_mse_170200090102,0,0.0605737529695034
train_mse_170200090102,1,0.03303207457065582
train_mse_170200090102,2,0.03140578046441078
train_mse_170200090102,3,0.027906600385904312
train_mse_170200090102,4,0.024925805628299713
train_mse_170200090102,5,0.02064654231071472
train_mse_170200090102,6,0.02700617164373398
train_mse_170200090102,7,0.02138189785182476
train_mse_170200090102,8,0.022544022649526596
train_mse_170200090102,9,0.02163061313331127
train_r2_170200090101,0,-0.9372556209564209
train_r2_170200090101,1,-0.9321357011795044
train_r2_170200090101,2,-0.9363918304443359
train_r2_170200090101,3,-0.9332345724105835
train_r2_170200090101,4,-0.9334194660186768
train_r2_170200090101,5,-0.9296343326568604
train_r2_170200090101,6,-0.9309711456298828
train_r2_170200090101,7,-0.9277987480163574
train_r2_170200090101,8,-0.9304659366607666
train_r2_170200090101,9,-0.9273701906204224
train_kge_170200090101,0,-0.4344655981067833
train_kge_170200090101,1,-0.4203210167114144
train_kge_170200090101,2,-0.4229420507577608
train_kge_170200090101,3,-0.41973106883151523
train_kge_170200090101,4,-0.4206786055776075
train_kge_170200090101,5,-0.41833318994526625
train_kge_170200090101,6,-0.4183175341461398
train_kge_170200090101,7,-0.41704245985830357
train_kge_170200090101,8,-0.41788259865096555
train_kge_170200090101,9,-0.4163532698389205
train_mae_170200090101,0,0.41379761695861816
train_mae_170200090101,1,0.4129163920879364
train_mae_170200090101,2,0.413512647151947
train_mae_170200090101,3,0.4135363698005676
train_mae_170200090101,4,0.4122699797153473
train_mae_170200090101,5,0.412361204624176
train_mae_170200090101,6,0.4116033911705017
train_mae_170200090101,7,0.4105335772037506
train_mae_170200090101,8,0.41105106472969055
train_mae_170200090101,9,0.4102267324924469
test_kge_170200090101,0,-0.4310197886113074
test_kge_170200090101,1,-0.41913338282915746
test_kge_170200090101,2,-0.4213372873236736
test_kge_170200090101,3,-0.41869274221091435
test_kge_170200090101,4,-0.42045050603111767
test_kge_170200090101,5,-0.41746843532906586
test_kge_170200090101,6,-0.41804744052399867
test_kge_170200090101,7,-0.4163650616248584
test_kge_170200090101,8,-0.4178854366016884
test_kge_170200090101,9,-0.4161444130389256
test_r2_170200090101,0,-1.014918327331543
test_r2_170200090101,1,-1.0103139877319336
test_r2_170200090101,2,-1.0140156745910645
test_r2_170200090101,3,-1.0112016201019287
test_r2_170200090101,4,-1.0108482837677002
test_r2_170200090101,5,-1.0074634552001953
test_r2_170200090101,6,-1.0082778930664062
test_r2_170200090101,7,-1.0047109127044678
test_r2_170200090101,8,-1.007585048675537
test_r2_170200090101,9,-1.0041720867156982
test_r2_170200090102,0,0.6738437414169312
test_r2_170200090102,1,0.8492396473884583
test_r2_170200090102,2,0.8808398246765137
test_r2_170200090102,3,0.8710907101631165
test_r2_170200090102,4,0.8752528429031372
test_r2_170200090102,5,0.8932833075523376
test_r2_170200090102,6,0.8748353123664856
test_r2_170200090102,7,0.8824123740196228
test_r2_170200090102,8,0.8783788681030273
test_r2_170200090102,9,0.8858261108398438
test_mae_170200090101,0,0.41883376240730286
test_mae_170200090101,1,0.41804221272468567
test_mae_170200090101,2,0.4185190200805664
test_mae_170200090101,3,0.418610543012619
test_mae_170200090101,4,0.41726067662239075
test_mae_170200090101,5,0.41744065284729004
test_mae_170200090101,6,0.41660258173942566
test_mae_170200090101,7,0.415519118309021
test_mae_170200090101,8,0.41603487730026245
test_mae_170200090101,9,0.4152015149593353
train_r2_170200090102,0,0.6716510057449341
