Metric,Step,Value
test_recur_r2_171100051003,0,0.022792339324951172
test_recur_r2_171100051003,1,-0.20085513591766357
test_recur_r2_171100051003,2,0.3895343542098999
test_recur_r2_171100051003,3,0.3021318316459656
test_recur_r2_171100051003,4,0.8615617156028748
test_recur_r2_171100051003,5,0.6818106174468994
test_recur_r2_171100051003,6,0.6961166858673096
test_recur_r2_171100051003,7,0.07237547636032104
test_recur_r2_171100051003,8,0.6477732062339783
test_recur_r2_171100051003,9,0.12899166345596313
test_recur_r2_171100051003,10,0.0863351821899414
test_recur_r2_171100051003,11,0.8663437366485596
test_recur_r2_171100051003,12,-2.111126184463501
test_recur_r2_171100051003,13,0.41905492544174194
test_mae_171100090403,0,0.0200528334826231
test_mae_171100090403,1,0.11868171393871307
test_mae_171100090403,2,0.1289508193731308
test_mae_171100090403,3,0.08030363917350769
test_mae_171100090403,4,0.0752549022436142
test_mae_171100090403,5,0.062282852828502655
test_mae_171100090403,6,0.04392731189727783
test_mae_171100090403,7,0.0473506823182106
test_mae_171100090403,8,0.10189438611268997
test_mae_171100090403,9,0.053571224212646484
test_mae_171100090403,10,0.09994252771139145
test_mae_171100090403,11,0.09658396989107132
test_mae_171100090403,12,0.08825881779193878
test_mae_171100090403,13,0.43322449922561646
test_mse_170200090201,0,0.0014509963802993298
test_mse_170200090201,1,0.015916531905531883
test_mse_170200090201,2,0.01272708922624588
test_mse_170200090201,3,0.005456427577883005
test_mse_170200090201,4,0.005682986695319414
test_mse_170200090201,5,0.0032295910641551018
test_mse_170200090201,6,0.005466129630804062
test_mse_170200090201,7,0.005265860352665186
test_mse_170200090201,8,0.006543559487909079
test_mse_170200090201,9,0.007788053713738918
test_mse_170200090201,10,0.01672966405749321
test_mse_170200090201,11,0.008683059364557266
test_mse_170200090201,12,0.009542572312057018
test_mse_170200090201,13,0.049193572252988815
test_mse_171100060203,0,0.0009704913245514035
test_mse_171100060203,1,0.060711488127708435
test_mse_171100060203,2,0.043594811111688614
test_mse_171100060203,3,0.021785257384181023
test_mse_171100060203,4,0.01040171179920435
test_mse_171100060203,5,0.010981147177517414
test_mse_171100060203,6,0.020374249666929245
test_mse_171100060203,7,0.011920473538339138
test_mse_171100060203,8,0.007951873354613781
test_mse_171100060203,9,0.017597300931811333
test_mse_171100060203,10,0.040422473102808
test_mse_171100060203,11,0.015739336609840393
test_mse_171100060203,12,0.031749527901411057
test_mse_171100060203,13,0.2491707056760788
test_kge_170200110404,0,0.9485726619005014
test_kge_170200110404,1,0.46174384609636876
test_kge_170200110404,2,0.5403398872800897
test_kge_170200110404,3,0.7467055774543337
