Metric,Step,Value
test_mse_170602070504,0,0.0009935987181961536
test_mse_170602070504,1,0.0013238871470093727
test_mse_170602070504,2,0.0006845192983746529
test_mse_170602070504,3,0.0019440919859334826
test_mse_170602070504,4,0.0006947970250621438
test_mse_170602070504,5,0.0015059799188748002
test_mse_170602070504,6,0.0006192246801219881
test_mse_170602070504,7,0.0017038643127307296
test_mse_170602070504,8,0.0009417248656973243
test_mse_170602070504,9,0.0009907777421176434
test_mse_170602070504,10,0.0008190648513846099
test_mse_170602070504,11,0.00046462705358862877
test_mse_170602070504,12,0.0013624660205096006
test_kge_170602070504,0,0.9468410727803384
test_kge_170602070504,1,0.8440096451767884
test_kge_170602070504,2,0.9362006022573319
test_kge_170602070504,3,0.8807761420954306
test_kge_170602070504,4,0.924904736282475
test_kge_170602070504,5,0.750732106025532
test_kge_170602070504,6,0.8901787035477806
test_kge_170602070504,7,0.772812260617233
test_kge_170602070504,8,0.8731521876859119
test_kge_170602070504,9,0.8820388880890959
test_kge_170602070504,10,0.8944340099766325
test_kge_170602070504,11,0.964880727004674
test_kge_170602070504,12,0.9230700377246737
test_r2_170602070504,0,0.9419690370559692
test_r2_170602070504,1,0.9226785898208618
test_r2_170602070504,2,0.9600207805633545
test_r2_170602070504,3,0.8864556550979614
test_r2_170602070504,4,0.9594205021858215
test_r2_170602070504,5,0.9120435118675232
test_r2_170602070504,6,0.963834285736084
test_r2_170602070504,7,0.9004861116409302
test_r2_170602070504,8,0.9449987411499023
test_r2_170602070504,9,0.9421337842941284
test_r2_170602070504,10,0.9521626830101013
test_r2_170602070504,11,0.9728635549545288
test_r2_170602070504,12,0.9204254150390625
test_mae_170602070504,0,0.018780019134283066
test_mae_170602070504,1,0.019485127180814743
test_mae_170602070504,2,0.015136279165744781
test_mae_170602070504,3,0.023068467155098915
test_mae_170602070504,4,0.015187747776508331
test_mae_170602070504,5,0.024020088836550713
test_mae_170602070504,6,0.013985865749418736
test_mae_170602070504,7,0.024116532877087593
test_mae_170602070504,8,0.018009882420301437
test_mae_170602070504,9,0.019161485135555267
test_mae_170602070504,10,0.017769061028957367
test_mae_170602070504,11,0.012574798427522182
test_mae_170602070504,12,0.021596800535917282
test_recur_mse_170602070504,0,0.0017302203923463821
test_recur_mse_170602070504,1,0.0008662812178954482
