Metric,Step,Value
test_mse_170300031006,0,5.143375528859906e-05
test_mse_170300031006,1,4.64483346149791e-05
test_mse_170300031006,2,4.722952508018352e-05
test_mse_170300031006,3,4.281666406313889e-05
test_mse_170300031006,4,3.878962525050156e-05
test_mse_170300031006,5,4.215442459098995e-05
test_mse_170300031006,6,6.57685159239918e-05
test_mse_170300031006,7,6.399395351763815e-05
test_mse_170300031006,8,6.38314668321982e-05
test_mse_170300031006,9,6.285530253080651e-05
test_kge_170300031006,0,-0.7480268100398566
test_kge_170300031006,1,-0.3464588398488082
test_kge_170300031006,2,-0.04244925857887427
test_kge_170300031006,3,0.03707703479284363
test_kge_170300031006,4,0.14292331537272862
test_kge_170300031006,5,-0.20019066643792938
test_kge_170300031006,6,-1.7609529385895586
test_kge_170300031006,7,-1.62064975762963
test_kge_170300031006,8,-1.608700654392064
test_kge_170300031006,9,-1.5352847498647777
test_r2_170300031006,0,-0.02339005470275879
test_r2_170300031006,1,0.07580608129501343
test_r2_170300031006,2,0.06026250123977661
test_r2_170300031006,3,0.14806634187698364
test_r2_170300031006,4,0.2281932234764099
test_r2_170300031006,5,0.16124308109283447
test_r2_170300031006,6,-0.3086123466491699
test_r2_170300031006,7,-0.2733035087585449
test_r2_170300031006,8,-0.27007031440734863
test_r2_170300031006,9,-0.2506474256515503
train_r2_170300031006,0,-0.08857190608978271
train_r2_170300031006,1,-0.10147273540496826
train_r2_170300031006,2,-0.19695806503295898
train_r2_170300031006,3,-0.1953141689300537
train_r2_170300031006,4,-0.2812391519546509
train_r2_170300031006,5,-0.006965160369873047
train_r2_170300031006,6,-0.4063037633895874
train_r2_170300031006,7,-0.36386680603027344
train_r2_170300031006,8,-0.3598874807357788
train_r2_170300031006,9,-0.3360515832901001
test_mae_170300031006,0,0.0023857280611991882
test_mae_170300031006,1,0.0019240991678088903
test_mae_170300031006,2,0.0022115877363830805
test_mae_170300031006,3,0.00197395752184093
test_mae_170300031006,4,0.0018015210516750813
test_mae_170300031006,5,0.0018481782171875238
test_mae_170300031006,6,0.0041005271486938
test_mae_170300031006,7,0.0038098767399787903
test_mae_170300031006,8,0.0037886262871325016
test_mae_170300031006,9,0.0036417818628251553
train_mse_170300031006,0,4.695549068856053e-05
train_mse_170300031006,1,4.75119668408297e-05
train_mse_170300031006,2,5.163071909919381e-05
train_mse_170300031006,3,5.155981125426479e-05
train_mse_170300031006,4,5.5266184062929824e-05
train_mse_170300031006,5,4.3435386032797396e-05
train_mse_170300031006,6,6.066083733458072e-05
train_mse_170300031006,7,5.8830322814173996e-05
train_mse_170300031006,8,5.8658675698097795e-05
train_mse_170300031006,9,5.7630510127637535e-05
train_kge_170300031006,0,-0.4865887121276746
train_kge_170300031006,1,-0.07440475585405171
train_kge_170300031006,2,0.18476977810382678
train_kge_170300031006,3,0.27221186352336435
train_kge_170300031006,4,0.3613691083464112
train_kge_170300031006,5,0.02931756467920188
train_kge_170300031006,6,-1.5638129817992943
train_kge_170300031006,7,-1.4553859104959277
train_kge_170300031006,8,-1.445299437601303
train_kge_170300031006,9,-1.3864981536568286
train_mae_170300031006,0,0.0026843117084354162
train_mae_170300031006,1,0.0023457910865545273
train_mae_170300031006,2,0.002726317383348942
train_mae_170300031006,3,0.002587466035038233
train_mae_170300031006,4,0.0025426994543522596
train_mae_170300031006,5,0.002284910762682557
train_mae_170300031006,6,0.004342218860983849
train_mae_170300031006,7,0.004054575227200985
train_mae_170300031006,8,0.004033261444419622
train_mae_170300031006,9,0.0038878978230059147
train_kge_170300031007,0,-2.5189748933711114
train_kge_170300031007,1,-1.965388626092587
train_kge_170300031007,2,-1.4353565255235732
train_kge_170300031007,3,-0.0728758445831088
train_kge_170300031007,4,-2.1867616280066278
train_kge_170300031007,5,-1.318704689668921
train_kge_170300031007,6,-2.441196101212429
train_kge_170300031007,7,-2.2302759690654783
train_kge_170300031007,8,-1.6002511149466465
train_kge_170300031007,9,-1.4484350452166996
train_mae_170300031007,0,0.0024327347055077553
train_mae_170300031007,1,0.0019517893670126796
train_mae_170300031007,2,0.0015309876762330532
train_mae_170300031007,3,0.0012852457584813237
train_mae_170300031007,4,0.0021635459270328283
train_mae_170300031007,5,0.0013227099552750587
train_mae_170300031007,6,0.002377499360591173
train_mae_170300031007,7,0.0022011317778378725
train_mae_170300031007,8,0.0016394535778090358
train_mae_170300031007,9,0.0014885419514030218
test_mse_170300031007,0,5.103637886350043e-05
test_mse_170300031007,1,4.875850208918564e-05
test_mse_170300031007,2,4.65595476271119e-05
