Metric,Step,Value
test_r2_170200090209,0,0.8332990407943726
test_r2_170200090209,1,0.9279066324234009
test_r2_170200090209,2,0.836997389793396
test_r2_170200090209,3,0.9116561412811279
test_r2_170200090209,4,0.8947586417198181
test_r2_170200090209,5,0.8576871156692505
test_r2_170200090209,6,0.9256044626235962
test_r2_170200090209,7,0.8851830363273621
test_r2_170200090209,8,0.8510388135910034
test_r2_170200090209,9,0.9158180952072144
test_r2_170200090301,0,0.9297180771827698
test_r2_170200090301,1,0.9336006045341492
test_r2_170200090301,2,0.9492744207382202
test_r2_170200090301,3,0.9411072134971619
test_r2_170200090301,4,0.9446499347686768
test_r2_170200090301,5,0.9410141706466675
test_r2_170200090301,6,0.9473755359649658
test_r2_170200090301,7,0.9380832314491272
test_r2_170200090301,8,0.9389982223510742
test_r2_170200090301,9,0.9313795566558838
train_kge_170200090209,0,0.9257432565422375
train_kge_170200090209,1,0.8817411573995512
train_kge_170200090209,2,0.8691476015194648
train_kge_170200090209,3,0.9492680629785678
train_kge_170200090209,4,0.9675129858056061
train_kge_170200090209,5,0.8997346535692119
train_kge_170200090209,6,0.9112631522391853
train_kge_170200090209,7,0.9690791400835455
train_kge_170200090209,8,0.8887257964715819
train_kge_170200090209,9,0.9717884474053167
train_kge_170200090301,0,0.9546848995510655
train_kge_170200090301,1,0.9527438609037783
train_kge_170200090301,2,0.9613372141458698
train_kge_170200090301,3,0.9687035960240742
train_kge_170200090301,4,0.9600021155622127
train_kge_170200090301,5,0.9689113315971155
train_kge_170200090301,6,0.9444800284409637
train_kge_170200090301,7,0.9595538934853785
train_kge_170200090301,8,0.9683416165110363
train_kge_170200090301,9,0.9756770924438144
train_mae_170200090301,0,0.01783725433051586
train_mae_170200090301,1,0.017039047554135323
train_mae_170200090301,2,0.015156134963035583
train_mae_170200090301,3,0.016140319406986237
train_mae_170200090301,4,0.015380335040390491
train_mae_170200090301,5,0.015543791465461254
train_mae_170200090301,6,0.015615381300449371
train_mae_170200090301,7,0.014349264092743397
train_mae_170200090301,8,0.014104900881648064
train_mae_170200090301,9,0.0144583685323596
test_r2_170200090208,0,0.7229110598564148
test_r2_170200090208,1,0.7786416411399841
test_r2_170200090208,2,0.8750337362289429
test_r2_170200090208,3,0.8970941305160522
test_r2_170200090208,4,0.8714382648468018
test_r2_170200090208,5,0.8694477677345276
test_r2_170200090208,6,0.8952723145484924
test_r2_170200090208,7,0.8865057229995728
test_r2_170200090208,8,0.8917339444160461
test_r2_170200090208,9,0.8954939246177673
test_mae_170200090301,0,0.019166236743330956
test_mae_170200090301,1,0.019758004695177078
test_mae_170200090301,2,0.016173390671610832
test_mae_170200090301,3,0.017683064565062523
test_mae_170200090301,4,0.01723336987197399
test_mae_170200090301,5,0.017638307064771652
test_mae_170200090301,6,0.016510430723428726
test_mae_170200090301,7,0.018423045054078102
test_mae_170200090301,8,0.0186199638992548
test_mae_170200090301,9,0.018839837983250618
train_r2_170200090208,0,0.7414238452911377
train_r2_170200090208,1,0.820610761642456
train_r2_170200090208,2,0.8622092008590698
train_r2_170200090208,3,0.9128206968307495
train_r2_170200090208,4,0.9287750124931335
train_r2_170200090208,5,0.9315137267112732
train_r2_170200090208,6,0.93881756067276
train_r2_170200090208,7,0.9438402056694031
train_r2_170200090208,8,0.9524715542793274
train_r2_170200090208,9,0.950417160987854
test_mse_170200090209,0,0.008376159705221653
test_mse_170200090209,1,0.0036224480718374252
test_mse_170200090209,2,0.008190328255295753
test_mse_170200090209,3,0.004438979551196098
test_mse_170200090209,4,0.0052880216389894485
test_mse_170200090209,5,0.007150742225348949
test_mse_170200090209,6,0.0037381243892014027
test_mse_170200090209,7,0.005769163835793734
test_mse_170200090209,8,0.0074847969226539135
test_mse_170200090209,9,0.004229856189340353
test_mae_170200090208,0,0.06288907676935196
test_mae_170200090208,1,0.05767810717225075
test_mae_170200090208,2,0.04190485551953316
test_mae_170200090208,3,0.04381339251995087
test_mae_170200090208,4,0.04371339827775955
test_mae_170200090208,5,0.04506576433777809
test_mae_170200090208,6,0.040804240852594376
test_mae_170200090208,7,0.04123282805085182
test_mae_170200090208,8,0.040450457483530045
test_mae_170200090208,9,0.038886114954948425
train_r2_170200090209,0,0.9496853947639465
train_r2_170200090209,1,0.9501115083694458
train_r2_170200090209,2,0.9337454438209534
train_r2_170200090209,3,0.9598150253295898
train_r2_170200090209,4,0.9489172697067261
train_r2_170200090209,5,0.9321620464324951
train_r2_170200090209,6,0.9535626769065857
train_r2_170200090209,7,0.9525404572486877
train_r2_170200090209,8,0.9390765428543091
train_r2_170200090209,9,0.9563161730766296
train_mse_170200090208,0,0.010068139061331749
train_mse_170200090208,1,0.006984850391745567
train_mse_170200090208,2,0.005365139339119196
train_mse_170200090208,3,0.00339448731392622
train_mse_170200090208,4,0.002773276763036847
train_mse_170200090208,5,0.002666640095412731
train_mse_170200090208,6,0.0023822509683668613
train_mse_170200090208,7,0.002186685102060437
train_mse_170200090208,8,0.0018506081542000175
train_mse_170200090208,9,0.0019305992173030972
