Metric,Step,Value
test_kge_171100051001,0,0.5862909969804014
test_r2_171100051001,0,0.5780383944511414
test_mae_171100051001,0,0.17849065363407135
train_mse_171100051001,0,0.007101792376488447
train_kge_171100051001,0,0.9481694646170773
train_r2_171100051001,0,0.9570836424827576
train_mae_171100051001,0,0.0580860935151577
test_mae_171100051003,0,0.1408805549144745
train_r2_171100051003,0,0.8871601223945618
train_kge_171100051002,0,0.873253077923717
train_kge_171100051002,1,0.8174115948063527
train_kge_171100051002,2,0.8643495053950796
train_kge_171100051002,3,0.8800032946159211
train_kge_171100051002,4,0.8753726150336927
train_kge_171100051002,5,0.8798439283686447
train_kge_171100051002,6,0.8906026628189961
train_kge_171100051002,7,0.8884351530334901
train_kge_171100051002,8,0.8865464198526478
train_kge_171100051002,9,0.888794154330476
test_mae_171100051002,0,0.33510321378707886
test_mae_171100051002,1,0.34744030237197876
test_mae_171100051002,2,0.33521583676338196
test_mae_171100051002,3,0.32294395565986633
test_mae_171100051002,4,0.33775246143341064
test_mae_171100051002,5,0.33803823590278625
test_mae_171100051002,6,0.3364516794681549
test_mae_171100051002,7,0.32866302132606506
test_mae_171100051002,8,0.32836824655532837
test_mae_171100051002,9,0.34707796573638916
train_mse_171100051002,0,0.054359983652830124
train_mse_171100051002,1,0.055638622492551804
train_mse_171100051002,2,0.04948117211461067
train_mse_171100051002,3,0.04528707265853882
train_mse_171100051002,4,0.04900520667433739
train_mse_171100051002,5,0.04630756005644798
train_mse_171100051002,6,0.04326314106583595
train_mse_171100051002,7,0.042523790150880814
train_mse_171100051002,8,0.04156030714511871
train_mse_171100051002,9,0.04207597300410271
test_mse_171100051003,0,0.03669203445315361
test_kge_171100051002,0,0.5828029013172544
test_kge_171100051002,1,0.7078841049428269
test_kge_171100051002,2,0.6299360533254507
test_kge_171100051002,3,0.6650546165784064
test_kge_171100051002,4,0.6518525819842775
test_kge_171100051002,5,0.6346233677671547
test_kge_171100051002,6,0.6228005529580625
test_kge_171100051002,7,0.6474339772821585
test_kge_171100051002,8,0.6473821390676129
test_kge_171100051002,9,0.6331356736549826
test_mse_171100051002,0,0.14802785217761993
test_mse_171100051002,1,0.16069552302360535
test_mse_171100051002,2,0.15602856874465942
test_mse_171100051002,3,0.14211586117744446
test_mse_171100051002,4,0.1589086502790451
test_mse_171100051002,5,0.15992052853107452
test_mse_171100051002,6,0.15724144876003265
test_mse_171100051002,7,0.15318363904953003
test_mse_171100051002,8,0.1534433811903
test_mse_171100051002,9,0.16871987283229828
train_kge_171100051004,0,0.9610675351184093
test_r2_171100051002,0,0.008466362953186035
test_r2_171100051002,1,-0.076385498046875
test_r2_171100051002,2,-0.04512476921081543
test_r2_171100051002,3,0.04806661605834961
test_r2_171100051002,4,-0.06441640853881836
test_r2_171100051002,5,-0.07119429111480713
test_r2_171100051002,6,-0.05324900150299072
test_r2_171100051002,7,-0.026068687438964844
test_r2_171100051002,8,-0.027808427810668945
test_r2_171100051002,9,-0.13013482093811035
train_r2_171100051002,0,0.7536112666130066
train_r2_171100051002,1,0.7478157877922058
train_r2_171100051002,2,0.7757246494293213
train_r2_171100051002,3,0.7947345972061157
train_r2_171100051002,4,0.7778819799423218
train_r2_171100051002,5,0.7901091575622559
train_r2_171100051002,6,0.803908109664917
train_r2_171100051002,7,0.8072592616081238
train_r2_171100051002,8,0.8116263151168823
train_r2_171100051002,9,0.8092889785766602
train_mae_171100051002,0,0.18057477474212646
train_mae_171100051002,1,0.17225655913352966
train_mae_171100051002,2,0.15219330787658691
train_mae_171100051002,3,0.1374213546514511
train_mae_171100051002,4,0.1394696831703186
train_mae_171100051002,5,0.13345740735530853
train_mae_171100051002,6,0.12759751081466675
train_mae_171100051002,7,0.1249554306268692
train_mae_171100051002,8,0.1253490149974823
train_mae_171100051002,9,0.12089890986680984
test_kge_171100051003,0,0.34641295648537684
train_mse_171100051003,0,0.008176124654710293
test_r2_171100051003,0,0.24986839294433594
train_kge_171100051003,0,0.9126465699607573
train_mae_171100051003,0,0.06149638816714287
test_mse_171100051004,0,0.04841957986354828
test_kge_171100051004,0,0.7394093334588749
test_r2_171100051004,0,0.7500075697898865
test_mae_171100051004,0,0.1578407883644104
train_mse_171100051004,0,0.01607183739542961
train_r2_171100051004,0,0.9276008605957031
train_mae_171100051004,0,0.0960637629032135
test_mse_171100051005,0,1.256478190422058
test_mse_171100051005,1,1.3952465057373047
test_mse_171100051005,2,1.2508604526519775
test_mse_171100051005,3,1.1226972341537476
test_mse_171100051005,4,1.2080639600753784
test_mse_171100051005,5,1.0290030241012573
test_mse_171100051005,6,1.033797264099121
test_mse_171100051005,7,1.0776724815368652
test_mse_171100051005,8,1.0954941511154175
test_mse_171100051005,9,1.159915566444397
train_r2_171100051005,0,0.14083433151245117
train_r2_171100051005,1,0.12140476703643799
train_r2_171100051005,2,0.16324448585510254
train_r2_171100051005,3,0.24949127435684204
train_r2_171100051005,4,0.25431352853775024
train_r2_171100051005,5,0.28776121139526367
train_r2_171100051005,6,0.22529757022857666
train_r2_171100051005,7,0.2844718098640442
train_r2_171100051005,8,0.2837812304496765
train_r2_171100051005,9,0.25425440073013306
test_mae_171100051005,0,1.052883267402649
test_mae_171100051005,1,1.1205155849456787
test_mae_171100051005,2,1.0519474744796753
test_mae_171100051005,3,0.9979147911071777
test_mae_171100051005,4,1.0459177494049072
test_mae_171100051005,5,0.9634761214256287
test_mae_171100051005,6,0.9580870866775513
test_mae_171100051005,7,0.9788545966148376
test_mae_171100051005,8,0.9820979833602905
test_mae_171100051005,9,1.0076003074645996
train_mse_171100051005,0,0.3053692579269409
train_mse_171100051005,1,0.3122750222682953
train_mse_171100051005,2,0.29740411043167114
train_mse_171100051005,3,0.2667498290538788
train_mse_171100051005,4,0.26503586769104004
train_mse_171100051005,5,0.2531477212905884
train_mse_171100051005,6,0.27534887194633484
train_mse_171100051005,7,0.2543168365955353
train_mse_171100051005,8,0.25456228852272034
train_mse_171100051005,9,0.26505687832832336
train_kge_171100051005,0,0.4502293371872963
train_kge_171100051005,1,0.5750605996834885
train_kge_171100051005,2,0.6014495086235464
train_kge_171100051005,3,0.6446952961503596
train_kge_171100051005,4,0.6438768046594675
train_kge_171100051005,5,0.644543073023212
train_kge_171100051005,6,0.6557284858236991
train_kge_171100051005,7,0.6755632291890568
train_kge_171100051005,8,0.6723681759297303
train_kge_171100051005,9,0.6703531283534228
test_kge_171100051005,0,0.09747112493731924
test_kge_171100051005,1,0.08631604950429617
test_kge_171100051005,2,0.12359032074812815
test_kge_171100051005,3,0.2132932443630997
test_kge_171100051005,4,0.27847905586887167
test_kge_171100051005,5,0.35117424647292506
test_kge_171100051005,6,0.2722470404398909
test_kge_171100051005,7,0.2643172169787794
test_kge_171100051005,8,0.21810147682455916
test_kge_171100051005,9,0.15809688962019197
test_mae_171100051006,0,0.14320111274719238
test_mae_171100051006,1,0.13113175332546234
test_mae_171100051006,2,0.13911472260951996
test_mae_171100051006,3,0.14876899123191833
test_mae_171100051006,4,0.14259856939315796
test_mae_171100051006,5,0.13145937025547028
test_r2_171100051005,0,-14.32909870147705
test_r2_171100051005,1,-16.02208137512207
test_r2_171100051005,2,-14.2605619430542
test_r2_171100051005,3,-12.696964263916016
test_r2_171100051005,4,-13.738443374633789
test_r2_171100051005,5,-11.553890228271484
test_r2_171100051005,6,-11.612380981445312
test_r2_171100051005,7,-12.147659301757812
test_r2_171100051005,8,-12.36508560180664
test_r2_171100051005,9,-13.151029586791992
train_mae_171100051005,0,0.42775046825408936
train_mae_171100051005,1,0.40092864632606506
train_mae_171100051005,2,0.3653690218925476
train_mae_171100051005,3,0.3264133334159851
train_mae_171100051005,4,0.3186086416244507
train_mae_171100051005,5,0.3021986186504364
train_mae_171100051005,6,0.30478766560554504
train_mae_171100051005,7,0.28249892592430115
train_mae_171100051005,8,0.2798326015472412
train_mae_171100051005,9,0.2883339524269104
train_mae_171100051006,0,0.1033775731921196
train_mae_171100051006,1,0.08128058910369873
train_mae_171100051006,2,0.07241348177194595
train_mae_171100051006,3,0.07333619892597198
train_mae_171100051006,4,0.06383629888296127
train_mae_171100051006,5,0.053189292550086975
test_mse_171100051006,0,0.04024074226617813
test_mse_171100051006,1,0.03524847328662872
test_mse_171100051006,2,0.04135262221097946
test_mse_171100051006,3,0.04110584408044815
test_mse_171100051006,4,0.03978760913014412
test_mse_171100051006,5,0.0350327342748642
test_kge_171100051006,0,0.44455676598299254
test_kge_171100051006,1,0.464109785849559
test_kge_171100051006,2,0.39353029553622976
test_kge_171100051006,3,0.38410821984020793
test_kge_171100051006,4,0.4038187971037581
test_kge_171100051006,5,0.4692074370827103
train_mse_171100051006,0,0.022492988035082817
train_mse_171100051006,1,0.015850242227315903
train_mse_171100051006,2,0.011778954416513443
train_mse_171100051006,3,0.010999469086527824
train_mse_171100051006,4,0.008997032418847084
train_mse_171100051006,5,0.006463834550231695
train_kge_171100051006,0,0.8321476463046984
train_kge_171100051006,1,0.8712169231109348
train_kge_171100051006,2,0.8736873471509348
train_kge_171100051006,3,0.8297254052543108
train_kge_171100051006,4,0.8706713570338609
train_kge_171100051006,5,0.931009349902615
train_r2_171100051006,0,0.7398154735565186
train_r2_171100051006,1,0.8166545629501343
train_r2_171100051006,2,0.8637485504150391
train_r2_171100051006,3,0.8727651834487915
train_r2_171100051006,4,0.8959280848503113
train_r2_171100051006,5,0.9252305030822754
train_r2_171100051007,0,0.45027458667755127
train_r2_171100051007,1,0.15625739097595215
train_r2_171100051007,2,0.40455806255340576
train_r2_171100051007,3,0.3041614294052124
train_r2_171100051007,4,0.3732006549835205
train_r2_171100051007,5,0.33750230073928833
train_r2_171100051007,6,0.33976954221725464
train_r2_171100051007,7,0.4002382159233093
train_r2_171100051007,8,0.4050184488296509
train_r2_171100051007,9,0.4121367335319519
test_r2_171100051006,0,0.3618761897087097
test_r2_171100051006,1,0.44104188680648804
test_r2_171100051006,2,0.3442443609237671
test_r2_171100051006,3,0.34815770387649536
test_r2_171100051006,4,0.36906176805496216
test_r2_171100051006,5,0.44446295499801636
test_mse_171100051007,0,0.14069803059101105
test_mse_171100051007,1,0.20323236286640167
test_mse_171100051007,2,0.15694788098335266
test_mse_171100051007,3,0.1730758547782898
test_mse_171100051007,4,0.16170650720596313
test_mse_171100051007,5,0.16904425621032715
test_mse_171100051007,6,0.1695573776960373
test_mse_171100051007,7,0.15782268345355988
test_mse_171100051007,8,0.1643398404121399
test_mse_171100051007,9,0.1604035496711731
train_mse_171100051007,0,0.02896336279809475
train_mse_171100051007,1,0.04445423558354378
train_mse_171100051007,2,0.03137202560901642
train_mse_171100051007,3,0.03666161745786667
train_mse_171100051007,4,0.03302415460348129
train_mse_171100051007,5,0.03490499034523964
train_mse_171100051007,6,0.03478553891181946
train_mse_171100051007,7,0.03159962594509125
train_mse_171100051007,8,0.03134777024388313
train_mse_171100051007,9,0.03097272850573063
test_mae_171100051007,0,0.3629537522792816
test_mae_171100051007,1,0.4404156804084778
test_mae_171100051007,2,0.3806074261665344
test_mae_171100051007,3,0.3984606862068176
test_mae_171100051007,4,0.38297271728515625
test_mae_171100051007,5,0.39377543330192566
test_mae_171100051007,6,0.3952757716178894
test_mae_171100051007,7,0.3798980116844177
test_mae_171100051007,8,0.3889988362789154
test_mae_171100051007,9,0.38378414511680603
test_kge_171100051007,0,0.5177533910652261
test_kge_171100051007,1,0.4129956486600793
test_kge_171100051007,2,0.45650699213191315
test_kge_171100051007,3,0.3870434449860688
test_kge_171100051007,4,0.39788597251685576
test_kge_171100051007,5,0.41898050120838726
test_kge_171100051007,6,0.42673512927241386
test_kge_171100051007,7,0.41951720641036194
test_kge_171100051007,8,0.44044378870607803
test_kge_171100051007,9,0.43359204664369533
train_mae_171100051007,0,0.13067331910133362
train_mae_171100051007,1,0.1626671999692917
train_mae_171100051007,2,0.12330757826566696
train_mae_171100051007,3,0.1281551569700241
train_mae_171100051007,4,0.1184249147772789
train_mae_171100051007,5,0.12089497596025467
train_mae_171100051007,6,0.1193053126335144
train_mae_171100051007,7,0.11535006016492844
train_mae_171100051007,8,0.11385960876941681
train_mae_171100051007,9,0.110728919506073
train_kge_171100051007,0,0.643508411382208
train_kge_171100051007,1,0.5871441484022961
train_kge_171100051007,2,0.6661659781571395
train_kge_171100051007,3,0.6663434496021967
train_kge_171100051007,4,0.694126089001543
train_kge_171100051007,5,0.6731253731385538
train_kge_171100051007,6,0.6735890336814423
train_kge_171100051007,7,0.6937829587946884
train_kge_171100051007,8,0.6872611639318155
train_kge_171100051007,9,0.6949858021830396
test_r2_171100051007,0,-4.91893196105957
test_r2_171100051007,1,-7.549647331237793
test_r2_171100051007,2,-5.602536201477051
test_r2_171100051007,3,-6.281013011932373
test_r2_171100051007,4,-5.8027238845825195
test_r2_171100051007,5,-6.111410617828369
test_r2_171100051007,6,-6.132996559143066
test_r2_171100051007,7,-5.639337539672852
