Metric,Step,Value
train_mse_170103041102,0,0.00011088016617577523
train_mse_170103041102,1,0.00010843981726793572
train_mse_170103041102,2,0.00012422898726072162
train_mse_170103041102,3,0.0001311039086431265
train_mse_170103041102,4,0.00010478548938408494
train_mse_170103041102,5,0.00011827620619442314
train_mse_170103041102,6,0.00014025313430465758
train_mse_170103041102,7,0.00012058419815730304
train_mse_170103041102,8,0.00013747464981861413
train_mse_170103041102,9,0.00010459400800755247
test_mse_170200090206,0,0.0474049337208271
test_mse_170200090206,1,0.04728937894105911
test_mse_170200090206,2,0.04739722982048988
test_mse_170200090206,3,0.04736025631427765
test_mse_170200090206,4,0.04751567170023918
test_mse_170200090206,5,0.04738708585500717
test_mse_170200090206,6,0.04730067029595375
test_mse_170200090206,7,0.04745224118232727
test_mse_170200090206,8,0.047330591827631
test_mse_170200090206,9,0.04737803339958191
train_r2_170200090206,0,-0.8601270914077759
train_r2_170200090206,1,-0.8551206588745117
train_r2_170200090206,2,-0.8600366115570068
train_r2_170200090206,3,-0.8581850528717041
train_r2_170200090206,4,-0.8648511171340942
train_r2_170200090206,5,-0.8593736886978149
train_r2_170200090206,6,-0.8555898666381836
train_r2_170200090206,7,-0.8621808290481567
train_r2_170200090206,8,-0.8569974899291992
train_r2_170200090206,9,-0.8589615821838379
test_r2_170200090207,0,-0.685503363609314
test_r2_170200090207,1,-0.6834256649017334
test_r2_170200090207,2,-0.6905806064605713
test_r2_170200090207,3,-0.6859515905380249
test_r2_170200090207,4,-0.6879639625549316
test_r2_170200090207,5,-0.6847156286239624
test_r2_170200090207,6,-0.6895023584365845
test_r2_170200090207,7,-0.6858358383178711
test_r2_170200090207,8,-0.6846399307250977
test_r2_170200090207,9,-0.6881356239318848
train_r2_170200090305,0,0.8943477272987366
train_r2_170200090305,1,0.9007042646408081
train_r2_170200090305,2,0.8812004923820496
train_r2_170200090305,3,0.8913028240203857
train_r2_170200090305,4,0.8773301243782043
train_r2_170200090305,5,0.9147041440010071
train_r2_170200090305,6,0.922879159450531
train_r2_170200090305,7,0.9019989967346191
train_r2_170200090305,8,0.9235843420028687
train_r2_170200090305,9,0.9179351329803467
test_kge_170200090206,0,-0.4204116267456499
test_kge_170200090206,1,-0.4177472067648278
test_kge_170200090206,2,-0.43088900731581203
test_kge_170200090206,3,-0.41889565564978537
test_kge_170200090206,4,-0.42138303217267103
test_kge_170200090206,5,-0.41898645512260924
test_kge_170200090206,6,-0.4176897705998137
test_kge_170200090206,7,-0.4198309259234638
test_kge_170200090206,8,-0.4178113761101614
test_kge_170200090206,9,-0.41877584658675193
test_mse_170200090207,0,0.03820895403623581
test_mse_170200090207,1,0.038161855190992355
test_mse_170200090207,2,0.03832405060529709
test_mse_170200090207,3,0.03821911662817001
test_mse_170200090207,4,0.03826473280787468
test_mse_170200090207,5,0.03819109871983528
test_mse_170200090207,6,0.03829960897564888
test_mse_170200090207,7,0.0382164902985096
test_mse_170200090207,8,0.03818938136100769
test_mse_170200090207,9,0.03826862573623657
test_kge_170200090207,0,-0.43533736815621804
test_kge_170200090207,1,-0.4193023376036942
test_kge_170200090207,2,-0.422479080647463
test_kge_170200090207,3,-0.4196728902705493
test_kge_170200090207,4,-0.422517194785212
test_kge_170200090207,5,-0.418873962900951
test_kge_170200090207,6,-0.421791627641249
test_kge_170200090207,7,-0.41931023213468976
test_kge_170200090207,8,-0.41838514699858753
test_kge_170200090207,9,-0.42016555684431833
test_r2_170200090305,0,0.8068701028823853
test_r2_170200090305,1,0.8306235074996948
test_r2_170200090305,2,0.801850438117981
test_r2_170200090305,3,0.8200784921646118
test_r2_170200090305,4,0.7980443835258484
test_r2_170200090305,5,0.8131804466247559
test_r2_170200090305,6,0.8239991068840027
test_r2_170200090305,7,0.7991154193878174
test_r2_170200090305,8,0.8014732003211975
test_r2_170200090305,9,0.8178721070289612
train_mse_170200090210,0,0.02027440257370472
train_mse_170200090210,1,0.020275356248021126
train_mse_170200090210,2,0.02024846337735653
train_mse_170200090210,3,0.020268097519874573
train_mse_170200090210,4,0.02022172510623932
train_mse_170200090210,5,0.0202470812946558
train_mse_170200090210,6,0.02021663822233677
train_mse_170200090210,7,0.020238837227225304
train_mse_170200090210,8,0.020239153876900673
train_mse_170200090210,9,0.02029397338628769
test_mae_170200090206,0,0.1485271453857422
test_mae_170200090206,1,0.14818842709064484
test_mae_170200090206,2,0.14845164120197296
test_mae_170200090206,3,0.1484190970659256
test_mae_170200090206,4,0.14890114963054657
test_mae_170200090206,5,0.14850008487701416
test_mae_170200090206,6,0.14823944866657257
test_mae_170200090206,7,0.14870339632034302
test_mae_170200090206,8,0.14834772050380707
test_mae_170200090206,9,0.14847159385681152
train_mse_170200090206,0,0.039169538766145706
train_mse_170200090206,1,0.039064113050699234
train_mse_170200090206,2,0.039167631417512894
train_mse_170200090206,3,0.03912864252924919
train_mse_170200090206,4,0.039269011467695236
train_mse_170200090206,5,0.03915367275476456
train_mse_170200090206,6,0.039073992520570755
train_mse_170200090206,7,0.03921278566122055
train_mse_170200090206,8,0.039103634655475616
train_mse_170200090206,9,0.03914499655365944
train_mae_170200090210,0,0.09518436342477798
train_mae_170200090210,1,0.09516812860965729
train_mae_170200090210,2,0.09507602453231812
train_mae_170200090210,3,0.09522654116153717
train_mae_170200090210,4,0.09492705762386322
train_mae_170200090210,5,0.09506676346063614
train_mae_170200090210,6,0.09488244354724884
train_mae_170200090210,7,0.09503857791423798
train_mae_170200090210,8,0.09501838684082031
train_mae_170200090210,9,0.09591099619865417
train_mse_170200090303,0,0.00028680803370662034
train_mse_170200090303,1,0.0001881911011878401
train_mse_170200090303,2,0.00020971654157619923
train_mse_170200090303,3,0.00013996813504491001
train_mse_170200090303,4,0.00012835334928240627
train_mse_170200090303,5,0.00013303894957061857
train_mse_170200090303,6,0.00011219016596442088
train_mse_170200090303,7,0.00011336183524690568
train_mse_170200090303,8,7.501550862798467e-05
train_mse_170200090303,9,8.39711501612328e-05
train_kge_170200090305,0,0.9256278255628494
train_kge_170200090305,1,0.9363245759522401
train_kge_170200090305,2,0.807013513062099
train_kge_170200090305,3,0.9153098812915785
train_kge_170200090305,4,0.7717991116151124
train_kge_170200090305,5,0.8468096420716448
train_kge_170200090305,6,0.9302193641968766
train_kge_170200090305,7,0.7808638994262102
train_kge_170200090305,8,0.8667771440559299
train_kge_170200090305,9,0.930925049170573
train_kge_170200090206,0,-0.4205985535694974
train_kge_170200090206,1,-0.4180312799570658
train_kge_170200090206,2,-0.4323478075489673
train_kge_170200090206,3,-0.4190946992671538
train_kge_170200090206,4,-0.42176097067966967
train_kge_170200090206,5,-0.4193103286281967
train_kge_170200090206,6,-0.41782141845974885
train_kge_170200090206,7,-0.4203245393985817
train_kge_170200090206,8,-0.4181283343692812
train_kge_170200090206,9,-0.41909655869072426
train_mse_170200090207,0,0.03683226555585861
train_mse_170200090207,1,0.03678407147526741
train_mse_170200090207,2,0.03694729879498482
train_mse_170200090207,3,0.03684176132082939
train_mse_170200090207,4,0.03688623383641243
train_mse_170200090207,5,0.03681338205933571
train_mse_170200090207,6,0.03692339360713959
train_mse_170200090207,7,0.036840181797742844
train_mse_170200090207,8,0.03681303933262825
train_mse_170200090207,9,0.036894291639328
train_mae_170200090206,0,0.13479192554950714
train_mae_170200090206,1,0.13445399701595306
train_mae_170200090206,2,0.13473163545131683
train_mae_170200090206,3,0.13468287885189056
train_mae_170200090206,4,0.1351628601551056
train_mae_170200090206,5,0.13476531207561493
train_mae_170200090206,6,0.1345001459121704
train_mae_170200090206,7,0.13496749103069305
train_mae_170200090206,8,0.13461464643478394
train_mae_170200090206,9,0.13473765552043915
train_r2_170200090207,0,-0.7304235696792603
train_r2_170200090207,1,-0.7281593084335327
train_r2_170200090207,2,-0.7358279228210449
train_r2_170200090207,3,-0.7308697700500488
train_r2_170200090207,4,-0.7329590320587158
train_r2_170200090207,5,-0.7295362949371338
train_r2_170200090207,6,-0.7347047328948975
train_r2_170200090207,7,-0.7307955026626587
train_r2_170200090207,8,-0.7295202016830444
train_r2_170200090207,9,-0.7333376407623291
test_mae_170200090210,0,0.09365496039390564
test_mae_170200090210,1,0.09364144504070282
test_mae_170200090210,2,0.09354645013809204
test_mae_170200090210,3,0.09369848668575287
test_mae_170200090210,4,0.09339692443609238
test_mae_170200090210,5,0.0935378447175026
test_mae_170200090210,6,0.0933544859290123
test_mae_170200090210,7,0.09350868314504623
test_mae_170200090210,8,0.09348829090595245
test_mae_170200090210,9,0.09439298510551453
test_mse_170200090210,0,0.020215149968862534
test_mse_170200090210,1,0.02021695114672184
test_mse_170200090210,2,0.02018991857767105
test_mse_170200090210,3,0.020208468660712242
test_mse_170200090210,4,0.020163102075457573
test_mse_170200090210,5,0.020187629386782646
test_mse_170200090210,6,0.020158179104328156
test_mse_170200090210,7,0.020179148763418198
test_mse_170200090210,8,0.020179662853479385
test_mse_170200090210,9,0.020233016461133957
test_r2_170200090303,0,0.5863293409347534
test_r2_170200090303,1,0.6950149536132812
test_r2_170200090303,2,0.5894222259521484
test_r2_170200090303,3,0.7395390272140503
test_r2_170200090303,4,0.7944004535675049
test_r2_170200090303,5,0.7617286443710327
test_r2_170200090303,6,0.8100576400756836
test_r2_170200090303,7,0.8070076704025269
test_r2_170200090303,8,0.8217628002166748
test_r2_170200090303,9,0.821898341178894
test_r2_170200090206,0,-0.8656868934631348
test_r2_170200090206,1,-0.8611390590667725
test_r2_170200090206,2,-0.8653836250305176
test_r2_170200090206,3,-0.8639285564422607
test_r2_170200090206,4,-0.8700451850891113
test_r2_170200090206,5,-0.864984393119812
test_r2_170200090206,6,-0.8615834712982178
test_r2_170200090206,7,-0.8675487041473389
test_r2_170200090206,8,-0.8627610206604004
test_r2_170200090206,9,-0.8646281957626343
train_kge_170200090303,0,0.3050280861464676
train_kge_170200090303,1,0.7618249013238325
train_kge_170200090303,2,0.7220664817498674
train_kge_170200090303,3,0.8674991363123161
train_kge_170200090303,4,0.8879783645648447
train_kge_170200090303,5,0.8781915992881547
train_kge_170200090303,6,0.7815868989725943
train_kge_170200090303,7,0.8030501301962314
train_kge_170200090303,8,0.7856275145738956
train_kge_170200090303,9,0.897526865170609
train_r2_170200090303,0,0.5627877712249756
train_r2_170200090303,1,0.7131201028823853
train_r2_170200090303,2,0.6803065538406372
train_r2_170200090303,3,0.7866315841674805
train_r2_170200090303,4,0.804337203502655
train_r2_170200090303,5,0.7971944808959961
train_r2_170200090303,6,0.8289765119552612
train_r2_170200090303,7,0.8271903991699219
train_r2_170200090303,8,0.8856458067893982
train_r2_170200090303,9,0.8719937801361084
test_mae_170200110604,0,0.0055259354412555695
test_mae_170200110604,1,0.005804654210805893
test_mae_170200110604,2,0.005286557599902153
test_mae_170200110604,3,0.005242451559752226
test_mae_170200110604,4,0.005093092564493418
test_mae_170200110604,5,0.005236555356532335
test_mae_170200110604,6,0.005520740523934364
test_mae_170200110604,7,0.006108008325099945
test_mae_170200110604,8,0.005101821385324001
test_mae_170200110604,9,0.005147087387740612
train_kge_170200110604,0,0.96665842356717
train_kge_170200110604,1,0.9604610275785472
train_kge_170200110604,2,0.9093692035642251
train_kge_170200110604,3,0.9557705264411789
train_kge_170200110604,4,0.9610713127960135
train_kge_170200110604,5,0.9565045348371684
train_kge_170200110604,6,0.9056543212017861
train_kge_170200110604,7,0.90817537351805
train_kge_170200110604,8,0.9015896100551366
train_kge_170200110604,9,0.9584515797972772
test_mse_170200090305,0,6.47942943032831e-05
test_mse_170200090305,1,5.682510891347192e-05
test_mse_170200090305,2,6.647838017670438e-05
test_mse_170200090305,3,6.0362915974110365e-05
test_mse_170200090305,4,6.775528891012073e-05
test_mse_170200090305,5,6.267720164032653e-05
test_mse_170200090305,6,5.90475756325759e-05
test_mse_170200090305,7,6.739595119142905e-05
test_mse_170200090305,8,6.660493090748787e-05
test_mse_170200090305,9,6.110316462581977e-05
test_kge_170200110705,0,0.9349279984561523
test_kge_170200110705,1,0.9484383128464393
test_kge_170200110705,2,0.9117379518950879
test_kge_170200110705,3,0.9425882050409788
test_kge_170200110705,4,0.9181682687819
test_kge_170200110705,5,0.9479370709719447
test_kge_170200110705,6,0.9201566514280101
test_kge_170200110705,7,0.9003307645563466
test_kge_170200110705,8,0.9317253924504922
test_kge_170200110705,9,0.8849803085876661
test_mae_170200110705,0,0.011631137691438198
test_mae_170200110705,1,0.011691256426274776
test_mae_170200110705,2,0.012453771196305752
test_mae_170200110705,3,0.011887245811522007
test_mae_170200110705,4,0.011569722555577755
test_mae_170200110705,5,0.012046425603330135
test_mae_170200110705,6,0.012061797082424164
test_mae_170200110705,7,0.01166748721152544
test_mae_170200110705,8,0.011892472393810749
test_mae_170200110705,9,0.012002695351839066
train_kge_170200090207,0,-0.4311236902557847
train_kge_170200090207,1,-0.4185272528055062
train_kge_170200090207,2,-0.4219476812710943
train_kge_170200090207,3,-0.4192663876617968
train_kge_170200090207,4,-0.4216002601149671
train_kge_170200090207,5,-0.41855309333128576
train_kge_170200090207,6,-0.4215469730742223
train_kge_170200090207,7,-0.4191970192612984
train_kge_170200090207,8,-0.4182864576623888
train_kge_170200090207,9,-0.42014475712414323
train_mae_170200110308,0,0.02289675734937191
train_mae_170200110308,1,0.020802676677703857
train_mae_170200110308,2,0.019898567348718643
train_mae_170200110308,3,0.017061108723282814
train_mae_170200110308,4,0.01873510703444481
train_mae_170200110308,5,0.016786817461252213
train_mae_170200110308,6,0.015376626513898373
train_mae_170200110308,7,0.01682288385927677
train_mae_170200110308,8,0.015182716771960258
train_mae_170200110308,9,0.015280093997716904
test_mae_170200110308,0,0.02218417450785637
test_mae_170200110308,1,0.020780518651008606
test_mae_170200110308,2,0.019899696111679077
test_mae_170200110308,3,0.01818438246846199
test_mae_170200110308,4,0.0196257121860981
test_mae_170200110308,5,0.01828281208872795
test_mae_170200110308,6,0.01789448782801628
test_mae_170200110308,7,0.01770998165011406
test_mae_170200110308,8,0.01684192568063736
test_mae_170200110308,9,0.016519958153367043
train_mae_170200090207,0,0.12500523030757904
train_mae_170200090207,1,0.12474346160888672
train_mae_170200090207,2,0.12540343403816223
train_mae_170200090207,3,0.12498132884502411
train_mae_170200090207,4,0.1251858025789261
train_mae_170200090207,5,0.12487748265266418
train_mae_170200090207,6,0.12559472024440765
train_mae_170200090207,7,0.12501271069049835
train_mae_170200090207,8,0.12489264458417892
train_mae_170200090207,9,0.12524983286857605
test_r2_170200090210,0,-0.7588590383529663
test_r2_170200090210,1,-0.7590157985687256
test_r2_170200090210,2,-0.7566636800765991
test_r2_170200090210,3,-0.7582776546478271
test_r2_170200090210,4,-0.7543303966522217
test_r2_170200090210,5,-0.7564644813537598
test_r2_170200090210,6,-0.7539021968841553
test_r2_170200090210,7,-0.7557265758514404
test_r2_170200090210,8,-0.755771279335022
test_r2_170200090210,9,-0.760413408279419
train_r2_170200110308,0,0.9146789312362671
train_r2_170200110308,1,0.9279459118843079
train_r2_170200110308,2,0.9336365461349487
train_r2_170200110308,3,0.9498136043548584
train_r2_170200110308,4,0.9416483044624329
train_r2_170200110308,5,0.9508928656578064
train_r2_170200110308,6,0.9596862196922302
train_r2_170200110308,7,0.9498684406280518
train_r2_170200110308,8,0.9617791771888733
train_r2_170200110308,9,0.9595392346382141
test_kge_170200110604,0,0.9352231482493047
test_kge_170200110604,1,0.889252459855494
test_kge_170200110604,2,0.8695518490005405
test_kge_170200110604,3,0.9474628147535683
test_kge_170200110604,4,0.93529045542566
test_kge_170200110604,5,0.9496317298076961
test_kge_170200110604,6,0.8737871870374486
test_kge_170200110604,7,0.8426064062044543
test_kge_170200110604,8,0.9264112852061054
test_kge_170200110604,9,0.9549292286526397
train_mse_170200110706,0,0.0003243924293201417
train_mse_170200110706,1,0.0003050314844585955
train_mse_170200110706,2,0.00031071394914761186
train_mse_170200110706,3,0.00028768336051143706
train_mse_170200110706,4,0.0003108604287263006
train_mse_170200110706,5,0.00028937458409927785
train_mse_170200110706,6,0.0003173500008415431
train_mse_170200110706,7,0.00029925734270364046
train_mse_170200110706,8,0.0003286353312432766
train_mse_170200110706,9,0.000286464870441705
test_mae_170200090207,0,0.12499154359102249
test_mae_170200090207,1,0.12471984326839447
test_mae_170200090207,2,0.12537731230258942
test_mae_170200090207,3,0.12495657056570053
test_mae_170200090207,4,0.12516790628433228
test_mae_170200090207,5,0.12485206127166748
test_mae_170200090207,6,0.1255701631307602
test_mae_170200090207,7,0.12498459964990616
test_mae_170200090207,8,0.12486241012811661
test_mae_170200090207,9,0.12521903216838837
train_mae_170200110706,0,0.00931522436439991
train_mae_170200110706,1,0.008958025835454464
train_mae_170200110706,2,0.009457748383283615
train_mae_170200110706,3,0.00873218011111021
train_mae_170200110706,4,0.00963280163705349
train_mae_170200110706,5,0.008925295434892178
train_mae_170200110706,6,0.009183443151414394
train_mae_170200110706,7,0.00891285389661789
train_mae_170200110706,8,0.009217389859259129
train_mae_170200110706,9,0.008744858205318451
test_kge_170200110308,0,0.9521161143162312
test_kge_170200110308,1,0.9535658266896143
test_kge_170200110308,2,0.9373957048638087
test_kge_170200110308,3,0.9405203645494463
test_kge_170200110308,4,0.9078269228161642
test_kge_170200110308,5,0.9147385152137436
test_kge_170200110308,6,0.9510678144601155
test_kge_170200110308,7,0.9229400422772432
test_kge_170200110308,8,0.9650150793752977
test_kge_170200110308,9,0.9355188060941424
test_r2_170300020207,0,0.8728041648864746
test_r2_170300020207,1,0.9147493243217468
test_r2_170300020207,2,0.9096876382827759
test_r2_170300020207,3,0.9278953671455383
test_r2_170300020207,4,0.9305031895637512
test_r2_170300020207,5,0.9325594902038574
test_r2_170300020207,6,0.9374950528144836
test_r2_170300020207,7,0.9336389899253845
test_r2_170300020207,8,0.9384045600891113
test_r2_170300020207,9,0.9341232776641846
train_mae_170200090305,0,0.003096389351412654
train_mae_170200090305,1,0.0029284320771694183
train_mae_170200090305,2,0.002957551507279277
train_mae_170200090305,3,0.0026959707029163837
train_mae_170200090305,4,0.0033309427089989185
train_mae_170200090305,5,0.002728663384914398
train_mae_170200090305,6,0.00251720380038023
train_mae_170200090305,7,0.0027714630123227835
train_mae_170200090305,8,0.002643030835315585
train_mae_170200090305,9,0.002699550474062562
train_kge_170200090210,0,-0.41949491279188433
train_kge_170200090210,1,-0.4197703739091827
train_kge_170200090210,2,-0.4185109338213322
train_kge_170200090210,3,-0.4197996643370592
train_kge_170200090210,4,-0.41742481800016384
train_kge_170200090210,5,-0.41848987663148685
train_kge_170200090210,6,-0.4172213507381797
train_kge_170200090210,7,-0.4181588635785749
train_kge_170200090210,8,-0.41813877111376185
train_kge_170200090210,9,-0.4220299026698877
train_r2_170200090210,0,-0.7999767065048218
train_r2_170200090210,1,-0.8000613451004028
train_r2_170200090210,2,-0.7976739406585693
train_r2_170200090210,3,-0.7994170188903809
train_r2_170200090210,4,-0.7953000068664551
train_r2_170200090210,5,-0.7975512742996216
train_r2_170200090210,6,-0.7948484420776367
train_r2_170200090210,7,-0.7968193292617798
train_r2_170200090210,8,-0.7968474626541138
train_r2_170200090210,9,-0.801714301109314
test_mse_170200090303,0,0.00021381051919888705
test_mse_170200090303,1,0.000157635091454722
test_mse_170200090303,2,0.00021221193310339004
test_mse_170200090303,3,0.00013462229981087148
test_mse_170200090303,4,0.0001062665251083672
test_mse_170200090303,5,0.00012315332423895597
test_mse_170200090303,6,9.817392856348306e-05
test_mse_170200090303,7,9.975034481612965e-05
test_mse_170200090303,8,9.212399163516238e-05
test_mse_170200090303,9,9.205390961142257e-05
test_kge_170200090303,0,0.3447734125425216
test_kge_170200090303,1,0.8221120986128915
test_kge_170200090303,2,0.5930409381786579
test_kge_170200090303,3,0.816320093343092
test_kge_170200090303,4,0.897263112055827
test_kge_170200090303,5,0.8322661558371791
test_kge_170200090303,6,0.8284225474245207
test_kge_170200090303,7,0.8015718397600111
test_kge_170200090303,8,0.725485816257515
test_kge_170200090303,9,0.8899153421089511
test_mae_170200090305,0,0.003724828129634261
test_mae_170200090305,1,0.0033485963940620422
test_mae_170200090305,2,0.003459910163655877
test_mae_170200090305,3,0.003303213743492961
test_mae_170200090305,4,0.003731732489541173
test_mae_170200090305,5,0.00337961595505476
test_mae_170200090305,6,0.00320924399420619
test_mae_170200090305,7,0.0034055684227496386
test_mae_170200090305,8,0.0034922799095511436
test_mae_170200090305,9,0.003540316829457879
test_kge_170200090210,0,-0.4196620673160585
test_kge_170200090210,1,-0.4199269612286529
test_kge_170200090210,2,-0.41864031185717865
test_kge_170200090210,3,-0.41981578169634926
test_kge_170200090210,4,-0.4174931178073169
test_kge_170200090210,5,-0.41859485414002373
test_kge_170200090210,6,-0.41731262996966634
test_kge_170200090210,7,-0.41823586278818836
test_kge_170200090210,8,-0.4182161648374738
test_kge_170200090210,9,-0.422383208836719
train_mae_170200090303,0,0.0075515154749155045
train_mae_170200090303,1,0.00641053169965744
train_mae_170200090303,2,0.006853021215647459
train_mae_170200090303,3,0.006269626319408417
train_mae_170200090303,4,0.005495002958923578
train_mae_170200090303,5,0.005859803408384323
train_mae_170200090303,6,0.004809877835214138
train_mae_170200090303,7,0.005305728409439325
train_mae_170200090303,8,0.003920825198292732
train_mae_170200090303,9,0.004271775484085083
test_mae_170200090303,0,0.007184294983744621
test_mae_170200090303,1,0.006575990468263626
test_mae_170200090303,2,0.007277084980159998
test_mae_170200090303,3,0.006544743198901415
test_mae_170200090303,4,0.005609583575278521
test_mae_170200090303,5,0.0060651046223938465
test_mae_170200090303,6,0.00500927260145545
test_mae_170200090303,7,0.005089523736387491
test_mae_170200090303,8,0.004494840279221535
test_mae_170200090303,9,0.004673387389630079
train_mse_170200110308,0,0.0015438981354236603
