Metric,Step,Value
test_kge_170200090111,0,0.9369711266855193
test_r2_170200090104,0,0.916183590888977
test_mse_170200090101,0,0.05779360607266426
test_mse_170200090101,1,0.03743506595492363
test_mse_170200090101,2,0.021584410220384598
test_kge_170200090113,0,0.9005388752006842
test_kge_170200090113,1,0.661406599872232
test_kge_170200090113,2,0.6992374893513871
test_kge_170200090113,3,0.7718429881392084
test_kge_170200090113,4,0.8098673920560421
train_kge_170200090107,0,0.9744499916973556
test_kge_170200090112,0,0.9148529552522963
train_kge_170200090113,0,0.8305305043199108
train_kge_170200090113,1,0.789586685642737
train_kge_170200090113,2,0.8785465646326994
train_kge_170200090113,3,0.8685707024683085
train_kge_170200090113,4,0.9709633827677706
train_kge_170200090204,0,0.9433560041010339
test_mse_170200110103,0,0.014136066660284996
train_kge_170200110108,0,0.9610042293133468
train_r2_170200110104,0,0.9717354774475098
test_r2_170200110105,0,0.8696475028991699
test_kge_170200110102,0,0.9334566018562265
train_r2_170200090101,0,0.6571632623672485
train_r2_170200090101,1,0.7789941430091858
train_r2_170200090101,2,0.8575520515441895
test_r2_170200090111,0,0.9103144407272339
train_mae_170200090104,0,0.06089802458882332
test_r2_170200090105,0,0.9306338429450989
train_kge_170200090105,0,0.9368601909427533
train_mse_170200090109,0,0.004852422513067722
train_kge_170200090201,0,0.9636991603195845
test_mse_170200110106,0,0.012694458477199078
test_kge_170200090114,0,0.752998961269343
test_kge_170200090114,1,0.9374832277075236
test_r2_170200110111,0,0.8232537508010864
train_mae_170200110109,0,0.05261347442865372
train_mae_170200110111,0,0.01660001650452614
test_mse_170200110201,0,0.011158314533531666
train_r2_170200110201,0,0.9470310211181641
test_mae_170200110304,0,0.061328575015068054
test_mae_170200110104,0,0.07424072921276093
test_mae_170200110107,0,0.057552363723516464
test_mae_170200110105,0,0.03347514569759369
test_r2_170200090101,0,0.6626473665237427
test_r2_170200090101,1,0.7814841866493225
test_r2_170200090101,2,0.8740075826644897
train_mae_170200110401,0,0.07826865464448929
test_mse_170200090103,0,0.009365320205688477
train_kge_170200090104,0,0.9749716258250213
train_mse_170200090105,0,0.011823075823485851
