Metric,Step,Value
test_mse_171100050503,0,0.04584095999598503
test_mse_171100050503,1,0.02379462495446205
test_mse_171100050503,2,0.013744871132075787
test_mse_171100050503,3,0.013472362421452999
test_mse_171100050503,4,0.030204707756638527
test_mse_171100050503,5,0.006453174166381359
test_mse_171100050503,6,0.04188152402639389
test_mse_171100050503,7,0.005871098954230547
test_mse_171100050503,8,0.013097859919071198
test_mse_171100050503,9,0.005190846975892782
test_mse_171100050503,10,0.017289739102125168
test_mse_171100050503,11,0.026907404884696007
test_mse_171100050503,12,0.003959199413657188
test_mse_171100050503,13,0.048621177673339844
test_mse_171100050503,14,0.009415317326784134
test_mse_171100050503,15,0.045720331370830536
test_mse_171100050503,16,0.01251137349754572
test_kge_171100050503,0,0.49755915279344476
test_kge_171100050503,1,0.6719118933678949
test_kge_171100050503,2,0.846240087372268
test_kge_171100050503,3,0.79015567248772
test_kge_171100050503,4,0.6039076802190337
test_kge_171100050503,5,0.9687234119038167
test_kge_171100050503,6,0.5379886998179833
test_kge_171100050503,7,0.9707422554347993
test_kge_171100050503,8,0.7780553449427202
test_kge_171100050503,9,0.9435084136404511
test_kge_171100050503,10,0.6910816182699464
test_kge_171100050503,11,0.6448692758203319
test_kge_171100050503,12,0.9744864670252702
test_kge_171100050503,13,0.47100266057642104
test_kge_171100050503,14,0.8421861536459423
test_kge_171100050503,15,0.4968994916191115
test_kge_171100050503,16,0.7839516516041737
test_r2_171100050503,0,0.667975664138794
test_r2_171100050503,1,0.8276564478874207
test_r2_171100050503,2,0.9004464149475098
test_r2_171100050503,3,0.902420163154602
test_r2_171100050503,4,0.7812284231185913
test_r2_171100050503,5,0.9532598853111267
test_r2_171100050503,6,0.6966537237167358
test_r2_171100050503,7,0.9574758410453796
test_r2_171100050503,8,0.9051327109336853
test_r2_171100050503,9,0.962402880191803
test_r2_171100050503,10,0.8747710585594177
test_r2_171100050503,11,0.8051106929779053
test_r2_171100050503,12,0.9713236689567566
test_r2_171100050503,13,0.6478387117385864
test_r2_171100050503,14,0.9318051934242249
test_r2_171100050503,15,0.6688493490219116
test_r2_171100050503,16,0.9093806147575378
test_mae_171100050503,0,0.15478359162807465
test_mae_171100050503,1,0.10415281355381012
test_mae_171100050503,2,0.07394377887248993
test_mae_171100050503,3,0.06592494994401932
test_mae_171100050503,4,0.12017463892698288
test_mae_171100050503,5,0.05016882345080376
test_mae_171100050503,6,0.13934935629367828
test_mae_171100050503,7,0.046249136328697205
test_mae_171100050503,8,0.0790773257613182
test_mae_171100050503,9,0.0464608259499073
test_mae_171100050503,10,0.08936147391796112
test_mae_171100050503,11,0.11478455364704132
test_mae_171100050503,12,0.03882038593292236
test_mae_171100050503,13,0.16726744174957275
test_mae_171100050503,14,0.06291444599628448
test_mae_171100050503,15,0.15861427783966064
test_mae_171100050503,16,0.07128702849149704
test_mse_171100050903,0,0.03376302123069763
test_mse_171100050903,1,0.016541318967938423
test_mse_171100050903,2,0.010884759947657585
test_mse_171100050903,3,0.012722666375339031
test_mse_171100050903,4,0.01358109712600708
test_mse_171100050903,5,0.02461991272866726
test_mse_171100050903,6,0.01062854751944542
test_mse_171100050903,7,0.015267041511833668
test_mse_171100050903,8,0.015413631685078144
test_mse_171100050903,9,0.012795447371900082
test_mse_171100050903,10,0.023249495774507523
test_mse_171100050903,11,0.011145604774355888
test_mse_171100050903,12,0.01975397951900959
test_mse_171100050903,13,0.023093076422810555
test_mse_171100050903,14,0.005206653848290443
test_mse_171100050903,15,0.007994787767529488
test_mse_171100050903,16,0.009340828284621239
test_kge_171100050903,0,0.37787231583606495
test_kge_171100050903,1,0.7518970228408709
test_kge_171100050903,2,0.7555490888451457
test_kge_171100050903,3,0.8389438235780339
test_kge_171100050903,4,0.7104163687812174
test_kge_171100050903,5,0.5242733916064608
test_kge_171100050903,6,0.8957828336614941
test_kge_171100050903,7,0.7460233885932395
test_kge_171100050903,8,0.6282045165571
test_kge_171100050903,9,0.7267157239310214
test_kge_171100050903,10,0.44541922110333276
test_kge_171100050903,11,0.7525462765844686
test_kge_171100050903,12,0.5978575869935253
test_kge_171100050903,13,0.47842858537460164
test_kge_171100050903,14,0.94670613597225
test_kge_171100050903,15,0.8324184334264083
test_kge_171100050903,16,0.8887278456979893
test_r2_171100050903,0,0.48788154125213623
test_r2_171100050903,1,0.7491008043289185
test_r2_171100050903,2,0.8348996639251709
test_r2_171100050903,3,0.807022213935852
test_r2_171100050903,4,0.7940015196800232
test_r2_171100050903,5,0.6265644431114197
test_r2_171100050903,6,0.8387858867645264
test_r2_171100050903,7,0.7684290409088135
test_r2_171100050903,8,0.7662055492401123
test_r2_171100050903,9,0.805918276309967
test_r2_171100050903,10,0.6473509669303894
test_r2_171100050903,11,0.8309431076049805
test_r2_171100050903,12,0.7003710269927979
test_r2_171100050903,13,0.6497235298156738
test_r2_171100050903,14,0.9210253357887268
test_r2_171100050903,15,0.878734827041626
test_r2_171100050903,16,0.858318030834198
test_mae_171100050903,0,0.11316743493080139
test_mae_171100050903,1,0.0781906470656395
test_mae_171100050903,2,0.06301543861627579
test_mae_171100050903,3,0.06828349083662033
test_mae_171100050903,4,0.06884729862213135
test_mae_171100050903,5,0.09482868760824203
test_mae_171100050903,6,0.0633382797241211
test_mae_171100050903,7,0.0755087286233902
test_mae_171100050903,8,0.08008908480405807
test_mae_171100050903,9,0.06900138407945633
test_mae_171100050903,10,0.10027942806482315
test_mae_171100050903,11,0.06327997148036957
test_mae_171100050903,12,0.08670413494110107
test_mae_171100050903,13,0.09526481479406357
test_mae_171100050903,14,0.044359635561704636
test_mae_171100050903,15,0.05364793911576271
test_mae_171100050903,16,0.05831071734428406
test_mse_171100090401,0,0.010343167930841446
test_mse_171100090401,1,0.016268150880932808
test_mse_171100090401,2,0.01923052966594696
test_mse_171100090401,3,0.040772534906864166
test_mse_171100090401,4,0.00723985256627202
test_mse_171100090401,5,0.07013050466775894
test_mse_171100090401,6,0.018038973212242126
test_mse_171100090401,7,0.050128351897001266
test_mse_171100090401,8,0.0055824811570346355
test_mse_171100090401,9,0.04359344765543938
test_mse_171100090401,10,0.09126964211463928
test_mse_171100090401,11,0.00754874013364315
test_mse_171100090401,12,0.0581904761493206
test_mse_171100090401,13,0.003355314489454031
test_mse_171100090401,14,0.021577322855591774
test_mse_171100090401,15,0.005092560313642025
test_mse_171100090401,16,0.0192885585129261
test_kge_171100090401,0,0.9584247212536844
test_kge_171100090401,1,0.8039692073251931
test_kge_171100090401,2,0.7722472714863411
test_kge_171100090401,3,0.6130937491685826
test_kge_171100090401,4,0.8838110337681031
test_kge_171100090401,5,0.4783288189896302
test_kge_171100090401,6,0.7674654972342041
test_kge_171100090401,7,0.5688627786995065
test_kge_171100090401,8,0.8862583088803999
test_kge_171100090401,9,0.5756293887538058
test_kge_171100090401,10,0.3544714123065966
test_kge_171100090401,11,0.9059761029491772
test_kge_171100090401,12,0.5175982201496149
test_kge_171100090401,13,0.9447481823426573
test_kge_171100090401,14,0.7122998104900444
test_kge_171100090401,15,0.8791104666331127
test_kge_171100090401,16,0.7667397497195828
test_r2_171100090401,0,0.9532210826873779
test_r2_171100090401,1,0.9264242053031921
test_r2_171100090401,2,0.9130262732505798
test_r2_171100090401,3,0.8155984282493591
test_r2_171100090401,4,0.9672563672065735
test_r2_171100090401,5,0.6828214526176453
test_r2_171100090401,6,0.9184153079986572
test_r2_171100090401,7,0.7732849717140198
test_r2_171100090401,8,0.9747521877288818
test_r2_171100090401,9,0.8028403520584106
test_r2_171100090401,10,0.5872156620025635
test_r2_171100090401,11,0.9658594131469727
test_r2_171100090401,12,0.7368224859237671
test_r2_171100090401,13,0.9848249554634094
test_r2_171100090401,14,0.9024124145507812
test_r2_171100090401,15,0.9769679307937622
test_r2_171100090401,16,0.9127638339996338
test_mae_171100090401,0,0.06685740500688553
test_mae_171100090401,1,0.07979671657085419
test_mae_171100090401,2,0.08970573544502258
test_mae_171100090401,3,0.13537408411502838
test_mae_171100090401,4,0.05292876809835434
test_mae_171100090401,5,0.18315410614013672
test_mae_171100090401,6,0.08661634474992752
test_mae_171100090401,7,0.1515352576971054
test_mae_171100090401,8,0.04739290103316307
test_mae_171100090401,9,0.14442850649356842
test_mae_171100090401,10,0.21469523012638092
test_mae_171100090401,11,0.054676834493875504
test_mae_171100090401,12,0.1662977635860443
test_mae_171100090401,13,0.036927904933691025
test_mae_171100090401,14,0.09638773649930954
test_mae_171100090401,15,0.04608980938792229
test_mae_171100090401,16,0.09036064147949219
test_mse_170200100203,0,0.05184224620461464
test_mse_170200100203,1,0.03136422857642174
test_mse_170200100203,2,0.014685254544019699
test_mse_170200100203,3,0.022226639091968536
test_mse_170200100203,4,0.036962177604436874
test_mse_170200100203,5,0.01074911281466484
test_mse_170200100203,6,0.05731873959302902
test_mse_170200100203,7,0.009446816518902779
test_mse_170200100203,8,0.015262250788509846
test_mse_170200100203,9,0.00450211763381958
test_mse_170200100203,10,0.014616540633141994
