Metric,Step,Value
test_mse_170602080601,0,0.0013507475377991796
test_mse_170602080601,1,0.0051654065027832985
test_mse_170602080601,2,0.002534873317927122
test_mse_170602080601,3,0.001065751421265304
test_mse_170602080601,4,0.0011126426979899406
test_mse_170602080601,5,0.001205925946123898
test_mse_170602080601,6,0.0022842020262032747
test_mse_170602080601,7,0.0008102469728328288
test_mse_170602080601,8,0.0012181478086858988
test_mse_170602080601,9,0.0021435345988720655
test_mse_170602080601,10,0.0010259909322485328
test_mse_170602080601,11,0.0036749239079654217
test_mse_170602080601,12,0.0026328819803893566
test_mse_170602080601,13,0.0013762952294200659
test_mse_170602080601,14,0.0009579025791026652
test_mse_170602080601,15,0.0027319244109094143
test_mse_170602080601,16,0.0019900985062122345
test_mse_170602080601,17,0.003945223521441221
test_mse_170602080601,18,0.001785961678251624
test_mse_170602080601,19,0.0010905519593507051
test_mse_170602080601,20,0.00045448352466337383
test_mse_170602080601,21,0.0008532183710485697
test_mse_170602080601,22,0.0022511829156428576
test_mse_170602080601,23,0.011536795645952225
test_r2_170602080505,0,0.9284392595291138
test_r2_170602080505,1,0.6823204159736633
test_r2_170602080505,2,0.81954026222229
test_r2_170602080505,3,0.9138322472572327
test_r2_170602080505,4,0.9352471232414246
test_r2_170602080505,5,0.9729391932487488
test_r2_170602080505,6,0.9629348516464233
test_r2_170602080505,7,0.9202284812927246
test_r2_170602080505,8,0.9606471061706543
test_r2_170602080505,9,0.9742878675460815
test_r2_170602080505,10,0.9691901803016663
test_r2_170602080505,11,0.9609380960464478
test_r2_170602080505,12,0.956419825553894
test_r2_170602080505,13,0.9111799001693726
test_r2_170602080505,14,0.9538577198982239
test_r2_170602080505,15,0.9575664401054382
test_r2_170602080505,16,0.971909761428833
test_r2_170602080505,17,0.949410617351532
test_r2_170602080505,18,0.9647238254547119
test_r2_170602080505,19,0.9784400463104248
test_r2_170602080505,20,0.9577444195747375
test_r2_170602080505,21,0.9403043985366821
test_r2_170602080505,22,0.8695052862167358
test_mse_170300030101,0,0.0017943145940080285
test_mse_170300030101,1,0.011097352020442486
test_mse_170300030101,2,0.00797973945736885
test_mse_170300030101,3,0.002677957760170102
test_mse_170300030101,4,0.0023559601977467537
test_mse_170300030101,5,0.0018305934499949217
test_mse_170300030101,6,0.0020329144317656755
test_mse_170300030101,7,0.004007285926491022
test_mse_170300030101,8,0.0010324555914849043
test_mse_170300030101,9,0.0015825959853827953
test_mse_170300030101,10,0.002060543280094862
test_mse_170300030101,11,0.0019095869502052665
test_mse_170300030101,12,0.0015790854813531041
test_mse_170300030101,13,0.0029660628642886877
test_mse_170300030101,14,0.0018367215525358915
test_mse_170300030101,15,0.004582464694976807
test_mse_170300030101,16,0.001370597048662603
test_mse_170300030101,17,0.0017759063048288226
test_mse_170300030101,18,0.0018997449660673738
test_mse_170300030101,19,0.0016619304660707712
test_mse_170300030101,20,0.00193955865688622
test_mse_170300030101,21,0.00439489958807826
test_mse_170300030101,22,0.01094078365713358
test_mse_170300030101,23,0.005995648447424173
test_recur_mae_170300030101,0,0.06322599202394485
test_recur_mae_170300030101,1,0.055660974234342575
test_recur_mae_170300030101,2,0.04667288437485695
test_recur_mae_170300030101,3,0.025632908567786217
test_recur_mae_170300030101,4,0.030641688033938408
test_recur_mae_170300030101,5,0.023882538080215454
test_recur_mae_170300030101,6,0.04146313667297363
test_recur_mae_170300030101,7,0.031300414353609085
test_recur_mae_170300030101,8,0.025322197005152702
test_recur_mae_170300030101,9,0.032055918127298355
test_recur_mae_170300030101,10,0.020867982879281044
test_recur_mae_170300030101,11,0.02877742238342762
test_recur_mae_170300030101,12,0.01932378113269806
test_recur_mae_170300030101,13,0.057140134274959564
test_recur_mae_170300030101,14,0.06683919578790665
test_recur_mae_170300030101,15,0.022886214777827263
test_recur_mae_170300030101,16,0.023312775418162346
test_recur_mae_170300030101,17,0.024745820090174675
test_recur_mae_170300030101,18,0.025596842169761658
test_recur_mae_170300030101,19,0.021443767473101616
test_recur_mae_170300030101,20,0.03157048299908638
test_recur_mae_170300030101,21,0.05204948037862778
test_recur_mae_170300030101,22,0.0593857616186142
test_recur_mae_170300030101,23,0.11713308095932007
test_r2_170103040201,0,0.949403703212738
test_r2_170103040201,1,0.7861484289169312
test_r2_170103040201,2,0.8729116916656494
test_r2_170103040201,3,0.9808452129364014
test_r2_170103040201,4,0.973974347114563
test_r2_170103040201,5,0.9787289500236511
test_r2_170103040201,6,0.935856819152832
test_r2_170103040201,7,0.9188302755355835
test_r2_170103040201,8,0.9688450694084167
test_r2_170103040201,9,0.9489640593528748
test_r2_170103040201,10,0.9810622334480286
test_r2_170103040201,11,0.8896879553794861
test_r2_170103040201,12,0.9102063775062561
test_r2_170103040201,13,0.974111795425415
test_r2_170103040201,14,0.9584944248199463
test_r2_170103040201,15,0.6336185932159424
test_r2_170103040201,16,0.9435444474220276
test_r2_170103040201,17,0.9376358389854431
test_r2_170103040201,18,0.9662212133407593
test_r2_170103040201,19,0.9783501029014587
test_r2_170103040201,20,0.9802142381668091
test_r2_170103040201,21,0.9402413964271545
test_r2_170103040201,22,0.7643289566040039
test_r2_170602070702,0,0.9451102614402771
test_r2_170602070702,1,0.7097725868225098
test_r2_170602070702,2,0.8004019260406494
test_r2_170602070702,3,0.9304231405258179
test_r2_170602070702,4,0.9392051100730896
test_r2_170602070702,5,0.9766501784324646
test_r2_170602070702,6,0.961050808429718
test_r2_170602070702,7,0.9259266257286072
test_r2_170602070702,8,0.9797863960266113
test_r2_170602070702,9,0.9707181453704834
test_r2_170602070702,10,0.965044379234314
test_r2_170602070702,11,0.9645626544952393
test_r2_170602070702,12,0.9590268731117249
test_r2_170602070702,13,0.8901487588882446
test_r2_170602070702,14,0.9620782136917114
test_r2_170602070702,15,0.9311667680740356
test_r2_170602070702,16,0.9740286469459534
test_r2_170602070702,17,0.962614893913269
test_r2_170602070702,18,0.9689858555793762
test_r2_170602070702,19,0.9775224924087524
test_r2_170602070702,20,0.9536409378051758
test_r2_170602070702,21,0.9254882335662842
test_r2_170602070702,22,0.8186824321746826
test_r2_170602070702,23,0.6331466436386108
test_recur_r2_170602070502,0,0.8768873810768127
test_recur_r2_170602070502,1,0.8492541313171387
test_recur_r2_170602070502,2,0.8795538544654846
test_recur_r2_170602070502,3,0.9147258996963501
test_recur_r2_170602070502,4,0.9080732464790344
test_recur_r2_170602070502,5,0.7093132734298706
test_recur_r2_170602070502,6,0.9222388863563538
test_recur_r2_170602070502,7,0.8874316215515137
test_recur_r2_170602070502,8,0.687616229057312
test_recur_r2_170602070502,9,0.926306426525116
test_recur_r2_170602070502,10,0.8110790252685547
test_recur_r2_170602070502,11,0.6277271509170532
test_recur_r2_170602070502,12,0.8410017490386963
test_recur_r2_170602070502,13,0.8090840578079224
test_recur_r2_170602070502,14,-0.1523747444152832
