Metric,Step,Value
test_mse_170300010402,0,0.0017311011906713247
test_mse_170300010402,1,0.003095027292147279
test_mse_170300010402,2,0.0007377956644631922
test_mse_170300010402,3,0.0023189594503492117
test_mse_170300010402,4,0.003660737071186304
test_mse_170300010402,5,0.004670822527259588
test_mse_170300010402,6,0.0014631893718615174
test_mse_170300010402,7,0.0024486000183969736
test_mse_170300010402,8,0.0007291899528354406
test_mse_170300010402,9,0.004165697377175093
test_mse_170300010402,10,0.0018174779834225774
test_mse_170300010402,11,0.0013668347382918
test_mse_170300010402,12,0.0022651227191090584
test_mse_170300010402,13,0.0011617443524301052
test_mse_170300010402,14,0.0010047837859019637
test_mse_170300010402,15,0.0006203256780281663
test_mse_170300010402,16,0.0014582742005586624
test_mse_170300010402,17,0.0014750610571354628
test_mse_170300010402,18,0.0027704129461199045
test_mse_170300010402,19,0.0006522888434119523
test_mse_170300010402,20,0.0010362728498876095
test_mse_170300010402,21,0.0006093780975788832
test_mse_170300010402,22,0.0021757499780505896
test_mse_170300010402,23,0.0028682176489382982
test_mse_170300010402,24,0.0010134759359061718
test_mse_170300010402,25,0.0009991048136726022
test_mse_170300010402,26,0.000597224454395473
test_mse_170300010402,27,0.0014664424816146493
test_mse_170300010402,28,0.0010504616657271981
test_mse_170300010402,29,0.0013632950140163302
test_kge_170300010402,0,0.7889562338733732
test_kge_170300010402,1,0.6078532331673641
test_kge_170300010402,2,0.9037799195597094
test_kge_170300010402,3,0.6746138574611888
test_kge_170300010402,4,0.5537021951095364
test_kge_170300010402,5,0.48259223078432767
test_kge_170300010402,6,0.7796252312784118
test_kge_170300010402,7,0.6505205762995487
test_kge_170300010402,8,0.9546283493858985
test_kge_170300010402,9,0.5162197579103491
test_kge_170300010402,10,0.71601110657069
test_kge_170300010402,11,0.7805616167611169
test_kge_170300010402,12,0.6617656264120592
test_kge_170300010402,13,0.8987266899583534
test_kge_170300010402,14,0.9500047890195027
test_kge_170300010402,15,0.9787407679348121
test_kge_170300010402,16,0.7978822917444943
test_kge_170300010402,17,0.7558717956838814
test_kge_170300010402,18,0.6114038476519716
test_kge_170300010402,19,0.9189330314817108
test_kge_170300010402,20,0.8719567561829693
test_kge_170300010402,21,0.9609175220673037
test_kge_170300010402,22,0.7067243239565573
test_kge_170300010402,23,0.6600164377493818
test_kge_170300010402,24,0.8571228262894053
test_kge_170300010402,25,0.9438317206052885
test_kge_170300010402,26,0.94628916540889
test_kge_170300010402,27,0.7695156317574868
test_kge_170300010402,28,0.8412745523621268
test_kge_170300010402,29,0.8273936562651375
test_r2_170300010402,0,0.9050748348236084
test_r2_170300010402,1,0.8302837610244751
test_r2_170300010402,2,0.9595428705215454
test_r2_170300010402,3,0.8728395700454712
test_r2_170300010402,4,0.7992630004882812
test_r2_170300010402,5,0.7438747882843018
test_r2_170300010402,6,0.919765830039978
test_r2_170300010402,7,0.8657306432723999
test_r2_170300010402,8,0.9600147604942322
test_r2_170300010402,9,0.7715734243392944
test_r2_170300010402,10,0.900338351726532
test_r2_170300010402,11,0.9250494241714478
test_r2_170300010402,12,0.8757916688919067
test_r2_170300010402,13,0.9362955689430237
test_r2_170300010402,14,0.9449025392532349
test_r2_170300010402,15,0.9659843444824219
test_r2_170300010402,16,0.9200353622436523
test_r2_170300010402,17,0.9191148281097412
test_r2_170300010402,18,0.848084032535553
test_r2_170300010402,19,0.9642316699028015
test_r2_170300010402,20,0.9431758522987366
test_r2_170300010402,21,0.9665846824645996
test_r2_170300010402,22,0.8806924819946289
test_r2_170300010402,23,0.8427208662033081
test_r2_170300010402,24,0.9444259405136108
test_r2_170300010402,25,0.9452139735221863
test_r2_170300010402,26,0.9672511219978333
test_r2_170300010402,27,0.9195874333381653
test_r2_170300010402,28,0.9423977732658386
test_r2_170300010402,29,0.9252434968948364
test_mse_170300030101,0,0.0021265216637402773
test_mse_170300030101,1,0.00827878899872303
test_mse_170300030101,2,0.0027836242225021124
test_mse_170300030101,3,0.0025368519127368927
test_mse_170300030101,4,0.00562678137794137
test_mse_170300030101,5,0.006688238587230444
test_mse_170300030101,6,0.0025771665386855602
test_mse_170300030101,7,0.005061517469584942
test_mse_170300030101,8,0.0007960667717270553
test_mse_170300030101,9,0.006923227570950985
test_mse_170300030101,10,0.004355736076831818
test_mse_170300030101,11,0.002463708631694317
test_mse_170300030101,12,0.004169457126408815
test_mse_170300030101,13,0.0011647751089185476
test_mse_170300030101,14,0.0016298883128911257
test_mse_170300030101,15,0.0007473700097762048
test_mse_170300030101,16,0.0019293096847832203
