Metric,Step,Value
test_mse_170200090101,0,0.20986606180667877
test_mse_170200090101,1,0.08934134989976883
test_mse_170200090101,2,0.043629128485918045
test_mse_170200090101,3,0.031224431470036507
test_mse_170200090101,4,0.031592052429914474
test_mse_170200090101,5,0.02760734222829342
test_mse_170200090101,6,0.020499899983406067
test_mse_170200090101,7,0.019726568832993507
test_mse_170200090101,8,0.03605225309729576
test_mse_170200090101,9,0.022839833050966263
test_r2_170200090103,0,0.9101821780204773
test_r2_170200090103,1,0.9267019629478455
test_r2_170200090103,2,0.9166853427886963
test_r2_170200090103,3,0.9012383818626404
test_r2_170200090103,4,0.9306902885437012
test_r2_170200090103,5,0.9116265177726746
test_r2_170200090103,6,0.9291749000549316
test_r2_170200090103,7,0.9274083971977234
test_r2_170200090103,8,0.9107058048248291
test_r2_170200090103,9,0.9199746251106262
train_mse_170200090103,0,0.011353670619428158
train_mse_170200090103,1,0.0108408872038126
train_mse_170200090103,2,0.011893963441252708
train_mse_170200090103,3,0.012223634868860245
train_mse_170200090103,4,0.0101307462900877
train_mse_170200090103,5,0.010699615813791752
train_mse_170200090103,6,0.0104839988052845
train_mse_170200090103,7,0.011119453236460686
train_mse_170200090103,8,0.010231735184788704
train_mse_170200090103,9,0.009665348567068577
train_r2_170200090104,0,0.9247201085090637
train_r2_170200090104,1,0.9317816495895386
train_r2_170200090104,2,0.9160719513893127
train_r2_170200090104,3,0.9369027018547058
train_r2_170200090104,4,0.9260019063949585
train_r2_170200090104,5,0.9458610415458679
train_r2_170200090104,6,0.9500274658203125
train_r2_170200090104,7,0.9390535950660706
train_r2_170200090104,8,0.9461981654167175
train_r2_170200090104,9,0.9478045701980591
train_kge_170200090103,0,0.9520362348922276
train_kge_170200090103,1,0.9447115121643268
train_kge_170200090103,2,0.9144884244368481
train_kge_170200090103,3,0.9563312906162456
train_kge_170200090103,4,0.9357089896038967
train_kge_170200090103,5,0.920258170890919
train_kge_170200090103,6,0.912272475179901
train_kge_170200090103,7,0.8876863476134315
train_kge_170200090103,8,0.9232910812301566
train_kge_170200090103,9,0.9644824960594856
train_r2_170200090102,0,0.867776095867157
train_r2_170200090102,1,0.8820387721061707
train_r2_170200090102,2,0.8720568418502808
train_r2_170200090102,3,0.8847593665122986
train_r2_170200090102,4,0.9027971029281616
train_r2_170200090102,5,0.9116517901420593
train_r2_170200090102,6,0.8864010572433472
train_r2_170200090102,7,0.8630009293556213
train_r2_170200090102,8,0.9191394448280334
train_r2_170200090102,9,0.8882996439933777
test_r2_170200090102,0,0.8763555884361267
test_r2_170200090102,1,0.8765852451324463
test_r2_170200090102,2,0.8955680131912231
test_r2_170200090102,3,0.8858414888381958
test_r2_170200090102,4,0.8983182907104492
