Metric,Step,Value
train_mse_170200090208,0,0.07093881815671921
train_mse_170200090208,1,0.07078087329864502
train_mse_170200090208,2,0.011445978656411171
train_mse_170200090208,3,0.008809803985059261
train_mse_170200090208,4,0.008011596277356148
train_mse_170200090208,5,0.008823308162391186
train_mse_170200090208,6,0.005798399914056063
train_mse_170200090208,7,0.004969960078597069
train_mse_170200090208,8,0.005100632086396217
train_mse_170200090208,9,0.003305428195744753
train_mse_170200090208,10,0.004145194310694933
train_mse_170200090208,11,0.0035805869847536087
train_mse_170200090208,12,0.002791845239698887
train_mse_170200090208,13,0.0029051583260297775
train_mse_170200090208,14,0.0022417556028813124
train_mse_170200090208,15,0.0025613242760300636
train_mse_170200090208,16,0.0019926901441067457
train_mse_170200090208,17,0.002169247018173337
train_mse_170200090208,18,0.002058741869404912
train_mse_170200090208,19,0.002075341995805502
train_mse_170200090208,20,0.002074888441711664
train_mse_170200090208,21,0.001904692267999053
train_mse_170200090208,22,0.002264101756736636
train_mse_170200090208,23,0.0018687676638364792
train_mse_170200090208,24,0.00192388822324574
train_mse_170200090208,25,0.0020541397389024496
train_mse_170200090208,26,0.0019428202649578452
train_mse_170200090208,27,0.0021349654998630285
train_mse_170200090208,28,0.002390316454693675
train_mse_170200090208,29,0.0025193775072693825
train_kge_170200090208,0,-0.42445639749835085
train_kge_170200090208,1,-0.4226447626811023
train_kge_170200090208,2,0.7674046438010973
train_kge_170200090208,3,0.8140010594122323
train_kge_170200090208,4,0.8753849827387843
train_kge_170200090208,5,0.8322415202920251
train_kge_170200090208,6,0.9137548381830225
train_kge_170200090208,7,0.9353680521579192
train_kge_170200090208,8,0.8659306105024163
train_kge_170200090208,9,0.9575697923564533
train_kge_170200090208,10,0.8472602417347043
train_kge_170200090208,11,0.9502264941877079
train_kge_170200090208,12,0.9220860998857625
train_kge_170200090208,13,0.846102205255417
train_kge_170200090208,14,0.9672582098777425
train_kge_170200090208,15,0.8920515053878689
train_kge_170200090208,16,0.9661052900983689
train_kge_170200090208,17,0.9671567312388789
train_kge_170200090208,18,0.9495151524520493
train_kge_170200090208,19,0.9515844710569645
train_kge_170200090208,20,0.9232005445750264
train_kge_170200090208,21,0.9731235272915029
train_kge_170200090208,22,0.9022096343103387
train_kge_170200090208,23,0.9740021982754696
train_kge_170200090208,24,0.9680600991872323
train_kge_170200090208,25,0.9314705810166606
train_kge_170200090208,26,0.9442492153557087
train_kge_170200090208,27,0.9141019654777365
train_kge_170200090208,28,0.8904596857353884
train_kge_170200090208,29,0.890900872658859
test_mae_170200090208,0,0.1776784211397171
test_mae_170200090208,1,0.177062526345253
test_mae_170200090208,2,0.07541462779045105
test_mae_170200090208,3,0.06406842917203903
test_mae_170200090208,4,0.057945214211940765
test_mae_170200090208,5,0.05696207284927368
test_mae_170200090208,6,0.04575325921177864
test_mae_170200090208,7,0.044502142816782
test_mae_170200090208,8,0.04617023468017578
test_mae_170200090208,9,0.04214225709438324
test_mae_170200090208,10,0.04123957082629204
test_mae_170200090208,11,0.04434782266616821
test_mae_170200090208,12,0.04155311733484268
test_mae_170200090208,13,0.03799440339207649
test_mae_170200090208,14,0.038300398737192154
test_mae_170200090208,15,0.04401903972029686
test_mae_170200090208,16,0.03756909817457199
test_mae_170200090208,17,0.04020147770643234
test_mae_170200090208,18,0.037406500428915024
test_mae_170200090208,19,0.03738657757639885
test_mae_170200090208,20,0.03724728152155876
test_mae_170200090208,21,0.03751657158136368
test_mae_170200090208,22,0.0374690443277359
test_mae_170200090208,23,0.038919273763895035
test_mae_170200090208,24,0.03851791098713875
test_mae_170200090208,25,0.036873698234558105
test_mae_170200090208,26,0.03714102506637573
test_mae_170200090208,27,0.04427466168999672
test_mae_170200090208,28,0.04451562836766243
test_mae_170200090208,29,0.046908825635910034
train_mae_170200090208,0,0.1804024875164032
train_mae_170200090208,1,0.17979586124420166
train_mae_170200090208,2,0.06772046536207199
train_mae_170200090208,3,0.060499656945466995
train_mae_170200090208,4,0.05779009312391281
train_mae_170200090208,5,0.053954243659973145
train_mae_170200090208,6,0.04590781033039093
train_mae_170200090208,7,0.04315609857439995
train_mae_170200090208,8,0.045741550624370575
train_mae_170200090208,9,0.035065073519945145
train_mae_170200090208,10,0.040513671934604645
train_mae_170200090208,11,0.03751726821064949
train_mae_170200090208,12,0.03363214060664177
train_mae_170200090208,13,0.03268055245280266
train_mae_170200090208,14,0.029303818941116333
train_mae_170200090208,15,0.030866779386997223
train_mae_170200090208,16,0.027250900864601135
train_mae_170200090208,17,0.028523553162813187
train_mae_170200090208,18,0.026552971452474594
train_mae_170200090208,19,0.026875801384449005
train_mae_170200090208,20,0.02719292603433132
train_mae_170200090208,21,0.02629411593079567
train_mae_170200090208,22,0.028623811900615692
train_mae_170200090208,23,0.026189036667346954
train_mae_170200090208,24,0.025870269164443016
train_mae_170200090208,25,0.026445506140589714
train_mae_170200090208,26,0.025864358991384506
train_mae_170200090208,27,0.028760788962244987
train_mae_170200090208,28,0.031028253957629204
train_mae_170200090208,29,0.03134647011756897
test_kge_170200090208,0,-0.4242048868086614
test_kge_170200090208,1,-0.42262140339054355
test_kge_170200090208,2,0.6985233953766838
test_kge_170200090208,3,0.7587758675032346
test_kge_170200090208,4,0.8774494322832449
test_kge_170200090208,5,0.8231069875886353
test_kge_170200090208,6,0.9175727974524758
test_kge_170200090208,7,0.9332864399799989
test_kge_170200090208,8,0.8500445889915986
test_kge_170200090208,9,0.9287603391534888
test_kge_170200090208,10,0.8792766372970016
test_kge_170200090208,11,0.891757558888898
test_kge_170200090208,12,0.8580107459128007
test_kge_170200090208,13,0.8834608629489908
test_kge_170200090208,14,0.9130722316578719
test_kge_170200090208,15,0.814644168448631
test_kge_170200090208,16,0.9422107980961951
test_kge_170200090208,17,0.9329381820086865
test_kge_170200090208,18,0.9477646680632789
test_kge_170200090208,19,0.9442141235933137
test_kge_170200090208,20,0.9521427448420263
test_kge_170200090208,21,0.9148042638122391
test_kge_170200090208,22,0.9452672815777373
test_kge_170200090208,23,0.9036589039605099
test_kge_170200090208,24,0.9007297552552149
test_kge_170200090208,25,0.9530890043989287
test_kge_170200090208,26,0.9509176025080671
test_kge_170200090208,27,0.8364915545483196
test_kge_170200090208,28,0.8175127140978933
test_kge_170200090208,29,0.8147259049954969
train_r2_170200090208,0,-0.8218941688537598
train_r2_170200090208,1,-0.8178379535675049
train_r2_170200090208,2,0.7060373425483704
train_r2_170200090208,3,0.7737411856651306
train_r2_170200090208,4,0.7942413091659546
train_r2_170200090208,5,0.7733944058418274
train_r2_170200090208,6,0.851081907749176
train_r2_170200090208,7,0.8723584413528442
train_r2_170200090208,8,0.8690024614334106
train_r2_170200090208,9,0.9151079654693604
train_r2_170200090208,10,0.8935405611991882
train_r2_170200090208,11,0.9080411791801453
train_r2_170200090208,12,0.9282981157302856
train_r2_170200090208,13,0.9253879189491272
train_r2_170200090208,14,0.9424258470535278
train_r2_170200090208,15,0.9342185258865356
train_r2_170200090208,16,0.9488224983215332
