Metric,Step,Value
test_kge_170200100503,0,-0.8983797277372145
test_kge_170200100503,1,-0.8793985610458968
test_kge_170200100503,2,-0.8627447884837938
test_kge_170200100503,3,-0.841999720512477
test_kge_170200100503,4,-0.8416058167490066
test_kge_170200100503,5,-0.8005123713213804
test_kge_170200100503,6,-0.7752944513162843
test_kge_170200100503,7,-0.7918636644753803
test_kge_170200100503,8,-0.8066294950774204
test_kge_170200100503,9,-0.8230066958818909
train_mse_170200100505,0,0.00017699651652947068
train_mse_170200100505,1,0.0001762375613907352
train_mse_170200100505,2,0.0001746211783029139
train_mse_170200100505,3,0.00012098436855012551
train_mse_170200100505,4,6.950167880859226e-05
train_mse_170200100505,5,7.180710963439196e-05
train_mse_170200100505,6,5.565894389292225e-05
train_mse_170200100505,7,6.097609002608806e-05
train_mse_170200100505,8,5.565829269471578e-05
train_mse_170200100505,9,4.4132375478511676e-05
train_r2_170200100506,0,0.7401055097579956
train_r2_170200100506,1,0.811667263507843
train_r2_170200100506,2,0.8205830454826355
train_r2_170200100506,3,0.8206692337989807
train_r2_170200100506,4,0.7211501598358154
train_r2_170200100506,5,0.7920143604278564
train_r2_170200100506,6,0.8687289953231812
train_r2_170200100506,7,0.8145249485969543
train_r2_170200100506,8,0.8336300849914551
train_r2_170200100506,9,0.8852985501289368
train_r2_171100070104,0,-0.32774317264556885
train_r2_171100070104,1,-0.3271200656890869
train_r2_171100070104,2,-0.32727622985839844
train_r2_171100070104,3,-0.32718348503112793
train_r2_171100070104,4,-0.3266552686691284
train_r2_171100070104,5,-0.3268378973007202
train_r2_171100070104,6,-0.3251434564590454
train_r2_171100070104,7,-0.3264894485473633
train_r2_171100070104,8,-0.32589006423950195
train_r2_171100070104,9,-0.32633447647094727
train_mse_170103040605,0,0.00846098642796278
train_mse_170103040605,1,0.008460355922579765
train_mse_170103040605,2,0.008459526114165783
train_mse_170103040605,3,0.008458423428237438
train_mse_170103040605,4,0.008456761948764324
train_mse_170103040605,5,0.008453203365206718
train_mse_170103040605,6,0.008448170498013496
train_mse_170103040605,7,0.008420034311711788
train_mse_170103040605,8,0.008277134969830513
train_mse_170103040605,9,0.008152070455253124
test_mse_171100070107,0,0.0006251761224120855
test_mse_171100070107,1,0.0005351938307285309
test_mse_171100070107,2,0.0005184418405406177
test_mse_171100070107,3,0.0005345404497347772
test_mse_171100070107,4,0.0005180570879019797
test_mse_171100070107,5,0.000511999533046037
test_mse_171100070107,6,0.0005024531856179237
test_mse_171100070107,7,0.0005086534656584263
test_mse_171100070107,8,0.0004958657664246857
test_mse_171100070107,9,0.0004828994569834322
train_r2_171100070107,0,0.7244880795478821
train_r2_171100070107,1,0.8109229207038879
train_r2_171100070107,2,0.8251945972442627
