Metric,Step,Value
test_mse_170103020301,0,0.0009416543180122972
test_mse_170103020301,1,0.0009594595758244395
test_mse_170103020301,2,0.0009939955780282617
test_mse_170103020301,3,0.0009070031810551882
test_mse_170103020301,4,0.0009267435525543988
test_mse_170103020301,5,0.0009220127831213176
test_mse_170103020301,6,0.0008957326062954962
test_mse_170103020301,7,0.0008972084033302963
test_mse_170103020301,8,0.0008765895618125796
test_mse_170103020301,9,0.0008727377862669528
test_kge_170103020301,0,0.8838214941868543
test_kge_170103020301,1,0.8939876633115769
test_kge_170103020301,2,0.8601804451629746
test_kge_170103020301,3,0.888863515180625
test_kge_170103020301,4,0.8834957276806976
test_kge_170103020301,5,0.8914738418848548
test_kge_170103020301,6,0.8869101706792516
test_kge_170103020301,7,0.898237551976858
test_kge_170103020301,8,0.8971047616736869
test_kge_170103020301,9,0.9133601410003693
test_r2_170103020301,0,0.8800206780433655
test_r2_170103020301,1,0.8777520656585693
test_r2_170103020301,2,0.8733516931533813
test_r2_170103020301,3,0.8844357132911682
test_r2_170103020301,4,0.8819205164909363
test_r2_170103020301,5,0.8825232982635498
test_r2_170103020301,6,0.8858717083930969
test_r2_170103020301,7,0.8856837153434753
test_r2_170103020301,8,0.8883107900619507
test_r2_170103020301,9,0.8888015747070312
test_mae_170300010509,0,0.02592080645263195
test_mae_170300010509,1,0.026817327365279198
test_mae_170300010509,2,0.02521883137524128
test_mae_170300010509,3,0.028654372319579124
test_mae_170300010509,4,0.02741638571023941
test_mae_170300010509,5,0.027125418186187744
test_mae_170300010509,6,0.026857277378439903
test_mae_170300010509,7,0.02788490615785122
test_mae_170300010509,8,0.029159387573599815
test_mae_170300010509,9,0.026523135602474213
train_mse_170300010602,0,0.0002057328529190272
train_mse_170300010602,1,0.0002366208063904196
train_mse_170300010602,2,0.00020950437465216964
train_mse_170300010602,3,0.00022846557840239257
train_mse_170300010602,4,0.00020637272973544896
train_mse_170300010602,5,0.00020899386436212808
train_mse_170300010602,6,0.00022239272948354483
train_mse_170300010602,7,0.0002218433510279283
train_mse_170300010602,8,0.00021058459242340177
train_mse_170300010602,9,0.00020255340496078134
train_kge_170300020109,0,0.9758691900275496
train_kge_170300020109,1,0.9709604964863456
train_kge_170300020109,2,0.9832238851730624
train_kge_170300020109,3,0.9738746580545193
train_kge_170300020109,4,0.9874574219773549
train_kge_170300020109,5,0.9825064893191229
train_kge_170300020109,6,0.9871857412988719
train_kge_170300020109,7,0.9906404283967005
train_kge_170300020109,8,0.9892920017271817
train_kge_170300020109,9,0.9890649227415181
test_r2_170300010509,0,0.9485812783241272
test_r2_170300010509,1,0.9450112581253052
test_r2_170300010509,2,0.9517230987548828
test_r2_170300010509,3,0.9379346966743469
test_r2_170300010509,4,0.9431774616241455
test_r2_170300010509,5,0.9436786770820618
test_r2_170300010509,6,0.944107174873352
test_r2_170300010509,7,0.9395889639854431
test_r2_170300010509,8,0.9372652769088745
test_r2_170300010509,9,0.9455289840698242
test_mse_170200090209,0,0.002020533662289381
test_mse_170200090209,1,0.0020514382049441338
test_mse_170200090209,2,0.0015151476254686713
test_mse_170200090209,3,0.0016038295580074191
test_mse_170200090209,4,0.0017398189520463347
test_mse_170200090209,5,0.0019310642965137959
test_mse_170200090209,6,0.0017357900505885482
test_mse_170200090209,7,0.0017072493210434914
test_mse_170200090209,8,0.002165485406294465
test_mse_170200090209,9,0.0018151409458369017
test_r2_170300010602,0,0.9417070150375366
test_r2_170300010602,1,0.9266840815544128
test_r2_170300010602,2,0.9311634302139282
test_r2_170300010602,3,0.9183984398841858
test_r2_170300010602,4,0.9248551726341248
test_r2_170300010602,5,0.92408287525177
test_r2_170300010602,6,0.920942485332489
test_r2_170300010602,7,0.915778398513794
test_r2_170300010602,8,0.9171198606491089
test_r2_170300010602,9,0.9164283275604248
train_r2_170300010602,0,0.978732705116272
train_r2_170300010602,1,0.9755397439002991
train_r2_170300010602,2,0.9783428311347961
train_r2_170300010602,3,0.9763827919960022
train_r2_170300010602,4,0.9786666035652161
train_r2_170300010602,5,0.9783956408500671
train_r2_170300010602,6,0.9770105481147766
train_r2_170300010602,7,0.9770673513412476
train_r2_170300010602,8,0.9782311916351318
train_r2_170300010602,9,0.9790614247322083
test_mse_170300020201,0,0.0010218486422672868
test_mse_170300020201,1,0.0010820413008332253
test_mse_170300020201,2,0.0010257550748065114
test_mse_170300020201,3,0.0010811855318024755
test_mse_170300020201,4,0.0011190868681296706
test_mse_170300020201,5,0.00117269076872617
test_mse_170300020201,6,0.001048367121256888
test_mse_170300020201,7,0.001054145279340446
test_mse_170300020201,8,0.0011357306502759457
test_mse_170300020201,9,0.0011492129415273666
test_mae_170300020201,0,0.019078776240348816
test_mae_170300020201,1,0.02024655230343342
test_mae_170300020201,2,0.019541509449481964
test_mae_170300020201,3,0.019487706944346428
test_mae_170300020201,4,0.020206399261951447
test_mae_170300020201,5,0.020987724885344505
test_mae_170300020201,6,0.019698238000273705
test_mae_170300020201,7,0.019391529262065887
test_mae_170300020201,8,0.02012946829199791
test_mae_170300020201,9,0.020869165658950806
test_mse_170200090302,0,0.00039944981108419597
test_mse_170200090302,1,0.00039447113522328436
test_mse_170200090302,2,0.0003938681911677122
test_mse_170200090302,3,0.00044265823089517653
test_mse_170200090302,4,0.00045567320194095373
test_mse_170200090302,5,0.0004365386557765305
test_mse_170200090302,6,0.00046802355791442096
test_mse_170200090302,7,0.0004717273695860058
test_mse_170200090302,8,0.0004911473952233791
test_mse_170200090302,9,0.0004402978520374745
test_kge_170300030102,0,0.8509698582349453
test_kge_170300030102,1,0.861515395599436
test_kge_170300030102,2,0.8790577445372214
test_kge_170300030102,3,0.916954839105301
test_kge_170300030102,4,0.8982807654922931
test_kge_170300030102,5,0.9296482054965436
test_kge_170300030102,6,0.9180228644337592
test_kge_170300030102,7,0.8935340751714228
test_kge_170300030102,8,0.9158806256940358
test_kge_170300030102,9,0.9093579252147606
train_mse_170200090302,0,0.0003357641398906708
train_mse_170200090302,1,0.00036766164703294635
train_mse_170200090302,2,0.00031713853240944445
train_mse_170200090302,3,0.00031240982934832573
train_mse_170200090302,4,0.0002950099587906152
train_mse_170200090302,5,0.0002834203187376261
train_mse_170200090302,6,0.00032409359118901193
train_mse_170200090302,7,0.00029880713555030525
train_mse_170200090302,8,0.0003202073567081243
