Metric,Step,Value
test_kge_170200090209,0,0.8202282218816335
test_kge_170200090209,1,0.8139410736988613
test_kge_170200090209,2,0.7888505456277661
test_kge_170200090209,3,0.7968894207641547
test_kge_170200090209,4,0.8149888268221159
test_kge_170200090209,5,0.8205349802003554
test_kge_170200090209,6,0.8164160453831165
test_kge_170200090209,7,0.7800412487371453
test_kge_170200090209,8,0.774847813030898
test_kge_170200090209,9,0.8080069085897028
test_kge_170200090209,10,0.7912270572927206
test_kge_170200090209,11,0.8210588607232172
test_kge_170200090209,12,0.7576444317397695
test_kge_170200090209,13,0.8065656185161849
test_kge_170200090209,14,0.8195212031470317
test_kge_170200090209,15,0.7714364345422692
test_kge_170200090209,16,0.7912464721391086
test_kge_170200090209,17,0.7988300988894361
test_kge_170200090209,18,0.8186319949527142
test_kge_170200090209,19,0.787256555554292
test_kge_170200090209,20,0.7711934953111881
test_kge_170200090209,21,0.7773538476482302
test_kge_170200090209,22,0.7495020465201574
test_kge_170200090209,23,0.785922987529226
test_kge_170200090209,24,0.7891897111845841
test_kge_170200090209,25,0.7965228957606083
test_kge_170200090209,26,0.766319841425786
test_kge_170200090209,27,0.6871095890886144
test_kge_170200090209,28,0.7998451639374218
test_kge_170200090209,29,0.7850680721273743
test_mse_170200110405,0,0.04161148890852928
test_mse_170200110405,1,0.04357437789440155
test_mse_170200110405,2,0.0415714755654335
test_mse_170200110405,3,0.04525499790906906
test_mse_170200110405,4,0.04096595197916031
test_mse_170200110405,5,0.0392274484038353
test_mse_170200110405,6,0.03818593919277191
test_mse_170200110405,7,0.04098980501294136
test_mse_170200110405,8,0.04102429375052452
test_mse_170200110405,9,0.043108683079481125
test_mse_170200110405,10,0.039097581058740616
test_mse_170200110405,11,0.043342068791389465
test_mse_170200110405,12,0.042170893400907516
test_mse_170200110405,13,0.04533196985721588
test_mse_170200110405,14,0.04225056990981102
test_mse_170200110405,15,0.04507909342646599
test_mse_170200110405,16,0.045728567987680435
test_mse_170200110405,17,0.042066145688295364
test_mse_170200110405,18,0.03989658132195473
test_mse_170200110405,19,0.041626352816820145
test_mse_170200110405,20,0.04265568405389786
test_mse_170200110405,21,0.04066675528883934
test_mse_170200110405,22,0.040526412427425385
test_mse_170200110405,23,0.04023393616080284
test_mse_170200110405,24,0.042617883533239365
test_mse_170200110405,25,0.041212767362594604
test_mse_170200110405,26,0.04189889878034592
test_mse_170200110405,27,0.042537931352853775
test_mse_170200110405,28,0.04083859920501709
test_mse_170200110405,29,0.04059521108865738
test_kge_170200110603,0,0.6682896336391941
test_kge_170200110603,1,0.5431477952147312
test_kge_170200110603,2,0.5629352499665252
test_kge_170200110603,3,0.5986982797244089
test_kge_170200110603,4,0.6506469121619061
test_kge_170200110603,5,0.6348488780236116
test_kge_170200110603,6,0.6867567602371504
test_kge_170200110603,7,0.7113561835079786
test_kge_170200110603,8,0.6455376206505727
test_kge_170200110603,9,0.6789300543486434
test_kge_170200110603,10,0.5026944368248869
test_kge_170200110603,11,0.5016828559806921
test_kge_170200110603,12,0.49015437364222547
test_kge_170200110603,13,0.6026312485477101
test_kge_170200110603,14,0.6885736829783483
test_kge_170200110603,15,0.4781896026620436
test_kge_170200110603,16,0.5946086605576149
test_kge_170200110603,17,0.5312817768751255
test_kge_170200110603,18,0.46925044776360525
test_kge_170200110603,19,0.6034242306128166
test_kge_170200110603,20,0.6891240612823544
test_kge_170200110603,21,0.4772367363673323
test_kge_170200110603,22,0.5439689308279407
test_kge_170200110603,23,0.5892702061963289
test_kge_170200110603,24,0.678894971275424
test_kge_170200110603,25,0.6067036268132462
test_kge_170200110603,26,0.7469565301552283
test_kge_170200110603,27,0.7589364326353683
test_kge_170200110603,28,0.7316623352294015
test_kge_170200110603,29,0.726442358414755
test_kge_170200110105,0,0.6629944914431174
test_kge_170200110105,1,0.6621746319871651
test_kge_170200110105,2,0.6922564931676333
test_kge_170200110105,3,0.6501529760683544
test_kge_170200110105,4,0.6540800304728582
test_kge_170200110105,5,0.6658345033682495
test_kge_170200110105,6,0.6423938398392576
test_kge_170200110105,7,0.6751249495022693
test_kge_170200110105,8,0.6548985868969985
test_kge_170200110105,9,0.6945565724543277
test_kge_170200110105,10,0.6862296030541017
test_kge_170200110105,11,0.6750230254473959
test_kge_170200110105,12,0.6597515678652679
test_kge_170200110105,13,0.6440196193797494
test_kge_170200110105,14,0.668110948605325
test_kge_170200110105,15,0.6793335167008141
test_kge_170200110105,16,0.6932978363686157
test_kge_170200110105,17,0.6597816835478757
test_kge_170200110105,18,0.6324189869273134
test_kge_170200110105,19,0.6578346619793457
test_kge_170200110105,20,0.7019981340612862
test_kge_170200110105,21,0.666950954743494
test_kge_170200110105,22,0.6778845447651578
test_kge_170200110105,23,0.6588044088623036
test_kge_170200110105,24,0.6353090717062293
test_kge_170200110105,25,0.7008798908468741
test_kge_170200110105,26,0.5923888021309642
test_kge_170200110105,27,0.6575882615967801
test_kge_170200110105,28,0.6417971664125524
test_kge_170200110105,29,0.6645905598640269
test_mse_170200090210,0,0.0037207170389592648
test_mse_170200090210,1,0.0035191895440220833
test_mse_170200090210,2,0.0033746727276593447
test_mse_170200090210,3,0.0031219583470374346
test_mse_170200090210,4,0.0031152786687016487
test_mse_170200090210,5,0.00305398041382432
test_mse_170200090210,6,0.003008688800036907
test_mse_170200090210,7,0.002949368441477418
test_mse_170200090210,8,0.0029705362394452095
test_mse_170200090210,9,0.002890275325626135
test_mse_170200090210,10,0.002854673657566309
test_mse_170200090210,11,0.0028425059281289577
test_mse_170200090210,12,0.0028506224043667316
test_mse_170200090210,13,0.002839599037542939
test_mse_170200090210,14,0.0028018243610858917
test_mse_170200090210,15,0.0028759927954524755
test_mse_170200090210,16,0.003136472078040242
test_mse_170200090210,17,0.0027904005255550146
test_mse_170200090210,18,0.00288912164978683
test_mse_170200090210,19,0.002891853451728821
test_mse_170200090210,20,0.002877018414437771
test_mse_170200090210,21,0.0029438408091664314
test_mse_170200090210,22,0.002872960176318884
test_mse_170200090210,23,0.0027865434531122446
