Metric,Step,Value
test_mse_170200090208,0,0.01862558349967003
test_mse_170200090208,1,0.010341176763176918
test_mse_170200090208,2,0.008519439026713371
test_mse_170200090208,3,0.00702692149206996
test_mse_170200090208,4,0.007114751730114222
test_mse_170200090208,5,0.006927067879587412
test_mse_170200090208,6,0.00875086709856987
test_mse_170200090208,7,0.006493973080068827
test_mse_170200090208,8,0.006110073067247868
test_mse_170200090208,9,0.008870409801602364
test_mae_170200090301,0,0.025230081751942635
test_mae_170200090301,1,0.02590889297425747
test_mae_170200090301,2,0.022639328613877296
test_mae_170200090301,3,0.02981577068567276
test_mae_170200090301,4,0.022876745089888573
test_mae_170200090301,5,0.026153696700930595
test_mae_170200090301,6,0.022504104301333427
test_mae_170200090301,7,0.02512875385582447
test_mae_170200090301,8,0.024082500487565994
test_mae_170200090301,9,0.021419662982225418
test_mae_170200090208,0,0.09170357882976532
test_mae_170200090208,1,0.06452931463718414
test_mae_170200090208,2,0.05447812378406525
test_mae_170200090208,3,0.05177132040262222
test_mae_170200090208,4,0.05263993889093399
test_mae_170200090208,5,0.05451479181647301
test_mae_170200090208,6,0.06258035451173782
test_mae_170200090208,7,0.04830915480852127
test_mae_170200090208,8,0.04747246578335762
test_mae_170200090208,9,0.06153931841254234
test_r2_170200090209,0,0.8157039284706116
test_r2_170200090209,1,0.8623420596122742
test_r2_170200090209,2,0.7660536766052246
test_r2_170200090209,3,0.8485574126243591
test_r2_170200090209,4,0.8613967299461365
test_r2_170200090209,5,0.8087176084518433
test_r2_170200090209,6,0.8794565200805664
test_r2_170200090209,7,0.8480062484741211
test_r2_170200090209,8,0.8425414562225342
test_r2_170200090209,9,0.8317936062812805
train_mse_170200090209,0,0.006883492227643728
train_mse_170200090209,1,0.007622743956744671
train_mse_170200090209,2,0.006852048449218273
train_mse_170200090209,3,0.006324913818389177
train_mse_170200090209,4,0.006001119036227465
train_mse_170200090209,5,0.006066391244530678
train_mse_170200090209,6,0.006077220197767019
train_mse_170200090209,7,0.008880168199539185
train_mse_170200090209,8,0.008170894347131252
train_mse_170200090209,9,0.008188500069081783
test_mse_170200090301,0,0.0020034792833030224
test_mse_170200090301,1,0.001883343094959855
test_mse_170200090301,2,0.0018131142714992166
test_mse_170200090301,3,0.0022141144145280123
test_mse_170200090301,4,0.0017430743901059031
test_mse_170200090301,5,0.0019665509462356567
test_mse_170200090301,6,0.0017851897282525897
test_mse_170200090301,7,0.0020436227787286043
test_mse_170200090301,8,0.001953685423359275
test_mse_170200090301,9,0.0014825654216110706
test_mae_170200090302,0,0.01796002686023712
test_mae_170200090302,1,0.018559014424681664
test_mae_170200090302,2,0.01869587041437626
test_mae_170200090302,3,0.01856871321797371
test_mae_170200090302,4,0.01840287074446678
test_mae_170200090302,5,0.026893675327301025
test_mae_170200090302,6,0.02679874189198017
test_mae_170200090302,7,0.018563339486718178
test_mae_170200090302,8,0.01919780857861042
test_mae_170200090302,9,0.018332697451114655
train_mse_170200090208,0,0.017023896798491478
train_mse_170200090208,1,0.010133571922779083
train_mse_170200090208,2,0.009023739956319332
train_mse_170200090208,3,0.006809001788496971
train_mse_170200090208,4,0.006090597715228796
train_mse_170200090208,5,0.006581529974937439
train_mse_170200090208,6,0.008684871718287468
train_mse_170200090208,7,0.00624209875240922
train_mse_170200090208,8,0.005910466890782118
train_mse_170200090208,9,0.006898605730384588
train_kge_170200090208,0,0.6504303754676959
train_kge_170200090208,1,0.716665747171421
train_kge_170200090208,2,0.6902550251698678
train_kge_170200090208,3,0.864464533551679
train_kge_170200090208,4,0.8960958397068193
train_kge_170200090208,5,0.8532290953933345
train_kge_170200090208,6,0.7922765241159684
train_kge_170200090208,7,0.8322680161955827
train_kge_170200090208,8,0.8246129056247816
train_kge_170200090208,9,0.86944198922785
test_mse_170200090209,0,0.00911265704780817
test_mse_170200090209,1,0.006806599907577038
test_mse_170200090209,2,0.01156765315681696
test_mse_170200090209,3,0.007488192990422249
test_mse_170200090209,4,0.006853342987596989
test_mse_170200090209,5,0.00945810042321682
test_mse_170200090209,6,0.005960362963378429
test_mse_170200090209,7,0.007515444420278072
test_mse_170200090209,8,0.007785657420754433
test_mse_170200090209,9,0.008317091502249241
train_kge_170200090209,0,0.9168447192715685
train_kge_170200090209,1,0.842700660130184
train_kge_170200090209,2,0.9041552097530867
