Metric,Step,Value
train_kge_170200110103,0,0.9885156889828914
train_kge_170200110103,1,0.9560539930556662
train_kge_170200110103,2,0.987394383477065
train_kge_170200110103,3,0.9858140067383092
train_kge_170200110103,4,0.9654646132729249
train_kge_170200110103,5,0.9744380551014229
train_kge_170200110103,6,0.9574438436817808
train_kge_170200110103,7,0.9806913595527941
train_kge_170200110103,8,0.9813385616869342
train_kge_170200110103,9,0.9694143455122801
train_kge_170200090204,0,0.9766231789573299
train_kge_170200090204,1,0.9763484025670053
train_kge_170200090204,2,0.9752861880394829
train_kge_170200090204,3,0.9816528332199977
train_kge_170200090204,4,0.9809667197045908
train_kge_170200090204,5,0.9389170027172267
train_kge_170200090204,6,0.9789125932525351
train_kge_170200090204,7,0.9503028832659028
train_kge_170200090204,8,0.9674700265583699
train_kge_170200090204,9,0.9823464328990446
test_mse_170200110105,0,0.002431402215734124
test_mse_170200110105,1,0.0019029119284823537
test_mse_170200110105,2,0.001786521403118968
test_mse_170200110105,3,0.0018714219331741333
test_mse_170200110105,4,0.001645885407924652
test_mse_170200110105,5,0.0020626517944037914
test_mse_170200110105,6,0.0022304155863821507
test_mse_170200110105,7,0.002096643438562751
test_mse_170200110105,8,0.002392406342551112
test_mse_170200110105,9,0.00182156334631145
test_mse_171100050703,0,0.01216776855289936
test_mse_171100050703,1,0.011581637896597385
test_mse_171100050703,2,0.011965255253016949
test_mse_171100050703,3,0.011347492225468159
test_mse_171100050703,4,0.01102332305163145
test_mse_171100050703,5,0.010054456070065498
test_mse_171100050703,6,0.011018292978405952
test_mse_171100050703,7,0.009575621224939823
test_mse_171100050703,8,0.011533359065651894
test_mse_171100050703,9,0.011575525626540184
test_kge_171100050701,0,0.9515109583147532
test_kge_171100050701,1,0.9595760227604696
test_kge_171100050701,2,0.9689608910162623
test_kge_171100050701,3,0.9386327868981611
test_kge_171100050701,4,0.9392008851754188
test_kge_171100050701,5,0.9477505261918813
test_kge_171100050701,6,0.9401043316909412
test_kge_171100050701,7,0.944484594873617
test_kge_171100050701,8,0.9499155986898647
test_kge_171100050701,9,0.9406707502298307
train_kge_171100050701,0,0.974005185713833
train_kge_171100050701,1,0.9855615273073868
train_kge_171100050701,2,0.9784069583974676
train_kge_171100050701,3,0.9697018266260458
train_kge_171100050701,4,0.9717999360488166
train_kge_171100050701,5,0.9738800291687035
train_kge_171100050701,6,0.9733186420270965
train_kge_171100050701,7,0.9783737339500632
train_kge_171100050701,8,0.9826039942310996
train_kge_171100050701,9,0.9736499392233156
test_mse_170200090204,0,0.004130976274609566
test_mse_170200090204,1,0.003837939817458391
test_mse_170200090204,2,0.003993473947048187
test_mse_170200090204,3,0.0038132681511342525
test_mse_170200090204,4,0.0045028566382825375
test_mse_170200090204,5,0.004424418788403273
test_mse_170200090204,6,0.0044912053272128105
test_mse_170200090204,7,0.004754540044814348
test_mse_170200090204,8,0.0043483092449605465
test_mse_170200090204,9,0.004262307658791542
test_mse_170200110101,0,0.0061363885179162025
test_mse_170200110101,1,0.004997551441192627
test_mse_170200110101,2,0.0048021115362644196
test_mse_170200110101,3,0.00496361730620265
test_mse_170200110101,4,0.005533823277801275
test_mse_170200110101,5,0.005154439713805914
test_mse_170200110101,6,0.005562780424952507
test_mse_170200110101,7,0.005074689164757729
test_mse_170200110101,8,0.004753001965582371
test_mse_170200110101,9,0.0048246728256344795
test_mse_170200110106,0,0.005579150747507811
test_mse_170200110106,1,0.00520153297111392
test_mse_170200110106,2,0.005198367405682802
test_mse_170200110106,3,0.004876433406025171
test_mse_170200110106,4,0.0049898684956133366
test_mse_170200110106,5,0.005164862610399723
test_mse_170200110106,6,0.0050603896379470825
test_mse_170200110106,7,0.00550720002502203
test_mse_170200110106,8,0.004944631364196539
test_mse_170200110106,9,0.005074955057352781
train_kge_171100050703,0,0.9717716500896048
train_kge_171100050703,1,0.9628507219764842
train_kge_171100050703,2,0.9792357928110017
train_kge_171100050703,3,0.9821425252922562
train_kge_171100050703,4,0.9735246715739327
train_kge_171100050703,5,0.9770333160401411
train_kge_171100050703,6,0.9838876573295552
train_kge_171100050703,7,0.9835459213099621
train_kge_171100050703,8,0.9613589092935938
train_kge_171100050703,9,0.985216593068112
test_r2_170200090204,0,0.9549282789230347
test_r2_170200090204,1,0.9581255316734314
test_r2_170200090204,2,0.9564285278320312
test_r2_170200090204,3,0.9583947062492371
test_r2_170200090204,4,0.9508708119392395
test_r2_170200090204,5,0.9517266750335693
test_r2_170200090204,6,0.9509979486465454
test_r2_170200090204,7,0.9481248259544373
test_r2_170200090204,8,0.9525570273399353
test_r2_170200090204,9,0.9534953832626343
test_r2_170200110103,0,0.963054895401001
test_r2_170200110103,1,0.9738181233406067
test_r2_170200110103,2,0.9730803370475769
test_r2_170200110103,3,0.9703720211982727
test_r2_170200110103,4,0.9699264764785767
test_r2_170200110103,5,0.9702829718589783
test_r2_170200110103,6,0.9740034341812134
test_r2_170200110103,7,0.9710564017295837
test_r2_170200110103,8,0.9698208570480347
test_r2_170200110103,9,0.971562385559082
train_mae_170200110106,0,0.038133010268211365
train_mae_170200110106,1,0.03518972545862198
train_mae_170200110106,2,0.034148477017879486
train_mae_170200110106,3,0.03379814326763153
train_mae_170200110106,4,0.032828912138938904
train_mae_170200110106,5,0.0328625813126564
train_mae_170200110106,6,0.03165186196565628
train_mae_170200110106,7,0.03335757926106453
train_mae_170200110106,8,0.03050631284713745
train_mae_170200110106,9,0.031056255102157593
train_mse_171100050704,0,0.002637706231325865
train_mse_171100050704,1,0.0038370841648429632
train_mse_171100050704,2,0.002427389845252037
train_mse_171100050704,3,0.002704513492062688
train_mse_171100050704,4,0.0025887161027640104
train_mse_171100050704,5,0.0025506634265184402
train_mse_171100050704,6,0.0031225986313074827
train_mse_171100050704,7,0.002538842847570777
train_mse_171100050704,8,0.002690968569368124
train_mse_171100050704,9,0.0028571276925504208
train_mse_170200110104,0,0.001608266611583531
train_mse_170200110104,1,0.0015524973860010505
train_mse_170200110104,2,0.0015629499685019255
train_mse_170200110104,3,0.0015243894886225462
train_mse_170200110104,4,0.0015504014445468783
train_mse_170200110104,5,0.001574630499817431
train_mse_170200110104,6,0.001541474717669189
train_mse_170200110104,7,0.001495098345912993
train_mse_170200110104,8,0.0015618186444044113
train_mse_170200110104,9,0.0014761026250198483
train_kge_170200110104,0,0.9945423887398801
train_kge_170200110104,1,0.9755733995873149
train_kge_170200110104,2,0.9924357554276532
train_kge_170200110104,3,0.9796674917801586
train_kge_170200110104,4,0.9799686870031774
train_kge_170200110104,5,0.967618212185389
train_kge_170200110104,6,0.9811212924906358
train_kge_170200110104,7,0.995118781366774
train_kge_170200110104,8,0.9783183397214519
train_kge_170200110104,9,0.985649614454182
train_mse_171100050702,0,0.003943243995308876
train_mse_171100050702,1,0.0033190858084708452
train_mse_171100050702,2,0.003390614641830325
train_mse_171100050702,3,0.0036852320190519094
train_mse_171100050702,4,0.0034402611199766397
train_mse_171100050702,5,0.0033959094434976578
train_mse_171100050702,6,0.003612315282225609
train_mse_171100050702,7,0.0032785304356366396
train_mse_171100050702,8,0.0038584412541240454
train_mse_171100050702,9,0.00358728040009737
train_mse_170200090204,0,0.002869133371859789
train_mse_170200090204,1,0.002648593857884407
train_mse_170200090204,2,0.0025584285613149405
train_mse_170200090204,3,0.0024754528421908617
train_mse_170200090204,4,0.0023964608553797007
train_mse_170200090204,5,0.00271694827824831
train_mse_170200090204,6,0.002551661804318428
train_mse_170200090204,7,0.002438209718093276
train_mse_170200090204,8,0.002345070242881775
train_mse_170200090204,9,0.002458190079778433
train_r2_170200090204,0,0.9631990194320679
train_r2_170200090204,1,0.9660277366638184
