Metric,Step,Value
test_r2_170300020201,0,0.8962031006813049
test_r2_170300020201,1,0.9082450866699219
test_r2_170300020201,2,0.8449914455413818
test_r2_170300020201,3,0.9003291130065918
test_r2_170300020201,4,0.8976172804832458
test_r2_170300020201,5,0.9077017903327942
test_r2_170300020201,6,0.8774420022964478
test_r2_170300020201,7,0.9092623591423035
test_r2_170300020201,8,0.9089996814727783
train_mae_170300020201,0,0.035883646458387375
train_mae_170300020201,1,0.03560134768486023
train_mae_170300020201,2,0.04172053933143616
train_mae_170300020201,3,0.03602775186300278
train_mae_170300020201,4,0.034163568168878555
train_mae_170300020201,5,0.03220934420824051
train_mae_170300020201,6,0.04138818383216858
train_mae_170300020201,7,0.03593689203262329
train_mae_170300020201,8,0.03113606944680214
test_kge_170300020202,0,0.9402927027096367
test_kge_170300020202,1,0.857185555485201
test_kge_170300020202,2,0.6898890023876262
test_kge_170300020202,3,0.3249750241868652
test_kge_170300020202,4,0.8878570450357831
test_kge_170300020202,5,0.8645073927173884
test_kge_170300020202,6,0.8925190290516781
test_kge_170300020202,7,0.8942193972458125
test_kge_170300020202,8,0.4620941055607626
test_kge_170300020202,9,0.5949168975385849
train_mse_170300020201,0,0.003740950720384717
train_mse_170300020201,1,0.0034303157590329647
train_mse_170300020201,2,0.004884629976004362
train_mse_170300020201,3,0.0035087571013718843
train_mse_170300020201,4,0.00383566552773118
train_mse_170300020201,5,0.0031720248516649008
train_mse_170300020201,6,0.004228264559060335
train_mse_170300020201,7,0.003702939720824361
train_mse_170300020201,8,0.0030634913127869368
test_r2_170300020202,0,0.9062550067901611
test_r2_170300020202,1,0.9093025922775269
test_r2_170300020202,2,0.8657628297805786
test_r2_170300020202,3,0.5427076816558838
test_r2_170300020202,4,0.9173206686973572
test_r2_170300020202,5,0.9263242483139038
test_r2_170300020202,6,0.9034169912338257
test_r2_170300020202,7,0.910145103931427
test_r2_170300020202,8,0.6559361219406128
test_r2_170300020202,9,0.780029833316803
train_r2_170300020206,0,0.932288646697998
train_r2_170300020206,1,0.946047306060791
train_mse_170300020203,0,0.00442543113604188
train_mse_170300020203,1,0.002980778692290187
train_mse_170300020203,2,0.0064541129395365715
train_mse_170300020203,3,0.0045110504142940044
train_mse_170300020203,4,0.0033772194292396307
train_mse_170300020203,5,0.0020676953718066216
train_mse_170300020203,6,0.0024466849863529205
train_mse_170300020203,7,0.0046680341474711895
train_mse_170300020203,8,0.002107280073687434
train_mse_170300020203,9,0.0036960195284336805
train_kge_170300030602,0,0.8750954247973471
train_kge_170300030602,1,0.9502719729952975
test_mse_170300020206,0,0.0031828812789171934
test_mse_170300020206,1,0.002623838372528553
train_kge_170300020202,0,0.785029912056673
train_kge_170300020202,1,0.8973875704278045
train_kge_170300020202,2,0.733256400694983
train_kge_170300020202,3,0.3796129910318975
train_kge_170300020202,4,0.9047064730313377
train_kge_170300020202,5,0.8936838249341241
train_kge_170300020202,6,0.8943898843978572
train_kge_170300020202,7,0.910798200057282
train_kge_170300020202,8,0.5043781948400397
train_kge_170300020202,9,0.5792826930227468
train_mse_170300020308,0,0.0012248065322637558
train_mse_170300020308,1,0.001622192794457078
train_mse_170300020308,2,0.0009606880485080183
train_mse_170300020308,3,0.0007626019068993628
train_mse_170300020308,4,0.000523866736330092
train_mse_170300020308,5,0.0005281834746710956
train_mse_170300020308,6,0.000568412069696933
train_mse_170300020308,7,0.00044808207894675434
train_mse_170300020308,8,0.00040629514842294157
train_mse_170300020308,9,0.00038778301677666605
train_mse_170300030602,0,0.0012626780662685633
train_mse_170300030602,1,0.0010613520862534642
train_mse_170200100102,0,0.0022715888917446136
train_mse_170200100102,1,0.0016580133233219385
train_mse_170200100102,2,0.0016903480282053351
train_mse_170200100102,3,0.0015340974787250161
train_mse_170200100102,4,0.0013699812116101384
train_mse_170200100102,5,0.0027275329921394587
train_mse_170200100102,6,0.00213620625436306
train_mse_170200100102,7,0.0016610919265076518
train_mse_170200100102,8,0.002592290984466672
train_mse_170200100102,9,0.004021983128041029
test_mse_170200100101,0,0.013987143523991108
test_mse_170200100101,1,0.006380895618349314
test_mse_170200100101,2,0.007524465210735798
test_mse_170200100101,3,0.00805035512894392
test_mse_170200100101,4,0.008759727701544762
test_mse_170200100101,5,0.00842675194144249
test_mse_170200100101,6,0.006397110875695944
test_mse_170200100101,7,0.009653059765696526
test_mse_170200100101,8,0.006690402515232563
test_r2_170300020205,0,0.8784804940223694
test_r2_170300020205,1,0.7842108011245728
test_r2_170300020205,2,0.8493145108222961
test_r2_170300020205,3,0.893027126789093
test_r2_170300020205,4,0.9144611954689026
test_r2_170300020205,5,0.8983219861984253
test_r2_170300020205,6,0.7924799919128418
test_r2_170300020205,7,0.9264094233512878
test_r2_170300020205,8,0.9224342107772827
test_mse_170300020201,0,0.0027634557336568832
test_mse_170300020201,1,0.002442854456603527
test_mse_170300020201,2,0.0041268980130553246
test_mse_170300020201,3,0.0026536062359809875
test_mse_170300020201,4,0.0027258049231022596
test_mse_170300020201,5,0.0024573178961873055
test_mse_170300020201,6,0.003262944519519806
test_mse_170300020201,7,0.0024157692678272724
test_mse_170300020201,8,0.002422763267531991
train_r2_170300020201,0,0.9081844091415405
train_r2_170300020201,1,0.9158084392547607
train_r2_170300020201,2,0.8801146745681763
train_r2_170300020201,3,0.9138832688331604
train_r2_170300020201,4,0.9058598279953003
train_r2_170300020201,5,0.922147810459137
train_r2_170300020201,6,0.8962240815162659
train_r2_170300020201,7,0.9091173410415649
train_r2_170300020201,8,0.924811601638794
test_mae_170300020202,0,0.02409786731004715
test_mae_170300020202,1,0.023856796324253082
test_mae_170300020202,2,0.03021485172212124
test_mae_170300020202,3,0.060519203543663025
test_mae_170300020202,4,0.023208068683743477
test_mae_170300020202,5,0.02210153639316559
test_mae_170300020202,6,0.024053553119301796
test_mae_170300020202,7,0.02429417334496975
test_mae_170300020202,8,0.05421362817287445
test_mae_170300020202,9,0.03857496753334999
test_mae_170300030103,0,0.016377048566937447
test_mae_170300020205,0,0.03137149289250374
test_mae_170300020205,1,0.046535443514585495
test_mae_170300020205,2,0.03585590794682503
test_mae_170300020205,3,0.029706723988056183
test_mae_170300020205,4,0.027002139016985893
test_mae_170300020205,5,0.028419891372323036
test_mae_170300020205,6,0.04608141630887985
test_mae_170300020205,7,0.024373507127165794
test_mae_170300020205,8,0.02517685294151306
train_mse_170300020306,0,0.0014546946622431278
test_kge_170300020205,0,0.8463683660839
test_kge_170300020205,1,0.6317299148550343
test_kge_170300020205,2,0.7634067553771242
test_kge_170300020205,3,0.8938639727576734
test_kge_170300020205,4,0.9161715540177724
test_kge_170300020205,5,0.8785354406156509
test_kge_170300020205,6,0.6291432801563013
test_kge_170300020205,7,0.9288327381024188
test_kge_170300020205,8,0.9576369038331622
train_mae_170300020306,0,0.023144105449318886
test_kge_170300020308,0,0.48659698065336854
test_kge_170300020308,1,0.424262058790825
test_kge_170300020308,2,0.6815317548726628
test_kge_170300020308,3,0.8275252225075058
test_kge_170300020308,4,0.9274105067807061
test_kge_170300020308,5,0.9003437222675894
test_kge_170300020308,6,0.681607884106298
test_kge_170300020308,7,0.787806830067503
test_kge_170300020308,8,0.9309525586214493
test_kge_170300020308,9,0.9507167083807657
test_mae_170300020308,0,0.020690083503723145
test_mae_170300020308,1,0.022922279313206673
test_mae_170300020308,2,0.01582711935043335
test_mae_170300020308,3,0.013814625330269337
test_mae_170300020308,4,0.011332975700497627
test_mae_170300020308,5,0.011603038758039474
test_mae_170300020308,6,0.014313211664557457
test_mae_170300020308,7,0.012586764059960842
test_mae_170300020308,8,0.011006070300936699
test_mae_170300020308,9,0.010027699172496796
test_kge_170300020309,0,0.5895838339898036
test_kge_170300020309,1,0.739563017525571
test_kge_170300020309,2,0.8401575399276209
test_kge_170300020309,3,0.9011292920708123
test_kge_170300030101,0,0.9627437626570762
test_kge_170200100101,0,0.5389687141006634
test_kge_170200100101,1,0.8747140623181934
test_kge_170200100101,2,0.8220517479590808
test_kge_170200100101,3,0.8063226449702054
test_kge_170200100101,4,0.78207367746837
test_kge_170200100101,5,0.8033899886924137
test_kge_170200100101,6,0.8895467226655889
test_kge_170200100101,7,0.7419833166296846
test_kge_170200100101,8,0.8701787766688952
test_mse_170200100305,0,0.007946068421006203
test_mse_170200100305,1,0.0055917841382324696
test_mse_170200100305,2,0.001094136037863791
test_mse_170200100305,3,0.0008992328075692058
test_mse_170200100305,4,0.0013163675321266055
test_mse_170200100305,5,0.0009751057950779796
test_mse_170200100305,6,0.0008046306320466101
test_mse_170200100305,7,0.0009973514825105667
test_mse_170200100305,8,0.0012961016036570072
test_mse_170200100305,9,0.0010155680356547236
train_r2_170300020202,0,0.8096053004264832
train_r2_170300020202,1,0.8968692421913147
train_r2_170300020202,2,0.8675681352615356
train_r2_170300020202,3,0.5537443161010742
train_r2_170300020202,4,0.8469048738479614
train_r2_170300020202,5,0.8719398379325867
train_r2_170300020202,6,0.8783493638038635
train_r2_170300020202,7,0.8803050518035889
train_r2_170300020202,8,0.6629571318626404
train_r2_170300020202,9,0.703220009803772
test_r2_170300020206,0,0.917050838470459
test_r2_170300020206,1,0.9316200613975525
train_kge_170300020308,0,0.7130335166530515
train_kge_170300020308,1,0.7989642580027783
train_kge_170300020308,2,0.9005704285892824
train_kge_170300020308,3,0.9224548709979865
train_kge_170300020308,4,0.9030761568896709
train_kge_170300020308,5,0.9143272383555693
train_kge_170300020308,6,0.893415400636329
train_kge_170300020308,7,0.9282735695220694
train_kge_170300020308,8,0.8875335986429381
train_kge_170300020308,9,0.8914646675990011
test_mse_170300020203,0,0.0032242308370769024
test_mse_170300020203,1,0.0018727796850726008
test_mse_170300020203,2,0.0035092532634735107
test_mse_170300020203,3,0.003280910197645426
test_mse_170300020203,4,0.002946767257526517
test_mse_170300020203,5,0.002173250075429678
test_mse_170300020203,6,0.002585192210972309
test_mse_170300020203,7,0.004241642542183399
test_mse_170300020203,8,0.0018637243192642927
test_mse_170300020203,9,0.004119996912777424
test_mse_170300030102,0,0.0018459070706740022
test_mse_170300030102,1,0.0006554953870363533
